en_text,jp_text,google_translated,score
"Amazing, Haruka!",遥先輩　凄い　また自己新記録です,Haruka senior is also a self-new record,0.1
That's another personal best!,渚君はもう少し頑張りましょうって感じ,I feel that I will do my best a little more,0.14285714285714285
The training camp from hell paid off!,地獄の合宿の成果ですね,It is the result of the training camp in hell,0.3076923076923077
"You need to work a little harder, Nagisa.",怜君は元々棒高跳びやってたおかげで,"Thanks to the rose, thank you very much",0.1875
"Still, I think we've all come a\N long way in such a short time.",だけど　みんな短期間でよくここまで来られたと思うよ,But everyone is often here in a short period of time,0.16666666666666666
It helps that Rei is pretty built from the pole vaulting he's done.,怜のバッタも　タイム上がってきてるし,Batta of the is also up time,0.1
But just that is not good enough!,でも　この程度で満足してちゃダメです,But it is no good to be satisfied with this degree,0.1875
We must aim higher!,みんなもっと上を目指しましょう,Let's aim for all more,0.1
Find a proper coach!,ちゃんとしたコーチもつけて,Changing a proper coach,0.5
It's never too late to start.,何かを始めるのに遅すぎることはありません,It is not too late to start something,0.45454545454545453
we'll be in better condition for the tournament!,より完璧なコンディションで大会に臨めます,I will get a tournament with more perfect condition,0.11764705882352941
Not necessary.,まあ　確かにハルには必要ないか,Well certainly do not need Hull,0.125
"Rage on, until you have to look away","{\fad(100,0)}{\move(1900,1070,950,1070,0,100)}Rage on 眩しい光",Rage on dazzling light,0.18181818181818182
I dive toward the faint blue,"{\fad(100,0)}{\move(1900,1070,950,1070,0,100)}傾くフェイントブルー",Tilt feint blue,0.125
With my hand I felt,"{\fad(100,0)}{\move(1900,1070,950,1070,0,100)}伸ばした僕の手は",My hand to stretched,0.2857142857142857
a world I had known nothing of,"{\fad(100,0)}{\move(1900,1070,950,1070,0,100)}見た事ない景色へ繋がった",I connected to a scenery,0.2
I only chose the drop point,"{\fad(100,0)}{\move(1900,1070,950,1070,0,100)}Anxious eyes chose down the blur point",Anxious Eyes Chose Down The Blur Point,0.3
Show me the truth,"{\fad(0,100)}{\move(950,1070,0,1070,0,100)}劣等に苛まれたthe way you want this",Incarctive THE WAY SIS THIS,0.125
Say goodbye,"{\fad(100,0)}{\move(1900,1070,950,1070,0,100)}Without even saying goodbye",without even Saying Goodbye,0.2
The sun is blazing on my world,"{\fad(100,0)}{\move(1900,1070,950,1070,0,100)}The sun is blazing on my armor",The Sun is Blazing on My Armor,0.75
On your mark,"{\fad(0,100)}{\move(950,1070,0,1070,0,100)}On your mark 後戻り出来ない",On Your Mark Can not Return,0.5
There's no going back on our path,"{\fad(0,100)}{\move(950,1070,0,1070,0,100)}振り向く暇はないんだ",There is no time to turn around,0.15384615384615385
"Get set, here we go","{\fad(100,0)}{\move(1900,1070,950,1070,0,100)}Get set 響く Go",GET SET sounds GO,0.42857142857142855
Oh.,{\an8}日听：king 、大海  日听校对：夜神  翻译：AYA、マキ  翻译校对：syura\N 时间轴：淅沥哗啦  压制：娜夏,"Nishi 听: King, Oshiyo School: Night God Mt. Aya, Maki, Maki  Mt.",0.07142857142857142
I'm coming in.,留守かよ,I'm away,0.3333333333333333
Why are you here?,なんだ　開いてんじゃねぇか,What do you open?,0.25
I only swim free.,俺はフリーしか泳がない,I can only swim,0.5
Wait!,待ってよ,wait,0.5
Come on.,早く来い,come quickly,0.25
I'll show you how different we are now.,俺とお前の差見せてやるよ,I will show you and see you,0.23076923076923078
Dad?,親父,father,0.0
Why?,なんで,why,0.5
Are you okay?,先輩　大丈夫ですか,Is your senior okay,0.14285714285714285
"Everyone, I printed out the pictures from our training camp.",みなさん　合宿の写真プリントしてきましたよ,We have printed a picture of everyone training camp,0.23529411764705882
Lemme see!,見せて見せて,Show me showing,0.16666666666666666
"Yes, yes.",はいはい,Yes,0.3333333333333333
You took a whole bunch.,うわ　いっぱいあるね,There is a lot of wow,0.09090909090909091
Everybody's having fun.,みんな楽しそう,Let's enjoy everyone,0.125
And he's actually looking at the camera for once.,でも　珍しくカメラ見てる,But I'm looking for a camera,0.2
What is with this picture?! It's not beautiful at all!,なんですか　この美しくない写真は,What is this beautiful picture,0.38461538461538464
There's something behind Mako!,マコちゃんの背中に何かいる,Mako-chan's back,0.125
"Oh, that's Ms. Amakata wearing a hyaluronic acid pack.",それ　ヒアルロン酸パック中の天方先生,Sensei Sensei in a hyaluronic acid pack,0.2857142857142857
