en_text,jp_text,google_translated,score,semantic_score
"Humanity established a base on the lunar surface,",月面基地を建設した,Constructed a monthly base,0.18181818181818185,0.2996211
to be used as a starting point for the settlement of Mars.,"（ナレーション）
人類は火星開拓の
前線として","Humanity is developing Mars
As a front line",0.16666666666666666,0.59425956
"But, triggered by the fall of space station ""Freeport"" from orbit,","しかし宇宙ステーション
“フリーポート”の―","But the space station
""Freeport ""-",0.4666666666666667,0.77903867
the environment on Earth deteriorated to the point of annihilation.,"地球への落下事故が引き金となり
地球環境は壊滅的に悪化","The fall accident to the earth triggered
The global environment is devastatingly deteriorated",0.3125,0.57600945
"Because of wars over resources, civilization also\Ncollapsed, and the Earth became a planet of death.",地球は死の星となった,The earth became a death star,0.29411764705882354,0.6077699
"Those left at the lunar surface base abandoned their role in the Mars settlement plan,","月面基地に取り残された人々は
火星開拓という役割を捨て―","People who left behind the moon base
Discard the role of developing Mars-",0.17391304347826084,0.78899515
established the city of Eden.,"唯一の生存圏となった
エデンの人々は―","It became the only survival area
Eden people-",0.16666666666666666,0.676477
"About 100 years after the collapse of Earth civilization,\Nthe people of Eden, who were the only humans still alive,","地球文明崩壊から
100年余りたち―","From the collapse of the earth
More than 100 years-",0.21739130434782608,0.61723405
"were carefully supervised, and in their\Nenforced utopia, lived calm and stable lives.","穏やかで安定した生活を
送っていた","A gentle and stable life
I was sending",0.10526315789473684,0.4233623
Stop at once!,"（警告のアナウンス）
停止しなさい",Stop,0.25,0.61955476
Your actions are in violation of Eden law #192.,"あなたたちはエデン規則192条を
違反する行動を行っています","You are 192 by the Eden Rule
I am doing violation",0.2222222222222222,0.7624047
Stop running and surrender immediately.,"逃走をやめ
速やかに投降しなさい","Stop running away
Sash up quickly",0.2,0.46832195
"Hey, what are we going to do, Takeru?","（カズマ）
おい　どうするんだ タケル",How to do it,0.16666666666666666,0.059721462
"But if we get caught, we won't get to meet that girl.","あいつらに捕まったら
あの子に会えなくなっちまう","If you caught it
I can not meet that child",0.21052631578947367,0.54150444
Idiot! What are you talking about?!,"バカ！
そんなこと言ってる場合かよ","fool!
If you say such a thing",0.14285714285714285,0.39415503
I did it!,やりいっ！,Do it!,0.4,0.59532607
What's wrong?,（カズマ）どうした？,What happened?,0.4,0.38352168
"What should we do, Takeru?",どうするんだ タケル,What do you do?,0.375,0.20729285
Like I know!,ああっ！？ あっ　うっ…,Oh!?I'm sorry ...,0.2222222222222222,0.22245531
"Hey, can you hear me?","（アラン：通信）
おい 聞こえるか？",Can you hear it?,0.5,0.72281533
Is that Alan?,"アラン？ アランなのか？
今 俺たち…","Alan?Is it Alan?
Now we ...",0.375,0.7699211
I know.,（タケル）分かった,I understood,0.25,0.45260143
I'm going to send you data for an escape route.,"（アラン）
分かってる
今 脱出ルートのデータを送る","I know
Send data of escape route now",0.3333333333333333,0.8088742
To the right!,"（カズマ）
向こうだ タケル　右へ！",Directly Tachele to the right!,0.6666666666666666,0.60919416
