en_text,jp_text,google_translated,score
Is that Eden?,"（アオ）
すごーい　あれがエデン？",It's great that is Eden?,0.5714285714285714
Huh?,"（警報）
（タケル）オワッ？",Owa?,0.3333333333333333
Takeru?,（ゴッシュ）タケル…,Takeru ...,0.3333333333333333
"Hey, are you really Takeru?",おい 本当にタケルなのか？,Hey really tackel?,0.375
Who are you?,（タケル）誰だ？,Who?,0.5
It's Gosshu. Gosshu from Moon Shine.,"ゴッシュだ
元ムーンシャインのゴッシュ","Gosch
Former Moon Shine Gosch",0.2222222222222222
What about Kazuma?,それよか カズマは？,Yes or Kazuma?,0.3333333333333333
He's not going to see you. That's it.,面会には来ない　そういうことだ,It does not come to the meeting,0.21428571428571427
I came here to see Kazuma.,カズマを迎えに来た,I came to pick up Kazuma,0.4444444444444444
He's an administrator now.,"（ゴッシュ）
今や彼は管理側の人間だ
主管をやってる","Now he is the man's man
I'm doing my main pipe",0.2
That's... not...,そんな… わけが…,Such ... that's why ...,0.5
Kazuma... is one of us.,"（タケル）
カズマは… 仲間だ",Kazuma is ...,0.42857142857142855
"Today's schedule: inspect Dome Two at 10 am,","（副官Ａ）
本日の予定ですが
午前10時よりドーム２(ツー) 視察","It is today's schedule
Dome 2  inspection from 10 am",0.375
"return to the administration department for lunch with the section chiefs,","管理課に戻り 課長との会食後
午後２時から―","Return to the management section and after dinner with the section manager
From 2 pm-",0.2631578947368421
"and at 2 pm, a visit to the underground city administration for an interview with the regents.","ドームアンダーグラウンド市政区に
出頭　司政官との面談","Dome underground municipal administration
Interview with the campaign",0.23809523809523808
I'll head to Dome Two from Central Station immediately.,"（カズマ）
了解　速やかにセントラル駅から
ドーム２へ向かう","Understanding rapidly from Central Station
Go to Dome 2",0.3333333333333333
Confirm.,確認,Verification,0.0
Have a nice day.,"（システムの音声）
よい１日を",Good day,0.16666666666666666
"Hey, Takeru?",（アオ）タケル？,Takeru?,0.5
I'm awake.,（タケル）起きてる,I'm getting up,0.3333333333333333
Stop. It was bound to turn out this way.,やめて 当然でしょ,It is natural to stop,0.25
I know you had a tough journey to our village.,"私たちの村まで
大変な旅をしてきたのは知ってる","To our village
I know that I had a big trip",0.5
I was prepared for at least this much.,このぐらい 覚悟してた,I was prepared about this,0.4
"about our purpose, about the Earth, about us.","私たちの目的 地球のこと
私たちのこと","Our Purpose Earth
Our thing",0.3333333333333333
You promised to tell the truth to your friends and everyone in Eden.,"タケルの仲間や エデンのみんなに
伝えるって約束したじゃない","To everyone in Takeru's fellow and Eden
I promised to tell",0.4117647058823529
"Yeah, you're right.",（タケル）そうだよな,That's right,0.125
Cheer up!,かわっ！？,!?,0.25
I was clumsy all the way.,"（タケル）
俺… ずっとカッコ悪いな
こんなんじゃ","I'm sorry I'm not cool
Such a way",0.15384615384615385
"Takeru, you always were cute.",タケルは ずっとかわいいよ,Takeer is always cute,0.2222222222222222
"Cu- Umm, that's what I should...",そりゃ俺だってアオのこと…,That's why I'm Ao ...,0.3333333333333333
We have to tell Kazuma...,そうだ　カズマに伝えなくちゃな,Yes I have to tell Kazuma,0.5
about our adventure.,俺たちの冒険を…,Our adventure ...,0.4
We have to tell them the truth.,"本当の地球
真実の姿を伝えなくちゃ","Real Earth
I have to convey the figure of the truth",0.2857142857142857
"I'm here to pick you up, Gramps.","（タイラ）
迎えに来たぜ じいさん",I came to pick me up,0.3333333333333333
"Taira, it's you again.",だよな ビス,It's a bis,0.2222222222222222
why should I let you use my dear Freedom series for your reckless plan-,"お前らの無謀な計画に
大切なフリーダムシリーズを…","For your reckless plan
Important free dam series ...",0.21052631578947367
