en_text,jp_text,google_translated,score,semantic_score
There lived a boy in the village.,村に１人の少年が住んでいた,One boy lived in the village,0.5555555555555556,0.92618334
"He was a boy of great intelligence, but he had one weakness.",とても そうめいな子だったが,It was a very kind child,0.1176470588235294,0.3642426
Solitude was his only friend and confidant.,孤独だけが 彼の友達となり 話し相手に…,Only loneliness is his friend and speaks to the other party ...,0.25,0.5470579
"Unbeknownst to him, the boy’s  karma spiraled further out of control.",少年は知らず知らずのうちに 業を積み重ね,Boy does not know and stacks businesses without knowing,0.043478260869565216,0.40482438
He had turned into a karma demon.,業魔へと変わっていった,It was changed to the business master,0.0,0.15281929
Karma demons ought not to walk this world.,業魔は この世に存在してはいけない,Business Devil does not exist in this world,0.21428571428571427,0.3866999
He quietly walked his body to the bottom of a lake.,業魔は ひっそりと湖に姿を消した,The Demon Devil is sluggish and disappeared in the lake,0.10526315789473684,0.3444325
Where are you?,どこにいるの？,Where are you?,1.0,1.0
What are you doing here?,こんな所で何してるんだ,What are you doing in such a place,0.4,0.6433196
Where… am I?,今… 私 どこにいるの？,Now ... Where are you?,0.1111111111111111,0.6480099
You shouldn’t be here!,こんな所に来ちゃダメだ！,It is no good to come to such a place!,0.0625,0.38566166
What’s going on?,何が起きてるの？ 教えてくれなきゃ 私,What happens?I will not tell me,0.16666666666666666,0.23981978
I was almost killed…,私 殺されそうになったんだから,Because I was likely to be killed,0.2222222222222222,0.5786466
Your charm saved me.,でも 瞬にもらった おまじないのおかげで助かったの,But I was saved thanks to the moment I got it,0.07142857142857142,0.468242
But I think there’s another cat.,でも たぶん もう１匹いる,But there are still one more,0.15384615384615385,0.4963127
I’ll explain as much as I can in that time.,その間に できるだけの説明はする,In the meantime you can explain,0.21428571428571427,0.5240017
Is this your doing?,これ 瞬がやってるの？,Are you doing this moment?,0.375,0.6064615
Come in.,入ろう,Let's enter,0.0,0.56746334
I think I can keep it under control for that long.,それくらいなら抑えられる,It can be suppressed,0.15384615384615385,0.3008781
Sorry about that.,しかたないんだ,I can't,0.0,0.18387221
Please bear with them for now.,ちょっとの間だけ 我慢して,I only endure a little while,0.0,0.15325294
Take off that mask.,そのお面 取ってよ 何だか…,Somehow that face ...,0.125,0.4039027
It’s so— i can’t.,ダメだ,It is no good,0.09090909090909093,0.19949329
"What’s going on, Shun?",瞬 一体 何が…,What is the moment ...,0.08333333333333333,0.13949683
All problems stem from the human heart.,全ての問題は 人間の心から来るんだよ,All issues come from human mind,0.2727272727272727,0.5704496
The subconscious below the water is greater beyond comparison.,水面下にある無意識の方が,Uninterested person under the water surface,0.15384615384615385,0.49050397
That’s not what I want to know!,違うの！ そんな話じゃなくて,is it wrong!Not such a story,0.125,0.26301205
Tell me what’s happening to you!,瞬に何が起きたのか教えてよ！,Tell me what happened in the moment!,0.3076923076923077,0.6119727
That’s what I am talking about.,それを今 説明してるんだよ,I'm explaining it now,0.07692307692307693,0.2547171
"Our subconscious, in particular, is rife with the unpredictable.",特に無意識の中では 思ってもみないことが起きている,It is happening that I do not think that I am particularly unconscious,0.047619047619047616,0.38685676
Our Cantus is the most tangible manifestation of this.,それは呪力において 最も顕著にあらわれるんだ,It is most pronounced in the curse,0.21428571428571427,0.1429942
"In the case of physical actions, there are multiple stages between the inception deep down and the eventual effect.",物理的な行動を起こす場合,When physical action,0.047619047619047616,0.54648364
"Although the original impetus is a product of our subconscious,",動機は無意識から発していても 行動に移す前には,Before moving from uninteresting that motivation is issued,0.05555555555555555,0.4107407
it needs to pass through our conscious thought before it can be realized.,意識の領域を 通過しなければならないから,Because we have to pass the area of consciousness,0.1,0.5596632
Human reason can correct or altogether stop an action from being taken.,理性によって ストップをかけられたり,Stopped by reason,0.06666666666666668,0.5273656
"Cantus works differently, however.",だけど 呪力の場合,If it is a curse,0.0,0.0692684
"Though it may be the wrong action, there is no time to correct it.",仮に間違っていたとしても 修正する暇がないんだ,I have no time to modify even if it was wrong,0.2380952380952381,0.59026575
Wrong? What do you mean?,間違う… どういうこと？,I'm wrong ... what kind of thing?,0.25,0.31047502
Isn’t using our Cantus tied to picturing very specific things?,イメージをちゃんと作らないと 呪力は発動しないでしょう？,"If you do not make the image properly, the curse will not activate?",0.04,0.21503575
"Some mental images are clearly and consciously conceived,",そのイメージにも 明確に意識されているものと,It is also clearly conscious of the image,0.0625,0.5833461
while others are shrouded in the darkness of the subconscious.,無意識の闇に 飲み込まれたままのものがある,There is something that has been swallowed in unconscious darkness,0.1111111111111111,0.38478673
Nobody realizes this.,だけど 皆 分かっていない,But everyone is not understood,0.0,0.36901426
We try to keep our Canti strictly  controlled through hypnosis and mantras.,呪力は 暗示や真言を使って,Curse is using implicit and true,0.05555555555555555,0.17036864
