en_text,jp_text,google_translated,score,semantic_score
"Mr. Kalium, we located the target.",ミスタ・カリウム　目標を発見しました,Mista potassium goal was discovered,0.0,0.32260948
"This is our first time meeting like this, Gavin Hunter.",こうして会うのは初めてだな　ギャビン・ハンター,It's the first time to meet this way Gabin Hunter,0.2222222222222222,0.5909269
This can't be! You're...,バカな　あなたは,You are stupid,0.1,0.21583703
Lieutenant Commander Kalinin! Why are you with the enemy?!,カリーニン少佐　なぜあなたが敵に,Karinin Major why you are enemies,0.21428571428571427,0.5340747
It happens all the time in this business.,この業界ではよくあることだ,It is a common thing in this industry,0.21428571428571427,0.49690357
Building something like this won't change anything.,こんなものを作ったところで何も変わらない,Nothing changes while making such things,0.0,0.61775637
It was a waste of effort.,無駄な労力だったな,It was useless effort,0.375,0.785805
"Lieutenant Commander,  many of your allies must have been killed!",少佐　たくさんの味方が殺されたはずだろう,Major Major's allies should have been killed,0.26666666666666666,0.6248558
We got wiped out. Sagara bested us again and again.,全滅だ　相良にやられっぱなしだった,It was not overwhelmed,0.0,0.23932455
"If I can't manage this much, I can't fight Amalgam.",これぐらいできないと　アマルガムとは戦えない,"If you can not do this, you can not fight with Amargum",0.2352941176470588,0.40174317
"Well, this means you've recovered for the most part.",まあ　おおむね回復したわけだね,"Well, I'm already recovering",0.125,0.6471504
And I have new information.,そこで　新情報だ,So it is new information,0.2222222222222222,0.76115763
"Southern Mexico, eh?",メキシコ南部か,Mexico southern,0.4,0.82773745
There's a mansion on this shoreline that doesn't appear on maps.,ここの沿岸に地図には載っていない邸宅がある,There is a house that does not appear on the map on the coast here,0.3,0.8097079
What makes you think it's an Amalgam facility?,なぜアマルガムの関連施設だと,Why is an associated facility of Amargum,0.13333333333333333,0.35604244
"The flow of money, and logistics service providers.",金の流れと物流業者　あれやこれや,Gold flow and logistics trader and this,0.2307692307692308,0.60092103
The way certain things are handled  is very similar to Namsac.,やり口がナムサクとよく似てるんだよ,The mouth is similar to Namsaku,0.2857142857142857,0.47850755
Security is tight.,厳重な警備だ,It is a strict security,0.2857142857142857,0.6772654
They're tough opponents. My unit had a really hard time with them.,タフな相手だ　俺の部隊もひどく手こずった,Tough opponent my unit was bad too,0.16666666666666666,0.64966685
I saw some once at a weapons show in Nevada.,以前　ネバダの兵器ショーで見たことがある,I have seen it in the Nevada Weapon Show,0.25,0.75579536
"Whoa, hey, is this going to work?",おいおい　大丈夫なのかよ,It's okay,0.0,0.14590271
I intend to find some way by myself.,俺一人でなんとかするつもりだ,I'm going to do something alone,0.14285714285714285,0.45972478
There you go again.,またそうやって…,I will do it again ...,0.1,0.4472972
Stop acting like you're some lone wolf!,いい加減一匹狼を気取るのはやめてくれよ,Don't worry about a good change,0.0,0.17812237
If only it were that easy.,それができれば苦労しません,I will not struggle if it can,0.16666666666666666,0.33594063
We're missing one vital thing: an AS!,俺たちにゃその肝心のASがないんですよ,I have no as an AS,0.15384615384615385,0.47975832
"Even if an M9 is out of the question,",M9は無理でも　せめて現用の第二世代があれば,"If M9 is impossible, if there is a second generation",0.26666666666666666,0.7001679
Then it could work.,だったらいけそうだ,It looks like it is,0.125,0.10016405
It's the latest M6 model.,M6の最新モデルだ,It is the latest model of M6,0.5555555555555556,0.97436404
"And it's special forces issue, too.",しかも特殊部隊仕様だぜ,"Moreover, it is a special unit specification",0.21428571428571427,0.25331235
Piece of cake. I put all my connections to work on it.,ちょろいもんよ　コネを総動員したからな,I made a total mobilization of Choro Mon,0.10526315789473684,0.18105607
Who's he?,わしのダチだ,It's a dachi,0.14285714285714285,0.12402118
I had a female superior officer...,俺の上官だった女性の　なんというかその…,What is the woman who was my senior ...,0.06666666666666668,0.49906048
"See? Like you asked, I doctored  the paperwork and brought it along!",さあ　言われた通り　書類に細工して持ってきてやったぞ,"As I was told, I came and brought it to the documents",0.2857142857142857,0.52782106
Now! Where's Lil' Tessa at?,さあ　テッサたんはどこかな,Sao Tessa is somewhere,0.08333333333333333,0.6306412
She ain't here.,いないんじゃ,It is not,0.0,0.13848116
But we will carry out reconnaissance.,でも　偵察は行います,But I will reconnaise,0.2222222222222222,0.2914894
"It's about that girl in your possession, Kaname Chidori.",君が握っているあの娘　千鳥かなめのことだ,That daughter who holds you is about that,0.1176470588235294,0.42344669
There are signs those Mithril remnants have gotten wind of your whereabouts.,あのミスリルの残党軍は君らの居場所を嗅ぎつけた形跡がある,The remedy of that Mithril has a trace that sniffs your place,0.14285714285714285,0.643119
The girl is indispensable for Project Calliope.,カリオペ計画にはあの娘が不可欠だ,That girl is essential for Caliope plan,0.25,0.6180941
Shouldn't she be moved?,移動すべきでは,Should be moved,0.5,0.63472015
What she needs now is a place where she can feel calm.,今の彼女には落ち着く場所が必要です,You need a place to settle now,0.1875,0.36711913
Then I'll dispatch reinforcements from here as well.,ならば　こちらからも増援を派遣しろ,"If so, please dispatch reinforcement from here",0.2,0.5608238
"Behemoths and Codarls, three each.",ベヘモスとコダールを3機ずつ,Three cars of Behemos and Kodar,0.18181818181818185,0.5407989
That's a large force.,大兵力ですね,It is a great deal of power,0.08333333333333333,0.34520847
Although I do appreciate the sentiment.,お気持ちはありがたいのですが,Thank you for your feelings,0.0,0.42625412
You have some reason to turn it down?,断る理由があるのかね,There is a reason to refuse,0.15384615384615385,0.49794343
No. Do as you please.,いいえ　ご随意に,No matter what,0.125,0.22215895
Master Leonard. Mr. Kalium has arrived.,レナード様　ミスタ・カリウムがご到着です,Leonard-like Mistar Potasse is Arrival,0.0,0.56502783
"Have you been waiting long, Mr. Kalium?",待ったかな　ミスタ・カリウム,Waiting Mista potassium,0.09090909090909093,0.35966638
What of the mech we captured?,鹵獲した機体は,The aircraft that has been caught is,0.07692307692307693,0.36072809
This is their secret weapon?,これが彼らの切り札ですか,Is this a trump card,0.2222222222222222,0.2750052
The core unit has already been removed.,すでにコアユニットは外してあります,The core unit has already been removed,0.875,0.97773373
