en_text,jp_text,google_translated,score
"Hello, you have reached Brilliant Safetech.","{\fad(300,300)\an8\fs33\bord2\shad0\fsp1}更多中日双语字幕，尽在 www.kamigami.org 和微博 @诸神字幕组","More Chunichi Motoru Subtitles, Financing www.kamigami.",0.14285714285714285
Please leave your message after the beep.\NAnd may the fortunes of war smile upon you.,お客様のご武運をお祈りしております,We wish you the wake up of your customers,0.2
"The package arrived, but you sent me the wrong thing.",中身が間違っている,The contents are wrong,0.15384615384615385
I ordered a special gun sight.,俺が注文したのは銃の特殊サイトだ,It is a gun special site that I ordered,0.45454545454545453
But the only thing I got was a strange bottle.,そのはずが妙なボトルしか入っていなかったぞ,It was only a strange bottle of that,0.35714285714285715
"I glanced over the manual, \Nand it looks extremely dangerous.",マニュアルを斜め読みしてみたが　ひどい危険物だ,I tried to read the manual obliquely but it's a terrible dangerous goods,0.23809523809523808
Call me as soon as you can.,すぐに連絡をくれ,Please contact me soon,0.2222222222222222
An old friend of mine.,旧知の武器商人だ,It is an old knowledge merchant,0.2
"He's a weapons dealer. He can get you almost anything you want, for the right price.",金さえ払えば　たいていのものは仕入れてくれる男でな,"If you pay a gold, you will be a man who can buy",0.16
"I ordered a part for my gun, \Nbut it looks like he sent me the wrong thing.",銃の部品を注文したのだが,I ordered a gun part,0.2631578947368421
Of course.,2年4組の相良宗介君,Two-year-four sets of Mt.,0.3333333333333333
I have something to ask you about the club room that's under construction!,工事中の部室棟の件で聞きたいことがあります,I have something I want to hear in the matter of the department building during construction,0.2608695652173913
Come to the faculty room immediately!,今すぐ職員室へ来なさーい,Come to the staff room now,0.4444444444444444
Are you SURE?,ホント？,really?,0.2
"Well yesterday, I saw some \N""Do Not Enter"" tape around the construction area.",昨日　工事現場に立入禁止のロープが張ってあったので,Because I had a rope of an entrance ban on the construction site yesterday,0.14814814814814814
"So out of the kindness of my heart, \NI set up a trap using high-voltage electricity. \nThat's all.",親切心から高圧電流の罠を仕掛けておいただけだ,It is not possible to set up a high pressure current from a kindness,0.13793103448275862
Ow Ow Ow Ow...,痛い　痛い　痛い…,Painful pain ...,0.25
Do not touch that bottle.,そのボトルに触ってはいかんぞ,Touch the bottle,0.2857142857142857
"What's that, Ono-D?",なんだかんだで　面倒見いいんだから,"It's kind of money, so it's good",0.16666666666666666
"""Flaming Hot God Curry Bread!""",出張販売の「爆熱ゴッドカレーパン」,"Business trip sale ""Explosion Gold Curry Pan""",0.21428571428571427
I bought it from the vendor. \NIt's always sold out.,いつも売り切れでさぁ,Always sold out,0.25
I heard it's REALLY spicy.,半端じゃない辛さらしいよぉ,It's not half-hearted,0.2222222222222222
So I just thought I'd try it out.,とりあえず挑戦しとこうと思ってよ,I will try to challenge for the time being,0.125
"Well, here we go!",じゃ　いただきまー…,Well ...,0.14285714285714285
Hot! Hot! Hot! Hot!,からー,Color,0.0
Water!,水,water,0.5
"I'm sorry, that's empty.",ごめんなさい　空です,I'm sorry I'm empty,0.5
That's Sagara-kun's...,オ…オノD　それは相良君の…,Oh ... Ono D That's Masayo ...,0.375
"Here, Ono-D.",ほら　オノD,Hoono D,0.0
That was too damn spicy!,これ辛すぎ　なに考えてんだ　あのパン屋,That bakery thinking about this too hot,0.18181818181818182
Of COURSE it's going to be spicy!,辛いに決まってるじゃない,It's not going to be painful,0.45454545454545453
"Yeah, you're such a scatterbrain.",ね…ねえ　みんな　ちょっとこれ見てよ,Hey ... Hey everyone looks a little,0.07692307692307693
Why don't you try it again tomorrow?,明日も挑戦してみたら？,If you try tomorrow too?,0.36363636363636365
"No, I KNOW it's dangerous!",ひどいな　俺もう激辛はこりごりだよ,It's terrible I'm already hard,0.25
"Hey, are you guys listening?",で　で　みんな　聞いてる？　ねえ,Are you all listening to? Hey you,0.5555555555555556
"Oh, Onadera-san...",って…っていうか　絶対ヤバいよ　これ,Well ... I'm absolutely stupid,0.1111111111111111
You'd better apologize to that\Nconstruction worker later!,あとで業者の方にちゃんと謝るんですよ,"After that, I apologize to the vendors",0.13333333333333333
Understood.,いいですね,Sounds good,0.0
Huh? Lunch break is over already?,あれ？　昼休み終わり？,that?Lunch break?,0.375
"Yeah, see you later!",うん　またね,Yeah,0.16666666666666666
Hold it!,じゃね　恭子,It is,0.25
Does anybody know what happened to the contents of this bottle?!,誰か　このボトルの中身がどうなったか　知らないか,Who do not know what happened to someone this bottle,0.35294117647058826
I promise I won't get angry \Nor make you pay me back for it.,怒ったり賠償を求めたりしないと約束する,I promise that I do not want to get angry or compensation,0.18181818181818182
Just tell me who's responsible!,正直に言ってくれ,Honestly tell me,0.25
"Sorry, Sagara.",なあ　ごめんな　相良,I'm sorry,0.16666666666666666
What happened to the contents?,中身はどこだ,Where is the contents,0.25
I cleaned it up and threw it away in that trash can.,片づけておきました　あちらに,I got up to it,0.21428571428571427
"Sagara-kun, class is already starting.",相良君　もう授業が始まる…,Mato-kun already starts class ...,0.2
"Listen up, everyone!",全員聞いてくれ,Listen to everyone,0.3333333333333333
You are now forbidden to leave this classroom!,今からこの教室を出ていくことを禁止する,Prohibit going out of this classroom from now,0.21428571428571427
Huh? \nWhat are you talking about?,君たちもだ　ここを動くな,You are also not moving here,0.18181818181818182
We belong to another class.,私どもは別のクラスなのですが,We are another class,0.42857142857142855
It doesn't matter.,関係ない,does not matter,0.3333333333333333
I sent you a letter challenging you to a \Nfight on the roof today during lunch break!,今日の昼休みに屋上に来いと,Come to the rooftop on the lunch break today,0.3333333333333333
This is an emergency.,緊急事態だ,Emergency,0.2
What in the world are you... doing...,一体なにを…やって…,What to do ... do it ...,0.18181818181818182
What's with that outfit?,なんなの　その格好は,That's why,0.2857142857142857
This is an NBC Protective Suit.,NBC防護服だ,NBC protective clothing,0.25
"Wait, before that...",待て　その前に…,Wait before ...,0.6
Ow ow ow ow...,NB…なに,Nb ...,0.3333333333333333
"Sagara-kun, what are you doing?",さ…相良君　あなた一体…,Saya ... Yuichi you are one piece ...,0.16666666666666666
I will now explain.,今説明します,I will explain it now,0.6666666666666666
A serious disaster has occurred in this classroom.,この教室内で　重大な災害が発生した,A serious disaster occurred in this classroom,0.7777777777777778
And it has escaped from its special capsule.,専用のカプセルから漏洩したのだ,I leaked from a dedicated capsule,0.15384615384615385
Bacteriological weapon?,さ…細菌兵器？,Now ... Bacterial weapons?,0.14285714285714285
An incredibly dangerous bacteria created with the latest in biotechnology.,最先端のバイオテクノロジーが生み出した,State-of-the-art biotechnology created,0.16666666666666666
"It's insatiable and ferocious, it spreads through the air,",貪欲にして獰猛,Covered and ferocious,0.18181818181818182
"and once it infects someone, \Nit will not stop until it devours its entire prey.",獲物を食らい尽くすまで決して活動をやめない,Never stop activities until you eat prey,0.15
That's what the manual said.,マニュアルにはそうあります,That's right in the manual,0.4444444444444444
"And it's right here, in this room?",それが　この教室に？,That's in this classroom?,0.3333333333333333
Yes.,はい,Yes,0.5
Are we infected? Me too? And my students?,感染してるの　私も？　私の生徒たちも？,Are you infectious?Are my students?,0.36363636363636365
Calm down! \nShe just fainted!,落ち着け　これはただの失神だ,This is just a faint,0.1
Don't be so selfish!,勝手なこと言わないで,Don't say anything selfish,0.375
"Once you're infected, you die, right?",感染したら死んじゃうんでしょう,If you get infected you will die,0.2727272727272727
"But I'm the only one who has any knowledge about bacteriological weapons, even if it is just a little.",わずかなりとも知っているのは俺だけだ,It is only me who knows the only,0.20833333333333334
And in order to come up with an effective strategy...,有効な対策を練るためには…,To knead valid measures ...,0.14285714285714285
I get it.,分かった,Do you get it,0.3333333333333333
Now do you understand?,これで理解してもらえたか,Did you understand this?,0.42857142857142855
I'm not giving you instructions to try to save my own life.,誰かを恨むのはやめるんだ,I'm sorry to hate somebody,0.1875
This tragedy isn't anyone's fault...,この悲劇は　誰のせいでもないのだから,Because this tragedy is not because of anyone,0.36363636363636365
Sousuke...,宗介…,Sansuke ...,0.3333333333333333
"You understand, right, everyone?",分かってくれたか　みんな,Do you know everyone?,0.375
Guns and explosives are dangerous too.,銃や爆弾も十分物騒だけど,Guns and bombs are good enough,0.3
"Anyway, what WAS in that bottle?",いや　別に…,"No, not really…",0.09090909090909091
Just knowing it's a bacteriological weapon doesn't tell us anything.,細菌兵器ですって？,Is it a bacterial weapon?,0.1875
I don't think we should.,さっき相良君が「この教室を出るな」って言ったのは,"I said that Miyoshi, ""Don't leave this classroom""",0.1875
Why?,なんで,why,0.5
One of the features of bacteriological weapons,細菌兵器の特徴は,Features of bacterial weapons,0.42857142857142855
"is that after someone's been infected, it takes a certain amount of time for symptoms to appear.",感染から発症まである程度時間がかかることなんだ,It takes about some time from infection to onset,0.16
"They're even called ""the poor man's nuclear bomb.""",「貧者の核爆弾」なんて呼ばれることもあるくらいでね,"""Poverty's nuclear bombs"" may be called",0.29411764705882354
I've heard that some country in the Middle East is studying the Ebola virus for military use.,{\fsp0\fs43}エボラ・ウイルスの軍事利用が研究されていると聞いたことがある,I have heard that Military use of Ebola virus was being studied,0.30434782608695654
That could even be what this is.,でもその殺傷力は恐ろしい,But that killing power is horrible,0.16666666666666666
Ebola?,エボラ？,Ebola?,1.0
"Right, it's also known as the ""flesh eating virus.""",そう　別名「人食いウイルス」,"So another name ""Kanade virus""",0.16666666666666666
"If that's what this is, there's probably no way any of us will get out of here alive.",あの全身から血を噴き出して死んじゃうっていうあれ？,It says that blood is spouted out of that whole body and it is dead?,0.13793103448275862
No... No way!,バ…バカな,Back ... stupid,0.16666666666666666
No! \nI don't wanna die!,嫌だ　死にたくない,I do not want to die,0.16666666666666666
