en_text,jp_text,google_translated,score
That's right.,そうなのよ　プンプンにおうわ,That's right,0.75
Even though I can just smell them around.,さあ　もう大丈夫だよ　お嬢さん,I'm already okay,0.08333333333333333
There's no one piloting the Savage I defeated.,撃破した敵機には誰も乗っていない,No one rides on the defeated enemy aircraft,0.2857142857142857
It's unmanned!,見るところ見たらさっさと出ましょう,Let's go out quickly if you look at it,0.16666666666666666
Does this mean that it was controlled remotely?,遠隔操縦ってことか,Is it remote control?,0.16666666666666666
What on earth does this...,これはいったい…,This is ...,0.2857142857142857
"He said ""trap,"" didn't he?",わなと言っていましたね,It was said that,0.08333333333333333
Put the ADM data on display.,ADMの情報を表示して,Display information on ADM,0.375
"Yes, Captain.",はい　艦長,Yes captain,0.5
It's like they're scattered all over the place.,ラグでバラバラだわ,It is a rug,0.07142857142857142
"All units are currently engaging the enemy,",各ユニットは交戦中で　まともな報告ができない状態です,Each unit is astatethat can not bedecentreportinginwar,0.0
"If you struggle, it'll be more painful.",暴れると　もっと痛くなるよ,It will be more painful if you go wild,0.46153846153846156
No way!,いや　ありえない　やつは…,No guy who can not be,0.125
This place is too narrow!,こう狭くちゃ…,This is narrow ...,0.42857142857142855
...dead.,死んだ,Dead,0.3333333333333333
"Otherwise, my bullets will miss!",動くなよー　弾が外れるから,Sinceyonot movethe bulletis out,0.0
Geez...,やつが…,A guy ...,0.25
That isn't him!,やつではない,Not a guy,0.0
How's that?!,どうだ,How,0.2
"Whoa, that was dangerous!",危ない危ない,Dangerous dangerous,0.16666666666666666
It's me.,ない　予定どおり混乱してる,It is confused as planned,0.125
Now then...,さて,Now,0.3333333333333333
This is Uruz-7 to all units.,ウルズ7より全ユニット,All units than Urz 7,0.2
I'm currently engaging an enemy AS at point 0211.,現在02-11で敵ASと交戦中,Currently in battle with enemy AS at 02-11,0.26666666666666666
The enemy is using a Venom-type.,敵はヴェノムタイプだ,Enemy is Venom type,0.2222222222222222
This is Headquarters to Uruz-7.,これより01-12へ移動し　敵を引きつける,This moves to 01-12 and attracts the enemy,0.16666666666666666
The coordinates you have provided are incorrect.,本部よりウルズ7へ　座標が間違っている　確認せよ,Make sure that the coordinates are incorrect from the headquarters to Urs 7,0.25
I'm en route to point 0112...,これよりウルズ7は01-12に移動を試みる…,ThisthanKnowles7attemptsto move in the01-12...,0.08333333333333333
This is Uruz-6.,こちらはウルズ6,This isKnowles6,0.2
I'm engaging an enemy AS now.,現在敵ASと交戦中　格闘仕様のシャドウタイプだ,Currently with enemy AS and fighting patterns,0.15384615384615385
