en_text,jp_text,google_translated,score,semantic_score
You say that you're an agent of God.,“神の代行者”と？,"""Representative of God"" and?",0.14285714285714285,0.44146135
"That's Alex Louis Armstrong,
the Strong Arm Alchemist!","アレックス･ルイ･
アームストロングをな！","Alex Louis
Armstrong!",0.3636363636363637,0.7135124
That's hardly a blessing.,見せてやろう,Let's show me,0.1111111111111111,0.17063287
Next shot!,とりゃあ！,!,0.3333333333333333,0.41402057
"It's true, what you said. The opposite
of creation is destruction.",破壊の裏に創造あり,Creating on the back of destruction,0.17647058823529413,0.52351034
"Destroy and create, it's the
grand currency of the universe.",これ 大宇宙の法則なり！,This is the law of the Universe!,0.1875,0.36592627
"A unique combination of alchemy
and physical power. God help me.","腕力と錬金術の
コンビネーションか…","Alchemy and alchemy
Combination ...",0.2307692307692308,0.72683233
"You have red irises. Red eyes
and brown skin, you must be from-",褐色の肌に 赤い目…,Red eyes on brown skin ...,0.26666666666666666,0.6809395
"But the God your people
kneel to forbids alchemy.",お前たちの民族の神は,The god of your ethnic group,0.2307692307692308,0.2990834
"then break it down,
rebuild it as something else.","大きく分けて
“理解”“分解”“再構築”の３つ","Roughly
Three of ""understanding"" ""decomposition"" ""rebuild""",0.05882352941176471,0.47111002
"I only do as this arm
instructs me, contrary or not.","この腕が教えるまま
我は なすのみ…","This arm is taught
I only do her eggplant ...",0.2777777777777778,0.47943708
"Leave it to the prophets
to interpret God's will!","たとえ
神の意志に背こうと！","example
Back to God's will!",0.4166666666666667,0.5168957
"Humankind cannot gain anything without
first giving something in return.","人は何かの犠牲なしに
何も得ることはできない","People are without any sacrifices
I can not get anything",0.2222222222222222,0.52095956
"To obtain, something of
equal value must be lost.","何かを得るためには
同等の代価が必要になる","To get something
Equivalent of equivalent",0.2307692307692308,0.41544855
"That is alchemy's first
law of Equivalent Exchange.","それが
錬金術における等価交換の原則だ","that is
Principles of equivalence exchange in alchemy",0.38461538461538464,0.79831356
"In those days, we really believed that
to be the world's one, and only, truth.","そのころ 僕らは
それが世界の真実だと信じていた","At that time we
I believed that it was the truth of the world",0.25,0.81975025
Brother? What are we gonna do now?,兄さん これから どうするの？,Brother What do you do from now on?,0.4166666666666667,0.7211022
"I don't know, Al. Let's just get some
distance from that guy with the glasses.","とにかく あのグラサンから
１歩でも離れてえ","Anyway from that Grasan
Even one step",0.08333333333333333,0.13229881
Get down.,マルコーさん！,Marco!,0.0,0.1867528
Have you got a back door?,ごめん 裏口ある？,"Sorry, are you back?",0.3,0.3430097
"What about Eastern Command,
and the Colonel?",大佐もドクターマルコーを,Colonel and Doctor Marco,0.18181818181818185,0.53881913
"With the Brigadier General
showing up like that,",グラン准将が現れたってことは,That Bran brought about,0.08333333333333333,0.20329504
"I get the sense not even Mustang
can protect Marcoh right now.","保護できない事情ができた
ってことかもしんねえだろ","I could not protect
It may be something",0.16666666666666666,0.22134197
"People from Central
have been deployed here?",セントラルの人間が ほかにも？,Are there any other people in Central?,0.2307692307692308,0.6248908
I don't understand. Is this for me?,私を捕らえるために？,To capture me?,0.16666666666666666,0.27483425
Just catch me!,"ハハハハ！
オーライ オーライ！","Hahahaha!
Oryo!",0.16666666666666666,0.20800795
"Let's play a new game!
Priests and Dragons!",こら 待て 待て！ おい 待てよ,Wait for a while!Wait,0.15384615384615385,0.19361244
I don't care if that man kills me.,"私は
あの男に殺されてもかまわない","I am
You may be killed by that man",0.1875,0.56117034
Wait for me!,あっ！,Ah!,0.2,0.39654106
Colonel! We found him!,大佐！ 見つかりました！,Colonel!Found!,0.6,0.90916
"Come on, talk to me, Major.
What happened?",おい 少佐！ 何があった？,Hey!What happened?,0.2307692307692308,0.59046227
Close call.,危ねえ〜,Danger,0.0,0.20637451
This is turning into a real mess.,"ハンバーグにされても生き返る
ということになるな","Even if it is a hamburger
Now",0.15384615384615385,0.2509811
"That's a hell of an understatement.
What about Gran?",中佐 グラン准将は？,What is the Gran of China?,0.26666666666666666,0.5363024
