en_text,jp_text,google_translated,score
The new morning we've finally found,やっと見つけた　新しい朝は,I finally found a new morning,0.4444444444444444
is being hampered by the past.,月日が邪魔をする,The day is disturbing,0.2222222222222222
"What we chased after wasn't the future,",向かう先は　「次」じゃなくて,"The other end is not ""next""",0.0625
but the past so full of remorse.,「過」ばかり追いかけた,"""Over"" fucked",0.0
The ruthless memories won't stop playing;,鳴り止まない　容赦ない思い出たちは,No ringing memories that do not stop sound,0.14285714285714285
they won't be forgiving us for a long time.,許してくれそうにもない,I'm not going to forgive me,0.0
It's about now that a teardrop,そろそろかな　手探り　疲れた頬を,Soon I'm looking for a well-known cheek,0.07142857142857142
beings to roll down my fatigued cheeks.,葛藤がこぼれ落ちる,Falling falls,0.0
Will this rain ever stop?,雨は　いつか止むのでしょうか,How long does it stop?,0.2
I've been freezing for a long time.,ずいぶん長い間　冷たい,It is cold for a long time,0.3333333333333333
Why does the rain continue to fix on me? ame wa doushite boku wo erabuno,雨は　どうして僕を選ぶの,Why is the rain chosen,0.16666666666666666
I wonder if it could embrace me.,包まれて　いいかな,May I be wrapped,0.09090909090909091
"Today, the rain falls again;",雨は　止むことを知らずに,Do not know that the rain stops,0.16666666666666666
endlessly it falls knowing no end.,今日も降り続くけれど,I will continue today,0.0
We nestle close to each other to share the warmth,そっと　差し出した傘の中で,In the umbrella that gently out,0.07142857142857142
"under this umbrella, you gently held out to me.",温もりに　寄り添いながら,While climbing the warmth,0.0
Before the military stops the broadcast!,いいから　軍に放送を止められる前に　早く,It's okay to get broadcasting to the army,0.07692307692307693
"Is that right, Madam?",ということでしょうか,Is that mean,0.2857142857142857
The Central Army tried to murder me.,中央軍は私を殺そうとしたのです,The central army tried to kill me,0.6666666666666666
So they pointed a gun at you to shoot you dead?,すると　夫人に銃を向け,If you do a gun to the wife,0.26666666666666666
So do you suppose someone in the upper echelon,では　閣下のいないときを見計らって,Then I saw it when I was not,0.0
is planning a coup d'etat while the Führer President is absent?,中枢の誰かがクーデターを,Someone in the center is a coup,0.2857142857142857
I can't say for sure.,それは分かりません,I do not understand,0.1
"But Madam, the fact that your son was also not in Central at the time is...",声　聞いたことあるぜ　本物だよ,I've heard a voice It's a real thing,0.0
I can't get in touch with my son either!,息子とも連絡が取れないのです,I can not contact my son,0.21428571428571427
Poor thing...,かわいそう…,It looks cute ...,0.16666666666666666
"If Colonel Mustang hadn't saved me, I don't even know if I'd be here right now...",本当にマスタング大佐に,"Really, Mustang Colonel",0.15789473684210525
"I see, so Colonel Mustang had already predicted the coup d'etat.",なるほど　マスタング大佐は,"I see, Mustang Colonel",0.38461538461538464
"Well then, could you please describe in detail of what happened when you were rescued?",それでは助け出されたときの状況を,Then the situation when it was helped,0.09523809523809523
Have you still not told her that Selim is a homunculus?,セリムが人造人間だってこと,Serim is an Android,0.06666666666666667
He is currently missing.,閣下は行方不明になっているのです,The governor is missing,0.2857142857142857
But the Führer President has gone missing? What could this mean?,しかし　大総統閣下が行方不明とは,"However, under the Great School is missing",0.1111111111111111
"Colonel Mustang has always been leery of the upper echelon,",マスタング大佐は以前から,Colonel Mustang,0.18181818181818182
Everything is clear now.,これではっきりしました,This is clear,0.3333333333333333
There is a faction in the upper echelon that wants to get rid of the Führer President.,閣下を排除しようとする一派がいると,If there is a one-sect to eliminate the governor,0.23809523809523808
Fool! hurry up and stop the broadcast!,バカ者　今すぐ放送を止めろ,Stop broadcasting now,0.1
"They've taken hostages, and we can hardly move due to the fact that they've got a gun on us!",人質を取られていますし,I'm taking a hostage,0.04
The... Colonel?,大佐…ですか,Colonel ...,0.5
Don't shoot!,撃たないで,Don't shoot,0.75
Forgive me! Please!,許して　お願いします,Please forgive me,0.75
"Next, we will have one of Colonel Mustang's subordinates speak with us.",では　続きまして,Then,0.0
"We, who support Colonel Mustang, have very little influence...",マスタング大佐に賛同する我々は,We agree with Mastang Colonel,0.14285714285714285
"we are prepared to stand up to our underhanded opponents with everything we've got,",正義の名の下　卑劣な輩に,To the underwear name of justice,0.05263157894736842
in the name of justice.,全力で立ち向かう覚悟であります,It is prepared to stand up with full strength,0.0
And bringing up words like 'justice'...,しかも　正義などと,And with justice,0.1
It would be nice if the people would take his bait.,国民が食いついてくれるといいけどねぇ,It would be nice if the people will eat,0.5384615384615384
You sounded like you're used to this kind of stuff.,手慣れたもんだな,It was familiar,0.0
I'm surprised you could use a silly and vague word like 'justice'.,正義なんて　曖昧で浮ついた言葉,A word that is vague and floating justice,0.21052631578947367
She's right. the first person to say it wins.,だな　先に言った者勝ちだ,I won the person who said earlier,0.125
