en_text,jp_text,google_translated,score,semantic_score
The JSDF was dispatched to the Special Region.,特地に派遣された自衛隊,Self Defense Forces dispatched to the specialture,0.25,0.29747072
"Casel and Sherry ran to the Japanese embassy to escape the oppression, 日听 muloure archer 翻译 はばやし domi 校对 はばやし t.a.o 时间轴 钦钦 压制 咸鱼",弾圧を逃れ　日本の使節の元へ逃げ込んだカーゼルとシェリー,Caseel and sherry that escaped to the origin of the Japanese language,0.1724137931034483,0.52698636
and Foreign Officer Sugawara accepted her request.,外交官菅原がそれを受け入れたことで,Debupler Kuwahara accepted it,0.09090909090909093,0.4038576
Annihilate them! charge!,蹴散らせ,Kick,0.0,0.15573178
Ready spears!,槍　構え,Masquerade,0.0,0.18408088
D-Don't fall back! Stay on the attack!,引くな　攻めろ,Do not pull off,0.0,0.33639622
Begone! This is no place for amateur soldiers!,去れ　ここは素人兵の来る所ではない,It is not a place where an amateur will come here,0.17647058823529413,0.6171577
You won't get away with this!,小癪な,Small,0.0,0.14698665
tsu,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.007622077
da,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.09802879
t,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.06620157
te,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,-0.006330142
ta,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.05432211
sa,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.073328845
wa,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.022103779
ya,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.11283798
ri,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.0026719668
re,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.1321577
na,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.07078946
i,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.09090909090909093,0.15899162
mo,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.0039379853
no,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.13220876
to,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.17140476
o,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.04620956
u,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.105054885
ki,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.019318132
shi,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.0,0.06016489
It's impossible to do the right thing all the time,何時だって正しさはやりきれないものだと思う,I think that it is something that can not be done correctly,0.05,0.4740407
