en_text,jp_text,google_translated,score,semantic_score
Oh! It's definitely a big one.,うぉっ！ こりゃ 間違いなく大物ですよ！,Uh!It is definitely a big deal!,0.4166666666666667,0.57364374
You're not getting away.,ぐぅっ… おらぁっ！,... お お お!,0.0,0.08687784
"Since the Amanto came, the Earth's ecosystem has gotten so...weird.",やっぱ 天人が来てから 地球の生態系も➡,After all Henjin came and the ecosystem of the earth is also,0.19047619047619047,0.5778884
What?! You're going to eat this?!,えぇっ！ これ 食べんの？,Eh!Did you eat this?,0.4545454545454545,0.6394579
Of course I am.,あったりめえだろ｡ ｱﾝｺｳしかり 納豆しかり➡,It is a good time. Ankouko Satomi ➡ ➡,0.07692307692307693,0.1628563
"The more grotesque it looks, the better it tastes when you eat it.",見た目がｸﾞﾛいもんほど 食ったら うめえんだよ｡,It looks like it looks like Gloi.,0.21428571428571427,0.2647373
Even an ugly a woman always has one or two good points.,どんなﾌﾞｻｲｸにも いいところの １つや２つ あるもんだ｡,There are one and two of the good places for any busy.,0.18181818181818185,0.12602781
"Gin-chan, Gin-chan!",銀ちゃん 銀ちゃん！,Gin-chan Gin-chan!,0.6666666666666666,0.98393965
"I caught a huge one. Look, look!",これ… すごいの釣れたｱﾙ！ 見て見て！,This ... a great catching al!Look look!,0.21428571428571427,0.46755776
"Say, can we eat it, too?",ねぇねぇ これも食べられるｱﾙか？,"Hey, is this can be eaten?",0.2307692307692308,0.73056364
"Forget what you saw just now, okay?",今 見たことは 忘れろ｡ いいな？,I forgot to watch now. Is it good?,0.1176470588235294,0.35116458
"[Kappa, A.K.A. water imp, a mythical water creature]",銀さん… 今の ｶｯﾊﾟじゃありませんでした？,Silver ... Aren't it a kappa now?,0.1111111111111111,0.45043182
"It was just, you know, a regular bald old dude who lives in the pond.",あれだよ｡ 池に住んでる ただの ﾊｹﾞたおっさんさ｡,That's why I lived in the pond.,0.18181818181818185,0.5508778
"Just the fact that he lives in the pond makes him not a ""regular old dude.""",池に住んでる時点で ただのおっさんじゃねえよ！,"When I live in a pond, it's just a man!",0.15384615384615385,0.5382797
That's because...You know...He's got an alcohol addiction.,それは…｡ あれだよ ｱﾙｺｰﾙ依存症｡,That's .... It's that alcoholism.,0.2857142857142857,0.5864943
Nobody'd drink sake if alcohol did that to them!!,ｱﾙｺｰﾙに そんな成分あったら 酒なんて 誰も飲まんわ！ …ん？,"If there is such a component in the alcohol, no one drinks sake!…Hmm?",0.16666666666666666,0.66987914
"You bastards broke my glasses, dammit!",ﾃﾒｴら ﾒｶﾞﾈ割れちゃったじゃねえか この野郎｡,Teme et al. Glasses were broken.,0.07142857142857142,0.5266629
Call your parents! I'm making them pay for this!,親に電話しろ！ 弁償してもらうからな～！,Call your parents!It's because you get it!,0.25,0.7243031
You're not getting away! Tell me your names and addresses!,逃がさん！ 住所と名前を言え～!!,Sorry!I can say my address and name ~ !!,0.1,0.6478838
"If you do something wrong, the right thing to do is to apologize.",悪いことをしたら 謝るのが筋だろ？ 違うか？,"If you do bad things, it's a slaughter?Different?",0.19047619047619047,0.31407216
"Well, because you're a kappa.",いや… ｶｯﾊﾟだったから…｡,No ... because it was Kappa ....,0.25,0.66949385
A kappa? What's that? Don't try to trick me by talking nonsense!,ｶｯﾊﾟ？ なんじゃ そりゃ｡,Kappa?What is he.,0.15789473684210525,0.84293103
You're the one who's making the least sense!,ｵﾒｴが いちばん わけわかんねえんだよ｡,You're the best.,0.25,0.20729141
