en_text,jp_text,google_translated,score
"Huh? You caught a cold, too, Hanako-chan?",え？ 花子ちゃんも風邪？,picture?Hanako is also a cold?,0.23076923076923078
I'm sorry.,すんません… 熱は 微熱なんやけど➡,I'm sorry ... The heat is slightly fine,0.3
I don't want to pass it on to the customers.,お客さんにうつしても あれやし｡,Even if you join the customer.,0.125
All right. you'd better not underestimate a low fever! take care of yourself.,はい｡ 微熱なめたら 怖いからね｡ お大事にね！,Yes. I'm scared if I get a slight fever. Please take care!,0.25
The cold is spreading. The hostess club feels like a funeral.,風邪蔓延… すっかり 葬式みたいになっちゃいましたね｡,Cold Emergence ... I have always like a funeral.,0.3125
And we host a VIP guest tomorrow...,明日は 大事な上客が 来るってのに…｡,Tomorrow is that an important customer comes ....,0.13333333333333333
"As I recall, he's a very important Bakufu official.",確か 幕府の重鎮とか…｡,Certainly the Hakufu Heavyweight ....,0.058823529411764705
Aren't there any girls available?,使えそうな子は 残ってないの？,Do you have any children who can be used?,0.13333333333333333
"No, this is worse than you thought.",いや お前が思ってるより まずいね｡,"No, it's better than you think.",0.38461538461538464
"No, this is way worse than you thought.",いや お前が思ってるより 全然 まずいですね｡,"No, it is completely more than you think.",0.42857142857142855
...But why of all people...,しかし なんで  よりによって…｡,But by this more ....,0.2
"Well, it's said that an idiot can't catch a cold-",ﾊﾞｶは 風邪ひかないって… ｳｺﾞｯ…！,The fool does not catch a cold ... ugow ...!,0.09523809523809523
I'm sorry. May I take the day off tomorrow?,すいません… 明日 ﾎﾞｸ 休ませてもらえますか？,I'm sorry ... Can you rest tomorrow?,0.3333333333333333
"Make sure you wear a white gown, take lots of sleeping pills and get enough sleep. [note: white clothes often symbolize death. she's suggesting he kill himself.]",白装束 着て 睡眠薬飲んで➡,Wearing a white dress bundle and drink sleeping pills ➡,0.13513513513513514
"You'd better not underestimate a woman, okay?",女 ﾅﾒたら怖いですからね｡,I'm scared if I'm a woman.,0.13333333333333333
People say that love is a sickness.,恋は病 っていうだろうがよ｡,Love will be ill.,0.18181818181818182
The hostesses who make men lovesick all caught colds?,男を 恋わずらいに 侵すはずのｷｬﾊﾞ嬢が➡,A hostess who should fall in love with a man,0.05555555555555555
"You hostesses have no professional pride, bastards.",おめえらはよぉ この野郎！,This guy is this guy!,0.0
But you look fine. You look as healthy as always.,それにしても お前は やっぱ たいしたもんだなぁ｡,"Even so, you are just before.",0.14285714285714285
"Well, it's a shame. But I can't open my club with just one hostess.",やぁ 面目ない｡ ｷｬﾊﾞ嬢 １人じゃ➡,It is not affordable. Cabbage 1 person,0.08333333333333333
"Is there any way you can help us, Gin-san?",なんとかならんかね？ 銀さん｡,"Somehow, isn't it?Gin-san.",0.26666666666666666
"You're the owner of Odd Jobs, aren't you? So you must know a lot of people.",ｱﾝﾀ 万事屋だろ？ 顔も広いじゃない｡,Is it an anti-guidery?The face is not wide.,0.12
It should be easy for you to introduce a couple of cute girls to us.,かわいい子の２～３人 すぐ紹介できるでしょ～！,You can introduce only 2 to three of cute children!,0.23809523809523808
"If there were a pretty girl around, I'd introduce her to myself.",かわいい子がいるなら ｵﾚが 紹介してほしいよ｡,If there is a cute girl I want you to introduce.,0.42105263157894735
There's a pretty girl right here!,かわいい子なら ここに いるｱﾙよ｡,If it is a cute girl here.,0.23076923076923078
Tonight we are hosting a top government official who is a friend of Matsudaira.,今夜は 松平公の知り合いの➡,Tonight's acquaintance of Matsutoru,0.11764705882352941
"I'll pay you generously, so please help us.",報酬はずむから 頼むよ｡ おい ﾋｹﾞ こら！,I'll ask you because I'm sorry. Hey.,0.25
"Cute girls, hmm... No one pops up in my mind...",かわいい子かぁ 思い当たるふしがねえなぁ｡,A cute girl or a long time ago.,0.05263157894736842
"Aside from their looks, most of them are not nice... Ah, there's one.",ﾂﾗは ともかく 性格が悪いのが多くてなぁ…｡,Tsura is still a lot of personality but ....,0.125
Who is that?! Is she like a monster?!,誰あるか？ それぇ!? ほとんど ﾊﾞｹﾓﾝだろうがよ～!!,Who are there?That's it!,0.3076923076923077
"Um... If it's all right, can I call up my friends? I know many pretty girls.",あの 私の友達でよければ 呼びましょうか？,Call me if you like that friend?,0.12
She always brings girls who don't look as good as her.,だいたい 自分より ﾗﾝｸ下のﾔﾂ 連れてくんだよ｡,It's a guy than I'm getting better than myself.,0.045454545454545456
"Did you have some bad experiences with that, Gin-san?",銀さん なんか 嫌な思い出でもあるんですか？,Are you a bad memorial memory?,0.2
Well... what...?,ちょっと 何を…｡,A little ....,0.14285714285714285
Please help us out for a while. I'm sorry. I'm really sorry.,ちょっとだけだから 力貸してください すいまっせん！,Please let me lend me a little bit!,0.1111111111111111
Young Lord...! ...would look much better wearing a goth-loli costume!,ｺﾞｽﾛﾘのほうが似合うぞ～っ!!,Goth Loli looks better!!,0.13333333333333333
"I don't know much about this, but if Tae-chan is in trouble, I will help.",よくわからんが 妙ちゃんが困っているなら➡,"If you do not understand well, if you are in trouble",0.22727272727272727
"No problem. I'm not sure if I can handle this, but I'll give it a try.",いいんだ｡ うまくできるか わからんが➡,It is good. I do not know how it can be done,0.2
"A hostess engages in a 30-minute, one-round match",ｷｬﾊﾞ嬢とは 見ず知らずの客と ﾏｯﾄの上で 30分 １本勝負で…｡,It is 30 minutes on the customer and the mat of the mats and a match with the mats.,0.09523809523809523
No. The place you go to isn't a hostess club. with a strange customer... and it feels really nice...,違う｡ お前の通ってる店は それ ｷｬﾊﾞｸﾗ違う！,Different. You're going to do it with that cabaret!,0.17857142857142858
"I didn't go, Young Lord!",行ってませんよ 若！ 言っておきますが 私は➡,I'm not going!I will tell you but I,0.13333333333333333
"But are you really okay with this, Kyu-chan?",でも ﾎﾝﾄに大丈夫？ 九ちゃん…｡,But really okay?Nine-Chan ....,0.3076923076923077
"You've lived as a man until now, and now you'll accompany men...",今まで 男の子として生きてきた 九ちゃんが➡,Nine-Chan who has lived as a boy until now,0.2777777777777778
"It'll be just like talking with my friends, right?",友人と話す感覚で いけばいいのだろ？,Should I talk to a friend with a friend?,0.1111111111111111
"Well, a conversation might be all right, but there're guys who'll slap your ass.",会話は あれだが… なかには ｹﾂとか触ってくるﾔﾂもいるぜ｡,There is a conversation ... There is also a guy who touches butts or something.,0.19230769230769232
Are you fine with that?,大丈夫か？ 多少の恥なら我慢する｡,"Are you okay?If you are a little shame, you will endure.",0.2
So I want to help you as much as possible.,九ちゃん…｡,Nine-Chan ....,0.08333333333333333
"Well, if you're sure it's all right...but don't push yourself.",じゃ… お言葉に甘えるが あんまり ﾑﾘすんなよ｡,Well then ... I'm sorry I'm sorry.,0.14285714285714285
"Regardless of whether you're a man or a woman,",男でも女でも ｹﾂ触られりゃ➡,Both men and women will touch them ➡,0.0
"If you touch Young Lord in such a friendly manner, you'll get tossed like that.",ﾌﾝ… 若に気安く触れると そういう目にあいますよ｡,"Hun ... If you touch your younger, you will see you.",0.21739130434782608
You react like that even when someone just touches your shoulder.,肩に触れられた程度で その始末のお人が➡,The person who was touched by the shoulder and the person at the end of that,0.09090909090909091
I am Ayumu Tojo! My life's mission is to protect the Young Lord!,わかり申した！,I'm glad!,0.11764705882352941
"So, I'll become a hostess and protect Young Lord to the end!",私も ｷｬﾊﾞ嬢になって 若を最後まで守り通します！,I also become a cabbage and protect young up to the end!,0.5555555555555556
"Well, at this point, we somehow have three...",とりあえず なんやかんやで ３人まで揃ったな｡,"For the time being, I have all three people.",0.16666666666666666
"No, we don't. And I think one person is a complete mismatch.",揃ってませんよ… つうか➡,It is not aligned ...,0.05263157894736842
I need at least three more.,最低でも あと３人は欲しいね｡,I want at least three more people.,0.6666666666666666
"If you count me in, we need only two more.",私 入れたら あと２人ｱﾙな｡,"If I put it in me, two more people.",0.4375
Three more... That'll be more work.,あと３人か… だりいな｡ おい あと２人だって｡,Three more ... It's a long time. There are two more.,0.25
"Hey, only two more. don't you know anyone? anyone's all right, as long as she's good-looking.",誰かいないの？ もう かわいきゃいいからさ｡,Do you have anyone?She is pretty now.,0.2608695652173913
"Ah, you already called her. That's great, Odd Jobs.",あぁ もう呼んでるの さすが万事屋！,"Oh, I'm going to call it anymore!",0.047619047619047616
Did you hear what I said?!,人の話 聞いてた？,Did you hear the story of a person?,0.3076923076923077
"She'll serve as a foil. In a group, someone like her is essential.",引き立て役だ… ｸﾞﾙｰﾌﾟの場合 ああいうのも必要なんだよ｡,"It is a leading role ... If you are a group, you need to do that.",0.19230769230769232
"It's like SPEED, or Momusu. Whatever. [note: speed and momusu  are all-female j-pop groups.]",ｽﾋﾟｰﾄﾞ しかり ﾓｰ娘｡ しかり！,Speed Mao Musume. Kurari!,0.09090909090909091
"Not only is she lacking in the looks department, but her personality is the worst.",顔だけじゃなく 性格も最悪なんだけど｡,Not only the face but the character is the worst.,0.4117647058823529
Two more...,あと２人ねぇ…｡,Two more people ....,0.6
Hey! What?! From the ceiling?,ちょっと なに？ 天井から！,A little bit?From the ceiling!,0.5
Don't touch me!,触らないで！ 触ってねえよ｡,do not touch!Please touch me.,0.5
I don't know anything about the Yagyu Arc or anything else.,柳生編だか なんだか 知らないけど➡,I do not know if it is Yanagi edition,0.16666666666666666
"But you left me alone for a long time, and I finally spotted you in the previous episode.",さんざん 長いこと放置ﾌﾟﾚｲして➡,Sanzan Long and play,0.09523809523809523
That...,そんなのって…｡,That's right ....,0.4
...makes me so fired up.,興奮するじゃないのぉ！,I'm not excited!,0.0
You know exactly how to get me all excited!,どれだけ 私のﾂﾎﾞを 心得てるのよぉっ！,How much my point is geeks!,0.13333333333333333
Well... You're also a mismatch.,いや ｱﾝﾀも 思いきり 間違ってるんだけど…｡,"No, I'm thinking about the anti-tuna ....",0.125
