en_text,jp_text,google_translated,score
No prey can escape without leaving tracks.,"どんな獲物も
痕跡を残さずに逃げる方法などない","Any prey
There is no way to escape without leaving traces",0.35714285714285715
"It's spring in the mountains, but there's still snow,","まだ雪の残る春の山は
追っ手に有利だ","Spring mountains of snow still
It is advantageous for the chase",0.375
Is that bastard really hurt?,"足跡を見つけました
ほんとに手負いか？　あの野郎","I found a footprint
Is it really a hand?That guy",0.3076923076923077
"Hurt or not, he's a Matagi.",手負いでも谷垣はマタギだ,"Even if you have a hand, Tanigaki is Matagi",0.1875
They're confident they won't be shot.,１発で２人は しとめられない,Two people can not be done in one shot,0.13333333333333333
Should I set an ambush for them?,待ち伏せして しとめるべきか,Should I hit it?,0.3
"No, he's not that soft.","いや やつも
そこまでヤワじゃない","No guy
It is not a Yawa until there",0.13333333333333333
I'll keep running and look for a way to win.,逃げ続けて勝機を待つ,Continue to escape and wait for the winner,0.17647058823529413
But how much distance can I keep \Nbetween us with this leg...,"ただ この足で
どこまで距離を保てるか","Just on this foot
How long have you stay?",0.09523809523809523
Bear tracks?!,うっ！,Uh!,0.2
The baby bear is walking on \Ntop of the mother's tracks.,"子熊に親熊の足跡の上を
歩かせている","On the parent footprints on the child bear
I'm walking",0.23529411764705882
We've completely lost him.,完全に見失いました,I lost my fully sight,0.1
The sun will set soon.,じき 日が暮れちまう,The sun is over,0.25
It doesn't matter what Tanigaki's \Ngoing to tell Lt. Tsurumi.,"もう谷垣が鶴見中尉に
何を報告しようが","Another Tanigaki is in Tsurumi Naka
What to report",0.2222222222222222
I don't care about the gold.,俺は金塊なんて どうでもいい,I don't care about money,0.5555555555555556
I want to kill Sugimoto Saichi \Nas soon as I goddamn can!,"１分１秒でも早く
杉元佐一をぶっ殺したい","It is faster in 1 minute 1 second
I want to kill Sugimoto Sao",0.25
Did whatever left these tracks bury it?,足跡の持ち主が埋めたのか,Did the owner of footprints filled?,0.15384615384615385
It's a greedy one.,がめついやつだ,It is a messy guy,0.2222222222222222
It's patrolling this area daily \Nuntil it's been out of hibernation,毎日 この鹿を巡回している,I'm patrolling this deer every day,0.125
long enough to eat it.,"穴ごもりしていた体が
食えるようになるまで","The body that was perforated
Until you get to eat",0.14285714285714285
"From the way the snow melts,\N it's coming around in the morning.","雪のとけ具合から見て
来ているのは朝方","Looking at the condition of snow
It is coming in the morning",0.3157894736842105
Can I start a fire?,火をおこしていいですか？,May I win?,0.25
He'll attack us in the darkness.,闇に紛れて襲われるぞ,It will be caught in the darkness,0.25
I want to go back home to Shizuoka!,故郷の静岡に帰りたい,I want to go back to Shizuoka of my hometown,0.5454545454545454
"Another hunter, maybe?","ほかの猟師では？
谷垣が たき火なんて","What is another hunter?
Tanigaki was trying to",0.2727272727272727
Tanigaki wouldn't start a fire.,たき火の煙だ,It is a smoke of fire,0.18181818181818182
"If those are Tanigaki's tracks, give me a signal.","調べてこい
谷垣の足跡であれば合図しろ","Examine
Semination if it is a footprint of Tanigaki",0.16666666666666666
Am I bait?,えっ!?　餌ですか 俺は,Eh!? Are you feeding?,0.1111111111111111
I'll back you up from here.,ここから援護する,Support from here,0.2222222222222222
It's a hundred meters at most.,"せいぜい100メートルだ
誰が近づいても外さん","It is 100 meters at most
Even if who approaches",0.2857142857142857
That idiot was eating a \Ndeer instead of running?,"あの野郎 ここで のんきに
鹿食ってやがったのか","That bastard here
Deer eating",0.15384615384615385
What is he planning?,"絶対に罠だ
何をたくらんでいる？","Absolutely
What do you want?",0.2222222222222222
So warm...,ふぅ～ あったけえ,Fu ~,0.0
I'm hungry.,腹 減ったな 俺も食っちまうか,I'm hungry I'm eating too,0.5
"Wait, how'd Tanigaki kill this deer?","そういや谷垣は この鹿を
どうやって しとめたんだ？","Oh, Tanigaki is this deer
How did you do it?",0.4
A bear?!,"来た！
ヒグマだと!?","I came!
Higma!?",0.2857142857142857
You bastard!,ひいいっ！,Hey!,0.25
You're not going to help Nikaidou?,"どうした 尾形上等兵
二階堂を助けないのか","How is the tail oriental soldier
Do you not help Nikaido",0.1875
Is that what Tanigaki was after?,これが谷垣の狙いか,Is this the aim of Tanigaki?,0.2727272727272727
Then he should be looking for me right now.,"なら 今は俺の位置を
探っているはず","Then my position now
You should have been exploring",0.1875
"If I shoot, he'll see the \Nsmoke from my gun barrel.",撃てば発砲炎で見つかる,"If shooting, it can be found in fire",0.09523809523809523
Shoot already!,早く撃て！,Shoot quickly!,0.5
Ogata!,ひいいっ！　尾形ーっ！,Hey!Tailing!,0.25
"Okay. I'm right here, Tanigaki.",さあ 俺はここだぜ 谷垣,Saya I'm here,0.3333333333333333
How will you fight me without a gun?,"銃なしで どう戦う？
石でも投げるか？","How do you fight without a gun?
Do you throw it with stone?",0.5
"Don't move, Tanigaki.","動くな 谷垣
あっ","Moveable Tanigaki
Ah",0.125
That voice... Mishima?,その声は三島か,Is that voice is Mishima?,0.6666666666666666
What are you doing here?,なぜ お前がここに…,Why you are here ...,0.375
Their locations were being reported to Lt. Tsurumi.,"居場所は常に
鶴見中尉に報告されている","Location is always
It is reported to Tsurumi Nakauten",0.21428571428571427
Lt. Tsurumi was letting them go \Nto smoke out the other rebels.,"尾形上等兵も二階堂も
ずっと尾行されていたのだ","Occurrence and other soldiers and two-coli
It was a long tail",0.09523809523809523
contact with Corporal Tamai's group.,"尾形上等兵が玉井伍長たちと
接触するまで","Ogaojo Equipment with Tamai Chief
Until contact",0.2727272727272727
But you defeated them.,…が お前が倒してしまった,"..., you have defeated you",0.25
I...,三島 俺は…,Mis Island I ...,0.5
I know. You didn't betray us.,"お前は裏切らなかった
だから狙われた","You did not betray
So it was targeted",0.23076923076923078
You can talk to the Lieutenant yourself.,戻ろう お前が直接 中尉に話せ,Return You can talk directly to you,0.4
Private Ogata!,くっ！,Come!,0.25
I was careful about not being followed.,"三島かな？
尾行には気をつけていたのに","Is it Mishima?
I was careful about the tail",0.2857142857142857
I need to kill Tanigaki before Lt. Tsurumi gets here.,"鶴見中尉が追ってくる前に
谷垣を殺しておかなくては","Before Tsurumi Lyeuter is followed
Do not kill Tanigaki",0.25
Don't shoot him in the head.,やつの頭は撃つな,Don't shoot the head of the guy,0.5
It's Mishima!,三島です,It is Mishima,0.4
It seems that gunfire was a battle,"追跡に気付かれた三島と尾形が
交戦したものだったようですね","Mishima and tail share that were noticed for tracking
It seems that it was a fight",0.3125
Nikaidou seems to be alive.,二階堂は生きてるようです,I seem to live in Nikaido,0.09090909090909091
Advance!,ぐっ！,!,0.5
He ran to the north! Follow him!,北へ逃げたぞ 追え！,I flew through the north!,0.2727272727272727
"If this was the Shinsengumi, you'd be \Ncommitting seppuku the minute you fled.","新撰組なら逃亡した時点で
お前は切腹だ","At the time of escape if it is Shinsengumi
You are off",0.18181818181818182
And there's an Ainu punishment,アイヌの刑罰には,In Ainu punishment,0.2857142857142857
"chop off your nose and ears,\Nand then have you commit seppuku.",耳と鼻をそいだあとに切腹だな,I'm off after my ears and nose,0.2222222222222222
Who else is betraying us?,造反者は ほかに誰がいる？,Who is there else?,0.5714285714285714
"Tell us their names, Nikaidou!",名前を言え！　二階堂！,Say the name!Nikaido!,0.09090909090909091
This is the nose of a traitor.,"この鼻は やはり
裏切り者の鼻だったか","This nose is still
Was it a traitor's nose?",0.38461538461538464
"Maybe we can play ""pin the tail \Non the donkey"" with your face.","貴様の顔で
福笑いをやってやろうか？","With your face
Shall I do a lucky love?",0.13636363636363635
I'll let you kill Sugimoto.,杉元を殺させてやる,I will kill Sugimoto,0.375
"Komiya, right there.","そこにいる小宮です
はっ","It is Omiya that is there
Haze",0.1
Wait! He's lying!,ちょっと待て デタラメだ！,Wait a minute and it is a detarant!,0.18181818181818182
That explains the nose.,どうりで その鼻…,The nose of the nose,0.3333333333333333
"See you around, Lt. Tsurumi.",また会おうぜ 鶴見中尉殿,See you again at Tsurumi,0.3333333333333333
Sugimoto Saichi...,杉元佐一,Sugimoto Sao,0.25
We've got five tattoos.,"俺たちが持っている
入れ墨は５人分","We have
Tattoo is 5 people",0.09090909090909091
