en_text,jp_text,google_translated,score,semantic_score
"I am Inudou Shirosuke, \NWarden of Abashiri Prison.","網走監獄 典獄
犬童四郎助です","Abashiri Prison Hong
It is a dog Sashiro",0.125,0.6378668
Nice to meet you.,はじめまして,nice to meet you,0.8,0.95437443
Inudou...,イヌドウ…,Inado ...,0.3333333333333333,0.5998426
Um... who is this?,あの こちらの方は？,What is that?,0.25,0.21827362
"Sugimoto, my guard.",看守の杉元です,It is Sugimoto of the guard,0.2222222222222222,0.810657
"Five years ago, a brutal criminal \Nnamed Ienaga bit off his face.","５年前
家永という凶悪犯によって","Five years ago
Depending on the thug",0.16666666666666666,0.4449845
I dunno how that actually worked.,"白石由竹が
こちらにいると聞きました","Shiroishi Hiramigi
I heard that you are here",0.15384615384615385,0.05862303
I want him sent back to Abashiri.,身柄を網走監獄に返してほしい,I want you to return the body to Abashiri Prison,0.3076923076923077,0.6853578
Shiraishi? There's no man here with that name.,"白石？　そんな男は
ここには おりませんが","Shiraishi?Such a man
I have not him here",0.2352941176470588,0.9048886
Where did he find out? Who told him?,"どこから漏れた？
誰が漏らしたんだ？","Where did you leak from?
Who leaked?",0.3076923076923077,0.4317439
Inu... dou...,ウウ… ウウウ… イヌドウ…,Uu ... Uu ... Inado ...,0.2,0.6140159
"I'm trying to clean up the \Nmess that you, the 7th, made,","あなたたち 第七師団の尻拭いを
私は しているのですよ","You wipe the ass of the seventh leading group
I'm doing he",0.19047619047619047,0.5625031
Contact Lt. Tsurumi in Otaru.,小樽の鶴見中尉へ連絡しろ,Contact Tsurumi Nakamoto of Otaru,0.375,0.8523732
A man calling himself Inudou Shirosuke? In Asahikawa?,"旭川に
犬童四郎助と名乗る人物が？","In Asahikawa
What is the person who is famous to be a dedicated Dogo Shishiro?",0.2,0.64291614
All this money...,うっ… こんな大金,Uh ... such a big money,0.25,0.5970239
What are you thinking?,どういうつもりですか？,What does that mean?,0.25,0.37586266
No. These bills are fake.,いいえ それは偽札です,No It is a fake line,0.2,0.44950503
This is the plate used to make them.,これが原板,This is the original board,0.2727272727272727,0.31159902
Confiscated from a genius \Ncounterfeiter we arrested.,"我々が確保している
ある天才偽造犯から","We are securing
From a genius fake criminal",0.3333333333333333,0.45240906
"Are you aware of the Continental dollar\N during the American Revolution,","アメリカ独立戦争時の
大陸紙幣や","At the time of American independence war
Continental Board",0.25,0.40662703
or Napoleon's counterfeit gulden?,"ナポレオンによる
オーストリア紙幣をご存じか？","By Napoleon
Do you know Austrian banknotes?",0.16666666666666666,0.50997585
to cause economic chaos is an \Nextremely effective measure.,押収したものです,It is an object,0.16666666666666666,0.12479195
I think he'd be quite a valuable asset \Nto the Japanese Army in the future.,"今後の日本軍にとって
有益な人材に違いないと思うが…","For future Japanese armies
I think it must be a beneficial personnel ...",0.2608695652173913,0.63857234
Are you interested?,興味はございませんか？,Are you interested?,1.0,1.0000002
I thought he was just a \Nwashed-up marriage fraudster.,"ただの しょぼくれた
結婚詐欺師かと思ったが…","Just shabby
She thought that she was a marriage scam ...",0.3333333333333333,0.5722149
Suzukawa Kiyohiro is no ordinary con artist!,ただもんじゃねえぜ 鈴川聖弘,It's just John Yo Suzukawa,0.07692307692307693,0.6051454
One more push and the Lt. Colonel will give in!,もう一押しで この中佐は落ちる！,This still falls with a push!,0.125,0.45712736
I'll offer you a trade.\NShiraishi for the counterfeiter.,あなたは いまだに中佐の連隊長だ,You are still the chief of Nakana,0.13333333333333333,0.11171443
Lt. Colonel Yodogawa...,んんっ…,...,0.25,0.1523354
"After the Russo-Japanese War, every other\N lieutenant colonel made full colonel.",日露戦争が終わって,The Russo-Japanese War is over,0.21428571428571427,0.54997134
Don't you think you're \Nbeing treated unfairly?,冷遇されているとは思いませんか？,Don't you think it's cold?,0.4166666666666667,0.18748693
This will be your path to promotion.,これは あなたの手柄だ,This is your hand,0.2,0.086602464
Don't let anybody see Shiraishi!,白石を 誰にも接触させるな,Don't touch anyone with Shiraishi,0.3,0.82990605
"If Inudou Shirosuke were to take \Na single step out of Abashiri,","犬童四郎助が
網走監獄を１歩でも動けば","Inuyuro Inuyo
If you move 1st step of Abashiri Prison",0.21052631578947367,0.5302328
"You're too close to the \Nreceiver, Lt. Tsurumi!",近すぎます 鶴見中尉殿,It is too close to Tsurumi,0.3076923076923077,0.7118664
That's...,あれは…,That is…,0.25,0.5604645
That's one of Lt. Tsurumi's \Nfavorite Satsuma messengers.,"やつは 鶴見中尉のお気に入りの
薩摩隼人だ","The guy is a favorite of Tsurumi Naka
It is a Satsuma",0.17647058823529413,0.67339253
What is this?,何？　これ,what? this,0.75,0.38212323
One of my men is out front \Nwith the counterfeiter.,"網走監獄の一件で こちらとしても
うたぐり深くなってますゆえ","Even if it is one of Abashiri Prison
It's deeper",0.16666666666666666,0.08526947
Let's do the exchange with Shiraishi outside.,白石との交換は 外で行いましょう,Let's do it out of exchange with Shiraishi,0.5,0.9059301
but this is a fake Inudou.,"よく似てるけど
こいつは犬童に化けた偽者だ","It looks well
This is a fake that is a dog",0.3333333333333333,0.4611267
"And from the shape of his clothes,","そして こっちの
何のつもりか分かんねえのは","And here
What is the intention of",0.25,0.18974355
the weirdo is Sugimoto.,服を見るに杉元,Sugimoto to see the clothes,0.25,0.62760806
They came to get me back?,俺を取り戻しに来たのか,Did you come to regain me,0.18181818181818185,0.5413733
"What is it, Second Lt. Koito?",どうした？　鯉登少尉,What happened?登,0.2,0.11546781
Lt. Tsurumi told you not to let anybody make \Ncontact with Shiraishi until he arrives.,"鶴見中尉が
旭川へ到着するまで","Tsurumi Nakauten
Until you arrive at Asahikawa",0.15,0.47499844
He works for Tsurumi?,ん？,Yeah?,0.16666666666666666,0.13288996
Chinchin...?,ちんちん？,Chinchin?,0.6666666666666666,0.9288136
I've heard that Inudou spent \Na great deal of time with prisoners,"薩摩藩の囚人たちと
接する機会が多く","With the prisoners of Satsuma
Many opportunities to contact",0.15789473684210525,0.44431457
and is thus able to speak \Nthe Satsuma dialect well.,"薩摩の方言を 流ちょうに
使いこなすと お聞きしました","Move Satsuma dialect
I asked if I use it",0.1176470588235294,0.6116321
"Koito, what are you doing?",鯉登 何のつもりだ？,What is it?,0.2222222222222222,0.090518124
"It's cold at night, though.",〈日が暮れると寒くなるけどな〉,<It will be cold when the sun goes down>,0.1176470588235294,0.5778682
"That's why he's a genius, I guess.",さすが天才詐欺師,A genius scammer,0.18181818181818185,0.45414
He mastered that in such a short time.,"短い時間に
そこまで対策してきたか","In a short time
Did you take measures to take?",0.26666666666666666,0.20024684
You need a brazier in the morning.,〈朝は火鉢がいりますね〉,<You can eat a heat bowl in the morning>,0.35714285714285715,0.38981447
