en_text,jp_text,google_translated,score,semantic_score
We will soon be making our final descent\Ninto El Paso International Airport.,"エル･パソ空港へ
最終着陸態勢に入ります","To El Paso Airport
Enter the final landing",0.2352941176470588,0.7292685
Thank you.,"（客室乗務員）おさげいたします
（乗客）ありがとう","We will give up
 Thank you",0.2857142857142857,0.28193888
We also ask you refrain from using the restroom\Nuntil we've reached the ground.,"（客室乗務員）これからのトイレの
ご使用はお控えください","From now on toilet
Please refrain from using",0.17647058823529413,0.5339172
Sir!,あ！　お客様,a! customer,0.25,0.3370172
I'm going to the toilet.,"（乗客）トイレに行くんだよ
（警官）15分ガマンしろよ","I'm going to the bathroom
 15 minutes Gaman",0.4545454545454545,0.5966975
Do as I say or the evening's headlines\Nwill be about this plane crashing!,"逆らえば夕刊の一面は
この飛行機の墜落になる！","On the other side of the evening paper
Become a crash of this plane!",0.21739130434782608,0.6656316
This is C-4 plastic explosive.,（犯人）Ｃ４プラスチック爆弾だ,C4 plastic bomb,0.125,0.8353835
Now change this plane's course\Nto Colombia... Captain!,"わかったら行き先は
コロンビアに変更だ 機長！","If you know, go to
Change to Colombia Changes!",0.17647058823529413,0.62809867
This is a domestic flight.\NWe won't have enough fuel.,国内線だ　そんな燃料はつんでない,Domestic fuel is not,0.25,0.49887258
So refuel in El Paso!,だからエル･パソで給油するんだよ,So I will refuel with El Paso,0.4444444444444444,0.8900426
Come here.,こっちへ来い,Come to here,0.5,0.72187436
You're a lucky man.,"運がいいぜ
酒場でお前が殴った男が","Good luck
A man who scolded in the bar",0.15384615384615385,0.3249651
Please state your name.,名前… 言ってみろ,Name ... let's say,0.1111111111111111,0.51295346
Duke       Togo,デューク･東郷(とうごう),Duke Togo,1.0,0.9999996
Just hurry up and refuel!,早く給油しろ！,Water supply quickly!,0.1111111111111111,0.49468803
"And if you try any funny business,\NI'll blow up this plane!","（犯人）下手な細工をしたら
飛行機を爆破するからな","If you do not work
I will blast the plane",0.13636363636363635,0.6011996
We're getting things ready now.\NPlease wait just a little longer.,"{\an8}今 手配している
もう少し待ってくれ","We are arranging now
Wait a little more",0.25,0.61987615
"Campbell, Dallas Police Department",“警察”,"""police""",0.14285714285714285,0.48590934
Can't our SWAT guys take him out somehow?,"{\an8}ＳＷＡＴ なんとか
犯人を狙撃できないか","SWAT somehow
Can not snip off the criminal",0.125,0.6509713
"No good, sir. The target is too far away.","（ＳＷＡＴ）無理です
ここからでは距離がありすぎます","impossible
There is too much distance from here",0.1176470588235294,0.39942256
"It's been a while, Mr. Togo.",{\an8}ミスター東郷,Mister Togo,0.1,0.7888859
It would seem you remember me.,"{\an8}どうやら覚えていて
もらえたようだね","How to remember
It seems that you got it",0.25,0.38097623
Sorry about that!\NThis is Agent Howard of the FBI.,"ああ 悪かった 彼(かれ)はＦＢＩ捜査官(そうさかん)の
ハワード君だ","Oh bad him  of the FBI investigator (such as
Howard you",0.2,0.77224207
Michael Howard. It's a pleasure.,それをゆっくり説明しよう　さあ,Let's explain it slowly,0.2,0.10305705
When did the CIA and the FBI\Nstart getting chummy?,"いつからＣＩＡとＦＢＩが
仲良くなったんだ","From time to time CIA and FBI
I got along well",0.1176470588235294,0.65960777
"Oh, my apologies.",ああ これは失礼,Oh this is rude,0.125,0.34758544
"I don't like turning my back to the other guy\Nand getting in first either,","私も相手に無様(ぶざま)な背を見せて
先に乗りこむのは好きじゃないが","I also show the other person and show the back
I do not like going ahead",0.2608695652173913,0.5279703
but in this case I guess we'll\Nhave to accommodate you.,"この場合君の好(この)みに
合わすべきだろう","In this case your good 
You should match",0.26666666666666666,0.32885912
It seems you're a targeted man.,"（フラナガン）
狙(ねら)われているようだね",It seems that you are singing,0.2727272727272727,0.22229022
"The don of the biggest mafia family in Texas\Nhas been killed, and his men aren't sitting still.","（フラナガン）テキサス最大の
マフィアのドンを殺されたんだ","Texas's largest
Mafia's Don was killed",0.13043478260869565,0.8231397
"You've waited for the chance to flee to Dallas\Nsince getting yourself arrested,",君は自ら逮捕(たいほ)され,You are arrested by himself,0.125,0.48217005
"Help us and you can stroll right into\NDallas and be on your way,","我々を利用して
堂々とダラスを去ればいい","Using us
You should leave the Dallas",0.1111111111111111,0.3413329
and receive three million dollars\Nin compensation.,報酬(ほうしゅう)は現金で300万ドル,Reward  is $ 3 million in cash,0.07692307692307693,0.55265635
"and that would be you, Mr. Togo.\NOr rather... Golgo 13.",（フラナガン）ゴルゴ13,Golgo 13,0.15384615384615385,0.5882322
How long until the refueling's finished?,"（犯人）
給油は後どのくらいで終わる？",Will refueling ends later?,0.18181818181818185,0.7927621
"About 30 minutes, I think.",30分くらいかな,It is about 30 minutes,0.3333333333333333,0.76515204
"The longer this takes, the more idiots\Nshow up and start getting ideas!",（犯人）時間がかかると,takes time,0.07142857142857142,0.38910502
We've had our eye on Jake Quaid\Nfor the past six months,"（フラナガン）
ジェイク･クエードは",Jake Quade,0.07692307692307693,0.62117904
"As a coke dealer, he got in with some\Nof the Pentagon's top officials.","コカインの売人で
ペンタゴンの高官にくいこんでいた","Cocaine seller
I was kept by Pentagon's official official",0.08695652173913042,0.69779617
which he sells to intelligence agencies\Nfor a tidy profit.,"高値をつけた諜報(ちょうほう)機関に
売りつけている","To the intelligence agency with high price
Sold out",0.1176470588235294,0.5698359
Passport checks are stringent\Nfor international flights.,"国際線ではパスポートの
チェックが厳しい","In international flights
Check is tough",0.18181818181818185,0.7185976
