en_text,jp_text,google_translated,score
"Don't take it personally,
Great General of Darkness.",暗黒大将軍　奮起したようだな,It seems that the Dark General was inspired,0.11764705882352941
Will execute my plan immediately.,"仕上げは
ヤヌス侯爵に やらせるのだ","Finish
He will do he",0.1111111111111111
See to it.,操縦不能にしたのは 上出来だった,It was possible to make it impossible,0.25
"Yes, ma'am!",ハハッ,Haha,0.0
"The Seven Generals must
be feeling quite frustrated.",たたきつぶしてしまうべきです,Should be crushed,0.09090909090909091
"Okay. Okay... this
isn't going great, but...",暗黒大将軍　悪く思うな,Dark General Don't think bad,0.06666666666666667
It's okay. It's okay...,"しっかりやれよ
はい","Let's do it firmly
Yes",0.2222222222222222
Here we go!!,ヤヌス侯爵,Yanus,0.0
Fire On!,"アルゴス長官
話の様子は伺っておりました","Algos Secretary
The story of the story was on",0.1111111111111111
"Okay, time to go visit Boss and say hi!","グレートマジンガーのいない
科学要塞研究所など…","No Great Mazinger
Science and Fortress Laboratories, etc. ...",0.1
What's going on? This is so annoying!,今度こそ　ファイヤー オン！,This time is the fire on!,0.3076923076923077
That's true.,あれ… あら うまくいきませんね,That's ... I will not go well,0.2
What?,"お？誰が 回れ右しろって
言ったんだよ","Oh?Who turns around
I said",0.125
"The Great General of
Darkness has made his move.","さあ ボスたちのところへ
あいさつしてこようぜ","Case of the boss
I'm sorry to meet you",0.1111111111111111
This won't be enough to wreck the lab.,"いや シローまで戦闘しないで済む
世の中にしなきゃ いかんよ","No fight to Shiro
I have to be in the world",0.17647058823529413
Boss!,所長　ミサイルです,It is a long missile,0.0
Hurry up! Run! Run!,えっ？,eh?,0.0
Hey! Cut that out!,そうでしたわね,That's right,0.14285714285714285
"Even if they Great Mazinger is
repaired, you're in no shape to pilot!","たい… 大変だ
このままじゃ 逆さま","I want to ...
This is upside down",0.09090909090909091
Boss! Emergency!,"早くボスに知らせなくちゃ
ボス！","I can not inform my boss quickly
boss!",0.2222222222222222
A small robot is approaching!,ビューナスＡの改造を急げ,Hurring the remodeling of Vanus A,0.09090909090909091
What now? You two are so annoying.,"鉄也くん…
何言ってるのよ","Tetsuya-kun ...
What are you saying",0.25
<i>We'll blow you up with these!</i>,"第一 そんな体で
動かせると思っているのかね","With such a body
Do you think you will move",0.10526315789473684
What?!,ありゃ？ありゃ 何だ,Is it?What,0.4
"Boss, can help tool",ボス 変なロボットが攻めてきたぞ,Boss strange robots have been attacked,0.1
"I'm gonna get them for what
hey did to Tetsuya. Let's hurry!","野郎！もう俺たちの秘密計画を
かぎつけやがったな","Bastard!Another secret plan
I'm sorry",0.13636363636363635
Okay!,ひー！,Hey!,0.3333333333333333
"Caught between rockets and torpedoes,",アイタ　やめて やめてくれ,Stop and stop Aita,0.125
"the Science Fortress Institute won't
be safe above water or below it!",ありゃ？シローの声じゃねえかよ,Is it?It's not the voice of Shiro,0.1
"Director. When that
jet engine test is done,","それいけ… あー ちゃう ちゃう
違うったら　ひーっ","Such ... Oh
If it is different,",0.125
The undersea barrier will hold.,ボス　僕だって頼りになるよ,Boss I will depend on,0.1
"<i>Nuke, Mucha! Get the fuse ready!</i>","所長　あのジェット噴射テストが
済めば ほぼ作業は完了します","The director of jet injection test
If you finished it, you will complete your work",0.08
Director! Robot Junior is...,"うむ…
所長 魚雷が！","Murder ...
Long torpedo is!",0.3333333333333333
Swish!,"準備完了
点火！","Ready
ignition!",0.25
"Let's go... hey, what's going on?",どうした シロー　震えてんのかよ,What is the shell shaking?,0.14285714285714285
Nuke! Mucha! Land!,ひらり！,Hirari!,0.2
Sorry! It's not like we ran any tests!,"鉄也お兄ちゃんのカタキを討って
あっと言わせてやるぜ","Tetsuya Older brother's kataki
Let me say it",0.11764705882352941
Upsy-daisy...,オッケー…,Occee ...,0.3333333333333333
M-Monster!,ヌケ　ムチャ　着陸！,Nukuma landing!,0.25
Iscarios. Come out!,"歓迎の使者には
イスカリオスを出せ","For welcome messengers
Get out of Iscarios",0.2
What's that?,"よっこらしょっと
やいやい　どうした 出てこい","In place
What happens?",0.2857142857142857
"<i>Nuke, Mucha! Prepare to
fire the fireworks cannon!</i>","やいやい　引っ込んじゃうなんて
ひきょうだぞ","I'm going to get rid of it
I'm sorry",0.09523809523809523
Idiots! Work on your aim!,あっ あいつだ,Aya,0.0
We're surfacing. Have things settled down?,何だ？,What?,0.1
"It's good for you to get a break, Tetsuya.",ありゃりゃ　うわっ 戦闘獣だ,It is a battle beast,0.13333333333333333
"Jun. need to speak with you.
Pick up the phone in the hall.","そして 科学要塞研究所へ
乗り込むのだ","And to the Science Laboratory Research Institute
I get in",0.15
"Yes, sir!",発射！,firing!,0.2
Director. Jun here.,ヌケ　ムチャ　花火砲 発射用意,Nukuma fireworks launch preparation,0.0
Didn't want to upset Tetsuya.,ああ… ぜんぜん こたえないぞ,Oh ... I can't wait at all,0.07142857142857142
Sir?,あ… あら？,Oh ... Oh?,0.25
"Venus A, go!","ビューナスＡの改造が終わった
ただちに出撃せよ","The remodeling of Vanus A is over
Let's go out immediately",0.13333333333333333
It worked!,"おい 何かやる時は
断ってからやれよ アホー！","When I do something
Do it after refusing Aho!",0.2
Iron Batter!,スクランブル アタック！,Scramble attack!,0.2
"Hey, we're not a rice ball!","我々も行くぞ
ハッ","We will go
Hour",0.08333333333333333
Cut it out!,"よくもやったな
アイアンバット！","I did it well
Impat!",0.25
Jun! I can't stand it!,こんにゃろめ！怒ったぞ,Hello!I'm angry,0.2
Oh... w-well... he...,あらあ…,Oh ...,0.5
I don't know if believe that.,"了解
気をつけるんだぞ","Roger that
I'm careful",0.18181818181818182
Shiro!,あっ！,Ah!,0.3333333333333333
We seem to be building quite a scrap heap.,"俺たちを
ボール並みに扱いやがった","We
It was treated as a ball",0.13333333333333333
Marquis Janus. Let's submerge the base.,"基地を たたきつぶそうと思って
来たのによ","I think I'm going to break the base
According to",0.13333333333333333
How shallow you are.,"なんで あんな子供を
連れてくるの？能なし","Why is such a child
Are you brought?Noisy",0.15384615384615385
"Dammit! He's teasing me
just because I'm short!","違うよ　鉄也のカタキを討つって
勝手に ついてきちゃったんだよ","No, I looked at Tetsuya's kataki
He came to me",0.21052631578947367
There's nothing you can do!,そうすれば いっぺんに片づきます,"If you do so, it will be cleaned up",0.13333333333333333
I need to get out there!,"兜剣造を手に入れて
闇の帝王へ差し出すのだ","Get the sword sword
I will get to the emperor of the darkness",0.23076923076923078
"It's my fault for giving in when
he begged me for a robot.","チクショー　あいつめ 僕が
チビだと思ってバカにしやがって","Chikusho Aizer
I think it's a fool",0.15789473684210525
Shiro's your child?,ん？,Yeah?,0.16666666666666666
Director. I'm going.,"なんで こんなになってるのに
黙ってたんだ　出撃するぜ","Why are you doing this
I'm silent and tomorrow",0.15384615384615385
Your body can't handle it.,ダメだ　そんな体じゃ ムリだ,"It's no good, it's muri",0.08333333333333333
Heh... don't underestimate me! I'm a man!,"せがまれて あんなロボットを
作ったのが いけなかったんだ","I'm rid of such a robot
She didn't have she made",0.21052631578947367
<i>Starting up engine!</i>,当分は黙っているつもりだったが,I intended to shut up for the time,0.14285714285714285
Mazin Go!,所長　俺は行くぜ,The director I will go,0.14285714285714285
Fire...,鉄也くん… すまん,Tetsuya-kun ...,0.3333333333333333
Scramble Dash!,よし 出発！,Yoshi departure!,0.2
"Why, you...",ファイヤー… うう…,Fire ...,0.2
"I'm surprised you
came, given your injuries.","グレートマジンガーめ
出てきおったな","Great Mazinger
I came out",0.15384615384615385
"Marquis Janus, commander
of this frontline base.",こいつ,this guy,0.1
Tetsuya!,"あっ ジュン！
剣鉄也","Oh Jun!
Kenji Tetsuya",0.4
<i>Navel Missile!</i>,対空ミサイル 発射,Air-air missile launch,0.1111111111111111
<i>Mycenaeans... sink the base!</i>,"さもないと 連中もろとも
海へ沈んでしまうよ","If there is no
I will sink to the sea",0.17647058823529413
Jun. Take Boss Borot and fly out of there!,出てこい ヤヌス侯爵,Out of the Yanus,0.15384615384615385
"won't forget this, Great Mazinger.","グレートマジンガーめ
あくまで勝負する気だな","Great Mazinger
I feel like I will play",0.15384615384615385
Tetsuya... I'm sorry.,俺はロボットジュニアを助ける,I will help robot juniors,0.1
"Ow, ow, ow...",あ… 鉄也　大変よ 島が沈むわ,Oh ... Teiya Taiya Yoshima is sunk,0.1111111111111111
"Jun, let's live the rest
of our lives like this!","ジュン
ボスボロットを連れて 飛び出せ","Jun
Take the boss bowl with boss",0.11764705882352941
Don't do it!,すまねえ,Spoon,0.0
