en_text,jp_text,google_translated,score,semantic_score
Amane?,あっ？,Ah?,0.3333333333333333,0.22182362
That woman... Could it be...,"（雄二）
あの女 まさか…",That woman is too ...,0.375,0.6567188
Good morning...,"（天音）
おはようございまーす",Good morning,0.6666666666666666,0.8418523
Where'd he go off to?,"あれ？　いないの？
どこ行ったのよ","that?Isn't it?
Where did you go",0.2307692307692308,0.33236325
Say what?,"（雄二）
何だと？",What did you say?,0.6,0.51319754
"Could she have noticed my presence, and this all is just a purposeful farce?","何だよもう せっかく
お目覚めのキスでもして―","What is it?
If you have a kiss for your wishes-",0.16666666666666666,0.17684498
Clothes all over the floor...,"（天音）おお…
（匂いを嗅ぐ音）",... ...,0.16666666666666666,0.2395467
"This hasn't been washed, has it?",これ 洗濯済みじゃないわよね,This is not washed,0.2,0.7622589
Are you a dog?,"（雄二）
お前は犬か？",Are you a dog?,1.0,1.0000002
Hiyaa!,"（天音）
とお！",!,0.5,0.4092833
"""Hiyaa"" yourself! Did you seriously just jump onto my bed?!","（雄二）
“とお！”じゃねえ","""And!""",0.2,0.22768229
"Aaah, geez... So smelly...",あっ ああ…,Oh Oh ...,0.14285714285714285,0.22564876
Don't shake your ass around!,"（天音）
いけないわ雄二くん
ダメよ 我慢して","Don't do it
I'm sorry",0.18181818181818185,0.3382423
"Allow me to correct myself. This woman is, in fact,","（雄二）
俺の想像が確かなら
こいつはただの…","If I'm sure my imagination
This guy is just ...",0.09523809523809523,0.07255057
a sex-crazed maniac!,"（天音）あー！
（雄二）エッチなお姉さんだ！","Oh!
 It's a naughty sister!",0.2222222222222222,0.36764768
Who's there?!,"（冷蔵庫を開ける音）
（天音）ん？　誰？",? Who?,0.4,0.5056474
For a while now.,かなり前から,From quite a while ago,0.25,0.497441
Huh... wai... ge... no...,ちょ… も…,Cho ...,0.16666666666666666,0.40491503
"At least things broke up before you started \Nrubbing my pillow between your legs, right?","俺の枕を股にこすりつける前に
気がついてよかったじゃないか","Before rubbing my pillow in the crotch
I wonder if it was good",0.1111111111111111,0.5045804
"What's wrong, Makina? You're falling behind!","（雄二）
どうした蒔菜(まきな) 遅れてるぞ",What's upset,0.16666666666666666,0.1769863
I said I'm sorry!,だから ごめんってば,Because I'm sorry,0.5,0.6095715
"Repeat after me, got it?","（雄二）
俺のあとに続いて歌え いいな",I will sing after me,0.2,0.26807648
Yeah!,おう！,King!,0.3333333333333333,0.3678121
Good for you!,"（蒔菜）
♪ グッド フォー ユー",♪ Good For You,0.6,0.7192885
Good for me!,"（雄二）
♪ グッド フォー ミー",♪ Good for Me,0.6,0.7040083
I can hear the song,♪ 男のベッドで身もだえる,♪ I can move in the bed of a man,0.25,0.29033375
