en_text,jp_text,google_translated,score,semantic_score
How's Kido? training,城戸は？ まだ眠っています。→,What is the Shirito?I'm still sleeping.→,0.07692307692307693,0.16883151
"I don't know whether it's due to the shock of having his Void used, but he shows no signs of waking.",ヴォイドを使用されたショックか 目覚める気配はありません。,There is no sign of waking up shocking with Void.,0.16666666666666666,0.7118828
"All right, I'll introduce him again formally.",それでは　あらためて紹介しよう。,Let's introduce it again.,0.2307692307692308,0.5741699
This is Shu Ouma. He has the Void Genom.,桜満　集。 ヴォイドゲノムの持ち主だ。,Collection of cherry blossoms.The owner of Voidgenome.,0.0625,0.28273675
We'll be placing Shu at the core of our strategies going forward.,今後は 集を作戦の中核に据えていく。,"In the future, we will put a collection in the core of the operation.",0.2272727272727273,0.2696868
"Now that he's joined us and we've acquired Kenji Kido,",この桜満　集の加入と 城戸　研二の獲得により→,Join this cherry blossom collection and acquisition of Kito Koji →,0.043478260869565216,0.27726582
the greatest of Funeral Parlor's immediate goals is within reach:,われわれ葬儀社の 当面の最大目標であった→,It was the immediate maximum goal of our funeral company →,0.21052631578947367,0.75461745
taking the Leukocyte.,ルーカサイト攻略が可能になった。,Luca site capture has become possible.,0.1,0.051796462
"Depending on the situation on the ground, there are 145 diverging patterns it could take.",状況に応じて パターンが１４５通りに分岐する。,The pattern is branched 145 according to the situation.,0.2,0.5159888
Each of you memorize all of them before we begin the operation.,全員　実行までに これを全て頭に入れろ。,All this is put in mind by all execution.,0.10526315789473684,0.34431595
What's the deadline?,時間は？ 三日だ。,the time is?It is three days.,0.18181818181818185,0.39853337
"If you can't even manage that, don't participate.",それもできないなら 参加はするな。,"If you can not do that, don't participate.",0.6153846153846154,0.8554217
It hasn't been a full day yet since our raid on the isolation facility.,隔離施設襲撃のミッションから一日も　たっていません。→,It has not been one day from the mission of the isolation facility raid.→,0.3181818181818182,0.8365162
Fatigue is a concern.,皆の疲労が心配されますが。 それは違う。,Everyone's fatigue is worried.That's not right.,0.3,0.77972555
"No, it's not. what did you people come here for?",お前たちは 何をしに　ここへ来た？,What did you come here?,0.42857142857142855,0.53085077
I doubt it was for a nice nap!,ゆっくり寝るためではあるまい。,It is not to sleep slowly.,0.06666666666666668,0.34467703
At this rate he'll only get in our way.,今のままでは　あいつは 足手まといにしか　ならん。,"As it is now, he only works to the foot.",0.15,0.34796888
"If you value your own life, you'll do it.",自分の命が　かわいければ　やれ。 あ…。,I will do my best if my life is cute.a….,0.2352941176470588,0.3949988
"Um, you don't have to bother with me, really.",あの…。　別に ほっといてもらって　いいですよ。,"that….Apart from her, she is good and she is good.",0.10526315789473684,0.097539954
I'd feel awful causing trouble for a girl in a wheelchair too.,そんな　車椅子の女の子にまで 迷惑掛けちゃ　悪いです。,Such a girl in such a wheelchair is badly annoying.,0.29411764705882354,0.696517
"You can... call me ""Shu""...",あっ…。　集で　いいですけど…。,Ah….He is good at a collection ....,0.06666666666666668,0.048668236
This wheelchair is like a part of what makes me unique.,車椅子は 私の個性みたいなものよ。,Wheelchairs are like my individuality.,0.125,0.7728334
