en_text,jp_text,google_translated,score,semantic_score
"There you are, Mary.\n","（ムツミ）
君が元気すぎるんだよ オグ",You are too well Oog,0.25,0.22244191
"Sorry, I must have drifted off.\n","（メリイ）
ごめんなさい
私 ウトウトしてたみたい","sorry
I want to see me",0.18181818181818185,0.3206057
Our princess says she's feeling weary.\n,"（オグ）
お疲れだとよ 俺たちのお姫様は",Thank you very much for our princess,0.16666666666666666,0.47757077
"You're too energetic, Og. I wouldn't be able\nto stand it if you were that insensitive to me.\n",その無神経 僕なら耐え難いね,It is difficult to withstand that without the nerve,0.1153846153846154,0.26622504
"Yeah. The other parties are also aiming\nto get farther in, so we can't fall behind.\n","（ミチキ）
ああ　他のパーティも
先を狙ってるからな 負けられねえ","Oh, other parties
I'm aiming for the previous",0.16666666666666666,0.55692744
You've got a problem with that?\n,"（メリイ）
いいけど？
あなたがリーダーだし","It's good, but?
You are a leader",0.1875,0.21948689
I'd say you feel the same way.\n,"加えて言うなら
君も嫌ってないように見えるがね","If you say
You look like you don't hate you too",0.13333333333333333,0.2367311
"So you are tired, Mary.\n",時々 疲れるの,Tired,0.16666666666666666,0.54099184
Hey!\n,はっ！,Hey!,0.6666666666666666,0.7488856
"I'm sorry, I...\n",ごめんなさい 私,I'm sorry I,0.5,0.7044604
This way.\n,♪～,♪ ~,0.0,0.14588535
Hot. That was the first thing we felt\nwhen we went down to the fifth level.\n,"（ハルヒロ）
５層に下りてきて
最初に感じたことは 暑い","Five layers
The first thing I felt is hot",0.21052631578947367,0.5911759
"It was pleasantly cool up to the fourth level,\nbut the fifth level was different.\n","４層までは どちらかというと
ひんやりしていたのに","If it is rather than 4 layers
Even though I was cool",0.13636363636363635,0.43981087
...and this place was...\n,そして この場所は…,And this place is ...,0.5714285714285714,0.7110537
I'll lead us to a different well. We can\nreturn to the fourth level from there...\n,"別の井戸へ案内するから
そこからもう一度 ４層へ上がれば","I will guide you to another well
If it goes to 4 layers again from there",0.17857142857142858,0.45187405
This level is where Mary's friends\nspent their last moments.\n,あそこなら,There is,0.09090909090909093,0.16000177
Should we take a break?\n,"以前によく 休憩に
使っていた場所があるの","I often take a break
There is a place I used",0.2307692307692308,0.4965215
"We can rest, but we'll need\nto move away from here.\n","休むにしても
少しは移動しないと","Even if you rest
If you do not move a little",0.1111111111111111,0.46889174
It's dangerous to linger near the wells.\n,"井戸の近くに長くいるのは
危ないから","It is long near the well
Because it is dangerous",0.3333333333333333,0.6592153
Is this the resting area\nyou were talking about?\n,"（メリイ）
これは… 私が持っていた杖(つえ)",This is ... the cane I had,0.21428571428571427,0.2586379
This used to be a Temple of Lumiaris.\n,"（メリイ）
ルミアリス神殿だった場所",A place where Rumi Lisu is a temple,0.15384615384615385,0.49146068
Do you hear something...?\n,（モグゾー）ん？,?,0.14285714285714285,0.1744671
That's...\n,あれは…,That is…,0.2,0.5786544
"Because of No Life King's curse,\nthey've become corpses infused with a false life.\n",偽りの命を吹き込まれた屍(しかばね),Ball of false life bubbled,0.15789473684210525,0.32695848
