en_text,jp_text,google_translated,score
Miyagi Prefectural Tokonami Senior High School,出たぞ インタハイ予選の組み合わせ,Combination of interhacent qualifying,0.0
Hot off the press!,出たぞ インタハイ予選の組み合わせ,Combination of interhacent qualifying,0.0
I've got the interhigh prelims bracket!,出たぞ インタハイ予選の組み合わせ,Combination of interhacent qualifying,0.0
Who do we play first?,どこ１回戦 えと,Where is the battle,0.0
Tokonami karasuno,とり鳥野 トリノえイギリス,Tori Torino Turinese England,0.0
"Hey, I've heard of that high school!",あその高校 聞いたことある,I have heard that high school,0.45454545454545453
If memory serves...,えと確か,Certainly,0.0
"They are ""the fallen champs, the clipped crows.""",落ちた強豪飛べない烏,Falling strong Australia,0.0
"What is that, a nickname?",なんすかそれ異名的な,What a name,0.25
They used to have a good team.,昔は強かたんだよな 確か１回全国にも行たはず,I used to have been a long time ago,0.3076923076923077
But I hear they're nothing to write home about anymore.,でも最近はもう 大したことないて聞いたけど,But recently I heard a big deal already,0.1111111111111111
"Hey, this could happen!",てことはもしかして うかり勝てちゃたりして,I will win again,0.0
We always get knocked out in the first round!,万年１回戦負けの俺たちが,We who lose the battle once a year,0.125
That's why you need to practice.,そのためにはまず練習な げ主将,"For that purpose, first of practice",0.15384615384615385
Someone I played volleyball with in junior high goes to Karasuno.,俺中学のバレ部 一緒だたヤツが,Barlet of junior high school part,0.125
"So, is it gonna be a tearful reunion?",へえ じゃあ久々の再会,"Hey, a long time",0.14285714285714285
We've never played against that school before.,今まで当たたこと ないもんな,I have never hit it until now,0.06666666666666667
"He said that he saw Karasuno play in the spring nationals on TV, and he couldn't get it out of his head.",そいつテレビで見た 春高バレの烏野が,Spring height barre scent I saw on the TV,0.18518518518518517
But I suppose living near Karasuno had something to do with it.,まあもともと家が烏野に 近いつうのもあたろうけど,"Well, it will also be too close to the house",0.09090909090909091
Just staring won't cut it!,見てんじゃねぇぞ すみません,I'm sorry I'm sorry,0.0
You must go after every ball as though it's your last!,｢これが最後の一球｣ 常にそう思て食らいつけ,"""This is the last one ball"" always think so and eat",0.08333333333333333
"Everyone, well done playing against Nekoma today!",駒戦 お疲れさまでした,Frame match,0.0
"So, getting right down to business, the interhigh prelims begin next month, starting June 2nd.",で早速ですが インタハイ予選は,"And it is immediately, but the interhacent qualifying is",0.08333333333333333
"Miyagi has no regional preliminary,  so we launch straight into prefectural prelims.",((宮城は地区予選ねぇから すぐ県予選だ,((Miyagi is a prefecture qualifying from the district qualifying,0.045454545454545456
Winning Team,全国大会へ進めるのは 県内約60チム中1チムのみ,To proceed to the national tournament is 1 chim in about 60 chim in the prefecture,0.0
Final,全国大会へ進めるのは 県内約60チム中1チムのみ,To proceed to the national tournament is 1 chim in about 60 chim in the prefecture,0.0
Only one team out of approximately sixty in a prefecture proceeds to nationals.,全国大会へ進めるのは 県内約60チム中1チムのみ,To proceed to the national tournament is 1 chim in about 60 chim in the prefecture,0.13043478260869565
Lose once and that's all she wrote.,１回負けた時点で道は途切れる,The road is interrupted when it loses once,0.0625
"If you want revenge against Nekoma,  you must begin by becoming number one in Miyagi.",音駒にリベンジしたきゃまずは この宮城で１番になるほかない,"I have revanged to Tomome, I have to be No. 1 in this Miyagi",0.16
Number two won't cut it.,２位じゃダメだ まあ向こうにも,2nd place It is no good,0.08333333333333333
Don't worry! I know they can do it! yeah! they were tough!,((ふん,((Hmm,0.0
I want to play against Nekoma one more time.,駒と,With a piece,0.0
"Nice one, Hinata!",ナイスだ日向 すぐ起き上がれもう一本,It's nice to get up and get up soon,0.08333333333333333
Cover it!,前前 カバ,Front moss,0.0
"You're right, that is cool!",ほんとだすげぇ ん,Really,0.0
That photo is huge! right?,写真でけぇ だろ,It is a picture,0.1
What is it? What's up?,うわ なんすかどうしたんすか,How do you do it?,0.2222222222222222
They've made Ushiwaka from Shiratorizawa one of the three most stand-out high school players,今年の高校生で 特に注目てなてる,Especially at high school students this year,0.1
