en_text,jp_text,google_translated,score,semantic_score
What are you up to?!,お前何企んでる そうはいかないぞ,You're not going to do anything,0.16666666666666666,0.34185222
"Shouyou, he's not up to anything!",これは企んでる顔じゃなくて 笑顔だぞたぶん,This is not a face that is not a face and smiles,0.0625,0.12375844
He's trying to smile! I think!,たぶんとか言うんじゃないよ西谷,It's probably not saying Nishitani,0.07692307692307693,0.1668661
Our grumpy Kageyama is making the effort to smile.,≪あの影山が 笑顔を作る努力を,«That Kageyama has made an effort to make a smile,0.2352941176470588,0.83032066
We're going hard and fast.,ガンガン行くぜ おうよ,I'm going to go,0.09090909090909093,0.30451715
Episode Twenty-two:  Evolution,行け 行け行け行け行け青城,Going to go go,0.0,0.11767722
Really?,そうなんですか,Really,0.5,0.7202654
"Up till last year's interhigh, I didn't get to play in many official matches because third-years had seniority.",去年のインタハイまでは 当然３年生がいたから,Naturally there was three graders until last year's interhacent,0.10344827586206896,0.40956253
"I hate to say it, but Kageyama has more actual match experience.",悔しいけど影山の方が 場数多く踏んでんじゃないかなぁ,"I'm sorry, but I'm not going to step on the number of fields in Kadoyama.",0.19230769230769232,0.4299898
"For all his so-called experience, he sure got riled up.",の割にはだいぶ テンパてましたけどね影山,It was a lot of teppers for the,0.05263157894736842,0.18955575
"So anyway, His Majesty has to serve straight off.",でその王様 早速サブですけど,And the king is a subcaster,0.0,0.34598693
You think he can manage?,大丈夫ですかね 影山ナイサ,Are you okay?,0.25,0.18749551
"Give us a good serve, Kageyama! serve up a point!",ナイサ一本 ふ,Naisa one,0.0,0.16950232
That's a relief.,なんか安心するわ 何がですか,What is relieved?,0.0,0.45758545
What do you mean? i was thinking that all of us seem to have the same sort of pride when we're put in a match.,どんな選手でも 試合に出るときの,When any players go out to the game,0.09375,0.21728052
I think he's okay.,あ大丈夫ですね ん,It is all right,0.0,0.30281222
A service ace!,サビスエス リベロから取た,Saves River,0.0,0.1691398
Now they're tied up!,これで同点 しゃ,This is the same point,0.0,0.1664118
I'm sorry! don't fret it. let's get the next point!,すいません オｯケオｯケ次一本,I'm sorry I'm an okkeye next one,0.2222222222222222,0.38139156
"What? double high five, you dummy!",ハイタチだバカ パチン,Hi Tachi stupa pachine,0.0,0.15991177
Kageyama is doing double high fives.,影山がハイタチしてるぞ,Kageyama is hi-tachi,0.25,0.6524788
"Sorry, cover it!",すまんカバ はい,I'm sorry,0.14285714285714285,0.30391374
They're scattered!,崩した返てくるぞ く,I'm going to get rid of it,0.0,0.16444299
There it is! that fast attack is totally ridiculous!,出た あの速攻マジ意味分かんねぇ,I went out that quick attack magazine,0.14285714285714285,0.43440366
Okay! Now Karasuno is in the lead!,よしこれで烏野逆転,Yoshi This is the victory reversal,0.16666666666666666,0.28094882
And Kageyama is like a fish in water!,影山も水を得た魚て感じだな,Kageyama also feels a fish with water,0.3333333333333333,0.8581028
There's no need to panic and  mess up our plays like they did.,焦てこちが 崩れてやる必要はないよ,I do not have to be broken,0.047619047619047616,0.067663655
"Once we take a point back, we're all good.",一本取り返せば問題ない はい,There is no problem if you get back one,0.05263157894736842,0.20165513
Hey. Stop striking that pose.,おいその顔とポズ 腹立つやめろ,My face and pots are angry,0.0,0.19800203
It pisses me off.,ひどいな ピ,Terrible p,0.0,0.109674074
Has Kageyama gotten his rhythm back?,≪影山 平常のリズムを取り戻したか≫,«Do you have regained the Normal Rhythm of Kageyama»,0.125,0.74317837
I'm sorry.,≪影山 平常のリズムを取り戻したか≫,«Do you have regained the Normal Rhythm of Kageyama»,0.0,0.091874264
Shake it off!,≪影山 平常のリズムを取り戻したか≫,«Do you have regained the Normal Rhythm of Kageyama»,0.0,0.07947889
"No, there's more to it.",≪いやそれだけじゃない,«Not only that,0.0,0.19145837
"I should've made it closer to the sideline. he devoted his full attention to the opponent blockers before,",相手のブロクばかり 気にしていたはずが,It should have been aware of the opponent's broc,0.16,0.4380436
Don't sweat it! Those were all good serves. but now he's being slightly more attentive to his teammates as well.,ささやかながら仲間の方へも 意識が向くようになてきている≫,"While being scared, it is likely to face the fellow people »",0.08823529411764706,0.008852606
We're screwed unless we take this set!,このセトを取らなきゃ どうしようもねぇ,"If you don't take this set, you can do anything",0.2,0.62793106
"Make those deviant fast attacks hard and fast! kunimi, give us a good one!",変人速攻ガンガン使てけ≫,Various velvis pepper Gungun Use »,0.0,0.27264583
"Kageyama told Hinata that ""as long as I'm around, you're the greatest,""",≪影山は日向に｢俺がいれば お前は最強だ｣て言たけど,"«I said that Kageyama"" If I have me """,0.2380952380952381,0.61447996
but it goes both ways.,≪お前だて,«You're,0.0,0.021549309
Your and Hinata's combined attack,≪日向との攻撃なら最強なんだ≫,«It is the strongest if attack with Hinata»,0.14285714285714285,0.65611154
"is the greatest. okay, we hit 20 points first!",よし 先に２０点台に乗た,I got on the 20th point at the end,0.05263157894736842,0.35770327
Now we're in the final stretch.,さあ大詰めだぞ,I'm going to,0.0,0.2114815
"Okay, we've hit the 20 point mark.",≪よし２０点台で,«Good with 20 points,0.07142857142857142,0.5959781
That hurt!,≪よし２０点台で,«Good with 20 points,0.0,0.19666821
It's for motivation!,≪よし２０点台で,«Good with 20 points,0.0,0.12160195
Here's where the real challenge starts.,問題はこからかな,I wonder if the problem is,0.07692307692307693,0.16894639
Why is this turning into Tsukishima versus Kageyama?!,なんで 月島ｖｓ影山みたいになてんだ,Why is Tsuki Island vs like Kagoyama,0.13333333333333333,0.7799491
How was the set?,トスは もうちょい高く頼む,Toss asks for a little more,0.0,0.048328567
Seijou had to call for a timeout sometime.,おさすがに青城もタイムか,Is it also time to have a Time Castle?,0.125,0.14020973
"When number ten goes back and  number eleven comes to the front row,",１０番が後ろに下がて １１番が前衛に来ると,When the 10th goes back to the avant-garde,0.3333333333333333,0.4664557
It could simply be that Tobio doesn't like the beanpole.,単純に飛雄はあのノポ君が 苦手なんじゃない,Simply Faoji is not good at that Nope,0.1111111111111111,0.026183266
