en_text,jp_text,google_translated,score,semantic_score
We have a new champion for WBC Junior Middleweight class!,"ＷＢＣジュニアミドル級
新世界チャンピオン誕生！","WBC Junior Middle Class
New World Champion Birth!",0.42857142857142855,0.63167626
His name is Takamura Mamoru!,その名は鷹村守だ！,The name is Mamoru Kamamura!,0.5,0.81354576
The Japanese hawk has finally risen to world dominance!,"ついに日本の鷹が 世界の頂点へと
羽ばたきました！","Finally Japan's 鷹 is to the vertex of the world
I'm winging!",0.2631578947368421,0.5814512
"I did it, Old Man!","やったぞ じじい！
おわっ？","I did it!
Owner?",0.4444444444444444,0.5114478
I knew you could!,"やった
信じてましたよ！","Hooray
I believed!",0.2857142857142857,0.38136196
You're the world champion!,"世界王者です
心配させやがって！","It is the world champion
Worried!",0.4444444444444444,0.6074822
"Let go, damn it!",よせ　てめえら 離れろ,Let's leave it away,0.2222222222222222,0.42134583
Where's the old man?!,じじいはどこだ　じじいは？,Where is it?,0.2222222222222222,0.24073794
Splendid job.,見事じゃ,In a way,0.0,0.16092704
What are you doing?!,"僕が…
何やってんだよ！","I… 
 What are you doing!",0.7142857142857143,0.7941153
Let me do it!,"僕に やらせてくださいよ
これは僕の仕事だよ","Please let me do it
This is my job",0.4,0.5890859
Then I will...,よくぞ… よくぞ やってくれた,Well ... I did it well,0.2857142857142857,0.33928126
But I want to.,いや 俺が巻いてあげたいなと,"No, I want to wind up",0.3333333333333333,0.46061972
the championship belt has been put on the new champion!,"さあ そして今 新チャンピオンの
腰にチャンピオンベルトが…","Now and now the new champion
The champion belt on the waist ...",0.35714285714285715,0.83892274
See? Don't I look great with it on?,"あんた 最高だ
どうよ 似合うだろ","It is the best
How do you match it",0.125,0.32991758
Yeah!,よっしゃ！,Yo!,0.3333333333333333,0.54760766
"Lifted up by his gym mates, the hero of Japan waves his hands to fans around the hall!","後輩に肩車され 満場のファンに
日本の英雄が手を振る","Judiors should be taken and to fans in the university
Japanese heroes shake hands",0.14285714285714285,0.6046532
He is proudly thrusting up his fists.,高々と上げた拳が誇らしい,A fist that raised a lot is proud,0.07142857142857142,0.60026824
He's the world champion!,"やったよ 姉さん
世界チャンピオンだよ","I did my sister
It is the world champion",0.25,0.53243583
Yes!,"ええ
フン","Yes
Hun",0.3333333333333333,0.52437735
Now the position I made for him at the company will go to waste.,"会社に用意してたポストが
ムダになったな","The post prepared by the company
I became a mud",0.15,0.23977049
Nii-san...,兄さん…,Brother ...,0.3333333333333333,0.19377391
I made that position to give him the best place as the eldest son.,俺だってな 長男として,As an eldest son,0.2,0.6863289
I know.,"兄さん
分かってますって","Elder brother
I understand",0.16666666666666666,0.23800641
He's a damn great man.,あきれるくらい大した男だぜ,A big man who can get,0.18181818181818185,0.34823138
See? I told you the match wouldn't turn around!,"思ったとおりや　見てみ
逆はないって言うたやろ","See if you think
I said that there is no reverse",0.15,0.3309848
Where's Miyata?,…って あれ？宮田は？,... What?What is Miyata?,0.2857142857142857,0.8493909
"New Champion, how does it feel to be wearing that belt?","新チャンピオン どうですか？
ベルトを巻いた感想は","How is the new champion?
Impressions that wound the belt",0.35294117647058826,0.8035545
but I'm really amazed by how much everyone is rejoicing about it.,"皆さんが
こんなに喜んでくれるとは","Everyone
It is so delighted",0.1875,0.50856304
Really... what should I say...,本当に何と言っていいか,What should I really say,0.8333333333333334,0.62813103
Hero?,"英雄？
何か言ってくれ！","hero?
Tell me something!",0.3333333333333333,0.76054317
Super awesome?,"超かっこいい？
日本の誇りだ！","Super cool?
Japan's pride!",0.25,0.43831128
Yeah! I'll fill the country with me!,"気持ちは分かった　よし！
日本中を俺様で埋めつくしてやる","I understand the feeling!
I'm burning in Japan with me",0.3333333333333333,0.37094977
Women! Come to me!,"女どもよ 俺の元に来い！
俺様の精子をくれてやる","A woman comes to me!
Give me a spermatozoon",0.3,0.5768917
"In 20 years, the country will be full of me!",20年後 日本中は俺様だらけだぜ！,"Twenty years later, it is full of me!",0.375,0.78752553
W-We're not related.,"知らないっと
他人他人…","I can not know
Others ...",0.1,0.22845656
Damn the sperm!,"何が精子だ！
日本の恥め！","What is sperm!
Japan's shameful!",0.2222222222222222,0.6293885
Please do not throw things!,物を投げないでください！,Please do not throw things!,1.0,1.0000004
Return the belt right now!,"すぐにベルト返上しろ！
感動して損した","Let's return the belt immediately!
I was impressed",0.3333333333333333,0.81623214
"At least say ""DNA!""","せめて遺伝子って言え
最低！","I can say a gene at least
Minimum!",0.3333333333333333,0.5455646
It was a great match.,"いい試合じゃった　これほどの
感動は長らく忘れていた","Good match is so much
I forgot to move for a long time",0.1176470588235294,0.55882305
"But, to its victor...",しかし その勝者に,But to the winner,0.25,0.4942203
What was that interview about?!,"このバカもんが
何じゃ あのインタビューは！","This stupid cat
What is her interview with her!",0.2307692307692308,0.54127216
And you even mentioned sperm?!,よりによって｢精子｣じゃと？,"More ""Sperm""?",0.2,0.73346907
