en_text,jp_text,google_translated,score
I know this cold voice,"♪♪「Ｉ　ｋｎｏｗ　ｔｈｅｓｅ　ｅｙｅｓ
つめたいｖｏｉｃｅｓ」","♪ ♪ ""i Know These Eyes
VOICES",0.2
Taking my friend,♪♪「ゆれる　Ｍｙ　ｆａｉｎｔ」,"♪ ♪ ""Your My Faint""",0.125
"Maybe a little afraid, you'll run away","♪♪「多分少し
ａｆｒａｉｄ　ｔｏ　ｒｕｎ　ａｗａｙ」","♪ ♪ ""Maybe a little
Afraid to Run Away",0.5
But right now...,♪♪「でも今は」,"♪ ♪ ""But now""",0.2857142857142857
"By your side, I'm dreaming of the days","♪♪「あなたのそばに
Ｉ’ｍ　ｄｒｅａｍｉｎｇ　ｏｎｅ　ｏｆ　ｄａｙｓ」","♪ ♪ ""Beyond your side
I'm Dreaming One of Days",0.5
When I finally look up at the promised sky,"♪♪「約束の空
見上げるとき」","♪ ♪ ""The empty sky
When looking up",0.3076923076923077
I'll take off and break all the way,"♪♪「とびたてる
Ｂｒｅａｋ　ａｌｌ　ｔｈｅ　ｗａｙ」","♪ ♪ ""I'm sorry
Break All The Way",0.38461538461538464
"For this moment in time, I just wanna be with you","♪♪「このまま時を
Ｉ　ｊｕｓｔ　ｗａｎｔ　ｔｏ　ｂｅ　ｗｉｔｈ　ｙｏｕ」","♪ ♪ ""When this is
I Just Want To Be With You",0.3157894736842105
I know I can change all the way,"♪♪「Ｉ　ｋｎｏｗ　Ｉ　ｃａｎ　ｃｈａｎｇｅ
ａｌｌ　ｔｈｅ　ｗａｙ」","♪ ♪ ""I Know I CAN CHANGE
all the way",0.7777777777777778
Hanasakeru Seishonen,♪♪～,♪ ♪ ~,0.0
Duck!,"（花鹿）あっ！
（立人）伏せろぉ～！","!
!",0.5
What is this?!\N No!,立人？　大丈夫？　立人？,Is it a guide? All right?Is it a guide?,0.16666666666666666
Open your eyes!\N Lee-leng!,目を開けてよぉ！　立人！　嫌だ！,Open your eyes!Situated!I hate it!,0.4
No! No! \N Don't leave me!,"嫌だよぉ！
私だけ置いてっちゃ嫌だ～！","I hate it!
I hate only me!",0.18181818181818182
I should have stopped Master Kajika from going.,花鹿様を説得すべきでした。,You should persuade Flower.,0.16666666666666666
I trust in my instincts!,"　回想　
私は　私の勘を信じてる！","Reminiscence
I believe in my intuition!",0.4444444444444444
But I couldn't stop her.,"でも　どうしても
できなかった…。","But why
could not….",0.3333333333333333
I even empathized with her strong feelings for Raginei.,"あれほどまでに　ラギネイを思う
花鹿様に　共感さえしていた。","I think about the Laginy
I was sympathetic with flower deer.",0.16666666666666666
Lee-leng is with her.,"（ハリー）立人が一緒なんだ。
えっ！","The truth is together.
eh!",0.2
...if they get caught up in the battle.,"（寅之介）そんな…　だって　いくら
立人様でも戦闘に巻き込まれたら。","Such ... how much
If it is caught in battle even if it is a standpot.",0.3333333333333333
"Anyway, the ports and airports are going to be closed until martial law is dissolved.","（ハリー）とにかく
戒厳令が解けるまで→","Anyway
Until the martial law is solved →",0.3157894736842105
Toranosuke. The wheel of destiny has turned.,寅之介　運命の輪が回ったのだ。,The circle of Yoshiyuki fate turned around.,0.3333333333333333
It's something that man can't control.,"（ハリー）それは
人の力の及ばぬもの。","That's
Awaku's power.",0.16666666666666666
I can only trust her to do the right thing now.,"私は　ただ
信じてやるだけだ。","I just
I believe it only.",0.2
"It'll be up to Kajika, whether she'll be crushed by her destiny or not.","　心の声　（ハリー）花鹿が　運命に
押しつぶされるか　否か…。→","Heart voice  Flower is fate
Whether it is crushed ....→",0.13043478260869565
The fate of the country will depend on how things unfold now.,"同時に　あの国の命運も
これから決まる…。","At the same time, the emotions of that country
It depends on this ....",0.22727272727272727
