en_text,jp_text,google_translated,score,semantic_score
I know this cold voice,"♪♪「Ｉ　ｋｎｏｗ　ｔｈｅｓｅ　ｅｙｅｓ
つめたいｖｏｉｃｅｓ」","♪ ♪ ""i Know These Eyes
VOICES",0.2,0.42137644
Taking my friend,♪♪「ゆれる　Ｍｙ　ｆａｉｎｔ」,"♪ ♪ ""Your My Faint""",0.125,0.18052079
Maybe a little afraid you'll run away,"♪♪「多分少し
ａｆｒａｉｄ　ｔｏ　ｒｕｎ　ａｗａｙ」","♪ ♪ ""Maybe a little
Afraid to Run Away",0.5454545454545454,0.5778451
But right now...,♪♪「でも今は」,"♪ ♪ ""But now""",0.2857142857142857,0.34146675
"By your side, I'm dreaming of the days","♪♪「あなたのそばに
Ｉ’ｍ　ｄｒｅａｍｉｎｇ　ｏｎｅ　ｏｆ　ｄａｙｓ」","♪ ♪ ""Beyond your side
I'm Dreaming One of Days",0.5,0.6096896
When I finally look up at the promised sky,"♪♪「約束の空
見上げるとき」","♪ ♪ ""The empty sky
When looking up",0.3076923076923077,0.4763524
I'll take off and break all the way,"♪♪「とびたてる
Ｂｒｅａｋ　ａｌｌ　ｔｈｅ　ｗａｙ」","♪ ♪ ""I'm sorry
Break All The Way",0.38461538461538464,0.5325485
"For this moment in time, I just wanna be with you","♪♪「このまま時を
Ｉ　ｊｕｓｔ　ｗａｎｔ　ｔｏ　ｂｅ　ｗｉｔｈ　ｙｏｕ」","♪ ♪ ""When this is
I Just Want To Be With You",0.3157894736842105,0.5861816
I know I can change all the way,"♪♪「Ｉ　ｋｎｏｗ　Ｉ　ｃａｎ　ｃｈａｎｇｅ
ａｌｌ　ｔｈｅ　ｗａｙ」","♪ ♪ ""I Know I CAN CHANGE
all the way",0.7777777777777778,0.6816637
Hanasakeru Seishonen,♪♪～,♪ ♪ ~,0.0,0.24329904
You are still angry.,（立人）やはり怒っているか。,After still angry?,0.2857142857142857,0.6570768
If you knew that why would you do something like this?,"（曹）それが　お分かりなら
なぜ　こんな事を？","If it is obvious
Why do you like this?",0.5,0.44411638
It's something that you won't understand.,"（曹）そろそろ
タイムリミットですよ。　立人様。","Soon
It is a time limit.Stands.",0.14285714285714285,0.13908315
I cannot understand that!,"私には　まったく
理解できません！","I am completely
I do not understand!",0.4444444444444444,0.5652951
She would not be fit as the wife of the Huang leader.,"倣一族の総帥の妻には
納まりきらない。→","For the wife of the commander
I do not pay.→",0.2352941176470588,0.24231546
I want to be able to protect her.,私は　彼女を守りたい。→,I want to protect her.→,0.4444444444444444,0.879324
It's impossible to do both.,"そのためには　倣の総帥を
引くしかない。　両立は無理なんだ。","To that end,
I can not pull it out.Both are impossible.",0.25,0.6089166
Master Lee-leng! \N I thought there was no hope for the Huangs.,"（曹）立人様！　私は　倣に
未来はないと思っていた。→","Shimo!I imitate
I thought there was no future.→",0.35294117647058826,0.26741368
"In the midst of that, I was invited to meet the new leader.","名家にありがちな世襲制。
長老会の派閥争い。→","A system that is common to master.
Factions of the long surge.→",0.2272727272727273,0.17434219
"That leader was only a thirteen year old boy, but...","その総帥は　まだ１３歳の
少年だったが→","The commander is still 13 years old
He was a boy →",0.2,0.6666894
"After that, playing to the elders' cards...","その後　あなたは
長老たちを　あやしながら→","Then you
Holding the elders while him →",0.125,0.64846075
...you marvelously straightened out the Huang group that was warped.,"傾きかけていた倣グループを
見事に再建した。","Motion group that was tilted
It was beautifully rebuilt.",0.2352941176470588,0.335165
Zao--- I still love my family.,曹　私は　今も　一族を愛している。,I love the family now.,0.3636363636363637,0.5609207
Kajika means more than that to me!,"花鹿は　私にとって
それ以上に　重い存在なんだ！","Flower is for me
It is more heavier than that!",0.38461538461538464,0.19426775
- Nothing I say can change your mind? \N - This is the conclusion I came to.,"…どうしても　ですか？
これが　私の結論だ。","... why is it?
This is my conclusion.",0.2380952380952381,0.36701316
There's someone that I brought to this country.,"この国に
私が呼び寄せた者がいます。","In this country
I have a person who called me.",0.2352941176470588,0.63594884
"Unless I tell him to abort the mission, he'll probably pull the trigger.","私が　中止を伝えない限り
彼は　引き金を引くでしょう。","As long as I can not tell
He will trigger trigger.",0.25,0.66299355
- Zao! \N- I'm serious Master Lee-leng.,"私は　本気ですよ。
立人様。","I'm serious.
Stands.",0.3636363636363637,0.2432204
"If that is the case, you are to fight Director Harry as the leader of the Huangs!","その時は　あなたが倣の頭に立ち
ハリー会長と戦いなさい！","At that time you stand on your head
Fight against Harry Chairman!",0.2,0.50496125
- You will be able to do it! \N- You're out of your mind!,あなたなら　できる！,you can do it!,0.25,0.6007246
I will not return to the Huangs that will kill Kajika!,"ふざけるな！　花鹿を殺した
倣になど　戻るものか！","Do not be silly!I killed the flower
Back to Back!",0.29411764705882354,0.32816294
"No, you will definitely return!","（曹）いいえ！
あなたは　必ず戻る！→","No!
You always go back!→",0.2727272727272727,0.5930424
You won't be able to leave the Huangs that will be eaten up by Burnsworth!,"バーンズワースに食われる倣を
ほっておけないはずだ！","Body that is eaten by Barns Worth
You should not be honest!",0.2608695652173913,0.22227341
I know that you have a weak spot inside of you.,"私は　知っていた。
あなたが心の底に持つ弱さを。","I knew it.
You have the weakness that you have at the bottom of your heart.",0.3157894736842105,0.5365765
"But, you have a strength that can overcome that weakness.","そして　その弱さを押し殺せる
強さを持っている事を！","And you can push down the weakness
Things to have strength!",0.2777777777777778,0.8618998
Amid contradictions like that you are to bear that!,"限界まで
耐えるべきなのだ！","To the limit
You should withstand!",0.2307692307692308,0.18285926
That's what it means to be the the leader!,それが　人の上に立つという事だ！,That's what it stands on the person!,0.4615384615384616,0.40924603
"You should have been the leader, Zao.","条件を　のんで頂ければ。
条件？","If you have the condition, if you have a condition.
conditions?",0.35714285714285715,-0.011491993
"I'm able to work to my full potential when there is ""head"" that I can serve.","（曹）私は　頭を持って　初めて
能力を発揮できる人間です。","I have a head for the first time
It is a human being able to demonstrate the ability.",0.20689655172413796,0.49413043
Call it off.,"とにかく
やめさせろ。","anyway
Stop.",0.16666666666666666,0.36521456
Go home to Singapore and marry Master Ling-lee.,"シンガポールに帰国し
玲莉様と結婚なさる事です。","Return to Singapore
I'm married to Yoji.",0.21428571428571427,0.6820809
Are you telling me to part with Kajika?!,花鹿と別れろというのか？！,Will it be afraid with flower?!,0.2,0.1296208
I will return to the Huangs and I will marry Ling-lee.,倣に戻り…　玲莉と結婚する。,Return to his back ... Married to the 玲.,0.26666666666666666,0.41071424
I will not see Kajika anymore.,花鹿には　もう…　会わない…。,I can not see you ....,0.4,0.30635336
Never again.,もう…　二度と…。,never again….,0.5,0.8445157
Master Kajika.,うん…。,Yes….,0.25,0.19546564
Master Kajika. Is it about Master Lee-leng?,立人様の事ですか？,Is it a viable thing?,0.2727272727272727,0.14719674
He went back to Singapore without telling me.,"うん…。　私に　何のメッセージもなしで
シンガポールに帰るなんて…。","Yes….No message for me
I'm going back to Singapore ....",0.3125,0.5076101
- Right. \N- You should contact him when you get back.,"帰って　連絡を取れば
いいですよ。","If you get back and contact me
OK.",0.3333333333333333,0.39905486
