en_text,jp_text,google_translated,score,semantic_score
I'm sorry.,調子乗んなよ,I'm sorry,0.75,0.89931345
It's not your fault.,お前のせいじゃないだろう,It will not be your fault,0.5,0.82029426
Don't get carried away.,徹さん,Tur,0.0,0.1218368
You think a kid like you could be responsible for a crisis...,お前みたいな餓鬼の責任のはずねぇだろう,It will be the responsibility of the demon like you,0.17647058823529413,0.2846706
...that concerns the whole of Yunosagi?,湯乃鷺全体の危機が,The crisis of the whole hot water,0.2727272727272727,0.22567044
Tohru-san...,だって…,Because ...,0.3333333333333333,0.12485687
Can't sleep?,眠れないのか,I can't sleep,0.6,0.8957172
You too?,ああ？,Ah?,0.25,0.20115656
You should take my place in the bed.,私のかわりにベッドで…,In bed in bed ...,0.2,0.4826075
"But Minchi might not mind that, so...",でも　民ちは嫌じゃないかもしれないし,But I may not hate the people,0.14285714285714285,0.18717965
It's fine.,そうですよね,That's right,0.16666666666666666,0.2672675
"I think I'll sleep better here, anyway.",ここなら寝心地いいかもなぁ,It may be nice to sleep here,0.14285714285714285,0.6607063
"Tohru-san, do you have a girlfriend?",徹さんって　彼女とかいるんですか,Do you have a thorough girlfriend,0.5555555555555556,0.6021396
"N-Not right now, but...",べ…別に…今はいねぇけど,Be ... separately ... I'm sorry now,0.18181818181818185,0.20573243
You don't seem to be very good with women.,女性に対しての扱いとか　あんまり上手じゃないし,Handling of women or not very good,0.2,0.61055005
But I think you're really wonderful.,でもすごくいい人だと思います,But I think it is a very good person,0.21428571428571427,0.38099137
"So try to believe in yourself, and bonboru.",だから　自分を信じてぼんぼってください,So please believe in yourself,0.3636363636363637,0.5809463
Y-You...!,おま…,Oma ...,0.25,0.29957527
but I guess it's boyfriend troubles?,こっちいる彼氏が原因か,Is a boyfriend who is here?,0.16666666666666666,0.47936925
I-It's not like that!,そ…そんなんじゃないんです,Well ... that's not that,0.375,0.35192597
"Th-Though maybe if I had made the right choice, he'd be...",そりゃ私が正しい行いをしてたら,If I do the right now,0.25,0.15112035
"...my boyfriend now, but...",今頃彼氏だったかもしれないけど,It may have been a boyfriend now,0.18181818181818185,0.42790884
I told you it isn't like that!,ち…違うって言ってのに,Chi ... I say that it is different,0.3076923076923077,0.22734283
Why don't you believe me?!,どうして信じてくれないんですか,Why not believe,0.2222222222222222,0.6116275
I want to kidnap Matsumae Satsuki!,松前皐月を誘拐したいと思います,I would like to abduct Matsumae Satsuki,0.4,0.7302255
Huh?,はぁ？,Has?,0.3333333333333333,0.37345138
"So I'm going to bring her there, even if I have to force her.",なので　力ずくてもつれて帰ります,So I'm going back with it,0.2352941176470588,0.18035054
Take a look at this.,こちらをご覧ください,Have a look at this,0.5714285714285714,0.79248124
This is the building where she works.,こちらが松前皐月の働くビルです,This is a building in Matsumae Satsuki,0.25,0.51740944
If we consider her route from the station...,駅からのルートを考えると,When considering the route from the station,0.3636363636363637,0.67192966
"We have a car, and three of us.",車もあるし　こちらは三人,There is a car and here is three,0.3076923076923077,0.74830455
"As strong as she is, I feel we'll be able to subdue her.",松前皐月の馬鹿力も封印できると思のですが,I think that the fool power of Matsumae Satsuki can be sealed,0.08,0.23376429
So how about it?,いかがでしょうって,How is it,0.3333333333333333,0.2857112
"Thank you, Tohru-san!",ありがとうございます　徹さん,Thank you Toru,0.3333333333333333,0.4624917
"I'll help, but on one condition.",いいけど　条件がある,"Good, but there are conditions",0.15384615384615385,0.50744814
You have to bring that Kouichi guy there too.,緒花が孝一連れてくるまで,Mohana will come to Takashi,0.07142857142857142,0.4249783
Huh?!,えぇ？,Eh?,0.25,0.63528
But...,でも　ご飯…,But rice ...,0.6666666666666666,0.30548725
"Until she brings us Kouichi, let's do some sightseeing in Tokyo.",俺らは東京観光でもして待ってようぜ,We will wait for Tokyo sightseeing,0.1111111111111111,0.73977953
Don't eat another bite.,それ以上食うな,Do not eat more,0.25,0.62474823
We don't have to put up with bread that tastes like paper.,こんな紙みたいなパン食っても仕方ない,I can not help even eat bread like this,0.09523809523809523,0.51580584
Tokyo is full of world-renowned stores.,東京は名店と呼ばれる店がいっぱいある,Tokyo has a lot of stores called famous stores,0.25,0.8952752
It's equally important to train your palate as a customer.,客として　舌で覚えることも重要だ,It is also important to remember with tongue as customers,0.2222222222222222,0.63756603
The number you have dialled is not in service...,おかけになった電話は電波の届かない場所に…,The telephone that has come to miss the radio waves not reach ...,0.15789473684210525,0.39921734
I guess he's still mad at me after yesterday.,やっぱり怒ってるんだ　きのうのこと,After all I'm angry,0.14285714285714285,0.42581487
But I can't kidnap Mum on my own.,でも　一人でママを誘拐なんてできないし,But I can not abduct mom alone,0.13333333333333333,0.6798809
"Wait, why was Kou-chan in his terms?",なんで交換条件が孝ちゃん？,Why is the exchange condition is Takaya?,0.14285714285714285,0.20194791
Now that I think about it...,よく考えると…,If you think carefully ...,0.2,0.5122708
I couldn't get in touch with him.,連絡取れないんだもん,I can not get in touch,0.3636363636363637,0.5851339
I tried going to his job.,バイト先も着たもん,I also weared a part-time job,0.18181818181818185,0.42993975
He wasn't there.,気持ちがないんだったら,If there is no feeling,0.1111111111111111,0.20677869
It can't be helped.,いないだもん　仕方ないよね,It can not be helped,0.375,0.9039899
"Y-Yeah, that's right.",そう　そうだよ,That's right,0.5,0.5483309
I've done all I can.,やることはやったし,I did what I did,0.125,0.38929287
"Ohana-san, was it?",そりゃ誘拐しようとはしてたけど,I was trying to abduct it,0.2222222222222222,0.18433936
Set him free?,え？,picture?,0.2,0.18186669
"By the way, the bench we're sitting on right now...",ちなみに　私たちが座ってるベンチ,By the way we sit in the bench,0.35714285714285715,0.81147516
...is where I confessed my feelings for Kouichi-kun.,私が孝一君に告白した場所です,It is a place that I confessed to Takaichi,0.1875,0.5505341
That day...,あの日…,That day…,0.25,0.81866556
Um... I'm sorry. There's already someone I like.,それって　付き合ってるの,I'm getting along,0.15384615384615385,0.2282412
Are you dating her?,ひどくない？,not bad?,0.14285714285714285,0.12955594
"No, she hasn't given me an answer yet.",いや　答えは保留されてる,No answer is suspended,0.15384615384615385,0.30401763
Huh? But that's so cruel!,え？　何それ,picture? What that,0.2,0.25517792
I guess I've just chosen to wait myself.,俺が勝手に待ってるだけかもしれない,I may only wait for myself,0.25,0.650945
"I'm used to waiting, and...",別に待ってるのは慣れてるし,I'm used to it's waiting separately,0.4545454545454545,0.68283635
"I do like him, you know...",じゃあ　どう好きなんですか,"Well, what do you like",0.4,0.30220258
"I like Kou-chan, too...",す…好きですよ　ちゃんと,... I like it properly,0.375,0.21344152
W-Well... As a person... As a living thing!,い…生き物として,Yes ... as a creature,0.3,0.42479107
She...,あや　いや…あのう…,Aya ... that's ...,0.2,0.34185433
What is it?!,何ですか,what is it,0.6,0.6339551
"Hey, Igarashi-san, what are you doing?",あぁ　五十嵐さん　何やっての,"Oh, I wonder what to do",0.15384615384615385,0.2543876
Your break's over!,休憩もう終わりだよ,A break is already over,0.25,0.75179386
"Ah, sorry, I'll be right there.",あぁ　ごめんなさい　すぐ戻ります,Oh I'm sorry I will return soon,0.14285714285714285,0.2747198
But if you continue to trample all over Kouichi-kun's kind heart...,孝一君の優しさを　これ以上踏みにじるようなことがあったら,If there is something like this kind of kindness of Takaichi,0.09523809523809523,0.4440947
I won't forgive you.,私　許しませんから,Because I do not forgive,0.2222222222222222,0.62516636
Right.,その次　本の少しで…右です,Little of the next book ... right,0.125,0.24563852
It's sort of like a date.,なんだか　デートみたい,Something like a date,0.3333333333333333,0.7677142
Wow!,ほれ　食え,Humble,0.0,0.122737244
"Now, eat!",さぁ　食え,Let's eat,0.16666666666666666,0.5896887
Don't leave a single grain of rice.,米一粒残すなよ,Don't leave one grain,0.4,0.78727174
That fish was half-raw. I really enjoyed the difference in textures.,今の焼き物　半生で舌触りの変化が楽しめたな,I enjoyed the change of tongue in the present baked half life,0.21052631578947367,0.43292624
But taking into account the time to prepare it and the lost heat...,でも提供の時間と余熱を頭に入れると,But if you put out the time and remainder of the offer,0.2,0.29908806
We don't get to come to Tokyo like this every day.,せっかく東京に来たんだからよ,It's because I came to Tokyo,0.1176470588235294,0.6793335
Ohana's problem comes after.,あんなふうに　真剣に　まっすぐに,That's right seriously,0.1111111111111111,0.1442906
The city where I used to live. And where Kouchan lives.,私が住んでた　孝ちゃんが住んでる町,A town where Ki-chan I lived,0.13333333333333333,0.60476834
She's a really good girl.,あの子　いい子だった,It was a good girl,0.3333333333333333,0.6791316
"It's kind of romantic, huh? Living at an inn.",旅館で暮らすなんて,While living in the inn,0.125,0.5487706
If we were in a drama...,もし　私たちが出てくるドラマがあったなら,If there was a drama that we came out,0.3333333333333333,0.8707882
...the villain might be me.,悪役は…私なのかもしれない,The villain is ... it may be me,0.5,0.886748
Hello!,もしもし,Hello,0.5,0.9232586
I was asleep.,よかった,Was good,0.2,0.5046824
I'm glad...,いや　お前　いつかの俺みたいだなって,"No, I'm like me someday",0.2222222222222222,0.1296026
I got a call from someone at work.,バイトのとこから連絡来た,I came from my part-time job,0.15384615384615385,0.43808606
Eh?,いつかの？,Sometimen?,0.3333333333333333,0.28910047
"You came by the book shop, didn't you?",本屋　来たんだってなぁ,It's a book shop,0.15384615384615385,0.67625934
Y-Yeah...,そっちって…,Such ...,0.3333333333333333,0.423279
When you were searching for someone at a wedding ceremony.,お前が何とかさん探しに結婚式場に行ってたとき,When you went to the wedding hall to find somehow,0.17647058823529413,0.757197
"I thought I'd stop by Kissui Inn, but you seemed really busy.",でもお前　忙しそうだったから,But because I was busy,0.1875,0.43834049
So I... Huh? Ohana? Are you there?,それで…,So ...,0.2222222222222222,0.20569402
A villain is cast.,悪役　決定だ,It is a villain decision,0.42857142857142855,0.5409755
"I have to bring my mum to Kissui Inn,",私ね　ママを喜翠荘につれて帰らないといけなくて,I have to go home with Mom Mom,0.2307692307692308,0.5088212
Huh? I don't get what you're trying to say.,意味わからない,I do not know what you mean,0.25,0.401474
That's why I was calling you.,それって　自分のことしか考えてないってこと,That's why I only think about myself,0.3333333333333333,0.3404577
I immediately came to you for help again.,今度もまた　孝ちゃんに助けてもらおうとした,This time I tried to help Ko-chan again,0.3076923076923077,0.40287015
"I didn't think about the people rooting for me, and looking out for me...",考えてなかった,I did not think,0.1875,0.28426597
I'm so terrible. So you don't need to come.,だから　来てくれなくていい,So you don't have to come,0.5,0.60352284
"I don't really understand, but okay.",うん　分かった,I understand,0.2222222222222222,0.43185067
See you.,じゃあな,See you,0.6666666666666666,0.8952719
But even though back then I said... I said...,またねって言ったのに,I said again,0.2222222222222222,0.44420254
Did he mean there wouldn't be a later?,泣いちゃだめだ,It's a crying,0.07692307692307693,0.13215658
I can't cry. I'm not the one who really needs to cry.,一番泣きたいのは私じゃない,It is not me that I want to cry,0.2222222222222222,0.7466317
I'm not the one who...,またなって返してくれなかった,I did not return again,0.2,0.12901905
Bonbori...,雪洞…,Snow-power ...,0.3333333333333333,0.25414032
I threw up.,吐いてきました,I have spit,0.16666666666666666,0.36012277
Next up is sushi.,次は　すしだ,Next time,0.16666666666666666,0.20619458
Yes!,っよっしゃ！,Yes!,1.0,1.0
Here you go.,落ち着かないんですか,Do you not calm down,0.125,0.04308613
Does it make you nervous?,さぁ　次は何を握ってやるか,Well then what do you hold down?,0.16666666666666666,0.11481249
"It hasn't even been half a year, but it already feels so nostalgic.",まだ半年も離れてないのに,Even though it is not still half a year,0.2631578947368421,0.48227593
I hated this city.,でも　この時間だけは好きだった,But I liked this time only,0.2222222222222222,0.21603279
I feel like I'm being led forward into the future by a light like a bonbori.,雪洞みたいな　未来までつながるような明かり,It is light that leads to the future of the snow,0.13636363636363635,0.38010466
Kou-chan... And Mum... They all must have their own bonbori.,孝ちゃんにも　そしてママにも,Ko-chan and Mom,0.07142857142857142,0.72397643
I hurt Kou-chan.,私は孝ちゃんを傷つけた,I hurt Takashi,0.4,0.6873116
But Kou-chan bonboru'd for me.,孝ちゃんは　私のためにぼんぼってくれてた,Mr. Takashi was blurred for me,0.18181818181818185,0.26484343
I was hurt by Mum.,私はママに傷つけられた,I was hurt my mom,0.375,0.8602806
Desperately trying to shine.,輝こうとしてるんだ,I'm trying to bridge,0.25,0.3396807
Come on! Come on!,行け　行け！,"Go, go!",0.2,0.3524741
I'll get you this time!,今度こそ絶対とってやるからなぁ,This time I will never do it,0.2727272727272727,0.33839214
That's right. Just a little more...,徹さんの気持ち…,Toru's feelings ...,0.18181818181818185,0.18726006
I have to ask him.,聞いてみたい,I want to hear,0.25,0.33663
If he gets that stuffed toy...,徹さんが　あのぬいぐるみをとれたら,If Mr. Toru gets that stuffed toy,0.5555555555555556,0.6932861
Damn it!,ああ　くそー！,Oh!,0.25,0.41276592
Hello?,はぁ？　やめる？,Has? Stop?,0.25,0.14041369
Ohana! How'd it go?,緒花　どうだった？,How was it?,0.375,0.52943516
I can't get Kou-chan to come with me.,孝ちゃんのこと　連れて行けないし,I can not go to Taka-chan,0.14285714285714285,0.58174175
"And I didn't think about Mum's feelings at all, either.",それに　ママの気持ちも　ぜんぜん考えてなかったし,"Besides, the feeling of mom did not think at all",0.25,0.7652821
So...,勝手に…その…決めて…,Selfish ... that ... Decide ...,0.2,0.16725251
Where are you now?,今どこにいる,Where are you now,0.8,0.88717383
Any bags?,ええ？,Yes?,0.25,0.23707718
We're going to see your mum.,お前の母ちゃんとこ行くぞ,You will go to your mother,0.16666666666666666,0.63976747
"Even if we're not going through with it,",誘拐はやめるにしても,Even if the abduction is stopped,0.14285714285714285,0.38616896
It's nothing. I understand.,分かりました,understand,0.16666666666666666,0.3440337
I'll show you the way.,ご案内します,I will guide you,0.2222222222222222,0.3630516
Um... It's that building.,えーと　あのビルに,Eh and that building,0.2222222222222222,0.6894078
Ohana-chan!,緒花ちゃん,Ohana-chan,0.5,0.94082004
You're a bit late today!,今日は遅かったじゃないの,It was not late today,0.2,0.7370424
That's lucky! I didn't know they sent people to meet you.,やった　送迎付きなんてラッキー,Lucky that the transferred pick-up,0.1111111111111111,0.3227372
"You told me you were taking me back with you, right?",あたしのことつれて帰るって,I'm going back to me,0.14285714285714285,0.55278194
So I took an early holiday.,だから　休みが取れたんだって,So I had a break,0.2,0.4477489
Figured I might go and see some hot springs.,温泉でも行こうかなぁって,Let's go in hot spring,0.14285714285714285,0.6077364
"Ah, I can get you tickets to their concert through my company.",あ　うちの会社でライブのチケット取れるよ,You can get a live ticket at the company,0.21052631578947367,0.580437
Seriously?!,湯乃鷺シーラスですか,Yusuo Shiorasu?,0.2,0.12129784
You always said no when I asked you.,あんなに頼んでも嫌だって言ってたのに,I said that I hate to ask,0.16666666666666666,0.5569795
"What was the name of that new hotel, again?",ほら　なんだっけ　新しいホテル,Something new hotel,0.16666666666666666,0.8002909
That's right!,あの記事,That article,0.2,0.124572046
It's really popular. Heard you can't stay without a reservation.,ガツンと言ってやるんじゃなかったんですか,Did not you say it's a gut?,0.2222222222222222,0.017991109
"Y-Yeah, well...",後からゆっくりでも…,Even later even slowly ...,0.14285714285714285,0.22825497
Good idea!,いいわね,Good,0.3333333333333333,0.17192823
"Let's sit down and have a few drinks together, Tohru-kun!",ゆっくり飲みましょうよ,Let's drink slowly,0.13333333333333333,0.43077964
Maybe he's into older women?,そういやさぁ　緒花,That's right,0.1111111111111111,0.08813771
Or...,それとも,Or,0.5,0.67417175
"Oh yeah, Ohana. Did you see Kou-chan?",孝ちゃんとは会ったわけ？,Did you meet Mr. Takashi?,0.2307692307692308,0.5379944
H-He is not!,あたしじゃないよ,It is not me,0.3333333333333333,0.42631203
"Tohru-san's much nicer than I thought, isn't he?",徹さんって　思ってたよりずっといい人だよね,It is a much better person than I thought,0.3125,0.2968454
"N-No, it's not...",がんばってくれたけど　そこまででもなかった,"I did my best, but it was not so far",0.21428571428571427,0.091497235
I take that back!,訂正！,correction!,0.16666666666666666,0.35952827
Want one?,一本どう？,one road?,0.5,0.20175833
"I'm a chef, so I don't smoke.",俺　料理人なんで　タバコは…,I am a cuisine and cigarette ...,0.13333333333333333,0.6970671
