en_text,jp_text,google_translated,score
Petals flutter. Spring is in full bloom.,桜はらはら　春爛漫,Cherry blossoms are sorrowful spring,0.08333333333333333
A chance encounter on that moonlit night would be the beginning of a new me.,月が輝くあの夜の出会いが,That night's encounter that the moon shines,0.2222222222222222
ha,"{\fad(200,200)}ぱっとぱっと　晴れやかに",A quickly sunny,0.0
and make our love grow like flowers,"{\fad(200,200)}咲かせましょう　花のように",Let's bloom like a flower,0.08333333333333333
to,"{\fad(200,200)}欲しいのは少しの踏み出す力と",I want a little bit to take a little,0.14285714285714285
and a magic key to open my timid heart,"{\fad(200,200)}弱気な心を開ける魔法のキー",Magical key that opens bearish heart,0.15384615384615385
hi,"{\fad(200,200)}それでも　一　二　三",Still one third,0.0
ku,"{\fad(200,200)}勢いよく跳ねて",Bounce up,0.0
On our dream,"{\fad(200,200)}始まる夢は　夢は",The dream starting is a dream,0.14285714285714285
do,"{\fad(200,200)}散らさないで",Do not spread,0.3333333333333333
tsu,"{\fad(200,200)}咲かせる思いは常ならぬ",The feeling of blooming is not always,0.0
"and, naturally, beloved by all.",当然みんなにも好かれる人気者,"Naturally, popular people like everyone",0.18181818181818182
Such a perfect girl.,そんな完璧な女の子が,Such perfect girl,0.6
Yaya!,ヤヤ,Yaya,0.5
"Ah, good morning!",あっ　おはよう,Oh good morning,0.3333333333333333
"You write great lyrics, too. You sure are talented.",ヤヤのか歌詞凄くいいし　やっぱ才能あるんだね,Yaya's or lyrics It's a talented ability,0.125
"Ah, sorry, Naru.",ごめん　なる,Sorry,0.2
See you after school.,じゃ　放課後ね,After school,0.4
Let's go.,行こう,let's go,0.75
"Of course, I'm nowhere near as perfect.",私がそんな完璧な女の子であるはずもなく,I can not be such a perfect girl,0.125
"I'm an average 14-year-old, average at everything.",私はなんだって普通,I usually usually,0.1
"I was hoping something would change once I started middle school, but...",中学生になれば　なにか変わるかな　なんで　思ってだけど歌詞,I wonder if it will change if I become a junior high school student,0.13636363636363635
always reminded that you're lonely,"{\fad(200,200)}いつも一人ぼっちだと　思いしなされて",I always think that it is always one,0.18181818181818182
"I'm hated now, and there's no place for me","{\fad(200,200)}嫌われてしまえ　怯えてるだけだね",I'm just hated,0.23076923076923078
so that I don't go crazy,"{\fad(200,200)}ないと言い聞かせてる　そうしなきゃ繋ぐ手",says that you don't like to connect,0.25
We were talking about going for an audition!,今皆気合い入ったんだよね　オーディション受けようかって　話したってさあ,"It's all right now, I'm going to receive an audition",0.15789473684210525
An audition? Wow!,オーディション　すごいね,Audition is great,0.14285714285714285
"But why did you join a band, Yaya-chan?",でも　どうしてヤヤちゃんバンド始めたの,But why I started Yaya-chan band,0.3333333333333333
Do you like music that much?,そんなに音楽好きだっけ,I love music so much,0.2
I've always wanted to play in one.,前からやってみたかったし　やっぱりしたいことした方が楽しいじゃん,I wanted to do it from before,0.23076923076923078
"Oh, I forgot. My dad wanted me home early today.",私今日　お父さんに早く帰って来るように言われてだなんだ,I was told to come back to my father today,0.16666666666666666
And I have to return this book to the library.,それに図書館の本返さなきゃ,Now that the library is over,0.14285714285714285
You're still reading those stories?,まだそんなの読んでんの,Still ready,0.125
This one's about a cute fairy that—,えっ　だって面白いよ　この話はねっ　可愛い妖精さんが,"It's funny, this story is a cute fairy",0.38461538461538464
"See you tomorrow, then.",じゃ　また明日ね,Then tomorrow,0.3333333333333333
"Do what you want to do, huh?",したい事をする　か,Do you want to do something,0.4444444444444444
Yaya-chan's so amazing.,すごいなあ　ヤヤちゃんは,Amazing Ayaya-chan,0.16666666666666666
I thought I told you to come home early today.,今日は早く帰って来いって　言ったろう　なにをしてたんだ,Today I came back early and said,0.21428571428571427
What were you doing?,なんだ　帰ってったのか　なる,I wonder what I came back,0.1111111111111111
You haven't changed at all since you were little.,まったく　子供のころから変わらないなあ　お前は,You do not change from the time of the child at all,0.16666666666666666
Is there nothing else you'd rather do?,他にやりたい事はないのか,Is there anything else to do?,0.45454545454545453
"Anyway, I want you to deliver this to Nishimikado-san's.",まあいい　とりあえずこれを西御門さん家まで届けに行ってくれ,"Well, for the time being, I will deliver this to Nishimoto-san House",0.2631578947368421
A delivery for Father?,お父様への届け物,Delivery to father,0.3333333333333333
Thank you for taking the trouble.,わざわざありがとう,Thank you very much,0.2222222222222222
but my English teacher is here.,せっかくなんですけど　ご主人様はまだお帰りになってなくて,"It is a great place, but my husband is still not going home",0.17647058823529413
"I decided that knowing English would be beneficial for my future, you see.",今日は英会話の先生がいらっしてって　将来のために　身につけておいた方がいいと思って,Today I think that it is better to have a teacher of English conversation and wear it for the future,0.1724137931034483
"There's a kagura performance at the shrine today, so it's very crowded.",今日は神社で御神楽があって　人通りも多いから,Today there is a lot of girls at the shrine and there are many people,0.2608695652173913
Hey! Get down from there!,こら　降りなさい,Get off,0.14285714285714285
Keep giving me attitude and I'll arrest you!,生意気？逮捕しちゃうぞ,Saucy?I will arrest,0.15384615384615385
"One time, when I was little, \NI went to a big movie theater.",小さい頃一度だけ大きな映画館に連れてってもらった事がある,"When I was small, I have taken it to a big cinema only once",0.3181818181818182
"met a fairy godmother and a prince,",みすぼらしかったヒロインの少女は　魔法使いや王子様と出会って,Misborous heroine girl met with wizard and prince,0.25
and then she became a beautiful princess.,とてもきれいなお姫様になった,It became a very beautiful princess,0.4
The thought of it made my heart dance.,そう思うと　胸が躍った,"When I thought so, my heart was ridiculous",0.2
"Someday, someone will take me away from this world.",いつか　誰かがこの世界から連れ出してくれる,Someday someone will bring from this world,0.5
"Wishing for a mysterious encounter, just like the one in the story.",物語のヒロインみたいな　不思議な出会いを,A mysterious encounter like a heroine of the story,0.4
Wait!,待って,wait,0.5
Don't leave me!,置いていかないで,Don't put it,0.2857142857142857
"You just looked so pretty, like a fairy, so...",私も連れてって　妖精さん,I also have a fairy,0.15384615384615385
I thought you might take me away to another world.,だから　別の世界に連れってってくれるような気がして,So I feel like I will take another world,0.26666666666666666
I'll take you away.,連れていってあげます,I will take,0.2857142857142857
