en_text,jp_text,google_translated,score
FSA Inspection,"＜金融庁検査の
最後の聞き取り調査＞","<Financial agency inspection
Last hearing survey>",0.1111111111111111
on their way to the site of the final hearing investigation,"＜いわゆる最終決戦の場に向かう
半沢達＞","<Go to the so-called final battle place
Hamizawa>",0.17647058823529413
that was to determine the fate of Tokyo Chuo Bank and Iseshima Hotel.,＜伊勢島ホテルの未来を決める＞,<Determine the future of Ies Island Hotel>,0.21052631578947367
"Director Hane, who had her eyes on the President's seat, and",＜社長の座を狙う羽根専務と＞,<Feather propellent for the seat of the president and>,0.21052631578947367
Hanzawa was almost removed from Iseshima Hotel as their banker in charge.,"＜伊勢島ホテルの担当から
外されそうになった半沢だが＞","<From the charge of Isejima hotel
It is Kana who was about to be removed>",0.2
"If you insist on continuing to stand in our way, I'm ready to fight, no holds barred.","これ以上 足を引っ張るようなら
徹底的に戦います","If you pull the foot more than this
Thoroughly fight",0.11538461538461539
"If I get screwed, I'll screw you back.",やられたら やり返す,I will do it if I get done,0.21428571428571427
It's double payback!,倍返しだ！,It is doubled!,0.2857142857142857
"the FSA inspection's final hearing,",＜最終決戦を前に＞,<Prior to final battle>,0.08333333333333333
Hanzawa believed that there was only one way to save,"＜たった一つしかないと
半沢は考えていた＞","<There is only one
Hasazawa thought>",0.2
Tokyo Chuo Bank and Iseshima Hotel.,"＜東京中央銀行と伊勢島ホテルを
救う道は＞","<Tokyo Central Bank and Ise Island Hotel
Save road>",0.2857142857142857
"What, then, was that secret plan...",＜果たして その秘策とは…＞,<It plays its secret ...>,0.15384615384615385
the credit judgment of Iseshima Hotel.,"(島田)では これより
伊勢島ﾎﾃﾙへの与信判断に関する➡",About credit judgment on Isejima hotel,0.3
"What's up, Kondo?",どうした？ 近藤,What happened?Kondo,0.42857142857142855
Lafite's woman president.,女社長の自宅を突き止めたんだが,I stopped at home of a woman president,0.18181818181818182
"- As I recall, her name's Tanahashi...\N- The thing is, on the nameplate...","確か 棚橋っていう…
≪(近藤)それが 表札には…","Certainly the shelf bridge ...
« It is a nameplate ...",0.18181818181818182
Owada?!,大和田!?,Owada!?,1.0
Owada's involved in,大和田が絡んでる,Owada is involved,0.4
Tamiya Electric's illegal practice too.,タミヤ電機の不正にも,Even with Tamiya Electric,0.2222222222222222
I could hardly believe it myself.,俺も さすがに目を疑ったよ,I also doubted my eyes,0.09090909090909091
In other words...,つまり…,in short…,0.2
the 30 million that Kyobashi Branch loaned to Tamiya Electric 5 years,"５年前 京橋支店から
タミヤ電機に融資された3000万は","5 years ago from Kyobashi branch
30 million noted for Tamiya Electric",0.5
was diverted immediately thereafter to an apparel company called Lafite.,"その直後 ラフィットという
アパレル会社に横流しされた","Immediately after that
Sounded by an apparel company",0.26666666666666666
Was it an indirect loan?,大和田常務の妻だった,It was a wife of Owada,0.2
"Moreover, the Kyobashi Branch Manager who approved the loan at the time was Director Kishikawa.","しかも 当時 その融資を実行した
京橋支店長は岸川部長だ➡","Moreover, the loan was executed at the time
Kyobashi branch head chief is Kishikawa Department",0.5
It stands to reason that Owada gave him the orders to do it.,"まあ 大和田が指示して
やらせたと考えるのが自然だよな","Well, Owada instructed
It is natural to think that it was done",0.2
"- his wife's deficit-ridden company.\N- If that's true,","タミヤ電機を利用したってことか
もし それが本当なら","Do you use Tamiya Electric?
If that is true",0.17647058823529413
this could prove to be a crucial piece of information to bring Owada down.,"大和田を追い込む
決定的なネタになる","Drawing Owada
Become a decisive material",0.1111111111111111
"I know. There's no way Executive Director Owada would carelessly leave behind any evidence, right?","だよな 大和田常務がそんな証拠を
簡単に残すわけはないか","Daeda Owada is such evidence
Isn't it easy to leave?",0.15384615384615385
"Besides, the first thing you guys need to do right now is get through the FSA inspection.","それに 今 お前らは金融庁検査を
乗り切らなきゃならないんだろ","Besides, now you are financial agencies
I have to get out",0.25
Kondo. Do you think you can get President Tamiya to testify?,"近藤
田宮社長の証言は取れないか？","Kondo
Can I get a testimony of President Tamiya?",0.375
"Tamiya Electric was asked by Owada, and",タミヤ電機は大和田に頼まれて,Tamiya Electric is asked by Owada,0.5555555555555556
was saddled with a meaningless debt of 30 million yen.,"意味のない
3000万の借金を背負わされたんだ","Meaningless
I was backed by 30 million debts",0.26666666666666666
I'm sure President Tamiya isn't too pleased about it.,"田宮社長も
面白いとは思ってないはずだ","President Tamiya
You should not think it is interesting",0.23529411764705882
We can use his testimony as evidence to bring Owada down.,"その証言があれば
大和田を追い詰める証拠になる","If there is a testimony
Become evidence to chase Owada",0.2222222222222222
