en_text,jp_text,google_translated,score,semantic_score
The large carriers of old,任務内容の質も大きく変動した,The quality of the mission content also fluctuated greatly,0.18181818181818185,0.1937792
were designed to be capable of operating 70-80 aircrafts.,七八十機の航空機を運用できるように設計されていた,It was designed to operate Seven 10 aircraft,0.125,0.7015174
"However, nowadays, there are few opportunities",しかし　現在それほどの航空機をフルに活用する機会は少なく,"However, there are few opportunities to make full use of so much aircraft",0.4,0.502576
Thank you very much for your cooperation on this occasion.,今回は協力していただき　ありがとうございます,Thank you for your cooperation this time,0.5,0.78381294
"It helps us of the Marine Corps as well, \Nto have an opportunity to move a landing ship.",いえいえ　われわれ海兵隊も揚陸艦を動かす機会があって助かります,No Eat Marine Corps also helps to move the landing ship,0.3478260869565217,0.73212934
Our primary duty now,今のわれわれの主任務は,Our chief of our current,0.14285714285714285,0.5453791
"is not the expeditious delivery of aircraft to battlefields,",航空機を迅速に戦場へ届けることではなく,Not delivering aircraft to the battlefield quickly,0.3076923076923077,0.8031326
but the maintenance of Objects at sea.,海上でのオブジェクトの整備,Maintenance of objects at sea,0.625,0.86718994
And to provide security and defense during those times.,そしてその間の警戒や防衛を行うこと,And to do alert and defense during that time,0.3076923076923077,0.7262118
I suppose this is yet another way in which the times have changed.,これもまた時代の流れですかな,This is also the flow of the times again,0.2222222222222222,0.62395626
"If both your hands are busy, you won't be able to do any work.",両手を塞いでは何の作業もできんじゃろう,I can do what work can be done by blocking both hands,0.21739130434782608,0.7880464
What in the world did you come up all this way for?,おぬしは一体何しにここまで上がって来たんじゃ,What did the boosts have come up to here?,0.35294117647058826,0.3498516
"But, I mean, it's high and it sways up here and it'll be dicey if I fall!",いやだって　揺れるし高いし落ちたらやばいし,"No, it's easy to shake and it is good if it falls",0.20833333333333331,0.3676924
Why is no one wearing lifelines or anything?!,なんで誰も命綱とかつけてないんっすか,Why is anyone not spent with lifelines,0.21428571428571427,0.7686265
You can attach your lifeline when you really go to risk your life.,命綱なんてもんは　本当に命を預ける時につけりゃいい,Lifelines are good when you really leave life,0.25,0.7045608
What's that?,何ですかあれ？,What is it?,0.3333333333333333,0.55548674
They'll be installed in the cockpit.,コックピットに設置する,Install on the cockpit,0.2,0.7045558
A fridge and a microwave...,冷蔵庫と電子レンジ…,Refrigerator and microwave ...,0.5,0.90549946
Wait. No fair! We're always getting rations that look like erasers!,俺たちはいつも消しゴムみたいなレーションなのに,We are always like erasing rubber,0.17647058823529413,0.4397937
Is the Princess planning to eat casseroles and hamburgers and fried chicken all by herself?!,お姫様だけグラダンとかハンバーグとかフライドチキンとか食べる気か！,Do you want to eat grade or hamburg or fried chicken only for princesses!,0.2,0.6493578
It's not unfair.,汚くない,Not dirty,0.16666666666666666,0.118830316
"Her power of concentration alone can alter the course of a battle,",あの子の集中力一つで戦局が変わるのじゃから,Because the battle station changes with one of the concentrations of that child,0.15,0.43767294
so this level of consideration is a matter-of-course.,これくらいの配慮は当然じゃ,Naturally the consideration is,0.18181818181818185,0.72803456
"But just by heating up fried chicken in the microwave,",でもお姫様はフライドチキンを電子レンジで温めるだけで,"However, the princess only wars fried chicken with a microwave oven",0.2777777777777778,0.71830046
Fried chicken!,フライドチキン！,fried chicken!,1.0,0.99999994
"So, what about this enemy that you people are in pursuit of?",それで　あなた方が追っている敵というのは…,So the enemy you are following ...,0.2352941176470588,0.63968706
"Hey, brother, ready for this fight?","{\fad(200,200)\be5}Hey brother, ready for this fight?","HEY BROTHER, READY for this Fight?",1.0,0.9875254
ichi ka hachi ka no live or die,"{\fad(200,200)\be5}イチかバチかのlive or die",Live or dieg,0.25,0.5217824
"To those days of being scared and just coping, bye bye bye","{\fad(200,200)\be5}怯えてやり過ごすだけの日々にbye bye bye",I'm going to sing and try by Eye bye bye bye bye bye,0.16666666666666666,0.37503144
Don’t stop!!,"{\fad(200,200)\be5}Don't stop!!",DON'T STOP !!,0.2857142857142857,0.97147787
furishikiru dangan kakiwake,"{\fad(200,200)\be5}降りしきる弾丸かき分け",Rounded bullet crack,0.0,0.11316868
Get up!!,"{\fad(200,200)\be5}Get up!!",get up !!,1.0,1.0000005
azayaka ni kimeru 2-step,"{\fad(200,200)\be5}鮮やかに決める2-step",Vividly decide 2-STEP,0.16666666666666666,0.3659278
Shut up!!,"{\fad(200,200)\be5}Shut up!!",Shut UP !!,1.0,0.9999998
"Right now, even if everyone and anyone and everything and anything","{\fad(200,200)\be5}今誰も彼もあれもこれも目を背け逃げ出しても","Today too, even if this also disappears",0.2,0.33802053
"You alone, I’ll never abandon","{\fad(200,200)\be5}見捨てはしない君だけは",I can not abandon,0.2,0.7945958
Let’s go!! One more chance!! kaeteyarou kono scene,"{\fad(200,200)\be5}Let's go!! One more chance!!",Let's Go !! One More Chance !!,0.5,0.5861429
Overcoming even those tears and that pain,"{\fad(200,200)\be5}その涙もその痛みも越えて",The tears also beyond that pain,0.3,0.7640779
"Going on to that next, as yet unseen stage","{\fad(200,200)\be5}まだ見ぬ次のステージへ",To the stage of the next stage,0.25,0.7448507
sou sa nanben datte one more try!!,"{\fad(200,200)\be5}そうさなんべんだって One more try!!",That's why ONE MORE TRY !!,0.3636363636363637,0.30775887
Let’s go!! One more chance!! Show them that spirit,"{\fad(200,200)\be5}Let's go! One more chance!!",Let's Go! One More Chance !!,0.4615384615384616,0.70786893
"We believe, right?!","{\fad(200,200)\be5}信じてるだろ!!　その痛みは",I believe !! The pain is,0.2,0.33715644
That pain will someday become strength that’s there for someone,"{\fad(200,200)\be5}いつか誰か癒やす強さに",someday someone healing strength,0.25,0.708431
sou sa kaete ikenzo one more try!!,"{\fad(200,200)\be5}そうさ　変えてけんぞ　One more try!!",Let's change the change ONE MORE TRY !!,0.3333333333333333,0.25282943
We’re not gonna walk away!!,"{\fad(200,200)\be5}I'm not gonna walk away!!",I 'M NOT GONNA WALK AWAY !!,0.5454545454545454,0.9079129
It's life-and-death just doing maintenance.,整備だけで命懸けだよ,It is life alone with maintenance,0.18181818181818185,0.8260004
"Or rather, what's the Mass Driver Conglomerate?",ていうか　マスドライバー財閥って何？,Such or Mass Driver What is the Board?,0.4615384615384616,0.59834033
who possess the best mass driver construction tech in the world.,世界最高のマスドライバー建造技術を持ったお金持ちの集団だ,It is a group of money with the world's best mass driver construction technology,0.3,0.8212142
It seems like Miss Frolaytia is spending more time than usual,なんかいつもよりフローレイティアさん　時間をかけて作戦練ってるみたいだけど…,"It seems that something is more than usual, and I'm going to work.",0.2857142857142857,0.33079353
It's politically complicated in a lot of ways.,政治的にいろいろと複雑なの,"Politically, it is complicated",0.25,0.90037346
Why are you wearing your special suit for sunbathing?,なんで日光浴に特殊スーツ？,Why is a special suit for sunbathing?,0.5,0.93198127
"and investing it like crazy in promising companies,",ここ最近はその資本を将来有望な会社にガンガン投資して,"Recently, I invest in the promising company in the future",0.2,0.6208383
researching and developing technology required for mass drivers.,マスドライバーに必要な技術を研究開発させていたんだ,I was researching and developing the necessary technology for the mass driver,0.42857142857142855,0.86315155
They fire shuttles and containers up into satellite orbit.,シャトルとかコンテナを衛星軌道上に打ち上げるの,Launching Shuttle or Container on Satellite Orbit,0.13333333333333333,0.59437937
They say it's more convenient than using space shuttles.,スペースシャトルよりもお手軽なんだって,It's easier than the space shuttle,0.2857142857142857,0.8050902
"In its own way, this is...",これはこれで…,This is this ...,0.375,0.44956243
"Uh, so why is this mega-rich Mass Driver Conglomerate our enemy?",あで…　その大金持ちのマスドライバー財閥がなんで俺たちの敵になってるわけ？,Oh ... that's the Masu Driver Bukcro's Mass Driver Board is that our enemies?,0.2272727272727273,0.57316613
The Mass Driver Conglomerate,マスドライバー財閥は一方的に資本企業から脱退したんだ,Mass driver Tsukuri has left the capital company unilaterally,0.3,0.4233596
It was closer to a coup d'etat than a defection.,亡命というよりクーデターに近い,Close to the coup,0.16666666666666666,0.5466559
But why do such a thing?,しかしなんでそんなこと…,But that ...,0.1111111111111111,0.25717685
It's the result of a simple tech adoption war.,単純な「採用戦争」の結果だよ,"It is the result of a simple ""recruitment war""",0.4666666666666667,0.5162805
Tech adoption war?,採用戦争？,Hiring war?,0.4,0.41151452
"In an attempt to solve the cost issue of space development,",宇宙開発のコスト問題を解決しようと,Try to solve the cost problem of space development,0.5,0.9446337
people have been vetting new methods,ずーっと前からシャトルに代わる新方式が検討されてきたわけだが,The new scheme replacing the shuttle has been considered,0.16666666666666666,0.23720963
"But having come this far,",ここに来て,come here,0.14285714285714285,0.4183875
the final remaining candidates were the mass driver method,最後に残った候補がマスドライバー方式と,Lastly remaining candidate is the mass driver method,0.4545454545454545,0.8976749
and the orbital elevator method utilizing laser technology.,レーザーの技術を応用した軌道エレベーターだったんだ,It was an orbital elevator that applied laser technology,0.2857142857142857,0.8678191
However...,ところが…,However…,0.0,0.7746707
The Capital Enterprise ultimately chose the laser method.,資本企業は最終的にレーザー式を選んだ,Capital companies finally selected a laser type,0.15384615384615385,0.7731907
The Mass Driver Conglomerate panicked and tried to get their technology adopted,焦ったマスドライバー財閥は情報同盟や信心組織に採用してもらおうとしたが,An attempt to get a burnt mass driver bovine climate,0.2222222222222222,0.27748552
"but the Capital Enterprise nixed that, too.",ここでも資本企業から待ったがかかった,"Here too, I waited for a capital company",0.2,0.4175226
to profit other powers.,うちで開発された技術がほかの勢力の利益を生むのは許さない　ってな,The technology developed in the house does not allow the benefits of other powers,0.13333333333333333,0.4393363
I guess that made the Mass Driver Conglomerate blow their top.,それでマスドライバー財閥もぶち切れたんだろ,So the mass driver Tsukako also had a lot of,0.15789473684210525,0.4946088
"You'd better go into this more prepared than usual, too.",てめぇもいつも以上に準備をしっかりしておいたほうがいいぜ,It is better to have prepared more than usual more than usual,0.29411764705882354,0.74690884
Then...,なら…,If ...,0.3333333333333333,0.5086373
I want fried chicken.,フライドチキンが欲しいな,I want fried chicken,0.8,0.9837372
Hey! This is the battlefront where there's nothing but tasteless rations!,こっちも体力勝負だ,This is also a powerful match,0.1176470588235294,0.0654721
"What a thing to say, child?!",おバカ！　そんなこと言ったら食べたくなるでしょう？,"fool!If you say such a thing, would you like to eat?",0.4375,0.22287388
What? Don't you want some?,えー　食べたくない？,Do you want to eat?,0.4444444444444444,0.3991303
"Where when you bite into it, the chicken fat oozes,",こう噛むと　じわっと鶏の脂が口の中に広がってさ,"When I bite this, my chicken fat spreads in the mouth",0.35294117647058826,0.8036294
And with a bit of lemon to add some tang...,ちょっとレモン風味もつけて…,A little lemon flavor ...,0.2307692307692308,0.59337926
You can have some.,食べられるよ,I can eat it,0.125,0.46125433
and it looks like they loaded up on all kinds of foods for the party.,そのパーティーにいろんな食べ物を持ち込んでいたみたい,It looks like I was brought in various food to that party,0.16666666666666666,0.70247626
We're too late!,遅かった！,late!,0.4,0.638587
"It's what you call, ""The party is over.""",パーティー　イズ　オーバーってやつだ,Party Ize is a guy,0.125,0.34420913
"It's only a little, but there's still uneaten food!",まだわずかだが食い残しがある,There is still little but left,0.2857142857142857,0.4744033
Leftovers.,残飯,Residency,0.0,0.16803887
Don't say that!,残飯言うな！,Don't say it!,0.6666666666666666,0.85265934
"What's this? You guys got wind of this, too?",なんだ　お前たちも嗅ぎつけたのか,What did you snelt?,0.2307692307692308,0.10436299
"First, the deer in Alaska, and now, this.",アラスカの時の鹿といい,Good with deer at the time of Alaska,0.2,0.8140169
It looks like this lady's got quite the superb nose as well.,この人もかなり素晴らしい鼻を持っているような…,This person seems to have a pretty wonderful nose ...,0.09090909090909093,0.7295765
All right!,よし！,OK!,0.25,0.5649409
These are nuggets! These are karaage fried chicken!,こっちは唐揚げ,This is fried chicken,0.2222222222222222,0.6694048
What I want is bone-in!,俺は骨付きが欲しいんだよ,I want a bone with a bone,0.2222222222222222,0.71908504
"If it's fried chicken, there's some here.",フライドチキンならここにあるぞ,It is here if it is fried chicken,0.4545454545454545,0.829018
Yum!,うまい！,good!,0.3333333333333333,0.36211058
"It's already cold and I don't get the oozing fat, but even then, it's yummy!",すでに冷たくなってて　脂がじわっとはいかないけれど,I'm already cold and I can't get lost,0.2857142857142857,0.4638493
"It's too bad there's no lemon, but even then, it's yummy!",レモンがないのも残念だけれど　それでもうまい！,It is also a pity that there is no lemon but it is good!,0.3157894736842105,0.86189735
That thing where a woman wraps herself around a pole?,なぁ　ポールダンスってあるじゃん？,Is there a pole dance?,0.2307692307692308,0.5940126
How does that work?,あれどうやんの？,How is it?,0.2857142857142857,0.39349297
"No, that's not what I meant...",いや　そうじゃなくてだな,"No, it's not so",0.3636363636363637,0.46582958
by friction between the brass pole and the person's skin.,基本的には真鍮製の棒と肌の摩擦で身体を固定しているだけよ,"Basically, only a brass stick and skin friction is fixed with the friction of the skin",0.25,0.70073533
It goes...,具体的にやると…,If you do it concretely ...,0.2857142857142857,0.24776566
...kind of like this.,こんな感じ,Like this,0.3333333333333333,0.58572114
"Miss Frolaytia, why are you so proficient?",フローレイティアさん　なんでそんなに手慣れてるの？,Floretia Why is it so good?,0.2307692307692308,0.47490364
"At victory parties after successful operations,",作戦成功時の戦勝パーティーなんかで,With the victory party at the time of operation success,0.14285714285714285,0.84849167
I've occasionally needed to display a hidden talent.,たまに隠し芸をやる必要があってな,Sometimes I need to do a hidden art,0.2857142857142857,0.58624876
the soldiers on-site become doubly motivated.,現場の兵士のやる気が倍増する,The motivation of the on-site soldiers doubles,0.3,0.60580695
"Ordinarily, you're supposed to do this with bare legs, though.",あと　これをやると何故か,Why if you do this,0.2,0.3019732
The stockings are nice in their own way...,本来は生足でやるべきなんだけどさ,"It should be done in the beginning, but",0.125,0.06521405
"W-Well, with titan tits like that, \Nseeing her do those contortions,",そりゃこんだけの爆乳でくねくねされたら,If it is taught with huge tits with,0.1176470588235294,0.43795714
"Incidentally, our Princess can do the same thing.",ちなみにうちのお姫様も同じことができるぞ,"By the way, my princess can also be the same",0.3333333333333333,0.6693217
If a slender girl does it...,華奢な女の子がやると,When a slender girl does,0.5,0.8266063
C-C-Cold! What?!,冷たい！　何！,cold! what!,0.4,0.69789183
and attack a vacation home on the moon?,月面の別荘を攻撃しようとしたんですか？,Did you try to attack the moon villa?,0.2857142857142857,0.57234883
"I was planning to say this in the briefing after this,",この後のブリーフィングで言おうと思ってたんだが,I was thinking of saying this after this briefing,0.35714285714285715,0.8824837
The Capital Enterprise major general staying at the vacation home,別荘に滞在していた資本企業の少将さまが,Major general from capital companies who were staying in the villa,0.3333333333333333,0.60264546
had a lot of power over military satellites and space stations.,軍事衛星や宇宙ステーションに強い権限を持っていたの,I had strong authority to military satellites and space stations,0.375,0.6349222
They were just taking it out on him?,ただの逆恨み？,Just reversed?,0.2,0.28031445
"In the end, if this is a power struggle within the Capital Enterprise,",結局　資本企業内の勢力争いってことなら,"After all, if it is a fight in the capital company",0.3888888888888889,0.6501313
"Currently, the Mass Driver Conglomerate is in the middle",現在マスドライバー財閥は資本企業に追われて,"Currently, Mas Driver Bako is chased by capital companies",0.26666666666666666,0.49251342
of a massive migration to the Iguazu region in South America,南米大陸のイグアス方面に大移動中なんだけど,It is very moving in the direction of Iguas of South American continent,0.21052631578947367,0.71851325
"If I remember right, that's near where",そう　月面の別荘みたいに変な逆恨みされても困るのよ,"That's also a troubled back of the moon, I'm troubled",0.2352941176470588,0.18925989
a Legitimate Kingdom space development base is being built.,その近くには確か正統王国の宇宙開発基地が建造中,"Certainly, the space development base of the Local Kingdom is confirmed",0.3125,0.73512524
"Not only that, but our launch method is the laser method.",しかも　発射方式はレーザー式,"Moreover, the laser type is laser type",0.2857142857142857,0.44127092
This is a war to secure our safety?,安全を確保するための戦争？,War to secure safety?,0.5555555555555556,0.89090806
"Commence ""Iguazu Region Beach Landing Operation!""",イグアス方面　海岸上陸作戦開始,Iguazu Interview,0.1,0.6004461
"The objective is the annihilation of the Mass Driver Conglomerate,",目的は　内陸部へ入り込んでくるであろうマスドライバー財閥の殲滅,The purpose is the destruction of the mass driver flants that will come to the inland area,0.2777777777777778,0.5358607
"Let's go, Qwenthur.",行こうぜ　クウェンサー,Let's go wesser,0.42857142857142855,0.30242065
"Once the Princess secures the coastline, we land, too.",お姫様が海岸線の安全を確保したら　俺らも上陸だ,"If the princess secures the safety of the coastline, we are also landing",0.375,0.8681099
the Mass Driver Conglomerate's Object?,マスドライバー財閥のオブジェクトは　まだ確認できないんですか,Can I still have an object of the mass driver,0.3076923076923077,0.66435534
"but like in Oceania, it could be a dummy.",オセアニアと同じで張りぼてかもしれない,It may be the same as Oceania,0.2,0.7414536
The Andes Mountains of South America,南米のアンデス山脈は標高六千メートルを超える,South America's Andes Mountains exceed the elevation six thousand meters,0.4166666666666667,0.7998064
The southeast trade winds on the Pacific side are crazy this year,今年は太平洋側の南東貿易風がいかれてて,This year is the South East Trade Wind on the Pacific Side,0.4666666666666667,0.8614847
and mineral dust mixed in with the clouds is drifting inland.,雲と混ざった粉塵が内陸部へ流れているの,Dust mixed with clouds is flowing to the inland area,0.4666666666666667,0.8137496
"In other words,",つまり　所々衛星でスキャンできない場所があると…,"In other words, if there is a place where you can not scan on a satellite ...",0.2352941176470588,0.15374321
