en_text,jp_text,google_translated,score
"I'm so upset, I could die.",悔しくって死にそう,I regret and die,0.2
"But I hope we're good now, in high school.",高校ではよろしくね,Thank you in high school,0.21428571428571427
"Yes, let's get along.",そうね 仲良くやりましょう,"Well, let's get along well",0.625
Hug.,ハグ,hug,0.5
"U-Um, Kousaka-san...",あ…あの 高坂さん…,Oh ... That Takasaka ...,0.14285714285714285
You said you were going to talk \Nto Kousaka-san today.,何やってんの 行け行け,Going to go,0.18181818181818182
I'll talk to her during club today...,分かってるよ 今日の部活の時話しかけてみるよ,I know I'm talking about the time of the club activities today,0.17647058823529413
"You said that yesterday, too!",昨日もそう言ってたでしょー,I said so yesterday,0.2222222222222222
"Wait, Hazuki-chan!",ちょっと葉月ちゃん,Hazuki-chan,0.25
"Go, Kumiko!",行け 久美子,Kumiko Kumiko,0.25
What's wrong?,どうしたの 大丈夫？,What's wrong? Are you okay?,0.5714285714285714
Really?,本当に？,Really?,1.0
All right.,全然大丈夫,All right,0.6666666666666666
Two weeks since the entrance ceremony.,入学式から二週間 私はまだ高坂さんと話せずにいた,Two weeks from the entrance ceremony I was still not talking with Takasaka,0.3333333333333333
Because you didn't talk to her properly.,ちゃんと話さないからでしょ,I do not talk properly,0.16666666666666666
"It's your fault, Hazuki-chan...",葉月ちゃんのせいじゃんか,Hazuki-chan's fault,0.42857142857142855
I'm going to apologize?,私が謝るのか,Do I apologize,0.2857142857142857
Then there's nothing to worry about.,そうだよね,That's true,0.1
I think it'll work out.,じゃあ むしろ気にすることじゃないじゃん,Well then I'm not aware of it,0.15384615384615385
But man...,でもなぁ,But,0.3333333333333333
You're such a pain!,めんどくさっ,Manto,0.0
"Right, we're choosing \Ninstruments today, aren't we?",そういえば 楽器決めるのって今日だっけ,"Speaking of which, it is today to decide the instrument",0.10526315789473684
"Are you continuing on \Ncontrabass, Midori-chan?",緑ちゃんはコンバス続けるの？,Midori-chan continues to be convers?,0.16666666666666666
Of course.,もちろんです,of course,0.6666666666666666
I do.,命賭けてます,I'm a favorite,0.16666666666666666
"If it came down to it,",そうですね 強いて言うなら,"Yes, if you say strong",0.2
I'd stake my life on it!,そんなに好きなんだ コンバス,I like it so much,0.18181818181818182
Huh? Why?,え なんで,Huh? Why,1.0
"I could apply for another instrument, too.",あ そっか 私だって別の楽器希望してもいいんだよね,"Well, I hope you would like another instrument even if I",0.25
"Yeah! That might be nice, also.",うん それもいいかな,Yeah I wonder if that is good,0.14285714285714285
