en_text,jp_text,google_translated,score
Lastly...,最後に,Finally,0.0
Kitauji High School representing Kyoto.,プログラム十六番　京都府代表　北宇治高等学校,Program 16th Kyoto Prefectural Representative Kita Uji High School,0.25
ko,"{\be0.5\fad(250,200)}「いま！」という　この瞬間","This moment of ""now!""",0.0
楽,"{\be0.5\fad(250,200)}なんだって　音楽に　出来たらいいのに",What should I do for music,0.0
We still haven't shown our full potential,"{\be0.5\fad(250,200)}まだ　全力で　やり切ってない",I have not done it with all my strength,0.0625
春,"{\be0.5\fad(250,200)}悔し涙　拭ったんだ　青春のフレージング",regret tear wiped youth framing,0.0
If our efforts give birth to miracles,"{\be0.5\fad(250,200)}奇跡が　努力の　先にあるなら",If the miracle is at the end of the effort,0.07142857142857142
限,"{\be0.2}{\pos(1440,520)\fsp115}月隠",Tsukida,0.0
一,"{\be0.5\fad(250,200)}もう一回　大げさな夢を　探しにいこう",Let's look for a big dream again,0.0
The courage to persevere is true strength,"{\be0.5\fad(250,200)}止めない　勇気こそ　強さ",The courage not to stop,0.3333333333333333
How many times will we try,"{\be0.5\fad(250,200)}何百回　挑戦かさねて　ここまで来た",How many times a hundred times challenged,0.3333333333333333
挑,"{\be0.2}{\pos(1475,605)\fs55\fsp8}小小病",Small and small sickness,0.0
"Gaze upon us, God of Chance","{\be0.5\fad(250,200)}チャンスの神様　みててね",The god of chance,0.375
May I never forget this melody,"{\be0.5\fad(250,200)}忘れたくないメロディ",I do not want to forget the melody,0.2727272727272727
May I never lose this melody,"{\be0.5\fad(250,200)}離したくないメロディ",Melody I do not want to release,0.18181818181818182
"Shining brilliantly, may it resound my feelings!","{\be0.5\fad(250,200)}輝きに変えて　想いよ　届け…！",Change to shine and deliver it ...!,0.13333333333333333
"We would never have gotten this far without the support of our teachers, parents, and guardians.",先生や保護者の方々　そしてみなさんのおかげです,Thanks to the teachers and parents and everyone,0.19047619047619047
Thank you so much for everything.,本当にありがとうございます,thank you very much,0.375
The second part of the wind ensemble competition will be held late October in Nagoya.,全日本吹奏楽コンクールは十月の末から名古屋で行われます,All Japan Bandie Conjustment will be held in Nagoya from the end of October,0.38095238095238093
We'll be practicing hard to make sure we bring back some good news.,こうして私たちが活動できているのも,In this way we are also able to work,0.09523809523809523
"Now, it's time for our final song:",それでは最後の曲です,So it is the last song,0.14285714285714285
"""Academic Paradise.""",『学園天国』,"""Gakuen Heaven""",0.2857142857142857
earned gold at the Kansai Competition and landed a slot at the National Competition.,関西大会で金賞を取り　全国大会に出場を決めた,We decided to participate in the national tournament at the Kansai tournament,0.2222222222222222
"Oh, I know. Let's do something crazy to get more customers.",ダメですよ　二人とも　笑顔を絶やさないようにしないと,"It is no good, even if you do not want to smile",0.125
Please stop by.,みんな見るだけで入ってこないね,Everybody looks just by looking,0.125
There's delicious cake for all!,美味しいケーキもあります,There is also a delicious cake,0.3
Doesn't anyone like an aggressive maid anymore?,ダメかな　アグレッシブメイド喫茶,Dame care aggressive maid cafe,0.16666666666666666
It'd be a miracle if we got any customers.,これで繁盛したら奇跡ですね,It is a miracle if it is prosperous,0.3076923076923077
"I'd like to see a menu if you don't mind, waitress-san.",お茶がしたいので　メニューをいただけるかしら,I want to make tea so I can get a menu,0.19047619047619047
Here's our miracle!,来たよ　奇跡,I came to the miracle,0.1111111111111111
I didn't look good at all. Midori-chan's a different story though...,似合ってないよ　緑ちゃんならわかるけど,I do not look good I understand if it is green,0.13636363636363635
"Yeah, there are girls out sick, so we're filling in.",二人はまだシフトなの,The two are still shifted,0.058823529411764705
"So, where do you wanna go?",ね　どこに行く,Now where you go,0.3
"Okay, then let's go to the cat café that Midori-chan told us about.",じゃ　緑ちゃんお勧めの猫カフェ行こうよ,Let's go green-chan recommended cat cafe,0.21052631578947367
I thought we weren't allowed to bring animals to school.,動物の持ち込みって禁止なんじゃないの,I'm not prohibited to bring in animals,0.26666666666666666
Hello.,こんにちは,Hello,0.5
Hi.,どうも,Thanks,0.0
You're here?,あのう　えっと　ここ？,That's right here?,0.2857142857142857
"Yeah, she really isn't cut out for customer service.",接客業には向いてないよね,It is not suitable for the service business,0.17647058823529413
I don't remember ordering The Leaning Tower of Pisa.,私　ピサの斜塔なんて頼みましたっけ,I asked for the Leaning Tower of Pisa,0.46153846153846156
"This is our specialty, strawberry crêpe, ma'am.",これが当店のスペシャリティー　いちごクレープですよ　お客様,This is the specialty strawberry crepe of our shop Customer,0.35714285714285715
Please enjoy.,サービスでーす　ゆっくりとお召し上がりください,Please enjoy it slowly,0.4
Fine.,わかったわよ,I understand,0.0
Challenge accepted.,受けて立とうじゃない,I'm not receiving,0.0
Nozomi-senpai?,希美先輩？,Nozomi senior?,0.25
Welcome.,いらっしゃい,welcome,0.5
"Do you want to eat that too, Nozomi?",希美もあれ食べたい？,Want to eat there?,0.36363636363636365
"Huh? No, thanks for offering though.",いや　気持ちだけで十分だよ,No feeling alone,0.09090909090909091
Geez.,もう,already,0.0
Where to next?,次　どこ行く,Where to go,0.4
Let me see...,そうだな,Yes,0.0
"Oh, there's a play going on.",演劇やってるじゃん,I'm doing play,0.08333333333333333
"It's called ""Ondine,"" apparently.",『オンディーヌ』だって,"""On Dyne""",0.18181818181818182
But it starts in ten minutes.,でもあと10分で始まっちゃうぞ,But I'll start in 10 minutes,0.2727272727272727
Shuuichi?,秀一？,Hidori?,0.3333333333333333
"We'll be sure to help you guys out during practice, so don't worry too much, okay?",部活の方は私たちも力を貸すから　頑張りましょうね,"If you live in club activities, let's do our best because they lend power",0.09090909090909091
Thank you very much.,よろしくお願いします,thank you,0.4
"Now that I think about it, where's Taki-sensei?",それはまあ　ね,That's it,0.2727272727272727
"Oh, he was with us a little while ago, but...",ああ　先まで一緒にいたんだけど,"Oh, I was together",0.21428571428571427
They have him surrounded.,囲まれてる,Surrounded,0.2
Did you tell her?,あの子に話したの？,Did you talk to that child?,0.3333333333333333
About Taki-kun.,燕尾服かっこよかったです　指揮のとき…,It was good to wear Saio clothes.,0.1
Reina...,麗奈,Reina,0.5
Taki-sensei!,滝先生,Professor of Waterfall,0.0
Hashimoto-sensei is waiting for you over there.,橋本先生があちらでお待ちです,Mr. Hashimoto is waiting for you,0.4
"Well he was waiting in the hallway, wasn't he?",廊下で待っていたのは本当でしょ,It is true that I was waiting in the hallway,0.3333333333333333
What?,なに,what,0.5
I wonder if Taki-sensei knows \Nabout Reina's... true feelings.,麗奈の気持ち,Reina's feelings,0.25
I wonder how she felt.,いうわけないよね,I can not say,0.1111111111111111
I wonder what she was feeling when she...,どんな気持ちで　滝先生を…,What kind of feeling is the waterfall teacher ...,0.21428571428571427
Kumiko!,久美子！,Kumiko Kumiko!,1.0
Are you okay?,驚かせちゃった？,Were you surprised?,0.3333333333333333
What? Know them?,なに　知り合い？,What to know?,0.6
I'm drawing a blank.,心当たりないけど,I do not hear,0.1111111111111111
Kaori-senpai?,香織先輩？,Kaori senior?,0.25
Our class is doing a dance performance.,うちのクラス　ダンスパフォーマンスやってて,Class dance performance,0.375
That's amazing.,すごい,very,0.0
"Oh, that's right. Did you already go to Asuka's class?",あすか先輩か　どう　行ってみる？,How do you go for Asuka seniors?,0.2222222222222222
"No, not yet.",いえ　まだですけど,"No, but still",0.2857142857142857
"Then, I suggest you do.",それじゃ　お二人とも　楽しんでね,Then you enjoy both people,0.2
I'm gonna head back to my class.,そろそろクラス戻るね,Soon we will return to class,0.14285714285714285
Come stop by.,二時半までは当番でいる予定らしい　遊びに来て,Come to a play that is scheduled to be a dot until half,0.07142857142857142
Sure.,わかった,all right,0.0
Welcome... my dear lost sheep!,ウェルカム　迷える子羊よ,Welcome lamb,0.125
"Wow, that looks really good on you.",似合いますね,It looks good,0.2
Doesn't it?,多すぎません？,Isn't it too much?,0.42857142857142855
Don't you only need one?,他の人は何をしてるんですか,What do others do?,0.2222222222222222
"Hey, how about I tell your fortune?",ね　占ってあげよっか,I'm talking about it,0.16666666666666666
"Geez, you're no fun. You should embrace it and go with the flow.",結構です,No thank you,0.125
"Like ""Tell me all about my love life!""",「え？じゃ　私の恋の相談しちゃおう」的な,"""Let's consult my love.""",0.26666666666666666
What do you even know about me?,あすか先輩に私の何がわかるっていうんですか,What does I understand about me to Asuka seniors,0.21428571428571427
Now I'm not telling you if your boobs are gonna get bigger or not!,ほら　怒られてるじゃないですか,I'm not angry,0.17647058823529413
