en_text,jp_text,google_translated,score,semantic_score
"Asuka, say you're quitting.",あすか　この場で「退部する」と言いなさい,"Asuka says, ""I will leave""",0.15384615384615385,0.737515
I think it's time that we support her instead.,今度はわたしたちがあすかを支える番だと思う,I think that we will support Asuka this time,0.42857142857142855,0.5651842
間,"{\be0.5\fad(250,200)}「いま！」という　この瞬間","This moment of ""now!""",0.0,0.25300416
ima to iu kono shunkan,お母さん　わたし部活やめたく…,Mom Mom I wanted to do club activities ...,0.08333333333333333,0.1392599
って,"{\be0.5\fad(250,200)}なんだって　音楽に　出来たらいいのに",What should I do for music,0.0,0.11838148
ryo,"{\be0.5\fad(250,200)}まだ　全力で　やり切ってない",I have not done it with all my strength,0.0,0.06929545
kuyashi namida nuguttanda seishun no phrasing,"{\be0.5\fad(250,200)}悔し涙　拭ったんだ　青春のフレージング",regret tear wiped youth framing,0.0,0.12124521
跡,"{\be0.5\fad(250,200)}奇跡が　努力の　先にあるなら",If the miracle is at the end of the effort,0.0,0.08190462
け,"{\be0.2}{\pos(1440,520)\fsp115}月隠",Tsukida,0.0,0.22924048
oo,"{\be0.5\fad(250,200)}もう一回　大げさな夢を　探しにいこう",Let's look for a big dream again,0.0,0.21243821
yo,"{\be0.5\fad(250,200)}止めない　勇気こそ　強さ",The courage not to stop,0.0,0.13670813
ね,"{\be0.2}{\pos(1475,605)\fs55\fsp8}小小病",Small and small sickness,0.0,0.23353781
"Watch us go, God of chances","{\be0.5\fad(250,200)}チャンスの神様　みててね",The god of chance,0.2222222222222222,0.6585604
I never want to forget this melody,"{\be0.5\fad(250,200)}忘れたくないメロディ",I do not want to forget the melody,0.5,0.88210034
I never want to lose this melody,"{\be0.5\fad(250,200)}離したくないメロディ",Melody I do not want to release,0.4,0.6701365
Change them into a new light and show my true feelings!,"{\be0.5\fad(250,200)}輝きに変えて　想いよ　届け…！",Change to shine and deliver it ...!,0.17647058823529413,0.36743897
Kumiko.,久美子,Kumiko,0.5,0.97576004
Your sister's up!,お姉ちゃんだよ,I'm an older sister,0.1111111111111111,0.50462866
"Mom, I want to do that too.",お母さん　久美子もあれやりたい,Mom Miko Kumiko wants to do,0.25,0.52646905
Then it'll be fine when I'm in fourth grade?,じゃあ　四年生になったら　やってもいい？,"Well then, can I do it if you become a fourth grader?",0.2380952380952381,0.76936436
Of course it will.,入れるの　四年生からだから,Because it is from the fourth grader of putting it,0.16666666666666666,-0.0004777055
"Like I keep saying, I'm serious about this!",だから　最初から本気って言ってるでしょ,So I'm saying that I'm serious from the beginning,0.26666666666666666,0.5701201
Even though your graduation is only a year away?,あと一年で卒業なのに？,Is it graduation in one year?,0.3076923076923077,0.74886817
It'll be too late by then!,それじゃ遅いよ,That's late,0.1,0.41445974
It has to be now...,今じゃないと,It is not now,0.25,0.65256155
But why a beautician all of a sudden?,でも　どうして美容師なんて急に,But why a hairdresser suddenly suddenly,0.3,0.5420426
"""All of a sudden""?",急に？,suddenly?,0.125,0.6109347
I've said I wanted to be one since middle school!,中学校のときからなりたいって言ってた,I was saying that I was in junior high school,0.1176470588235294,0.5445577
