en_text,jp_text,google_translated,score
"My, this is rare.",あれれ 珍しいな,Unusual,0.0
"You beat Vega using light kicks alone, but you're losing halfway through.",小キックだけで ベガを倒すお前が,You can defeat Vega with only a small kick,0.09523809523809523
"If throw moves keep hurting you,",途中で やられっちまうなんてよ,I'm going to do it on the way,0.0
mash the buttons and joystick to break free!,"Two, one…","Two, One ...",0.0
so you're getting a little nervous.,ナーバスな気持ちに なっちまったんだろ,It has become a navas feeling,0.07692307692307693
"He actually asked me along, too.",実は俺も誘われたんだけど,Actually I was invited to,0.08333333333333333
No mercy for slowpokes!,グズは容赦なく置いていくぞ,Goz will put in safe place,0.0
"Just as lame and dull as ever, this boy...",相も変わらず トロくてダサい男だな,It is a man with a torrent man without changing the difference,0.0
The lamer and duller these guys are...,コイツら男どもが ダサければダサいほど,"If you can't das, if you can't das",0.0
the cooler and more stylish I'll appear!,俺のトレンディーな一面が 一層際立つってなもんだ,My trendy one side is still standing,0.0
but there's nothing to be shy about when it's a group!,皆で行くなら 恥ずかしくないだろ？,You're not embarrassed if you go with everyone?,0.0
and elevate my standing with her to an intimate relationship...,なんとか僕の株を上げ 親密な関係に…,I managed to raise my strain and intimate relationship ...,0.4
"And then, I'll make her promise to be my lawfully wedded...",そして婚約者になってくれる 事を約束させないと！,And if you do not promise to be a fiancee!,0.19047619047619047
"This is rare, Ono accepting an invitation.",大野さんが誘いに 乗るなんて珍しいね,It is rare to get invited by Mr. Ono,0.2
You never seemed into it before.,あまり気乗りしない 感じだったのに,I felt that I did not get rid of much,0.0
That's because her heart leapt upon hearing my plan!,そりゃ僕のプランに 心が躍ったからだろ,That's because I got my heart in my plan,0.42857142857142855
"Oh, how gazing at a beautiful flower doth enrich the soul...",美しい花を慈しみ 心を豊かにする,Make the beautiful flower rich,0.2
"Isn't that so, Miss Ono?",そうだろう 大野さん？,Oh yeah Ohno-san?,0.09090909090909091
This was the stage for glorifying my beautiful flower...,高嶺の花を賛美する 最高の舞台なのに…,Even though it is the best stage to praise Takashi's flower ...,0.21052631578947367
There's only one thing that makes my heart leap.,俺の心を躍らせる 存在がひとつ,One of the existence that makes my heart,0.35714285714285715
There's an arcade!,ゲームコーナーの存在…,Game corner existence ...,0.0
Ono doesn't seem too thrilled.,- 大野の奴 覇気がねぇな - ほーい,-Adoya's guy is not good-,0.0
The perfect stage for showing off my bravery!,僕を心強く見せる舞台が 揃ってるじゃないか,I wonder if I have a strong stage to see me,0.05555555555555555
"Don't worry now, just close your eyes!",目をつぶって行けば 大丈夫さ！,It is okay if you go through your eyes!,0.17647058823529413
These terror machines will work as a suspension bridge!,つり橋効果も狙える 絶叫マシーン！,Screaming machine that can also aim for the devoting bridge effect!,0.1
The perfect space to aim for second base!,Ｂまで行けるかもしれない 二人きりの空間！,B. A space of two people who may go up!,0.1111111111111111
"Ono, how about accompanying me to the Mysterious Woods Adventure?",僕と一緒に不思議な 森の冒険はどうですか？,How is the adventure of mysterious forest with me?,0.375
Or how about the House of Mirrors?,それとも ミラーハウスはどうだい？,Or how is the Miller House?,0.5
"I'll be your escort until the end, no wrong turns!",迷うことなく一発で出口まで エスコートしてあげるよ,I will escort to the exit in one shot without getting lost,0.13636363636363635
But isn't it fun taking a wrong turn?,迷うのが面白れぇんだろ？,It's funny to get lost?,0.13333333333333333
You have no idea how to have fun!,お前は遊びの 楽しみ方を知らねぇな,You know how to enjoy playing,0.2727272727272727
in a mega tough dungeon in Dragon Quest II...,迷って迷ってようやく抜けて ほこらに着いたあの快感,That pleasure to get lost and finally got lost,0.0
This jerk even has mousse in his hair!,- お前が余計な事言うから！ - 髪にムースつけてる,"-You is so extra, so!-In mousse to hair",0.1875
Hey! Let's split into boy-girl pairs and ride that thing!,ねぇアレに男女二人ずつで 別れて乗りましょうよ,"Hey, let's get along with two men and women.",0.2
"and please, everyone, enjoy your time in the skies!",各自思う存分に 空中で楽しんでくれ,Enjoy yourself in the air,0.23076923076923078
"All right, all right, just get off me!",いいから一回降りろ へへへ,To get down once,0.09090909090909091
This blows!,困ったな こんな事になるなら,If you are in trouble,0.0
let me see if there's a bone in your willy!,チンチンに骨があるのか 確かめさせて,Make sure that there is a bone in Chinchin,0.23529411764705882
I'll head home and polish off that homework.,家に帰って宿題でもするか…,Do you go home and do homework ...,0.21428571428571427
it's quite a shame to think this'll be the last arcade of the summer.,しかし夏休み最後の ゲーセンだと思うと,But if I think it is the last Gessen of summer vacation,0.2727272727272727
All the games are just a bit old,ゲームの種類も ちょっと古いのばかり,The type of game is a bit old,0.3333333333333333
and even the crane games are falling apart.,クレーンゲームの景品も 劣化したものばかりだな,It is only that the crane game prize is also degraded,0.11764705882352941
"I guess this place does suit us best, after all.",やっぱ俺は こういう所がお似合いだよ,After all I like this place,0.38461538461538464
