en_text,jp_text,google_translated,score
"Hey, what's wrong?",おい どうしたんだよ？,What did you do?,0.2222222222222222
"S-Satoko, are you all right?",さ… 沙都子 大丈夫か？,Now ... Is Sachiko okay?,0.08333333333333333
I-I'm sorry... I'm sorry... I'm sorry...,ご… ごめんなさい ごめんなさい ごめんなさい ごめんなさい,Sorry I'm sorry I'm sorry I'm sorry,0.6
I'm sorry... I'm sorry... I'm sorry... I'm sorry...,ごめんなさい ごめんなさい ごめんなさい ごめんなさい,I'm sorry I'm sorry I'm sorry,0.75
I'm sorry... I'm sorry... I'm sorry...,ごめんなさい ごめんなさい ごめんなさい…,I'm sorry I'm sorry ...,1.0
She's calmed down and is asleep now.,沙都子は？ )今は落ち着いて寝ています,What is Sachiko?) I'm sleeping now,0.125
I think she was under a momentary panic attack...,一時的に パニック状態に なっただけだと思うけど,I think it is only a temporary panic state,0.26666666666666666
"...but I'll take her to the clinic in a bit, so it'll be fine.",少ししたら 診療所に 連れていきますから 大丈夫です,It's okay because I will take a little bit to the clinic,0.34782608695652173
I knew that Satoko wasn't as fine as the adults were saying...,俺には分かっていた,I knew I,0.15384615384615385
...and that the adults couldn't save Satoko.,大人たちが沙都子を救えないことも,Even adults can not save Sako,0.14285714285714285
"If she's left alone like this, Satoko will break down for sure.",このまま放っておけば 沙都子は確実に壊れてしまう,"If you leave this, Sachiko will surely be broken",0.19047619047619047
"Mom, of the mystery novels you've read so far...",母さん これまで読んだ推理小説の中で―,Mother 's guidance novel I read so far-,0.1111111111111111
...which perfect crime was done the best?,いちばん よくできてると思った完全犯罪は？,What is the perfect crime that I thought I was able to do well?,0.2777777777777778
There's no such thing.,そんなの ないわよ えっ？,There is no such thing?,0.5
Because mystery novels...,だって 推理小説っていうのは―,Because it is a reasoning novel-,0.1111111111111111
"If it's unsolvable, it wouldn't be the subject of a mystery novel.",解けない謎だったら それは 推理小説の―,"If it is a mystery that can not be solved, it is a reasonable novel-",0.2727272727272727
Which means a true perfect crime won't even be a story.,ということは 真の完全犯罪は―,That is true perfect crime-,0.13333333333333333
Won't be a story?,物語にならない？ そう,Isn't it a story?Yes,0.4444444444444444
Right. What are the basic elements of stories?,物語の最低構成要素は？ 起承転結ってやつ？,What is the minimum component of the story?Do you get up?,0.2222222222222222
Correct. the most crucial part is the intro part.,うん 正解　特に肝心なのは “起”に当たる部分よ,"Yumo Correct Sets especially the part that hits ""reward""",0.1875
"Without an intro, the story won't even start in the first place.",スタートの“起”がなかったら そもそも 物語は始まらないわ,"If there is no ""start"" of the start, the story does not start in the first place",0.30434782608695654
"Well, if nothing happens, then nothing starts.",まあ 何も 起こらなかったら 何も始まらない,"Well, nothing will start if nothing happens",0.5
"Yep, nothing happens, so it doesn't become a crime.",そう 何も起こらないから 事件にもならない,So nothing happens because it does not happen,0.3333333333333333
"A detective isn't called, so there's no probe.",探偵も呼ばれないから推理もない 推理がないなら解決もない,There is no reason because there is no reasoning because there is no detective because there is no detective,0.26666666666666666
"In other words, it's the ultimate perfect crime.",つまり これが究極の完全犯罪ね,"In other words, this is the ultimate perfect crime",0.6153846153846154
"That's simple. if there's no crime, the police won't act.",簡単じゃないか 事件が起きなければ警察は動かない,"If the case does not come up, the police will not move",0.19047619047619047
"If the police don't act, the crime won't be revealed.",警察が動かなければ 事件は発覚しない,"If the police does not move, no incident is not discovered",0.21052631578947367
"With that said, making it look like nothing happened...",…とはいっても 何も 起こらなかったように見せるのも,It is also shown that nothing happened even though ...,0.3125
...is a difficult thing to do.,それは それで大変なことだけどね,That's a big deal with that,0.07692307692307693
"Satoko-chan's older brother, Satoshi-kun...",沙都子ちゃんのお兄さん 悟史君,Sako's older brother Gosho,0.3333333333333333
...used to actively play for the Hinamizawa Fighters too.,彼も 雛見沢ファイターズで 活躍していたんですよ,He also played an active part in Kasawa Fighters,0.05263157894736842
This is okay.,大丈夫だ,Should be fine,0.0
...to tomorrow's Cotton Drifting Festival.,沙都子を 連れていってやってほしいんだ,I want you to take Sachiko,0.07692307692307693
"I don't mind, but...",それは かまわないけど…,It doesn't matter though ...,0.18181818181818182
"Even if it's just for a bit, if she can be away from that mean uncle...",たとえ少しの間でも―,Even a little-,0.10526315789473684
Why what?,どうして？ 何がだよ？,Why?What is it?,0.6
Why aren't you taking her?,どうして 圭ちゃんが 連れていってあげないの？,Why don't you bring Kei-chan to bring me?,0.3333333333333333
I've got things to do tomorrow...,ちょっと あしたは用事があってさ 祭りには行けないんだ　だから…,"A little tomorrow has a business, so I can't go to the festival ...",0.21052631578947367
Mion? Are you listening?,魅音？ 聞いてるのか？ あっ ごめん,Call?Do you hear?Rash,0.2222222222222222
"In the past, I got a phone call like this one.",昔 そっくりな電話を 受けたことがあって,Have a long-lasting call,0.13333333333333333
Sorry for asking something strange.,ごめん 変なこと聞いて,Sorry I heard,0.125
Satoshi didn't go to the festival?,悟史 祭りに行かなかったのか？ うん…,Did not go to the Gosho Festival?Yes…,0.5454545454545454
He had things to do and said to take Satoko to the festival instead.,“用事があるから代わりに沙都子を 祭りに連れていってくれ”って,"""Take the Sachiko to the festival instead because there is a business.""",0.2857142857142857
"On festival night last year, the aunt...",叔母が去年のお祭りの夜に―,Aunt at the night of the festival last year-,0.4166666666666667
...was beaten to death by a drug addict.,覚醒剤の常用者に 殴り殺されたんです,I was killed by the common use of stimulants,0.11764705882352941
It was Satoshi.,ハッ… 悟史だ えっ？ 何が？,Hum ... It's Goshen?what?,0.1
What was?,あっ いや…,No ...,0.0
"Sorry, our conversation digressed...",ごめん 話が脱線しちゃったね,I'm sorry I'm derailing,0.1111111111111111
"About Satoko, don't worry.",沙都子の件ね 安心していいよ,You can rest assured that Sachiko's matter,0.0
"Actually, I've already invited her.",実は もう誘ってあるんだ あっ… そうなんだ？,Actually I'm inviting me ... right?,0.14285714285714285
Really. we've decided to meet up and go tomorrow.,あした みんなで待ち合わせして 行くことになってる　安心した？,Did you feel relieved to meet with everyone?,0.1111111111111111
Sorry. I guess I didn't even need to call.,すまん 俺が電話をするまでもなかったな,I wasn't even until I made a phone call,0.26666666666666666
Then I'm counting on you.,じゃ よろしく頼む,"Well, thank you",0.1
What are you going to do?,何の用事？ えっ？,What kind of work?eh?,0.18181818181818182
Something you can't say like Satoshi couldn't?,それも また 悟史と同じように 言えない？,Isn't it as well as Gosho?,0.14285714285714285
I-It's nothing important.,た… 大した用じゃないよ,... I'm not a big deal,0.0
The one who killed the aunt was Satoshi.,叔母を殺したのは悟史だ,It is Goshen that killed my aunt,0.15384615384615385
Satoshi also protected Satoko.,悟史も 沙都子を守ったんだ,Gosho also protected Sachiko,0.2857142857142857
Is 61 the average score?,“61”って 平均点がですか？,"""61"" Is an average point?",0.4
It's the deviation.,偏差値がですよ ええっ？,Is the deviation value?,0.25
"Even on the intelligence test, he scored remarkably.",知能テストでも 非凡な数字が出ています,Intelligence testing is also out of intelligent numbers,0.058823529411764705
"In other words, Maebara-kun is extremely smart.",つまり 前原君は非常に頭がいい,"In other words, Maohara is very smart",0.5454545454545454
But his grades in school aren't that good...,でも 学校では大した成績じゃ…,"But in school, it is a big grade ...",0.25
We found interesting things in the Kraepelin test results.,クレペリン検査の結果 興味深いことが分かりました,"As a result of crepelin test, I understand that it is interesting",0.09523809523809523
He's weak at pointless problems and isn't interested in them.,前原君は意味を持たない問題に弱く 興味が持てないのです,Maehara-kun is weak and interested in the problem that does not make sense,0.23809523809523808
