en_text,jp_text,google_translated,score,semantic_score
There it is! hinamizawa worker lynch death,あった…,there were…,0.1111111111111111,0.23318066
There really was one...,やっぱり あったんだ…,After all ...,0.14285714285714285,0.26445356
You scared me.,アア… いや ビビった,Aa ... No Bibi,0.0,0.14083783
You said an axe or something would be helpful.,“オノとかがあると便利だ”って 言ったじゃない　それで…,"""It's convenient to have Yoko""",0.0,0.0742912
"...but since it's getting dark, let's continue tomorrow.",もうすぐ日が落ちるから 続きは あしただな,"Since the sun is falling soon, it is likely to continue",0.21052631578947367,0.47679943
Don't be sad. You'll get to dig out Kenta tomorrow.,何しょんぼりしてるんだよ？,What are you doing?,0.05882352941176471,0.17250252
You're right.,あっ… そうだよね フフフッ！,Oh ... that's right Fuhhu!,0.1,0.33327284
- Festival? - I told you.,祭り？ )この前 言ったじゃん,Festival?) I said before,0.3,0.7586021
The Cotton Drifting Festival.,綿流しのお祭り,Cotton feast festival,0.3333333333333333,0.7570563
"Rika-chan's on the festival's executive committee, right?",梨花ちゃんは そのお祭りの実行委員さんなの,Rika-chan is the executive committee of the festival,0.4166666666666667,0.9151975
It's where we take worn-out blankets or padded kimonos...,傷んで使えなくなった お布団とかドテラとかにね,A futon or a Dotera who can not be used with damages,0.047619047619047616,0.26738444
"...thank them, and hold a memorial service down the stream.",“ご苦労さま”って感謝して 供養しながら沢に流すお祭りなの,Thank you very much for being thankful to the festival,0.09523809523809523,0.38739783
Sounds like a boring festival.,なんか退屈そうなお祭りだな,It's a bored festival,0.2222222222222222,0.8023738
It'll be far from boring! We'll do it again this year!,退屈どころか… 今年も やるぜ！,Bored money ... I will do it again this year!,0.35294117647058826,0.5373496
You're going to show off the skills you've honed in our club.,日ごろの部活で培った実力を ご披露するのでございますわ,It is possible to show the ability cultivated in a daily club,0.2380952380952381,0.52162254
"In other words, we'll do club activities while visiting stalls.",つまり 露店巡りをしながら 部活動をするわけです,"In other words, we are working on club activities while traveling",0.4705882352941176,0.687344
Nice to see you again.,おや また会ったね 圭一君,I met again,0.125,0.43955526
"A few, I suppose.",まあ そこそこにね,Well there,0.0,0.19558124
"No, it's not like that.",あっ… ああ いや そんな…,Oh ... Oh yeah ...,0.0,0.25893724
Will you be staying for the Cotton Drifting Festival this year?,おじさま 今年は綿流しまで滞在ですか？,Uncle Stay this year until the cotton style?,0.3125,0.52762496
I'll go back to Tokyo after taking pictures of the festival.,お祭りをひととおり撮影したら また東京に帰るよ,"If you take a festival, I will go back to Tokyo again",0.3,0.85591346
I hope you win awards for your photos soon.,早く写真が賞取れるといいですね,I hope the picture will be pronounced soon,0.2,0.4220456
You all know Tomitake-san?,みんなは 富竹さんのことを知ってるんだ？,Are everyone knowing Mr. Tomitake?,0.1,0.6676049
He comes here two or three times a year.,年に２～３回 雛見沢に来るんだよ,I will come to Kamimigawa 2-3 times a year,0.1875,0.46987128
He takes pictures of seasonal scenery and wild birds.,季節の風景や 野鳥を撮影してるんだってね,I'm taking a seasonal landscape and wild birds,0.26666666666666666,0.63513005
"Wild birds, huh?",野鳥か…,Wild Bird ...,0.14285714285714285,0.7821546
