en_text,jp_text,google_translated,score
"Second bout. On the east side, Tsuji-kun.",二陣戦 東 辻君　西 澤井君,Two-team battle Higashiki West Sawai,0.0
"On the west side, Sawai-kun.",えっ？　誰？,eh?  Who?,0.0
"So he's a sumo wrestler, too?",へえ…　あいつも選手だったのか,Hey ... Was it a player?,0.14285714285714285
"Dachi High, fight!",ダチ高 ファイトー！,Dachi High Fate!,0.5
"I'm sorry, Coach.",すみませんでした 監督,I'm sorry director,0.42857142857142855
I tried a move we hadn't discussed beforehand.,立ち合い 指示にないことを 勝手に やったりして,Do not make sure not to indicate,0.0
And this was the result.,あげく このザマです,It is this Zama,0.1111111111111111
I'm the one who should apologize.,謝らなきゃいけねえのは 俺のほうだよ,I hope you have to apologize,0.16666666666666666
You did what I asked and then some.,お前は 俺が 求める以上のことを やってのけた,You were doing more than I asked,0.23076923076923078
The fact that you still lost...,それでも勝てなかったのは 俺の力が足りなかったからだ,It is because I did not win too much my power was not enough,0.0
I couldn't keep the promise I made to you about getting you a win at Nationals.,“全国で お前を勝たせる”,"""You can win you in the country""",0.14285714285714285
I'm truly sorry.,ホントに すまない,Sorry,0.2
"I was able to go in all guns blazing,",あんなに後先考えず やりきれたのも—,It was also possible to do so without thinking like that,0.10526315789473684
because Dachi High has the  strongest reserve member ever.,ダチ高には 最強のリザーバーがいるから,Because there is the strongest reservoir for the dachi,0.2857142857142857
"Dachi High's fate is in your hands, Coach.",ダチ高を頼みます　監督,I ask for the dachi,0.06666666666666667
Onimaru and Kariya are exceptions to the rule.,鬼丸や狩谷のようなヤツらは あくまで例外だ,Yatsu such as demon and Khoya is an exception to the last,0.16666666666666666
Just 'cause there are no weight categories doesn't mean anyone can do it.,無差別級だからって 誰でも出ていいわけじゃない,Anyone is not a discriminatory class,0.05
Think you could stop flapping your gums?,その くせえ口 閉じてくれねえか？,Can you close it?,0.18181818181818182
He's better at trash-talk than Sawai.,口げんかじゃ 澤井の負けだな,It's a loss of Sawai,0.16666666666666666
I didn't expect to see him in the ring.,しかし あいつが出るとはな,"However, it is not good",0.0
He showed no indication of taking the ring when he came to our school.,ウチに来たときは 土俵に 上がるそぶりは全くなかったが,"When I came to Uchi, I went to the ground",0.21052631578947367
I wonder why they look so relaxed.,ヤツらの落ち着きようも気になる,I'm worried about calmness of the guys,0.06666666666666667
