en_text,jp_text,google_translated,score
nakushita yakusoku wa hoshi ni,♪～,♪ ~,0.0
To our own separate ways,～♪,~ ♪,0.0
"Oh, boy. Such a huge article...","うん あれで一気に
話 進んだもんね","Yeah, at a stretch
I'm talking about",0.125
As tall and as loud as they are...,目立ってたもんな 背も声も,The appearance and voices that are noticeable,0.16666666666666666
"Even after they returned, it's been pretty crazy...",ここに戻ってからも すごかったし,It was amazing after returning here,0.13333333333333333
Fujiwara Design is finished!,"（類二(るいじ)）もう藤原(ふじわら)デザインは
おしまいよ　解散します！","already Fujiwara  design is
I'm sorry!",0.4444444444444444
We'll officially announce the splitting\Nfor the Tottori and Tokyo teams.,"鳥取組と東京のチーム分けは
後日 正式に発表するわ","Team division of Tottori and Tokyo
I will announce the official later",0.2777777777777778
Follow after us!,"（２人）それぞれに
ついてきてちょうだい",Follow me,0.2
Team,"（美和子）まあ 大体
今のＡチーム","Well
Now A team",0.25
"But... I'd like to let Tanaka-san, the newlywed, stay in Tokyo...","でも そうすっと自動的に
東京から１人 鳥取送りにしなきゃ","But so quickly
I have to send one-by-one from Tokyo",0.2
Tanaka-san\N\N\h\h\hHeading to Tottori,"（野宮）
鳥取か　懐かしいな",Tottori or nostalgic,0.2
"So, who should we send?",（美和子）で 誰を送る？,Who will send you ?,0.3333333333333333
Good morning.,（真山 巧(まやまたくみ)）おはようございます,Good morning,0.6666666666666666
"Mayama, where did you go last night?","真山　ゆうべは
どこまで行ったの？","Miyama Yabe
How far did you go?",0.3076923076923077
With Rika-san?,理花(りか)さんと,With Rika Rika,0.25
"Hey, you punk! What are you ignoring me for?","あっ テメエ！
何 無視してんのさ","A Teme!
Anything ignoring",0.14285714285714285
I won't fall for your provocations.,ちぇっ 学びやがったな,I was learning,0.1
"Damn it, he's learned.",もろバレなんだけどね,"It's a barre, though",0.3
It's not that easy to escape from our twisted maze of love.,"私たちの
このゆがんだ愛の迷路からは—","our
From this distorted love maze-",0.17647058823529413
But it looks like Asai-san will be out for a while.,しかし 浅井さん　長引きそうだな,But Asai seems to be long,0.125
If Asai-san ends up retiring like this...,"これで もしも浅井さんが
引退なんてことになれば…","Noboro Asai
If it is a retirement ...",0.14285714285714285
Rika-san will probably quit.,"理花さん
多分 辞めてしまうかも","Raw flower
Maybe you may quit",0.1
I still have my ambition of someday working with her.,"私は まだ彼女と
仕事をするって野望が残ってるのよ","I still with her
There is no ambition that works",0.3125
"But for that, she'll need a replacement for Asai-san.","（野宮）
それには浅井さんの
代わりが必要か","That's Mr. Asai
Do you need an alternative",0.1111111111111111
Then it's decided.,じゃ 決まりだな,"Well, it is decided",0.25
"Sorry about this, Yamada-san.",ごめんね　山田(やまだ)さん,"Sorry, Yamada",0.2857142857142857
"Are you okay, Ayu?",（花本(はなもと)はぐみ）大丈夫？ あゆ,Hogumi) okay?Myy,0.2222222222222222
"Every year, when everyone is finishing up their preparations\Nfor the Hamabi Festival, the flu goes around.","（花本修司(しゅうじ)）毎年 風邪が
まんえんするんだよな","Every year cold
I'm sorry",0.09523809523809523
"He doesn't seem to have a cold, but...",風邪じゃないみたいだけど でも…,It looks like it's not a cold ...,0.1875
Takemoto isn't the only one acting funny at this time of the year.,"今 おかしくなってんのは
竹本だけじゃないから","It's funny now
Because it is not only Takemoto",0.21052631578947367
