en_text,jp_text,google_translated,score,semantic_score
watashi ga umareta asa no machi yuki no naka ni umoreta,♪～,♪ ~,0.0,0.19921549
"What's the matter, Hagu?",（花本）どうした はぐ？ あ？,What happened?a?,0.2222222222222222,0.23755988
Shuu-chan...,"（花本）こうやって
（はぐみ）ああああ…",ah ah ...,0.3333333333333333,0.15531306
"What's wrong, Hagu? Your hiccups won't stop?","（花本）
アッハハハ どうした？ はぐ
シャックリが止まらないのか？","What happened to Ahahaha?Rag
Is Shackuri stop?",0.17647058823529413,0.31671122
I'll show you how to make them stop.,"（花本）よし 止め方を教えてやる
（はぐみ）ヒック","Tell me how to stop
 Hick",0.2307692307692308,0.4539213
Do this...,"（はぐみ）
こ… 怖いよ修ちゃん ヒック",This ... Scary House Hiku Hick,0.2857142857142857,0.1560136
"...and drink from the other side of the cup, then they'll stop.","コップの反対側から
水を飲むと止まるぞ","From the opposite side of the cup
If you drink water, it will stop",0.3809523809523809,0.7354646
This is a special technique that I learned from my best friend in college.,"学生のころ 俺が大学の
大親友から教わった秘伝の技だ","When I was a student I am a university
It is a secret technique taught from a great friend",0.25,0.6625514
"No, you need to stretch your neck more, and put your mouth on the opposite side.","（花本）ほら もっと首を伸ばして
反対側に口をつけて","I hope to get the neck more
Put on the other side",0.3333333333333333,0.6412286
"Oh, man... You spilled it.","（花本）やっぱり やっちゃったか
（はぐみ）あー","After all did you do it
 Uh",0.15384615384615385,0.2583405
We'll give it another try.,"はぐ ちょっと待ってな
もう１杯 くんでくるから","Hagu a little waiting
Because it comes out another cup",0.13333333333333333,0.17374839
"Oh, what is it?","（森田 忍(もりたしのぶ)）おっ なになに？
（はぐみ）ヒック",") What is it?
 Hick",0.5,0.50894254
What'll you do?,どうする？,what will you do?,0.6666666666666666,0.87113756
100!,"（はぐみ）ヒック
（森田）100回","Hick
 100 times",0.25,0.4297597
T-There's no way...,え… えっ？,Eh ... Eh?,0.14285714285714285,0.20599037
...you can die from that!,し… 死なないもん ヒック,... I do not die,0.2,0.6019685
98!,98回,98 times,0.3333333333333333,0.51562434
97!,"（はぐみ）おっ おおおお… ヒック
（森田）97！","Oo ... Hick
 97!",0.4,0.57843494
96!,96っ,96,0.5,0.90096277
