en_text,jp_text,google_translated,score,semantic_score
I looked in the mirror and realized my face had changed.,"自分の顔が変わったことに
気が付いた」→","That my face has changed
I care about →",0.2352941176470588,0.61880964
"Before, I'd had a pretty cute face.","「今までの僕は
なかなかカワイイ顔をしていた」→","""I am so far
I was pretty cute face ""→",0.25,0.5598356
"My skin was rosy pink and smooth,","「肌は　バラのように
ピンクで　すべすべ」→","""The skin is like roses
Pink Soruke ""→",0.13333333333333333,0.4231095
and the wind would brush\N my bangs softly across my forehead.,"「風が吹くと
おでこにかかった前髪が→","""When the wind blows
Bangs taken with anodon →",0.16666666666666666,0.5868709
"A cute face, huh.","（土谷）「カワイイ顔」だって。
（生徒）すごいシンクロ率。","""Coway face"".
 A great synchro rate.",0.25,0.3278404
I really liked the way I looked.,"自分で自分のこと
言ってるみたい。","I am myself
I would like to say.",0.15384615384615385,0.13089281
What's so funny?,"（税所）
んっ…。　何？　何か　おかしい？",.... what?Is it funny?,0.3333333333333333,0.5559652
Huh?,"えっ？　別に。　何か…　ねえ。
（土谷）うん。→","eh?Separately.Something ... Hey.
 Yeah.→",0.125,0.27626544
"Kobayashi, please take over.","（税所）続きを。　小林さん。
（小林）あっ　はい。→","Continue.Mr. Kobayashi.
 Yes.→",0.25,0.74905413
"Oh, okay.","（谷口）プッ。
（長澤）あー　ホントだ。","Pu.
 Oh hunt.",0.3333333333333333,0.20720501
And something red emerged on the tip of my nose.,"《鼻の頭には
赤いものが　ぷちっと　できた》","""In the head of the nose
The red thing she was petitely done """,0.21052631578947367,0.42938334
Opening - TL,♪♪～,♪ ♪ ~,0.0,0.17623198
I need to read this.,"（誠）うわー！
僕　これ　ちゃんと読もう。","Wow!
I will read it with this.",0.3636363636363637,0.5736619
My sister won't help me with this stuff.,"これから　もっと増えるって。
（誠）ゲー。　やなこと言うなぁ。","More than this.
 Gee.Don't say something.",0.2,0.092599586
I'm home.,"≪（ドアの開く音）
（修一）ただいまー。","«
 I'm just.",0.5,0.2737088
Um...,はっ…。→,....→,0.3333333333333333,0.38298842
Yes?,"あの…。
（安那）はい？","that….
 Yes?",0.5,0.64407384
r-really beautiful skin.,肌　き…　奇麗ですね。,The skin is ... beautiful.,0.42857142857142855,0.6598232
Thank you.,ありがとう。,thank you.,1.0,1.0
How can I make mine beautiful too?,どうやったら　奇麗になりますか？（安那）別に汚いと思わないけど。,How do you think it will be beautiful? I don't think it is dirty by another.,0.2,0.4529057
Looks fine to me.,僕は　ニキビできちゃったから。,I was able to acne.,0.2222222222222222,0.16032766
Where?,"どこよ？
鼻。　どんどん増えるって。","Where is it?
nose.More and more.",0.25,0.26329646
Says who?,"（安那）誰が？
お姉ちゃん。","Who?
older sister.",0.3333333333333333,0.33210218
Here's some tea.,（真穂）お茶です。,It is tea.,0.2857142857142857,0.717797
You look like you want to say something.,言いたいことがあるなら　言えば？,If you want to say?,0.4,0.49998772
Well!,うるさい！,Noisy!,0.3333333333333333,0.33774546
Isn't Anna cute?,"（真穂）なっ。
安那ちゃんてカワイイだろ？→",".
Nao-chan is cute?→",0.375,0.5281749
I'll give you some facial cleanser.,"（安那）
《洗顔料を少しだけ出します》→","""I will put out a little cleanser"" →",0.125,0.53633493
"Add warm water, then gently\N massage the foam into your face.","《ぬるま湯で　よーく泡立てて
優しーくマッサージ》→","""I foam well with lukewarm water
Gold Massage ""→",0.15,0.4964436
Don't scrub.,"意識しないで
仲良くすればいいのに。","Do not be conscious
I should get along well.",0.16666666666666666,0.16107751
press a clean towel against your skin.,"奇麗なタオルを
優しく顔に当ててね》","Beautiful towel
Please give me a kind face",0.14285714285714285,0.40597185
"Oh, and don't stay up late.","（安那）《夜遅くまで起きてるのも
ＮＧだよ》","""I'm getting up late at night
It is NG. """,0.1111111111111111,0.4343633
More zits?,"（真穂）あんらららー？
増えてやんの。","Anarara?
More than ever.",0.2857142857142857,0.090288974
"The article mentioned that if you\N touch it too much, germs will get inside.","触っちゃうと　ばい菌が入るって
雑誌にも書いてあったじゃない。","If you touch it, you will get a bacteria
It was not written in the magazine.",0.3333333333333333,0.6818511
Why don't you ask your sister for help?,"うっ。
お姉さんに相談すれば？",".
If you consult your sister?",0.3076923076923077,0.70206153
No way.,"やだ。
（誠）頑固なんだから。","no.
 because it is stubborn.",0.2857142857142857,0.21355097
"You can call her anytime, except morning and night.","（真穂）
朝と夜以外は　かけていいって。",She should be kept except in the morning and at night.,0.2777777777777778,0.5299103
What is it?,"ん～。
何？","~.
what?",0.3333333333333333,0.25539672
Are you gonna ask Anna out?,"安那ちゃんに告るの？
はあ！？　バカじゃないの！","Are you telling you to Nao-chan?
!? you are stupid!",0.2307692307692308,0.3057241
I'm helping you out here!,"わたしは　結構　肌　弱いから
こっちの使ってるけど。","Because I am quite weak
I'm using here.",0.2307692307692308,0.2795732
"You're using the same cleanser as Maho, right?","（安那）
真穂と同じの使ってんでしょ？→",Do you use the same as Meihua?→,0.3333333333333333,0.41436878
"If it irritates your skin, you need to stop.","肌に合わなかったら
使っちゃ駄目だよ。→","If it does not fit the skin
It is not good to use it.→",0.21052631578947367,0.38472226
so I use this one.,"これだと
突っ張って　痛くなったもん。","This
It hurts and hurts.",0.2222222222222222,0.13658744
Then I'll try that one.,"じゃあ　僕も　それにします。
安那ちゃんと同じやつ。","Well then I also make it.
Same guy with Aba-chan.",0.2,0.13710053
