en_text,jp_text,google_translated,score
"This is a work of fiction.     Any resemblance to real persons, groups or events is purely coincidental. so, chitanda,",それと　できたら文集のほうも…,"If you can do it, the picture is also ...",0.06896551724137931
"Yes, that's what we're trying to do!",買ってください…　ね,Please buy ... right,0.0
Strategy meeting,さあ　最後の標的古典部は迎撃準備万端です,The last target classic club is aware of interception preparation,0.0
Emphasize everyone's role,さあ　最後の標的古典部は迎撃準備万端です,The last target classic club is aware of interception preparation,0.0
Sound confident,さあ　最後の標的古典部は迎撃準備万端です,The last target classic club is aware of interception preparation,0.0
"With everyone's help, I'm sure we'll be able to catch Juumoji!",さあ　最後の標的古典部は迎撃準備万端です,The last target classic club is aware of interception preparation,0.0
"Full of confidence, I see!",皆さん　応援してください,Please support everyone,0.0
We've prepared just the thing! the classics club has some copy papers for just this occasion.,はい　OKです,Yes OK,0.0
"Copy papers? yes, the copy papers we use for our anthology, hyouka.",なかなかよかったよ,It was quite good,0.0
114 sold,いいえ　本当にこれでよかったのかなあっと,"No, I'm really good with this",0.0
Target: Sell all 2OO copies!,いいえ　本当にこれでよかったのかなあっと,"No, I'm really good with this",0.0
"Our anthology features a story that's just as exciting as the Juumoji incident,",いいえ　本当にこれでよかったのかなあっと,"No, I'm really good with this",0.047619047619047616
On air,いいえ　本当にこれでよかったのかなあっと,"No, I'm really good with this",0.0
there's something those of us in the Classics Club need your help with.,身に覚えあるだろう 君はどうしたい,I will remember I want to help,0.05
"Yes. There's only four of us, so we can't really keep a thorough watch.",何もなかったそぶりで  かばう痛みはもう,There is nothing to do with sores and pain,0.038461538461538464
"I see! The more people watching, the more they'll see!",掴んでこぼして 不完全な僕たちが,Surrounding and incomplete us,0.0
How could let a young lady's pleas fall on deaf ears?,光って見えない 未来の自分を創れるなら,If you create a future of the future that can not be seen,0.041666666666666664
And that was Chitanda Eru!,届きそうな輝きと今を選んでいこう,Let's choose a shine and now,0.08333333333333333
That was pretty good!,飛びたつ手を知らない,I do not know the hand jump,0.0
Thank you very much.,深い 浅い 呼吸を重ねて,Heavy with deep shallow breathing,0.0
Almost there! We've nearly sold them all!,もうすぐだ　もうすぐ完売する,It's coming soon soon,0.0
"Yeah, he's got no chance.",本当本当　もう無理じゃない,It is not really unreasonable,0.0
How long's he gonna make us wait?,いつまで待たせんだよ　ったく,I'm sorry for the time,0.0
"Sorry, that's just my phone.",ごめん　それ　僕の携帯,I'm sorry I my mobile,0.18181818181818182
They're burning! They're burning!,おい　燃えてる　燃えてるぞ！,I'm burning my burn!,0.25
Put it out!,消せ　消せ,Erase,0.0
Take a look at this.,ちょっと　これ,A little,0.14285714285714285
The Classics Club has lost its copy papers.,びっくりした,I was surprised,0.0
The ten letters are complete.,びっくりした,I was surprised,0.0
Juumoji,びっくりした,I was surprised,0.0
They sold out.,完売だ,It is sold out,0.3333333333333333
Would you have preferred to sell them at full price?,定価で売ってやりたかったがな,I wanted to sell at a fixed price,0.26666666666666666
No! This is more than enough!,いいえ　そんな　十分です,"No, it is enough",0.3333333333333333
Just... Thank you very much!,本当に　本当に　ありがとうございました,I really thank you,0.2222222222222222
I guess I should tell you.,やはり言っておくべきか,After all should I say,0.2222222222222222
What?,何でしょうか,what,0.5
I heard you on the radio show.,校内放送を聞いたぞ,I heard the broadcast,0.3333333333333333
"Really? Thanks to your advice, I—",ええ　入須さんのアドバイスのお陰で,Thanks to Yo-san's advice,0.3
"Yeah, it's about that.",それなんだが　私も考えが浅かった,That's why I was also shallow,0.16666666666666666
"When you try to do it, you just come across as demanding attention.",お前がああやって期待を操ろうとすると,If you try to manipulate expectations ah,0.16666666666666666
Demanding attention? is that really how it sounds?,甘えている…　そんな風に聞こえましたか,It is sweet ... Did you hear that way?,0.26666666666666666
Only a little. A mere fingernail's worth.,小指の先ほどだがな,It is as long as the small finger,0.0
"But as it happens, if you keep up such an act for too long,",しかし　フリで続けていたことが,But it was about to continue,0.10526315789473684
"you may find, in the end, that it becomes the real you.",いつしか本心にすり替るなんてよくあることだ,It is often a good thing to replace it with the mind,0.09523809523809523
"What I'm getting at is, don't base everything you do on my advice.",私の話を真に受けて　下手に画策するのだけは止めた方がいい,It is better to stop talking about me truly,0.041666666666666664
"You might consider it a weakness that you can't help but be straightforward,",単刀直入な言い方しかできないのはお前の弱点だが,It is your weakness that can only be said to be a single sword,0.22727272727272727
but at the same time it's also a rare and powerful weapon.,ほかでは得難い武器でもある,"Besides, it is also a difficult weapon",0.2222222222222222
Yes. I was thinking the same thing.,ええ　私も思っていました,Yeah I also thought,0.09090909090909091
Pretending to be someone else really doesn't fit me.,こういうことはまるで私向きじゃありません,Such things are likely not to work,0.058823529411764705
"I guess, to put it simply...",えと　つまりですね,That's why,0.0
I've had enough of it.,もう　懲り懲りです,I'm religious,0.1111111111111111
"So in the end, not even you could catch Juumoji.",いやー　お前でも十文字は捕まえられなかったか,"No, I couldn't catch the crisp letters",0.23529411764705882
Closing Ceremony,いやー　お前でも十文字は捕まえられなかったか,"No, I couldn't catch the crisp letters",0.0
Acting Troupe,いやー　お前でも十文字は捕まえられなかったか,"No, I couldn't catch the crisp letters",0.0
Marching Band,いやー　お前でも十文字は捕まえられなかったか,"No, I couldn't catch the crisp letters",0.0
End of Festival,いやー　お前でも十文字は捕まえられなかったか,"No, I couldn't catch the crisp letters",0.0
I expected more of you.,期待してたんだかなー,I was expecting it,0.1111111111111111
"All the same, this culture fair sure was a lot of fun.",いやまあ　なかなか楽しい文化祭だったよ,It was a very fun cultural festival,0.16666666666666666
I'll pay you back for the cooking thing one day.,料理の借りはまたいつか返すぞ,The food borrowing will return again someday,0.05555555555555555
See you around!,それじゃ,Well then,0.0
"He sucks at Japanese, I guess.",国語の苦手な人　かな,Is it not good for Japanese language?,0.06666666666666667
"""Expectation"" is a word rooted in giving up.",期待っていうのは諦めから出る言葉なんだよ,It is a word that comes out from giving up to expect,0.2777777777777778
It leaves you with no other choice. It makes it obvious that you're powerless.,そうせざるを得ない　どうしようもなさがないと　空々しいよ,It is empty that there is no need to do anything,0.15
Speaking of expectations...,期待っていうのは例えば,"For example, for expectations",0.14285714285714285
Houtarou should be around here.,奉太郎　確かこっちの方に…,Obata Certainly here ...,0.1111111111111111
lost,なぜ「盗まれた」ではなく　「失われた」なのか,"Why ""lost"" not ""stolen""",0.16666666666666666
Who knows?,さあ,here we go,0.0
"The next issue is ""ku"". That letter was skipped.",次の問題は「く」です,"The following problem is ""Ku""",0.35714285714285715
"But what if there was something beginning with ""ku"" that we didn't consider?",だが　俺らの知らないところで「く」に纏わる何かがあったとしたら,"But if there was something that comes to ""Ku"" where I do not know",0.375
The whole thing was designed to convey one message:,「く」で始まる相手に「く」で始まるものが,"Those beginning with ""Ku"" that begin with ""Ku""",0.0
"that someone beginning with ""ku"" had already lost something beginning with ""ku"".",すでに失われているというメッセージを伝えるための,To convey the message that is already lost,0.17647058823529413
You're wondering how I knew that title?,「なぜその題名を知っている」と思っているんでしょう,"I think ""Why know the title""",0.13333333333333333
"Kudryavka's Order is a twist on Christie's famous book, The ABC Murders.",「クドリャフカの順番」はクリスティーの超有名作,"""Kudryafka's order"" is super famous work of Christie",0.23809523809523808
"In the Juumoji incident, the culprit focused on Kudryavka's Order.",そして　十文字事件も,And the case case,0.07142857142857142
"Kugayama Muneyoshi, the student council president.",「く」のつく相手とは陸山宗芳,"The other party of ""Ku""",0.07142857142857142
Juumoji never said he was only targeting the clubs.,十文字は何も部活だけを襲うとは書いていない,Tanka is not writing alone to attack only club activities,0.05263157894736842
You didn't just copy the order from the ABC Schedule.,「ABC時刻表」の真似をしたなんてことじゃない,"It is not a thing that I imitated ""ABC timetable""",0.045454545454545456
The schedule itself is the list of victims.,これこそが被害者リストだったんです,This was the victim list,0.18181818181818182
All the victims were chosen from these pages.,被害者はすべてこのページから選ばれている,All victims are selected from this page,0.23076923076923078
Kugayama Muneyoshi,そして　陸山宗芳,And Miyoshi Ayama,0.0
It'd be too much of a coincidence that all the victims ended up being on this page.,このページにたまたま被害者が固まったというのは,It was said that the victims were struggled on this page,0.30434782608695654
But there are 20 people on the General Affairs Committee.,だが　総務委員は20人いる,But there are 20 general member committees,0.38461538461538464
"Yes. That's where this manga, Dead at Dusk, comes into the picture.",そこでこの漫画　「夕べには骸に」です,"So this cartoon ""to the evening""",0.09523809523809523
"President Kugayama worked on this with the author, Anjou Haruna,",これの原作者　安城春菜と組んでいた陸山会長は,The President of the Mountain who was working with the original original Anjo Haruna,0.2222222222222222
so he must've known about Kudryavka's Order as well.,「クドリャフカの順番」のことも知っていたはず,"I also knew about ""Kudryafuka's order""",0.16666666666666666
"I'm just guessing, but maybe he lost the script for Kudryavka's Order?",これは一つの仮定だが,This is one assumption,0.0
Maybe Juumoji caused this scandal to condemn him for that.,その批判として　十文字はこの事件を起こしたのではないか,Extra as a criticism has caused this incident?,0.1111111111111111
Which means the culprit's message was this:,つまり犯人からのメッセージはこうです,"In other words, messages from the criminal are this",0.11764705882352941
"Finally, the afterword.",そして　この後書き,And this afterward,0.0
He was the only one beside those two who knew about Kudryavka's Order.,それ以外で「クドリャフカの順番」の原作を知っている唯一の人間,"Other people who know the original of ""Kudryafuka's order"" otherwise",0.16666666666666666
"Therefore, he's the only possible candidate for Juumoji.",この人だけが十文字たり得る,Only this person can be cracked,0.0625
It's made from the first syllable of each of the authors' names.,これはこの作品を書いた三人の名前の頭文字を,This is the first letter of the three names written by this work,0.2
Ajimu    Takuha,安城春菜　「あ」と「は」,"Anjo Haruna ""A"" and ""Has""",0.0
Haruna,安城春菜　「あ」と「は」,"Anjo Haruna ""A"" and ""Has""",0.14285714285714285
Anjou,安城春菜　「あ」と「は」,"Anjo Haruna ""A"" and ""Has""",0.0
