en_text,jp_text,google_translated,score,semantic_score
"And it's high purity Orichalt, too.",しかも純度の高いオリハルト,And high purity Oriharto,0.3,0.6918333
But someone was already digging it.,"（有楽）
しかし すでに掘削した者がいる",But he has already drilled,0.2,0.39246324
That's not good for your blood pressure.,せっかちですね 血圧に障りますよ,It's a crazy blood pressure,0.25,0.69551224
"Well, I shall be waiting then.",まだ何とも言えませんよ,I can not say anything yet,0.07692307692307693,0.22055633
Look forward to it.,楽しみにしてください,Please look forward to,0.5,0.7483438
The rainy season is coming soon...,そろそろ雨季か,Soon the rainy season,0.5714285714285714,0.8168349
"Yes, that's why I want you to take a look.","（クレア）ええ なので
マヤさんに見てほしいんです","so
I want Maya to see",0.1875,0.16714789
Tell me its composition.,"何か気付くところがあったら
教えてくださいね","If there is something you notice
Please tell me",0.16666666666666666,0.15579312
100%?!,"（クレア）オリハルトの純度…
ひゃ… 100％？","Orihart's purity ...
Hy ... 100%?",0.3333333333333333,0.35178882
What's going on?,（グレイマン）何？,What?,0.4,0.22315578
Cute...,（クレア）かわいい,cute,0.5,0.6337638
That's not the issue here.,"（グレイマン）
そういう問題じゃないだろ",It's not that problem,0.3333333333333333,0.5684057
There at the end...,"（カーラ）気圧が
生存可能レベルにまで上がって…","pressure is
Up to the viable level ...",0.18181818181818185,0.13416965
That was Mr. Ido?,（マヤ）最後の… イドさん？,Last ... Ido?,0.2857142857142857,0.61045337
He was too surprised.,"（グレイマン）
ああ 驚きすぎだよな","Oh, it's too surprised",0.2222222222222222,0.6043956
But he had already calmed down when you came.,"マヤさんが来た時には
もう落ち着いてましたけど","When Maya came
I'm still calm",0.13333333333333333,0.4414685
"Well, that really was surprising.","（マヤ）
そりゃあ びっくりしますよ","Well, I'm surprised",0.2,0.5682722
"Karla, what's going on?",どういうことだよ？ カーラ,What does it mean?Cala,0.18181818181818185,0.29243195
In that case that illusion must have been...,"だとすれば
あのイリュージョンは…","If
That Illusion ...",0.3333333333333333,0.6799867
Did her consciousness bypass the MT system and flow directly to me?,"個体の意識がＭＴシステムを通して
俺に流れ込んだか？","Individual awareness through MT system
Did you flow into me?",0.3333333333333333,0.5647156
"Afraid, no, that's not it.",いや それとも…,"No, or ...",0.2,0.29733586
Me?,俺に？,What to me?,0.5,0.45675224
Don't look at me with those pitying eyes!,"（謎の声１）見るな…
哀れんだ目で私を見るな","Don't watch ...
Don't look at me with the eyes",0.5384615384615384,0.57286835
You're the one who betrayed us!,"（謎の声２）冗談はやめろ！
裏切ったのはお前だ","Stop kidding!
It is you who betrayed",0.3333333333333333,0.7898543
You beast!,（謎の声３）貴様の… 罪だ！,You're a sin!,0.3333333333333333,0.26518047
What is it?,（イド）何だ？,What is it?,1.0,0.99999994
Memories?,記憶？,Memory?,0.3333333333333333,0.74884546
"There's a gravitational wave 
from an imminent Miguel Jump!","（カーラ）
ミゲル･ジャンプの前駆重力波！",Miguel Jump Predal Gravity Wave!,0.3076923076923077,0.8444737
Who?,"（リック）
ミゲルアウト？ 誰が？",Miguel out?Who?,0.5,0.28598583
I caught a warning signal from an advance probe!,"（クレア）先行ブローブによる
警告信号をキャッチ","By the preceding brove
Catch a warning signal",0.2,0.48698735
The Federation?,（グレイマン）連盟か？,Federation?,0.6666666666666666,0.93911344
"Well look at that, one of the 
Planetary Federation's military interstellar ships.","（グレイマン）惑星連盟軍の
インターステラーシップじゃねえか","of the Planetary Federation
I'm not an intersteller ship",0.19047619047619047,0.6609171
Retrieving advance probe.,"（オペレーター１）空間転移完了
先行プローブを回収","Spatial Metastization Completed
Collect preceding probe",0.1111111111111111,0.4494094
"Deploying spatial mesh 
with Vega as the base coordinate.","（オペレーター２）ベガを
基準点とする空間メッシュ展開","Vega
Space mesh development to be a reference point",0.1176470588235294,0.7659891
Combined search sensors locked on to target.,"（オペレーター３）
統合索敵によるターゲット補足",Target supplement by integrated celebration,0.08333333333333333,0.08517695
"This is Contact, commence operation.","（オペレーター４）
こちらコンタクト 作戦開始",This starts contact operation,0.375,0.8309607
"This is Recon 01, roger.","（アマンザ）
こちらリーコン01 了解",Leuko 01 Obtaining,0.1111111111111111,0.29823866
"All units, let's finish this mission quickly.",全機 迅速に任務遂行せよ,Let's carry out the mission quickly,0.3076923076923077,0.6501934
Emergency jump!,クレア！ 緊急ジャンプだ,Claire!Emergency jump,0.75,0.7278286
I don't care where you take us!,"（リック）よぉ おい
売りもん捨てるのかよ",Do you want to stay sell,0.15384615384615385,0.1733949
Rick! Ido!,（グレイマン）リック イド,Rick Id,0.25,0.76340127
Got it.,"（リック）ああ… それはマズいな
よし まいちゃえ～","ah ... it is palm
Yoshihara she is too",0.1,0.09684571
Target has released a large number of mineral-like objects in your direction.,"（オペレーター）対象ターゲット
軌道上に鉱物らしき物体を多数放出","Target target
Many of the mineral crawl objects on the orbit",0.15789473684210525,0.60218465
"Recon 01, use of S2 strategy is permitted.","（中佐）リーコン01
Ｓ２戦術を許可する","Leacon 01
Allow S2 tactics",0.15384615384615385,0.62580127
"Time until Orichalt release from 
containment device is 170 seconds!","オリハルト封じ込め機構停止まで
あと170秒","From Orihard Containment Mechanism Stop
170 seconds",0.2857142857142857,0.7293682
The Federation ship deployed troops!,連盟軍航宙艦から兵員出撃,Soldier dispatch from federation army ship,0.2,0.6982765
"Recon 01, advancing.",（アマンザ）リーコン01 先行する,Leacon 01 preceding,0.14285714285714285,0.4904264
Orichalt torpedoes?,（グレイマン）オリハルト弾頭か？,Orihard Barrost?,0.2,0.4155423
A short jump.,"（リック）何だ？
（イド）ショートジャンプだ","What is it?
 Short jump",0.25,0.864045
