en_text,jp_text,google_translated,score,semantic_score
Becoming an idol was always my dream.,"（瑠依(るい)）
昔からアイドルになるのが夢だった",")
She was a dream that it was an idol since ancient times",0.25,0.6146193
To become an idol who shines more than anything,どんな夜空よりも輝くアイドルに,An idol that shines more than any night sky,0.38461538461538464,0.6990576
"Next, please.",（姫野(ひめの)）次の方 どうぞ,) Next party,0.16666666666666666,0.40686476
Thank you very much.,"（瑠依）32番　天動(てんどう)… 瑠依です
よろしくお願いします","32nd Hen  ... I'm sorry
thank you",0.18181818181818185,0.19300641
"When I decided to audition for Van Productions,","（瑠依）バンプロダクションを
受けると決めた時","Bamproduction
When I decided to receive",0.3636363636363637,0.0100744255
my mother revealed to me,母は私に打ち明けてくれた,My mother was given me to me,0.5714285714285714,0.6600915
that this man was my father.,この人が私の父親だと,If this person is my father,0.3,0.668819
Do you have something to say?,（朝倉）何か言いたいことでも？,is something you want to say?,0.5555555555555556,0.7461853
No.,いいえ,no,0.5,0.8128344
So what kind of idol do you aim to be with our agency?,"それで君は この事務所で
どんなアイドルを目指したいんだ？","So you are at this office
What kind of idol wants?",0.3684210526315789,0.71509963
An idol who stands at the top!,トップアイドルです,Top idol,0.25,0.78238887
I'm determined to become an idol,"そんな絶対的アイドルに
私はなります","In such an absolute idol
I will be",0.25,0.77115095
that no one can take their eyes off of me.,"人々に夢を与え まぶしく輝き
常に目が離せない","Give people and glow
I can not always leave my eyes",0.1,0.57371855
The third performance of the second round\Nwas conquered by Tsuki no Tempest!,"（司会）
２回戦 第３ステージは
月のテンペストが勝利","The third stage of the first round is
Moon Tempest wins",0.2222222222222222,0.5624315
Let's go.,行こう,let's go,0.75,0.88774896
First up...,（司会）先攻は…,First attack ...,0.5,0.48477104
...is TRINITYAiLE!,TRINITYAiLE(トリニティエール)！,TRINITYAILE !,0.5,0.88104963
ねえ　約束だよ,♪～,♪ ~,0.0,0.4216863
走り続けていく,～♪,~ ♪,0.0,0.3252245
I'm glad our battle is next week.,"（渚(なぎさ)）私たちの対戦
次の週でよかったね",") Our match
It was good at the next week",0.1875,0.4226101
Okuyama Sumire,しっかり準備できる,Can be ready well,0.0,0.19736244
It's just how it is.,"（芽衣）しょうが
ないんじゃない？",Isn't it not?,0.2222222222222222,0.27601248
The order was randomly chosen.,順番は抽選だったんだし,The order was a lottery,0.375,0.7252931
and choreography on their own\Nat the very last minute—,"（野本(のもと)）この土壇場で
歌詞も振り付けも自分たちでなんて",") at this last minute
The lyrics and choreography are also their own",0.29411764705882354,0.8028657
Change the song?,（牧野(まきの)）歌を変える？,) Change the song?,0.8,0.9171708
Yes!,（さくら）はい,Yes,0.5,0.7672983
I've decided that today is the last day\NI sing with Mana-san's voice.,"麻奈(まな)さんの歌声で歌うのは
今日で最後って決めていたんです","I sing with the singing voice of Minna 
I decided to be the end of today",0.3333333333333333,0.67810833
Everyone approved.,みんなも それでいいって,Everyone is also good,0.16666666666666666,0.30343306
Sakura-chan told us...,"（遙子(はるこ)）さくらちゃんが
言ってくれたんです","Sakura-chan
I told me",0.3333333333333333,0.87226874
"""From here on out, let's discover songs\Nthat only Sunny Peace can sing.""","“ここからはサニーピースだけの
歌を見つけよう”って","""From here only Sunny Peace
Let's find a song",0.4,0.85242665
Only Sunny Peace can sing...?,サニーピースだけの…,Only Sunny Peace ...,0.5714285714285714,0.7238624
It's been really fun all this time...,（雫(しずく)）今までも楽しかった,It was fun even now,0.16666666666666666,0.6716033
"But we're idols, too, after all.",けど 私たちもアイドルだから,But because we are idol,0.16666666666666666,0.7803442
