en_text,jp_text,google_translated,score
（琴乃）いってきます,See you later.,See You Later.,0.0
私にだって,"I can, too...","I CAN, TOO ...",0.0
"（キャスター）
今 若い女性の間で
大人気のアイドル","LizNoir, the hottest idol group\Namong young women right now,","Liznoir, the Hottest Idol Group \ Namong Young Women Right Now,",0.0
"LizNoir待望の
ニューシングルが発表されました",just announced the release\Nof their new single.,Just Announced The Release \ OF Their New Single.,0.0
神崎莉央さん 井川葵さんが…,Don't miss Kanzaki Rio-san and \NIgawa Aoi-san shine in their new music video.,Don't Miss Kanzaki Rio-San And \ Nigawa Aoi-San SHINE in their New Music Video.,0.0
（さくら）琴乃ちゃん　おはよう,"Morning, Kotono-chan!","Also R person G, the thing of the thing!",0.0
（琴乃）おはよう,"Morning, Kotono-chan.","Also R person G, the thing.",0.0
（沙季）おはよう 琴乃ちゃん,Would you like scrambled eggs or a tamagoyaki?,WOULD YOU LIKE SCRAMBLED EGGS OR A TAMAGOYAKI?,0.0
えっと…,"Hey, you two, did you take out the trash yet?","Hey, You Two, Did You Take Out The Trash YET?",0.0
"（千紗）
す… すずちゃん　雫ちゃん","S-Suzu-chan and Shizuku-chan,","S-azu-chan Draft D Shizuku-chan,",0.0
そろそろ起きないと,Give two more hours...,Give Two More Hours ...,0.0
（雫）あと２時間,Seconded...,SECONDED ...,0.0
（すず）ですわ～,What...?,What ...?,0.0
（千紗）ええ～,Come on!,COME ON!,0.0
"（さくら）
おいしい ご飯が待ってるよ",There's a delicious meal waiting for you!,There's a delicious Meal Waiting for You!,0.0
"顔洗ってー　着替えてー
（すず･雫）ああ～",...and get changed!,... and get Changed!,0.0
（すず）千紗　制服はどこですの？,"Chisa, where is my uniform?","CHISA, WHERE IS MY UNIFORM?",0.0
"（千紗）すずちゃん
ここで脱いじゃダメだよ","Suzu-chan, don't undress here!","Suzu-Chan, Don't Undress Here!",0.0
（沙季）それで どっちが好き？,What's your preference?,What's Your Preference?,0.0
"（琴乃）
みんなの好きなほうで","{\blur0.2\frx10\fry0\frz356.2\pos(241.714,24.572)\c&H484E4F&}Chore Chart",Chore Chart,0.0
♪～,"{\fad(300,300)}nee, yakusoku dayo","Hey, it's a good",0.0
～♪,"{\fad(300,300)}hashire tsuzuketeiku",will be done,0.0
"（渚）ふーん
何だか にぎやかで楽しそうだね",That sounds lively and fun.,THAT SOUNDS LiveLy and FUN.,0.0
"沙季さんが作ったルールが細かくて
時々 モメてるけど",We sometimes argue over\NSaki-san's nit-picky rules.,We Sometimes Argue Over \ Nsaki-San's Nit-Picky Rules.,0.0
"（渚）そういう時
琴乃ちゃんは どうしてるの？","What do you do when that happens, Kotono-chan?","What Do You Do Twen That Happens, Kotono-Chan?",0.0
え？,Huh?,Huh?,0.0
（渚）“どちらでもいい”,"""I'm fine either way.""","""I'm Fine Either Way.""",0.0
"“みんなの決めたほうに
私は従う”","""I'll follow what everyone decides on.""","""I'll Follow What Everyone Decides On""",0.0
フフ　似てた？,Spot on?,SPOT ON?,0.0
"グループで頑張るんでしょ？
仲良くしなくちゃ","You're all a group, right?","You're All A Group, RIGHT?",0.0
知ってるでしょ,You know me.,You know me.,0.0
そういうの苦手だって,I'm not good at that kind of thing.,I 'M Not Good At THAT Kind of Thing.,0.0
"（三枝）見事にスキルも個性も
バラバラなメンツだな","Well, you've gathered quite a group with\Na diverse range of skills and characters.","Well, You've Gathered Quite A Group with \ Na Diverse Range of Skills and Characters.",0.0
"（牧野）
うまくまとまると いいんですけど",I really hope they work out together.,I Really Hope They Work Out Together.,0.0
"それを手助けするのも
俺たちの仕事だろ","It's our job to help them achieve that, right?","IT's Our Job to Help Them Achiev That, Right?",0.0
（三枝）グループはバランスだ,"If anything is off, it can collapse any moment.","IF Anything Is Off, IT CAN Collapse Any Moment.",0.0
（牧野）はい,Yes.,Yes.,0.0
（すず）失礼しますわ,Is Makino available?,Is Makino Available?,0.0
牧野はいる？,"That's ""Makino-san,"" to you.","THAT's ""MAKINO-SAN,"" to YOU.",0.0
"（牧野）“牧野さん”だろ？
それか“マネージャー”","Or call me ""Manager.""","OR Call Me ""Manager.""",0.0
"それで
みんなそろって どうした？","So, why is everyone gathered here?","So, Why is Everyone Gathered Here?",0.0
"体幹と発声のトレーニングも
終わりました",We've finished our core\Nand vocal training for the day.,We've finished Our Core \ Nand Vocal Training for the Day.,0.0
それで…,I am sick of basic training every single day!,I am Sick of Basic Training Every Single Day!,0.0
