en_text,jp_text,google_translated,score,semantic_score
It's a beautiful eternal dream...,風の中で　自分を知る　ずっと最高のDreamだろう,It will be the best DREAM to know yourself in the wind,0.125,0.46612412
If you think you're lucky just to be alive go for the highest stake in the gamble.,生きてるだけで何やろうかな,What do you do with your life?,0.043478260869565216,0.21224287
But your passion for your dream will make a difference.,どんだけ夢熱いかが勝負だろ,It is a match that the dream tough,0.125,0.34390825
"Just laugh it off, 'cause it's a game worth competing.",攻めがいのあるGameと　笑い飛ばして,Laughter with attacking GAME,0.06666666666666668,0.52860373
It's a quest of the never-ending dream...,今に生きる　理由を探す,Find the reason to live now,0.07142857142857142,0.23165235
...where you now search for the reason to live.,夢尽きないQuest,Dreamless quest,0.0,0.25111482
A huge gap of 7 seconds...,７秒もの大差がつくなんて,It is about 7 seconds of big difference,0.25,0.63707346
Today's downhill is scary.,怖いな　今日のダウンヒルは,Scary Today's Downhill,0.6666666666666666,0.94013447
"I'm not afraid of my opponent, but of myself.",俺が怖いと思うのは相手に対してじゃなく,I think I'm scared to the other party,0.1176470588235294,0.50124043
"Once I start driving, I won't be able to suppress my fighting spirit.",走り始めたら　俺は多分自分の闘争心を抑えられないだろう,"If you start running, I will probably not suppress your own struggle",0.16666666666666666,0.46129537
I've gotta shave down the margin as much as possible. My attack will be really close to my limit.,ギリギリまでマージンを削った　限界へ近づいていくアタックになると思う,I think it will be an attack that approaches the margin to the last minute,0.25925925925925924,0.5423118
"But I'm not afraid of that, and that's what scares me.",それを怖いと思わない自分が怖いのさ,I don't think that I'm scared I'm scared,0.16666666666666666,0.6034513
I'll show you the best performance of my career tonight.,俺のキャリアの中でも最高のパフォーマンスを今夜引き出してやる,I will pull out the best performance tonight even in my career,0.4117647058823529,0.80193996
Our opponent chose the lead position for the first run.,向こうは一本目先行を選択したぞ,The other side has chosen the first precedence,0.13333333333333333,0.4411789
He might have been inspired by Keisuke's driving.,恐らく啓介の走りに触発されたんだろうな,It would probably be inspired by the run of Keisuke,0.17647058823529413,0.66769624
He might use the same strategy.,同じ作戦をそのままやりかえしてくるかもしれない,You may come back to the same strategy,0.25,0.59119534
"In other words, he has absolute confidence in his mad dash speed.",ここ一発のスピードには絶対に自信を持っているってことだ,It is absolutely confident in the speed of the one shot,0.09523809523809523,0.5443357
"In turn, we can take advantage of that.",逆に　付け込むチャンスはそこにあるなら,If there is a chance to put in reverse,0.05555555555555555,0.31093934
Listen. The steep area in the  second half will be the decisive point.,いいか　後半の勾配のきつい空間が勝負所となるだろう,Good or second half slope tasting space will be the game,0.2777777777777778,0.6094038
Try to adapt to his change in speed flexibly.,相手のスピードの変化を柔軟に吸収するんだ,It flexibly absorbs the change of the opponent's speed,0.2,0.4948992
"And if you feel you can make a move, do it in this first run.",対応できると感じたら　一本目から行け,If you feel that you can cope with it,0.2631578947368421,0.25190556
There's no need to hold back.,遠慮はいらないぜ,Do not hesitate,0.0,0.24825679
"Okay, I'm going to start the countdown !",よし　カウント始めるぞ,I will start counting,0.16666666666666666,0.53223693
How do you read this downhill race ?,ダウンヒルはどうなるかな,What happens to downhill,0.09090909090909093,0.58219695
"You hit the nail on the head for the hill climb, Kubo.",見事ヒルクライムを的中させた久保さんとしては,As Kubo who made the superbly hill climb,0.25,0.7287639
I have no idea this time.,いやー　こっちは分からん　俺にも読めませんわ,"No, I can not understand this I can not read it",0.2307692307692308,0.21940324
Three...,３　２　１　ゴー,3 2 1 Go,0.0,0.42399427
There are too many unknowns about that Eight-Six.,あのハチロクが余りに未知数ですねぇ,That Hachiroku is too unknown.,0.25,0.39865527
There's something strange about that car.,えらい胡散臭いクルマに仕上がってるみたいやなぁ,It seems that it is finished by a sharp hairy car,0.125,0.4659411
And also something strange about that young driver.,おまけにあの若いドライバーがまた胡散臭い,Your young driver also smells,0.2727272727272727,0.57712156
I've been in this business for quite a while.,長いこと業界見てますけど　まずめったにお目にかかれないほど,"I'm looking at the industry for a long time, but I can't see it",0.125,0.40055078
That Eight-Six driver is backed by a certain someone.,そのハチロクのドライバーにはあいつがついている,That Hachiroku driver is attached,0.25,0.46013284
You look like you've been troubled by him. Do you have some kind of issue with him ?,この間から気にしてるようでっけど,I'm worried about this time,0.0,0.18346985
NB8C Roadster and AE86 Trueno...,NB8CロードスターとAE86トレノ,NB8C Roadster and AE86 Toreno,0.5714285714285714,0.8290658
...both have a light and compact body with a small displacement NA engine.,共に軽量コンパクトな車体に小排気量NAエンジンを搭載し,Equipped with a small-wave compact car body with a small-wave compact car body,0.2352941176470588,0.45750824
They take advantage of their agility to zip along a winding road.,軽快なフットワークを身上にワインディングロードを疾走する,Wrap your windworks Wear windwork,0.0,0.24199837
That's why... ...victory will be decided by the driver's instinct.,故に勝敗はそれぞれのドライバーの感性に委ねられる,"Therefore, the outcome is entrusted to the sensibility of their respective drivers",0.04166666666666666,0.5212055
"The instincts of the NB driver, Omiya Satoshi, and...",大宮智史というNB乗りの感性と藤原拓海というハチロク乗りの感性,The sensibility of the NB riding called Omiya Tomo Hiroshi and the Hachirok ride riding of Takuji Fujiwara,0.2631578947368421,0.46834093
I think the result will be determined by whose instincts match their car the best.,どちらがよりクルマとの感性が合っているか,Which one is more sensitive to the car?,0.09090909090909093,0.3601969
You make it sound like both cars are alive.,まるで生き物みたいだな　二人が乗っているクルマは,It looks like a living thing,0.14285714285714285,0.33351156
Project D is a legendary team which swept the northern Kanto area without any losses.,北関東エリアを負けなしで駆け抜けてきた伝説のチーム　プロジェクトDとは,What is the legendary team project D that has run out without losing the North Kanto area,0.39130434782608703,0.84504557
It'd be wise to carefully observe how they drive from behind. That's what Kobayakawa thought.,どうせなら　それを後追いでじっくり見てみたい,"Anyway, I want to see it slowly with it",0.08,0.2109538
I feel the same way.,俺にも同じ気持ちはある,There is the same feeling for me,0.18181818181818185,0.6338232
But that was the pitfall.,だけどそこに落とし穴があった,But there was a pitfall there,0.375,0.8269943
To observe your opponent means you can't keep your pace.,相手を見るということは自分のペースを守れていないということなんだ,It is not to be protecting your own pace to see the other party,0.14285714285714285,0.522989
I sense it's risky to just watch the Eight-Six.,あのハチロクを見ていくのは危険だ　そんな気がする,It is dangerous to see that Hachiroku,0.125,0.3065109
I just have a hunch.,これは俺の勘だ,This is my intuition,0.0,0.27077392
That's why I chose the lead.,だから俺は先行で行く,So I go ahead,0.09090909090909093,0.15774678
I'll keep my pace without any obstacles ahead...,目前には何もない状況で自分のペースを作る,Make your own pace in a situation where there is nothing in the situation,0.047619047619047616,0.5411915
...in order to win.,勝つためにだ,To win,0.3333333333333333,0.61482877
I wonder how the downhill will develop.,ダウンヒルはどうなりますかね,What happens to downhill?,0.08333333333333333,0.8394091
I don't think we can win very easily.,簡単には勝たせてもらえないだろうな,It will not be able to win easily,0.125,0.69721824
"To be honest, our opponents' level is very high.",ぶっちゃけレベル高いよ　ここの連中は,Bukkake level is high here,0.21428571428571427,0.46020886
"My race wasn't easy, even though it  may have looked like it from the result.",俺にしたって結果から見るほど楽な勝負じゃなかった,It was not a fun game as I made it to me,0.07692307692307693,0.22692539
That guy Fujiwara's facing is especially tough.,特に今　藤原が相手にしてる奴は手強いぜ,Especially those who are the other party now,0.0625,0.088442035
He must have perfected street driving.,公道ランナーとしてはほとんど完成の域に達してる奴だろうな,It will be a person who is almost completed as a public road runner,0.0,0.38820934
I can sense it...,俺には分かるんだ,I understand for me,0.125,0.37015536
"The entire space seems filled, as if he's always on guard.",隙がない　空間の全てが埋め尽くされてる感じだ,It feels like everything in the space without a gap is filled,0.13043478260869565,0.51294565
"The leading NB will hold on, then it  will suddenly accelerate somewhere.",先行するNBがタメにタメて　どっかでスパートを駆けてくる,The preceding NB runs for a spurt in Tame,0.1,0.39168012
So the decisive point will be...?,ってことは　勝負所は,The game is,0.1,0.22202909
"The steep, rough road  near the end of the course.",終盤の勾配がきつく　路面の荒れた区間だろうな,The slope of the final stage will be the rough section of the road surface,0.2352941176470588,0.6545462
That section is disadvantageous to the Eight-Six because its suspension design is old.,サスペンションの基本設計が古いハチロクにとっては不利な区間ですよね,"The basic design of the suspension is an adverse section for old Hachilok, isn't it?",0.2608695652173913,0.586267
"Well, that's true...",まぁ　そういうことになるな,"Well, that means",0.42857142857142855,0.3702082
It's been our motto to fight on our  opponents' stage since the Red Suns days.,敢えて敵地で戦うのはレッドサンズ時代からの俺達のテーマだ,It is our theme from the Red Sands Era to fight in the enemy,0.25,0.45842892
If our opponent is a  specialist on this course...,向こうがコースに特化したスペシャリストなら,If there is a specialist that is specialized in the course,0.3333333333333333,0.4872879
...we're a special team organized to attack enemy territories.,こっちは敵地攻略に特化したスペシャルチームだ,This is a special team specialized in enemy ground capture,0.2222222222222222,0.55840415
Whoever is faster than the other...,どっちのスピードが最終的には相手を上回るのか,Which speed eventually exceed the other party,0.16666666666666666,0.5418394
That will be everything in the end.,それが結果的には全てだろ,That's all as a result,0.07692307692307693,0.42042574
"Nothing is impossible for Project D, as long as we have the genius of Takahashi Ryosuke.",高橋涼介という天才がいる限り　プロジェクトDに不可能はない,There is no impossible for project D as long as there is a genius called Ryosuke Takahashi,0.4761904761904762,0.955462
I truly believe that.,俺はそう思ってるけどな,I think so,0.14285714285714285,0.2641105
They're gonna dive into the mid-section hairpin.,中間地点のヘアピンに突っ込んでくるぞ,I'm thrusting into the middle point hairpin,0.2,0.5460422
There they are ! alright !,来たぁ！　オーシ！,I came!Aoi!,0.125,0.321874
"Go, Omiya ! Throw everything you've got at 'em !",行っけー　大宮　本気出せー,Going-Omiya serious,0.0,0.6020243
Leave the Eight-Six in the dust !,ハチロクなんかぶっちぎれー,Hachiroku Something,0.0,0.13699079
"They've passed the mid-section, fighting tail to nose.",ピタリとついたまま中間地点を通過していった,I was passing through the middle point with Pitari,0.05263157894736842,0.3956524
