en_text,jp_text,google_translated,score,semantic_score
[Episode 09 SIGNS],ふぁ～あ…,Fa ~ ...,0.0,0.20341004
I wonder if Kaoru-sama will return soon.,薫様 早くお戻りにならないかしら…,Somewhat I will not return early ...,0.25,0.33286592
Hey there!,やっほ～！,Yasha!,0.25,0.36137897
Is everyone doing well?,だから～ みんな遊ぼっ！,So everyone is playing!,0.25,0.46055356
So...,う… はっはは…,Uh ... Hahaha ...,0.25,0.47337583
Oh?,えっ？,eh?,0.3333333333333333,0.62964296
Don't come!,来るな～！,Don't come!,1.0,0.9999998
Sekuhata!,ハハハハハゥ！,Hahaha ha ha!,0.25,0.2002609
Youko!,え～っ！,Eh!,0.3333333333333333,0.35592058
We have been waiting for your arrival.,お待ちしておりました,I have been waiting for you,0.4,0.723902
"Yes, Kaoru-sama has asked these two to take care of us during his absence.",はい　薫様が自分が留守の間,Yes Soya is during absention,0.10526315789473684,0.36181006
I came here for you guys.,来てやったぞ,I came to come,0.2222222222222222,0.478628
That's how it is.,そういう事です…,That's the case ...,0.2222222222222222,0.4311568
Haja Kenshou,はあ…,...,0.0,0.1270117
"I can't believe we're letting him, of all people, into the sacred mansion we share with Kaoru-sama!","よりによって あいつを薫様とボクたちの
神聖な屋敷に入れるなんて！","By more than Zona and Boku
Get into a sacred house!",0.10344827586206896,0.43879193
This is not something I decided.,"これは わたくしが決めた事では
ありません　薫様直々の指示","This is because I decided
There is no Sami sensei",0.3333333333333333,0.2580214
My brother and Souke-sama have already approved this as well.,お兄様や宗家様も了承済みなのです,My brother and the sect have also been released,0.25,0.33217555
"Well, you've heard about the recent increase in peeping incidents by some nefarious being, haven't you?","ほら… 最近 この周辺で不届きな者による
覗きが横行しているでしょう？","See ... Recently Annihe
Is the peeping?",0.125,0.6178732
"If there is a man here, he can act as a deterrent.","男子がいれば
その予防にもなるという訳か","If there is a boy
In translain that he will be the prevention",0.2380952380952381,0.35267612
We absolutely cannot allow it!,絶対ダメです～！,It is absolutely no good ~!,0.2727272727272727,0.18578757
I won't be able to take a bath.,お風呂に入れないよ,I can not take a bath,0.3333333333333333,0.85290223
We can't even change!,そこまで言わなくても…,Even if you don't say that ...,0.16666666666666666,0.16949612
What to do? What to do?,ああっ？,Oh?,0.2,0.07824277
"Everyone, it'll be all right.",みんな大丈夫だって！,Everyone is all right!,0.3,0.61470073
That's what I'm here for.,その為に私がいるんじゃない,That's why I do not have,0.25,0.27482992
Your room is located up ahead.,この先が啓太様のお部屋です,This ahead is a long room,0.3,0.6791933
Let's play ball.,ねえねえ ボール遊びしよう！,Hey Hey Ball Play!,0.2857142857142857,0.64838153
Okay!,オッケー！,Occee!,0.3333333333333333,0.41894275
I-I'm sorry!,ご ごめんなさい…,I'm sorry ...,0.3333333333333333,0.6257914
Oh... same here.,ああ… こっちこそ…,Oh ... this is ...,0.2857142857142857,0.36000055
"""Boys' manga""?",男の子の… マンガ？,Boy's ... Manga?,0.2222222222222222,0.92940336
N-No!,あっ！,Ah!,0.3333333333333333,0.31120893
And? Is it?,な 何？ 何なの？,What is it?What's?,0.5,0.445862
"Umm, just now... that wasn't it.","あの… 今のは… 違います
私がいけないのです…","That ... now ... difference
I don't have ...",0.2857142857142857,0.29418415
It was my fault.,"啓太 セクハタしたら
即退場と決まったから","Once you have
Because it was decided immediately",0.18181818181818185,0.19630533
"Like I just said, what is this?",だから何なの？,So what?,0.2,0.2626945
"Note: ""Sekuhara"" is short for ""sexual harassment.""",セクハタ？ ああ…　セクハラのことね,Sexual Hata?Oh ... Sexual harassment,0.13333333333333333,0.48905936
Please be magnanimous.,ごかんじょください,Please give me,0.16666666666666666,0.32704353
"So in other words, I can stay here as\Nlong as I don't sexually harass anyone.","要するに セクハラしなければ
ここにいられるんだよな… 了解！","If you do not have sexual harassment
It can be done here ... OK!",0.10344827586206896,0.50084114
Yay!,"-ヤッター！
-よしっ！","- Yatter!
- Yo!",0.2,0.37217808
"Even if there is no physical contact,",直接的な行動がなくても,Even if there is no direct action,0.5,0.54385144
"Yes, I did.",り・ょ・う・か・い…って言ったよね,"I said, ...",0.2857142857142857,0.32881758
"Well, then it's settled.",じゃあ そういう事で,Well then,0.2857142857142857,0.4731872
I'll set a trap for Keita right away and take him home.,"うっふふふ… さっさと啓太を罠にはめて
連れて帰るんだから","Upret Fufu ... Take a habits
I'm going back to",0.13636363636363635,0.10705511
This is worse than being the away team in soccer.,"はぁ…
サッカーのアウェイよりひでえよ！","...
Soccer away from the away!",0.21428571428571427,0.6493844
This is my swimsuit.,お芝居だよ,It is a play,0.125,0.14788589
That's so cute!,ビ ビキニ！ 私 そんな かっ んんっ…,Bikini!I like that ...,0.2222222222222222,0.29176039
I prefer a sporty school swimsuit myself.,"やっぱり僕は スポーティーなスク水だよね
いぐさのビキニも似合ってるよ","After all I am a sporty scrub water
The bikini of the right is also good",0.15,0.54199976
Bi-Bikini?!,"-うわぁ～！
-ん？","-How!
-Hmm?",0.4,0.20943971
"Oh, yes.",あっ… はい,Oh ... yes,0.4,0.7525514
Scanties...,スキャンティ…,Scani ...,0.3333333333333333,0.63352674
Strings...,ヒモ…,Southern ...,0.3333333333333333,0.20325854
Women's Bath,なんだか悪いですわ,It's bad,0.2,0.0650162
"""Boobs""?",おっぱい？,tits?,0.2,0.6033673
"You're the type that looks slender when you wear clothes, huh?",着やせするタイプなんだ～,It is a type to wear,0.1176470588235294,0.43897784
Can I touch them?,"そういう ようこだって美乳だよね
触っていい？","That's why it's beautiful and beautiful
May I touch?",0.25,0.45205384
"Ah, it's paradise.","もみもみ… もみもみ…
あ～ やわらか～い わははっ","Momomi ... Momomi ...
Oh, it's soft ~",0.2727272727272727,0.120185
Where's Keita?,啓太は？,What is Keita?,0.3333333333333333,0.83418703
He's not committing sekuhata at all.,全然 せくはたしないね,I can't even do it at all,0.14285714285714285,0.12287171
He doesn't look like such a bad person.,そんな悪い人には見えませんよ,I can not see it for such a bad person,0.25,0.61605334
That's right.,"そうです 啓太様だって
理性ぐらいあるのですよ","That's right.
It is about reason",0.5,0.42217714
You guys are wrong!,違うよ！,No!,0.16666666666666666,0.31202018
You say that because you haven't seen the real him!,本当の彼を見ていないからだよ！,I'm not looking at a real him!,0.17647058823529413,0.6920964
Like running around the inn naked.,裸で旅館を走り回ったり！,Run around the inn with naked!,0.4,0.79596645
"And at the hot spring, he looked at me and Igusa with perverted eyes countless times!","温泉ではエッチな目でボクも
いぐさも何度も見られたんだから！","In the hot spring, I am a naughty eye
Because I was able to see it many times!",0.20689655172413796,0.619275
Looks like the bait wasn't good enough.,餌が悪かったみたいね…,It seems that the food was bad ...,0.13333333333333333,0.4449968
Why must I do this?,はあ… どうして私が…,Has ... why I am ...,0.2222222222222222,0.23093426
So you need to cooperate as well.,だから あんたも協力しなさい！,So cooperate!,0.2222222222222222,0.5882029
About what?,キャッ… え？ 何が？,Ca ... Eh?what?,0.3333333333333333,0.22987244
What's wrong?,どうしたの？ 啓太？,What's wrong?Keita?,0.8,0.4240441
Come out now.,出てきなさい,Come out,0.5,0.70430195
"You've noticed me, haven't you?",気付かれていたのですね,You were noticed,0.2222222222222222,0.43851006
And right now I am shivering with joy.,"はい！ 今 私は喜びに
打ち震えております","Yes!Now I am joy
I'm a big deal",0.26666666666666666,0.4976512
You are the first person in this mansion to notice me.,"この屋敷で私に気付いたのは
あなた様が始めてです","I noticed me in this mansion
You are starting",0.4,0.80939037
You seem to be different from all the others.,あなたは特別なようだ,You seem to be special,0.3636363636363637,0.5502988
"If I recall correctly, this guy is...",うふふふ…　用心していたもので,Ufufufu ... I was in my heart,0.14285714285714285,0.18629123
"Oh, you are the lady from some time ago.",ほぅ～　あなたはいつぞやの…,Hm ~ You are ausa ...,0.13333333333333333,0.2913565
