en_text,jp_text,google_translated,score
do,ぐあっ… ぐあああ！,Goon ...,0.0
what,ぐあっ… ぐあああ！,Goon ...,0.0
we,ぐあっ… ぐあああ！,Goon ...,0.0
need,ぐあっ… ぐあああ！,Goon ...,0.0
hero,ぐあっ… ぐあああ！,Goon ...,0.0
me,ぐあっ… ぐあああ！,Goon ...,0.0
Tell,ぐあっ… ぐあああ！,Goon ...,0.0
my,ぐあっ… ぐあああ！,Goon ...,0.0
e,ぐあっ… ぐあああ！,Goon ...,0.0
w,ぐあっ… ぐあああ！,Goon ...,0.0
d,ぐあっ… ぐあああ！,Goon ...,0.0
o,ぐあっ… ぐあああ！,Goon ...,0.0
r,ぐあっ… ぐあああ！,Goon ...,0.0
T,ぐあっ… ぐあああ！,Goon ...,0.0
l,ぐあっ… ぐあああ！,Goon ...,0.0
h,ぐあっ… ぐあああ！,Goon ...,0.0
t,ぐあっ… ぐあああ！,Goon ...,0.0
m,ぐあっ… ぐあああ！,Goon ...,0.0
y,ぐあっ… ぐあああ！,Goon ...,0.0
sound,うわああ！　うわっ…,Wow! Wow…,0.0
bring,うわああ！　うわっ…,Wow! Wow…,0.0
out,うわああ！　うわっ…,Wow! Wow…,0.0
now,うわああ！　うわっ…,Wow! Wow…,0.0
on,うわああ！　うわっ…,Wow! Wow…,0.0
with,うわああ！　うわっ…,Wow! Wow…,0.0
hit,うわああ！　うわっ…,Wow! Wow…,0.0
So,うわああ！　うわっ…,Wow! Wow…,0.0
ground,うわああ！　うわっ…,Wow! Wow…,0.0
the,うわああ！　うわっ…,Wow! Wow…,0.0
g,うわああ！　うわっ…,Wow! Wow…,0.0
S,うわああ！　うわっ…,Wow! Wow…,0.0
take,ぐうう…,...,0.0
lead,ぐうう…,...,0.0
Till,ぐうう…,...,0.0
day,ぐうう…,...,0.0
pro,うう！,UU!,0.0
claims,うう！,UU!,0.0
same,うう！,UU!,0.0
The,うう！,UU!,0.0
p,うう！,UU!,0.0
look take,うあああ…,Well ...,0.0
ma,ばん… あ！,Ban ...!,0.0
chine,ばん… あ！,Ban ...!,0.0
Turn,ばん… あ！,Ban ...!,0.0
into,ばん… あ！,Ban ...!,0.0
or,うう… あああ！ あ！,Uh ... ah!a!,0.0
way,うう… あああ！ あ！,Uh ... ah!a!,0.0
losing,うう… あああ！ あ！,Uh ... ah!a!,0.0
Are,うう… あああ！ あ！,Uh ... ah!a!,0.0
your,うう… あああ！ あ！,Uh ... ah!a!,0.0
?,確保しろ！ 逃がすな！,Secure!Don't miss!,0.0
where,確保しろ！ 逃がすな！,Secure!Don't miss!,0.0
going,確保しろ！ 逃がすな！,Secure!Don't miss!,0.0
war,あ… ああ！,Oh ... Oh!,0.0
"As reported last night,",昨夜から お伝えしているとおり 巨大な小惑星が―,Huge asteroids as we are telling from last night-,0.16666666666666666
we received information that a large asteroid is rapidly approaching Earth. inuyashiki mari,地球に向かって高速で接近している という情報が入りました,Information has entered high speed and close to the earth,0.09090909090909091
"According to NASA, this asteroid is over 50 kilometers in diameter,",ＮＡＳＡによると この惑星は,"According to NASA, this planet",0.38461538461538464
"What is this, Deep Impact? about the width of rhode island.",「ディープ･インパクト」かよ,"""Deep Impact""",0.125
"If it collides with the Earth, the damage is likely to be catastrophic.",このまま地球に衝突した場合 甚大な被害を及ぼすと考えられます,It is thought that it will cause huge damage when colliding with the earth as it is,0.2727272727272727
This asteroid is over five times larger than the meteorite that crashed into Earth 65 million years ago.,これは6500万年前に飛来した隕石の ５倍以上の大きさがあり―,This is more than 5 times the size of meteorites flying 65 million years ago-,0.3076923076923077
Tokyo,現在 日本政府は…,Currently the Japanese government ...,0.0
The U.S. president will be making a statement.,大統領は このあと 声明を発表する予定です,President will announce the statement after this,0.3333333333333333
"Yo, what the hell are they going to do about this meteor?",おいおい 隕石 マジどうするよ これヤバくね？,Hey Meteorites Seriously What is this?,0.16666666666666666
He took out a whole assault team. who is this guy?,ＳＡＴ全員やられて… このホシ 何なんですか？,All SAT are done ... What is this Hoshi?,0.15
"He was alone, right? even if he had a gun, that's still...",１人でしょ？ ハジキ持ってるからって,One person?Because it is hard,0.047619047619047616
Is there a chance he skipped the country? he's just a high school kid on his own.,ないない たかだか高校生１人ですよね,There is no one high school student,0.19047619047619047
Excuse me! Could I get another beer?,あっ すいません 生 もう一杯,I'm sorry I'm a lot of life,0.06666666666666667
"Man, I'd love to see him for myself.",いやあ 俺も直接 会ってみたいっすよ 先輩,"No, I want to meet directly",0.2
Just how in the world has he gotten away so many times?,何やってんすかね？ 何回も逃げられて,What should I do?I escaped many times,0.16666666666666666
I bet there's never been a suspect like him before.,こんなホシ 初めてじゃないっすか？,Do you like this for the first time such hoshi?,0.045454545454545456
"Yeah, he's not normal, that's for sure.",ああ 普通じゃないな,Oh it is not normal,0.15384615384615385
It's all so fascinating!,いやあ 興味ありますよ,I'm interested,0.0
It's all above our pay grade.,俺たちじゃ どうにもなんねえよ,Everybody,0.0
Is your dad working right now?,お父さんさ 今 仕事してるの？,Dads Are you working now?,0.3
He might not be home right now.,仕事？　あっ 今いないかも,jobs?Maybe it is not now,0.15384615384615385
"I think his assistants are, though.",アシスタントさんは いると思うけど…,I think there is an assistant ...,0.15384615384615385
"Your dad is really cool, isn't he?",カッコいいよね お父さん 年いくつだっけ？,"It's cool, isn't your father year?",0.46153846153846156
How old was he again?,えっ 年？,Eh year?,0.125
Really? He doesn't look any older than 35.,若っ！　35くらいにしか見えないよ,Young!I can only see about 35,0.05555555555555555
He says he doesn't want to disappoint the children.,子供の夢 壊したくないんだって,I do not want to destroy my child,0.125
"What about you, Oda? Are you writing your own manga?",織田君は？ 漫画 描いてないの？,Oda?Don't draw a cartoon?,0.125
I'm thinking about writing one in high school,僕は 高校在学中には １本描いて―,I draw 1 in high school,0.36363636363636365
and submitting it to Jump Comic's new writer's contest.,「ジャンプ」の 新人賞に出そうと思ってる,"I'm thinking of going to a newcomer award for ""Jump""",0.09090909090909091
"Yeah, I know that.",えっ そんなの分かってるけど,I know that,0.5
You can't inherit talent for manga.,漫画の才能なんて遺伝しないよ,I will not inherit a manga talent,0.25
That doesn't matter.,そんなの関係ねえし,Such relationships,0.0
I'm going to win an award and go pro.,絶対 賞取ってプロになる！,Absolute award will be professional!,0.0625
You're being way too greedy.,欲張りすぎじゃない？,Isn't it too greedy?,0.18181818181818182
Your family's filthy rich already.,あんたんち お金 山ほどあんじゃん,Antanchi Mountain,0.0
She probably thinks I'm just a bother to her.,あの子は僕のことを 疎ましいと思ってるんじゃないかな,That girl thinks that I think that I'm sparent,0.2
