en_text,jp_text,google_translated,score,semantic_score
time is the one natural resource that is allocated equally across all humans.,"{\pos(639,640)\q1}時間ほど人に平等かつ継続的に供与される天然資源はないでしょう",The time is equal and continuously donate natural resources,0.2222222222222222,0.68370146
"However, common sense goes out the window","{\pos(639,640)\q1}ですが　そんな極当たり前の常識すら狂わせてしまうのが",", but it is a pleasant common sense before it",0.21428571428571427,0.6650299
"This story is about a boy on a journey of self-discovery,","{\pos(639,640)\q1}これは　そんな妖精さんの作り出した非常識の中で",This is in the emergency of such a fairy,0.25,0.15890537
in a fairy world that defies common sense.,そんな世界が続くと思ってた,I thought that such a world continued,0.2307692307692308,0.2700695
"When I awake, you're smiling",目が覚めたなら　君が笑って,"If you woke up, you laugh",0.18181818181818185,0.59863394
Of course it fell short of being realistic,当たり前には　少し足りない,It is a bit enough before,0.08333333333333333,0.26388285
From my crooked perspective the night seemed still blue,	歪んだ視界から見てた　蒼い夜,A blue night watched from a distorted view,0.2307692307692308,0.7524294
but dawn crept in like a declaration of love,	何度目の朝で　打ち明けた恋のように,Like a love that has been hit in the morning,0.26666666666666666,0.42676055
"we approach each other, delicately",	近づいてく僕ら　デリケート,Approaches we delicate,0.125,0.51947135
There is something to be said for that,	それが全てだなんて　笑い飛ばそう,It seems that it is everything,0.18181818181818185,0.31885606
"I have chocolate, too, as a reward",	甘い夢を見れたら,If you have a sweet dream,0.16666666666666666,0.34323993
Walk straight for the hill there,	あのままで進め　ストレート,Advanced with that while straight,0.1,0.33352458
and keep listening to things you can't see,	知れば知るほど　分からなくもなるくらい,It will be enough to know if you know,0.13333333333333333,0.1293162
for the voice that beckons us on,	聞こえた　手招きする声,Invite voice to hear,0.1,0.4322297
What a strange world this is,	不思議な世界,Mysterious world,0.14285714285714285,0.723721
"Anyway, get going.","{\pos(638,576)}---诸神字幕组---\N日听：yaya/小猪  日听校对：小可 翻译：xHunter/星璃   翻译校对：小可  时间轴：木马  捏他：Justin  压制：娜大\N","---} 诸 组 组 组 \ \ \ 听听: YAYA / Koi-Oshiyo school, 小听: 听:: 小: 小: x: 译校 译: 译:: 小:: 小::: 小 他 他 他 他Justin Single: 娜 \ N",0.03571428571428571,0.0073674917
I have to go and pick up my wheels.,"{\pos(639,640)\q1}こっちもチャリを受け取りにいかねばならん",I also have to receive the char,0.21428571428571427,0.22017778
"But, Grandpa, do I really need to go and fetch him?","{\pos(639,640)\q1}そもそも向かいに行く必要があるんでしょうか",Are you sure you need to go?,0.25,0.3433111
Shouldn't your assistant know where the office is?,"{\pos(639,640)\q1}助手さんは事務所の場所を知っているのでは",The assistant knows the location of the office,0.2307692307692308,0.8659485
Did I not yet tell you?,"{\pos(639,640)\q1}それが説明していなかったか",Did not explain,0.25,0.407118
"Normally, he tends to be somewhat undefined.","{\pos(639,640)\q1}平時の彼は　なんというか　とても不確実なのだな",He is very uncertain why he is,0.07692307692307693,0.41704404
I don't think I've heard a person described that way before.,"{\pos(639,640)\q1}人を評するにしては　あまり聞かない表現ですね",is a representation that does not hear much,0.10526315789473684,0.20567235
He's a member of an ethnic minority from the plateau region.,"{\pos(639,640)\q1}高原地域に住んでいた少数民族の出なんだが",A minority of a minority lived in the plateau area,0.3125,0.75519127
I understand.,"{\pos(639,640)\q1}分かりました　広場に十三時でしたね",I understand that it was 13 o'clock in the square,0.18181818181818185,0.1971246
Is there an easy way to identify him?,"{\pos(639,640)\q1}発見された時には彼以外に誰も生き残っていなくてな","When it is discovered, no one is surviving other than him",0.1111111111111111,0.23103762
"Hmm... Well, he doesn't leave much of an impression.","{\pos(639,640)\q1}まあ",Well,0.07692307692307693,0.22417854
Could you describe his physique?,"{\pos(639,640)\q1}そういう事情だったんですか",Did you like?,0.25,0.07932332
"Yes, in terms of legendary heroes, I would compare him to Hercules.","{\pos(639,640)\q1}それであの　助手さんの特徴とかあったら聞いておきたいんですが",I would like to ask if it is the characteristics of the assistant,0.18181818181818185,0.16115451
On what planet would that be considered average?,"{\pos(639,640)\q1}そんな雄々しい平均値がどこの星にありますか",Where is such a wonderful average value?,0.13333333333333333,0.49698702
Young men are meant to be buff.,"{\pos(639,640)\q1}当たり前といえる程度の鍛え抜かれた筋骨を持っていたはず",Suggested to have a struggled muscle,0.07692307692307693,0.1704383
Grandpa must live in a world of bodybuilders.,"{\pos(639,640)\q1}そう　歴史上の英雄に例えるなら",If it can be seen in the history of history,0.125,0.13092868
"In any case, after getting sidetracked, I finally arrived at the plaza.","{\pos(639,640)\q1}とにもかくにも　途中寄り道などを経て","Anyway, after the roadside",0.1875,0.27115595
"Yes, are you my grandfather's assistant?","{\pos(639,640)\q1}そうですけど　もしや祖父の","Yes, but it is a grandfather",0.2307692307692308,0.6678868
"No, I'm the doctor who was in charge of his assistant.","{\pos(639,640)\q1}いいえ　私は助手君を預かっていた医師会のものです",No I was a medical association that I had deposited the assistant,0.25,0.6464076
