en_text,jp_text,google_translated,score,semantic_score
Stranded on an island...,"{\pos(639,640)\q1}	島スタート",Island start,0.16666666666666666,0.47687897
Probably dead.,"{\pos(639,640)\q1}	たぶん死んだ",Maybe dead,0.25,0.87349135
"When I awake, you're smiling",	目が覚めたなら　君が笑って,"If you woke up, you laugh",0.18181818181818185,0.59863377
I thought it would always be like this,	そんな世界が続くと思ってた,I thought that such a world continued,0.15384615384615385,0.39370453
Of course it fell short of being realistic,	当たり前には　少し足りない,It is a bit enough before,0.08333333333333333,0.26388285
From my crooked perspective the night seemed still blue,	歪んだ視界から見てた　蒼い夜,A blue night watched from a distorted view,0.2307692307692308,0.7524295
but dawn crept in like a declaration of love,	何度目の朝で　打ち明けた恋のように,Like a love that has been hit in the morning,0.26666666666666666,0.42676032
"we approach each other, delicately",	近づいてく僕ら　デリケート,Approaches we delicate,0.125,0.5194711
There is something to be said for that,	それが全てだなんて　笑い飛ばそう,It seems that it is everything,0.18181818181818185,0.31885606
"I have chocolate, too, as a reward",	甘い夢を見れたら,If you have a sweet dream,0.16666666666666666,0.34324005
Walk straight for the hill there,	あのままで進め　ストレート,Advanced with that while straight,0.1,0.33352455
and keep listening to things you can't see,	知れば知るほど　分からなくもなるくらい,It will be enough to know if you know,0.13333333333333333,0.1293162
for the voice that beckons us on,	聞こえた　手招きする声,Invite voice to hear,0.1,0.43222976
What a strange world this is,	不思議な世界,Mysterious world,0.14285714285714285,0.72372085
The leadership council election is next week?,"{\pos(639,640)\q1}	来週は自治会の選挙です",It is an election of residents' association next week,0.2857142857142857,0.60890585
Are you running?,"{\pos(639,640)\q1}	君は出るです",You are out,0.4,0.36566257
You need leadership experience to get elected.,"{\pos(639,640)\q1}	出るには監督性の経験がないとだ",There is no supervisory experience to come out,0.14285714285714285,0.3680921
I have experience.,"{\pos(639,640)\q1}	僕があるさです",I have,0.5,0.5259631
Equal distribution of sweets?,"{\pos(639,640)\q1}	お菓子の山分けとか",Mountain of sweets,0.3333333333333333,0.52353394
A peel,"{\pos(639,640)\q1}	おめーの席ねえです",It is a heel,0.2,0.41900498
That arrived this morning.,"{\pos(639,640)\q1}	今朝方届いてな",I will arrive this morning,0.25,0.6116295
"""We live in a concrete jungle.","{\pos(639,640)\q1}	世界はコンクリートジャングルです",The world is a concrete jungle,0.2727272727272727,0.75207955
"When we drink hot chocolate, the moisture returns.","{\pos(639,640)\q1}	ホットチョコレート飲むと",Hot chocolate drink,0.3,0.62101734
So we keep getting chapped.,"{\pos(639,640)\q1}	絆は壊れ　心乾くのです",} is broken,0.0,0.1766288
"We hope to go somewhere far away.""","{\pos(639,640)\q1}	遠いどこかへ行きたい気持ち",Feeling to go somewhere,0.3,0.43907502
What's this?,"{\pos(639,640)\q1}	これは",This is,0.2,0.38804454
"An SOS, I suppose?","{\pos(639,640)\q1}	SOSじゃないのか",Isn't SOS?,0.25,0.8156951
"An unconscious cry for help, after becoming overly stressed.","{\pos(639,640)\q1}	強いストレースによる無意識の悲鳴といったところか",A place such as an unconscious scream with a strong stray,0.10526315789473684,0.431158
I wonder what's happened.,"{\pos(639,640)\q1}	何があったんでしょう",What happened,0.3333333333333333,0.49500665
"Recently, the fairy population spiked.","{\pos(639,640)\q1}	近頃　妖精の人口が急激に増えているらしい",It seems that the fairy population is rapidly increasing,0.2307692307692308,0.8866023
