en_text,jp_text,google_translated,score
Previously on Jojo's Bizarre Adventure...,"（ナレーション）
前回までの
「ジョジョの奇妙な冒険」","Last time
""Jojo's Bizarre Adventure""",0.4
Here he is!,登場！,Appearance!,0.2
"After my head and back were injured in India, \NMr. Joestar and Jotaro tended to my wounds.","（アヴドゥル）
インドで私の頭と背中の傷を
手当てしてくれたのは―","My head and back scratches in India
What I had-",0.2857142857142857
I also had Abdul do some shopping for me.,"（ジョセフ･ジョースター）
アヴドゥルには ある買い物を
してもらっていたのだよ","Avdul shopping
I was asked",0.15384615384615385
We're heading to Egypt in this bad boy!,"ここからは これに乗って
エジプトを目指す！","From here on this
Aim for Egypt!",0.2
Opening,♪～,♪ ~,0.0
The Red Sea.,"（ナレーション）
紅海(こうかい)",Red Sea,0.5
"Ask any diver, and they will tell you\N it is the most beautiful sea in the world.",“世界で最も美しい海”と,"""The most beautiful sea in the world""",0.3
"The sea is surrounded on both sides by red desert shorelines,\N and so it was named the Red Sea.","東と西の沿岸は共に
赤い砂漠なので―","Both the east and the coast of the west
As it is a red desert-",0.23076923076923078
It is an unsullied sea.,"また 注ぎ込む川もない
汚れなき海なのだ","There is no river to pour
It's a dirty sea",0.21428571428571427
"Hey, you know how to drive this thing, Abdul?","（ジャン）
おい
操縦できるのか？　アヴドゥル","Oi
Can you maneuver?Avdul",0.13333333333333333
No problem. You need not worry.,ノー プロブレム　問題はない,No Proburem No problem,0.25
"I can drive it, too!",わしもできるよ わしも,I can also do it,0.3333333333333333
But you're not gonna.,"（空条承太郎(ジョジョ)）
てめえは操縦するな",")
Do not maneuver",0.1
My grandson sure is harsh.,"フンッ
辛口じゃのう うちの孫は","Fancy
My grandson is a dry",0.3333333333333333
"A submarine, huh?","海底探検を行ったりする用の
船だからなあ","For submarine exploration
Because it is a ship",0.18181818181818182
This is the first time I've ridden in one.,"（ジョセフ）
ああ これは金持ちが道楽で―",Oh this is the rich and the rich-,0.2
It isn't as cramped as I expected.,"また沈没でもしたら
かなわねえ","If it is sinking again
Hey",0.16666666666666666
"As you see, it even has-",見てのとおり 窓もある,There is also a window as you look at,0.14285714285714285
Whoa! Nice!,"（ジャン）おおっ いいねえ
（ジョセフ）おおっと！","Good luck
 Oh!",0.16666666666666666
If only I had a cute girl to see it with...,"できれば カワイ子ちゃんと
乗りたかったなあ","If possible, it is good with Kawaiko
I wanted to ride",0.2631578947368421
We did not come all this way for pleasure.,我々は遊びに来たわけではないぞ,We do not have come to play,0.21428571428571427
"Oh, what's this?","（電子音）
（ジャン）おっ 何？　それ",What? that,0.2857142857142857
It's a sonar.,"ソナーだ
音波の跳ね返りで―","Sonar
Underwater Bounce-",0.14285714285714285
"It detects reflected sound waves underwater, kind of like a radar.","レーダーみたいに
水中の物体を確かめる","Like a radar
Make sure that the object in the water",0.15
All clear. Nothing is in our way.,これなら 四方八方 360度―,If this is a four-way eight way 360 degrees-,0.13333333333333333
"If an enemy tries to attack from any direction, \Nwe'll be able to see them.","どこから襲ってこようと
探知できる","Where to attack
Detectable",0.10526315789473684
