en_text,jp_text,google_translated,score,semantic_score
"Hey, you!","（警官）お前 お前だよ
（ジャン）あっ？","You are you
?",0.16666666666666666,0.4206588
"Here in Singapore, littering is prohibited by law!","罰金を課す
法律があるのだ","Fine
There is a law",0.15384615384615385,0.36281282
Five hundred Singapore dollars...,"（花京院典明(かきょういん のりあき)）
500シンガポールドル",")
500 Singapore Dull",0.125,0.60674113
"That's roughly 40,000 Japanese yen...","（ジョセフ･ジョースター）
日本円で４万円ほどか","About 40,000 yen for Japanese yen",0.3333333333333333,0.8472101
Trash?,"（アヴドゥル）
ごみ？",Garbage?,0.3333333333333333,0.83863044
What are you talking about?,何にも見えねえけど？,What can you see anything?,0.3333333333333333,0.07168001
"Where's the trash, buddy?","（警官）
いやいや これは あんたの荷物？","No, this is a luggage of the luggage he?",0.21428571428571427,0.17439957
That's right!,そうだよ,that's right,0.75,0.84444773
E-Excuse me!,"（アン）ハハハッ
（ジャン）うん！","ha ha ha
 Yeah!",0.2,0.27558887
"Well, I'll be going, then...",ああ じゃあ 私はこれで,"Oh, I'm this",0.18181818181818185,0.24429661
What's with the kid? She's still following us.,"（ジャン）
なんだ？　あのガキ
まだ くっついてくるぜ","what?That oyster
She still sticks",0.2857142857142857,0.31105468
"Hey, weren't you going to see your father?","おい おやじさんに
会いに行くんじゃないのか？","To Oyan
Aren't you going to see you?",0.4615384615384616,0.4449856
I can go wherever I want!,フン！　５日後 落ち合うんだよ,Hun!I will decide after 5 days,0.16666666666666666,0.16368303
Maybe she doesn't have any money?,"（アヴドゥル）
あの子 我々といると危険だぞ",That girl is dangerous if we have,0.07142857142857142,0.18166372
"Polnareff, we don't want to hurt her pride, so use some tact.","彼女のプライドを傷つけんよう
連れてきてくれ","Let's hurt her pride
Take me",0.15789473684210525,0.47728458
Gotcha.,あいよ,Good,0.0,0.2838859
Hey!,"（ジャン）おい
（アン）ああ",ah,0.0,0.39481616
"You're poor, right?","貧乏なんだろ？
恵んでやるから ついて来な","Is it poor?
I will come to see you",0.2307692307692308,0.49160543
Let us just check in...,"（アヴドゥル）
ああ ではチェックインを","Oh, check in",0.25,0.60839474
Y-Yeah...,"（ジョセフ）
う… うーん",Uh ...,0.3333333333333333,0.54211134
"I'm terribly sorry, but we're rather full at this time of year.","（フロント係）
申し訳ありません
ただ今 シーズン真っ盛りでして","I'm sorry
Just because it is full of this season",0.2857142857142857,0.61761045
The rooms won't be next to each other. Is that all right?,よろしいでしょうか？,is this good?,0.1176470588235294,0.12348501
Abdul and I will share a room...,"お部屋はバラバラに
なってしまいますが―","The room is in a barbara
I will become-",0.3076923076923077,0.4121378
That means the last room is for Polnareff and...,"（アヴドゥル）
…となると
あと１つは ポルナレフと…","...
One is Pornaref and ...",0.25,0.19407718
No way!,いーだ！,!,0.3333333333333333,0.322324
Could you make that four rooms?,ああ？,Ah?,0.125,0.119351074
Certainly.,"ううん 確かに子どもでも
レディーには違いない","Umm Certainly in children
It must be ready",0.1111111111111111,0.20966758
We've been through hell since we left Hong Kong.,"香港を出て以来
ろくな目に遭わなかったからな","Since I left Hong Kong
I did not encounter a good eye",0.2352941176470588,0.55645627
Let's hurry up and take a shower where it's safe.,"早く安全な部屋で
シャワーでも浴びようや","In a safe room early
Let's bathe in the shower",0.29411764705882354,0.7270977
Later!,"（ジャン）
ほいじゃ",Hypo,0.0,0.18790555
Show yourself.,出てこい,Exit,0.0,0.13688955
OPENING,♪～,♪ ~,0.0,0.17038442
Hyakunen me no mezameni yobarete,"俺たちに休む暇も
与えてくれないというわけか","We also leave us
Was not giving me",0.08333333333333333,0.07663343
"How about you tell me your name before I, Polnareff, kill you.","ひとつ名乗っておきな
このポルナレフに殺される前にな","One name is
Before being killed by this Porna Ref",0.09523809523809523,0.35558343
They call me... Devo the Cursed.,呪いに振り回され―,Watch around the curse-,0.09090909090909093,0.47118363
My Stand is that of the Devil card.,幽波紋(スタンド)はデビルのカードの暗示,Ghost Hydrophito  is the death of the Devil's card,0.38461538461538464,0.49196494
How did you know I was in the fridge?,"なぜ俺が冷蔵庫の中に
いることが分かった","Why I am in the refrigerator
I understand that",0.2,0.7181143
You took everything out of the fridge and didn't bother hiding it!,"冷蔵庫の中身を
全部 外に出して片づけてねえぜ","Contents of the refrigerator
Get out of all and clean up",0.2,0.55932486
Ebony Devil!,エボニーデビル,Ebony Devil,0.6666666666666666,0.93489224
Silver Chariot!,"（ジャン）
シルバーチャリオッツ",Silver Chariots,0.25,0.8891232
That ape we met the other day\N was way more terrifying and powerful than you.,"こないだの海で出会った
猿(エテ)公のほうが よっぽど強敵で―","I met in the sea
A monkey  is a strong enemy of me.",0.1153846153846154,0.60336685
It hurts!,痛てえよ ああっ,It hurts,0.6666666666666666,0.8569816
