en_text,jp_text,google_translated,score,semantic_score
A,あいつも射抜くのか？,Is it a guy too?,0.16666666666666666,0.27153015
"Arrow, where are you taking me?","（吉良吉廣(きらよしひろ)）
おお 矢よ
どこへ向かうのじゃ？",")
Your arrow
Where does it go?",0.2307692307692308,0.7122502
The sixth one so far...,うっ 痛っ…,It hurts ...,0.125,0.14293617
What?!,何？,what?,0.6666666666666666,0.8485057
"The arrow chose him, yet it deflected off his skin!","矢が選んだ者だというのに
弾かれたぞ","Even though the arrow is chosen
It was played",0.16666666666666666,0.64347273
OPENING,♪～,♪ ~,0.0,0.17038442
Great Days,～♪,~ ♪,0.0,0.21241209
That's all the information we've managed to retrieve.,それですべてです,That's all,0.2727272727272727,0.36410695
Where are you hiding?,"貴様は今 どんな顔と名前で
どこにいるんだ…","Your face and name now
Where are you ...",0.2727272727272727,0.40842387
I've seen a lot of tourists around here lately.,"この町にも
観光客が増えてきましたね","In this town
Tourists have increased",0.0625,0.66829026
The summer season is finally upon us!,"（カイ原田(はらだ)）
いよいよ サマーシーズン到来",")
Finally the Summer Season",0.4444444444444444,0.8455968
"On July 1st, the beaches and rivers of Morioh \Nonce again opened to the public.","７月１日に海開きと川開きが
行われた杜王町(もりおうちょう)","Sea opening and river opening on July 1
Moromachi",0.14285714285714285,0.5757475
The hordes of incoming tourists coming from the capital\N and S city are making the town livelier than ever before.,"首都圏やＳ市からの観光客が
どっと押し寄せ―","Tourists from the metropolitan area and S city
Cash on",0.2608695652173913,0.50152117
"Relaxing at a summer villa, camping, fishing, yachting...","別荘での避暑 キャンプ
フィッシング ヨット","Battery palm camp in villa
Fishing yacht",0.13333333333333333,0.45889103
There's no end to the fun times to be had at this time of year!,"この時期の町には
お楽しみがいっぱいです","In the town of this time
Enjoy is full",0.19047619047619047,0.41509354
How do you lovely people plan to enjoy this summer?,"皆さんは夏を
どうエンジョイしてますか？","Everyone is summer
How do you enjoy?",0.4615384615384616,0.80220664
...has many fun things in mind.,お楽しみがいっぱい,Enjoy fun,0.1111111111111111,0.5040501
And yet...,しかし 永遠に誰にも―,But forever-,0.0,0.3693788
...is there a person capable of \Nkeeping their true self hidden from everyone forever?,"（ナレーション）
そう　お楽しみがいっぱい",Yes there is a lot of fun,0.21052631578947367,0.104032815
I want to reveal the true Kira Yoshikage to that woman.,"あの女に この吉良吉影の
本性を打ち明けてやりたい","That woman is this Yoshiro Yoshika
I want to strike the true nature",0.4117647058823529,0.67247206
I want her to know the depths of my heart's desires...,この心の底を聞いてもらいたい,I want you to hear the bottom of this heart,0.35294117647058826,0.41560608
I can't suppress my urges while my nails are growing like this...,"爪が伸びる時期は
気持ちが抑えられなくなる","When the nail extends
I can not suppress my feelings",0.15,0.7081958
I need to calm myself down until it subsides...,"安心して落ち着くまで
我慢するんだ","Until peace of mind
I will stand",0.13333333333333333,0.3802954
Higashikata Josuke... and that Kujo Jotaro...,"本 読んでらしたの
その… お茶入れたから","I read this book
That ... because I had tea",0.14285714285714285,0.035962544
It's their fault I'm in this mess.,"珍しいこともあるもんだって
思ってるかもしれないけど","It is unusual
I may think",0.14285714285714285,0.098859034
Umm...,よ… よかったら…,... if you like ...,0.2,0.34800303
Uh... What... are you doing right now?,えっと 何してらっしゃるの？,What do you do?,0.3,0.35318315
"I know I don't normally do these \Nkind of things for you, but if you want it...",飲みたくなければ別にいいけど,It is good if you don't want to drink,0.2857142857142857,0.117527544
"It's fine if you're not thirsty, though.","そ… そうよね
見れば分かるわよね","Well ... that's right
You can see if you look at it",0.21052631578947367,0.15643643
"Oh, look at the time!","あら もうこんな時間だわ
そろそろ寝ようかしら","Oh, it's already time
Let's go to bed soon",0.2,0.3373043
"Show her your true self, Kira Yoshikage...",自分の本性を見せてやれ,Show me your own nature,0.16666666666666666,0.22650476
D-Darling?!,ハッ キャーッ！,Hack!,0.25,0.245465
I'm sorry I startled you?,"“驚かしてすまない”ですって？
とんでもないわ","""Surprised""?
I'm sorry",0.4444444444444444,0.65829647
I feel so excited whenever I'm near you now! I...,"最近のあなたの行動
すごくドキドキするわ","Recent Your Action
I'm so excited",0.2857142857142857,0.50537664
...I think I've finally fallen in love with you!,"私 あなたのことが
好きになってるわ","I have you
I love you",0.25,0.47042605
"J-Josuke, l-look at that!","（虹村億泰(にじむら おくやす)）
じょ… 仗助
み… 見ろよ あれを！",")
... 仗 仗
Look ... Look at that he is!",0.25,0.375642
Could it be? Ya think it's a...?,"（東方仗助）
何だよ 一体…",What is it?,0.18181818181818185,0.19724052
...T-Terry Funk!,"そう ミステリーサークル！
す… すげえぞ","So mystery circle!
... ...",0.2857142857142857,0.2231931
Look! There's something weird in the middle of the ring.,"よく見ろ
あれの真ん中のとこ","Look at
In the middle of that",0.35714285714285715,0.37445834
Something is definitely wrong here!,何かヤベえぞ これは！,Something is wrong!,0.6666666666666666,0.76093066
Not like I have a choice!,"首の後ろにちょっとした
かすり傷があるが―","A little bit of the neck
I have a scratch-",0.2307692307692308,0.1703118
Wake up! Are you okay? Hey!,い… 生きてんのか？,Yes ... Are you alive?,0.2727272727272727,0.48605078
I ain't never seen this guy at our school.,"俺たちの学校じゃあ
見たこたあねえぜ","Our school is
I saw it",0.21428571428571427,0.5061568
"Oh, he's wakin' up!","（仗助）うわっ
（億泰）ああっ！","Wow
 Oh!",0.2222222222222222,0.22054991
Where?,ここはどこですか？,Where is here?,0.5,0.5642835
Have I reached Earth?,ここは地球ですか？,Is this an earth?,0.25,0.52446634
"The previous night, I suddenly became deathly ill.","昨日の夕方
いきなり気分が悪くなって―","Yesterday evening
Suddenly the feeling is getting worse-",0.125,0.53327143
"It is past 8:00 AM, \Nmeaning I was immobile for thirteen Earth hours.","私 そのまま
気を失ったようです","I leave it as it is
It seems that I lost my mind",0.13636363636363635,0.15355651
You're a real funny guy!,"おめえ すげえ
おもしれえ奴だな！","Thank you very much
It's a good guy!",0.3076923076923077,0.38102108
You made a crop circle just so you could \Nwait under the grass until some gullible saps walked by?,"草の中でずっと待ってたわけ？
いい！ すげえいい！","Did you wait for a long time in the grass?
good!Great!",0.17857142857142858,0.5002774
School?,学校？,school?,1.0,1.0000001
"My planet of origin was located in \Nthe Magellanic Clouds, but it has been destroyed.","私の星はマゼラン星雲にあります
でも滅亡してしまいました","My star is in Magellane-no-Curious
But I have been destroyed",0.2272727272727273,0.5936421
"I have traveled here to Earth to determine its suitability \Nas my new home, as well as if the inhabitants are friendly or not.","人々は親切かどうか
調べに来たのです","Whether people are kind
I came to investigate",0.10344827586206896,0.27170357
"Okay, we get it...",ああ ああ…,Oh ah ...,0.125,0.2595804
Thank you. It was scrumptious.,"ありがとう
とてもおいしかったです","Thank you
It was very delicious",0.5,0.47999144
He ate the fuckin' tissues...,"（仗助）
お… おお そうだな
行こうっと","Oh ... Oh yeah
Last",0.1,0.1902635
The ice cream shop's closed!,"（億泰）
ああっ！　アイスクリーム屋
閉まってるよ","Oh!Ice cream shop
I'm closed",0.5,0.9038816
Would you like me to give you both ice cream?,"（青年）
アイスクリーム
なめたいんですか？","ice cream
Do you want to lick?",0.38461538461538464,0.7099189
"Well, yeah, but there ain't nothin' we can do since it's closed.","（億泰）
ああ でも店閉まってんじゃあ
しょうがねえ","Oh, but I'm closing
It can not be helped",0.16666666666666666,0.53300196
Do not give up so easily.,"（青年）
諦めることはありません",I will not give up,0.3333333333333333,0.7185789
"For graciously giving me the tissue, I offer these to you.","さっきのティッシュと
交換ということで","With the last tissue
By replacing",0.1176470588235294,0.45834038
Earth appears to be a rather pleasant place to live.,住みやすそうな所ですね 地球は,It seems that there is a place to live in the earth,0.29411764705882354,0.7863215
Is the ice cream I've given you insufficient?,"な… なんでカバンの中に
アイスクリームなんて持ってんだよ","... Why is it in the bag
I have ice cream",0.3125,0.5546947
I ain't askin' you that! Who the hell are you?!,そんなこと聞いてんじゃねえ,Don't listen to that,0.125,0.23592658
I'm certain I relayed my origin to you earlier.,"（青年）
ああ 私の自己紹介が
聞きたいんですか","Oh my self-introduction
Do you want to hear",0.2,0.307251
I should have known.,"それは さっき
言ったはずですけれど","That's just
I should say",0.2222222222222222,0.33382177
My name is Nu Mikitakazo N'shi.,"私の名は
ヌ･ミキタカゾ･ンシといいます","My name is
It is called Ni Mikitakaso Ni",0.2727272727272727,0.7786356
I am 216 years old.,年齢は216歳です,Age is 216 years old,0.375,0.6899898
I work as a spaceship pilot.,"職業は宇宙船のパイロット
趣味は動物を飼うことです","Occupation is a spaceship pilot
His hobbies are to keep animals",0.2,0.6446944
This guy's a Stand user! Ain't no doubt about it!,"（億泰）
こいつ幽波紋使いだ
間違いねえ","This guy is a good-looking character
Mistake",0.17647058823529413,0.24765241
"Let's kick his ass, Josuke!",ぶちのめそうぜ 仗助,Let's do it,0.2,0.2427128
Do you really think a Stand user would \Ntell us they're from the Magellanic Clouds?,"“マゼラン星雲から来ました”
なんて言うか？ 普通","""I came from Magellan Nebula""
What do you say?usually",0.15384615384615385,0.48279065
I don't know...,"（億泰）うーん…
（未起隆）うーん…","Hmm ...
 Hmm ...",0.16666666666666666,0.2854563
Huh?!,"（億泰）
ハッ！",Ha!,0.25,0.5050238
"So you're 216, huh?","（億泰）年齢216歳だと？
（支倉未起隆(はぜくらみきたか)）はい","Age 216 years old?
) Yes",0.16666666666666666,0.6256743
And ya work as a spaceship pilot?,職業は宇宙船のパイロット？,Occupation is a spaceship pilot?,0.4,0.78821117
"This is completely insane, \N but are you saying you're some kinda space alien?",宇宙人だと？,Are you an alien?,0.2352941176470588,0.6909866
I am a space alien.,私は宇宙人です,I am an alien,0.42857142857142855,0.89230436
"Hey, hey, hey, hey!",おいおい おいおい…,Hey hey ...,0.25,0.5478058
"So, you have a spaceship?","じゃあよぉ
空飛ぶ円盤っつーの？","Well then
Is it a flying out disk?",0.14285714285714285,0.4029541
Of course.,もちろん,of course,0.6666666666666666,0.8766717
I cannot summon it immediately.,"３日ほど かかります
すぐには無理です","It takes about 3 days
It is impossible immediately",0.15384615384615385,0.43986547
You use that watch to call it to you?,その腕時計で呼ぶのかい？,Do you call it by the watch?,0.4545454545454545,0.77548504
"Oh, how did you know?","（未起隆）
おお どうして分かったんです？",Why did you understand?,0.3333333333333333,0.48463747
Please keep this a secret.,"でも これは３人だけの秘密ですよ
誰にもしゃべらないでくださいね","But this is a secret of only three people
Please do not talk to anyone",0.2352941176470588,0.50845283
This guy's totally fucked in the head!,"（億泰）
こいつ 相当の
プッツン野郎だぜ","This is considerable
It is Putzung guy",0.15384615384615385,0.20366873
