en_text,jp_text,google_translated,score,semantic_score
I just procured a blood sample.,血液の採取はできた ブチャラティのな,Blood collection is a Buchalati made,0.18181818181818185,0.39673656
"Hey, when's this train gonna start moving?!",おい この列車 いつになったら動くんだ,Hey I'm moving when I got,0.2,0.5461613
What? What happened to the first one?,はあ 元の運転手どうしたんだよ,What was the original driver,0.2,0.2231925
Especially the crying brat over there.,ったくもう やかましいわね 特にガキの泣き声が,"It's already good, especially the crying voices of Gaki",0.2,0.28350732
How would you describe your health?,君 健康状態は良好ですか,Is your health good?,0.3333333333333333,0.6887007
"H-Hey, what do you think you're doing?!",ちょっ 何してんのよ あんた,What do you do?,0.4,0.32927996
"You can read the sign posted on my door, can't you?",あなた ドアに書いてある文字は読めるのよね,You can read the letters written on your door,0.375,0.7265587
"Born March 10, 1977. \NTwenty-four years old.",1977年3月10日生まれ 24歳,"Born on March 10, 1977 24 years old",0.6363636363636364,0.8875608
Get out!,出てって,It is out,0.2,0.3536605
So good...,すごくいい,Very good,0.25,0.482691
"If you have the energy to produce such a brisk slap, \Nthen there's no doubt in my mind!",こういう元気なビンタをくり出せるんなら 間違いない,There is no doubt if you can make such a cheerful binto,0.2692307692307692,0.19234706
"And judging by the taste of your fingers, \Nyour blood type is O.",血液型はO型 だろ,Blood type is O type,0.26666666666666666,0.7098605
Who do you think I am?,名前は必要ない 生まれや育ちも関係ない,I do not need names I do not have any relationship and raised,0.13333333333333333,0.2615429
My family-,あたしを誰だと思ってんの あたしの一族は…,My family is my family who thinks me ...,0.125,0.6332603
"The only pertinent information is your current health, your date of birth, and your blood type.",重要なのは今の健康状態であり 生年月日と血液型だ,Important is now a health condition and the birth date and blood type,0.4,0.6583772
"It appears you drink and smoke, as well.",占いによると 相性が君ととても悪い,It is very bad with you according to horoscope,0.1176470588235294,0.2658103
You're the di molto best person I could ask for!,もっと君は最高にディ・モールトいいんだがなー,More you are the best di Morto good,0.25,0.4277962
"I-If you want money, I can give you some... \NAnd if you need more, I have a credit card...",お…お金ならあげるわ もっと欲しいんなら クレジットカードの…,"Oh ... If you want money, don't want more credit card ...",0.42857142857142855,0.6620051
This next question is the most important one.,これからの質問がもっとも大切なことなんだ 重要なのは君の好みだ,The question is the most important thing from now on is your favorite,0.3333333333333333,0.5052793
Which do you prefer?,君はどれが好みなんだい,Which is what you like,0.25,0.64344794
But I think it's still an incredibly relevant resource..,でも とても重要なことだと思うんだ,But I think it is very important,0.3076923076923077,0.44400483
...as the beginning of the process leading\N to the birth of an outstanding child.,立派な子供を産むための始まりとしてはな,It is the beginning to give birth to a good kid,0.21052631578947367,0.6905081
"Now, choose.",さあ 選んでくれ,Please choose,0.2,0.46269104
Babyface!,「ベイビィ・フェイス」,"""Bavi Face""",0.0,0.4584582
Help me!,助けて,help,0.3333333333333333,0.70205367
"Oh, yes. We're going to nurture it...",ああ 育成するとも 極悪な奴にな,"Oh, I'm an extremely bad guy",0.1176470588235294,0.13752997
Di molto...,ディ・モールト,Di mall,0.25,0.33395135
A heavy stone of fate,"{\move(1750,1070,1900,1070)\fad(200,500)\fax-0.1\t(500,0,\3c&H02E2F0&)\t(500,0,\c&H02E2F0&)\t(500,0,\blur6)}重たい運命の石に",On the stone of heavy fate,0.5714285714285714,0.9149644
marude oshitsubusarete,"{\move(1750,1070,1900,1070)\fad(200,500)\fax-0.1\t(500,0,\3c&H02E2F0&)\t(500,0,\c&H02E2F0&)\t(500,0,\blur6)}まるで押し潰されて",Maru crushed,0.0,0.51368797
"Struggle as I may,","{\move(1750,1070,1900,1070)\fad(200,500)\fax-0.1\t(500,0,\3c&H02E2F0&)\t(500,0,\c&H02E2F0&)\t(500,0,\blur6)}どこにも逃げられない",I can not escape anywhere,0.1111111111111111,0.28170568
hitasura agaki nagara,"{\move(1750,1070,1900,1070)\fad(200,500)\fax-0.1\t(500,0,\3c&H02E2F0&)\t(500,0,\c&H02E2F0&)\t(500,0,\blur6)}ひたすら足掻きながら",While scratching,0.0,0.13809271
But I'll never give in,"{\move(1750,1070,1900,1070)\fad(200,500)\fax-0.1\t(500,0,\3c&H02E2F0&)\t(500,0,\c&H02E2F0&)\t(500,0,\blur6)}だけどあきらめない",But I can not give up,0.3333333333333333,0.6027069
Though fragments of hope lie buried beneath the rubble,"{\move(1750,1070,1900,1070)\fad(200,500)\fax-0.1\t(500,0,\3c&H02E2F0&)\t(500,0,\c&H02E2F0&)\t(500,0,\blur6)}瓦礫の底に埋もれた",Buried at the bottom of the rubble,0.3636363636363637,0.5956949
in order to make a difference in this world,"{\move(1750,1070,1900,1070)\fad(200,500)\fax-0.1\t(500,0,\3c&H02E2F0&)\t(500,0,\c&H02E2F0&)\t(500,0,\blur6)}世界を変えるために",To change the world,0.2,0.75743705
Only those who believe in the path they take,"{\move(1750,1070,1900,1070)\fad(200,500)\fax-0.1\t(500,0,\3c&H02E2F0&)\t(500,0,\c&H02E2F0&)\t(500,0,\blur6)}自分の道を信じた者だけがいつか輝ける",Only those who believe in your own way will shine someday,0.3333333333333333,0.51610464
"As long as they live,","{\move(1750,1070,1900,1070)\fad(200,500)\fax-0.1\t(500,0,\3c&H02E2F0&)\t(500,0,\c&H02E2F0&)\t(500,0,\blur6)}命の限り 神にも逆らい 戦い続ける",As long as Life continues to fight against God,0.18181818181818185,0.5417603
with their indomitable souls,"{\move(1750,1070,1900,1070)\fad(200,500)\fax-0.1\t(500,0,\3c&H02E2F0&)\t(500,0,\c&H02E2F0&)\t(500,0,\blur6)}不屈の魂たちよ",Soul of unfair,0.0,0.35785943
"Assuming nobody finds us, \Nwe should make it to Venice by tomorrow or the day after.",このままバレなければ 明日か明後日にはヴェネツィアだが,"If this is not barre, it is Venice for tomorrow or later",0.2,0.5785868
Makes me wonder if Buccellati said something harsh to Trish.,トリッシュ ブチャラティに何か厳しいことでも言われたのかなぁ,I wonder if Trish Buchalati was said to be something tough,0.375,0.7439305
Not to mention her mysterious father...,トリッシュはたぶん自分でも気づいていないスタンド使い そして 謎の父親,Trish is probably a standing and mysterious father who is not aware of yourself,0.17647058823529413,0.48355758
But Buccellati is forbidden to \Nspeak with her about any of it.,しかし ブチャラティは掟で その話に触れることは禁じられている,But Buchalati is forbidden to touch that story,0.2352941176470588,0.6483111
