en_text,jp_text,google_translated,score
"Mazrim, please make sure all measurements in this episode are in metric. Thank ya! -Fadeout4",俺だけじゃあなく シーザー お前も 暗くなるだけだぜ…》,"Not only me, but I'm just getting dark ... """,0.03571428571428571
The poison rings in Jojo's chest and neck  cannot be surgically removed.,ジョジョ お前は 少なくとも これから 俺がやることが➡,Jojo You are at least from now on,0.045454545454545456
Jojo must defeat Wham and his master and take the antidote!,あっ！ 水が 流れ落ちていかねえ！,Ah!Water flows down!,0.06666666666666667
I can't believe they took it seriously!,うお…｡,....,0.0
"And that doesn't just go for me.  Caesar, it will make you depressed, too.",この指の先 一点からだけ 波紋を放出したのだ！,I just released the ripple from one point of this finger!,0.03571428571428571
"Jojo, the least you'll need to learn is what I'm about to do.",一点集中で コップに 波紋の振動膜ができ➡,The vibrating film of the ripples can be made into the cup in one point concentration ➡,0.03333333333333333
The water isn't falling!,｢水鉄砲は 穴が小さい方が よく飛ぶ！｣ということだ｡,"""The water guns fly better if the hole is small!""",0.2857142857142857
"Jojo, catch!",分かったか スカタン！,I understood Scanat!,0.14285714285714285
Here's what went wrong.,そのために ここへ来たのだ｡ 先生の住む このヴェネチアへ！,"To do this, I came here. To this Venice where I live!",0.125
The strength of our Ripple is about equal.,オーノー！ 俺の嫌いな言葉は➡,Australia!My dislike words are ➡,0.0
"However, you always release it in a burst from your palm.",１番が ｢努力｣で ２番が ｢頑張る｣なんだぜ！,"What is No. 1 ""effort"" is ""work hard""!",0.043478260869565216
"A water pistol with a smaller hole shoots farther. Got that, chump?",♬ 深紅の血潮が,♬ Hydrangea of crimson,0.0
"Listen, Jojo. You have to train to completely control your Ripple.",♬ 立ち上がる勇気を,♬ Rising courage,0.0
From out of the stillness,♬ 闇を欺いて 刹那を躱して,♬ I deceive the darkness and beat the moment,0.08333333333333333
Timing:,♬ 刃すり抜け奴らの間隙を突け,♬ Blade Shrinking the gap of those,0.0
The Pillars of the past are awakening tonitonichopchop,♬ つらぬいた信念が 未来を拓く,♬ つ つ つ,0.0
Fadeout4,♬ 血脈に 刻まれた因縁に,♬ に,0.0
Typesetting:,♬ 血脈に 刻まれた因縁に,♬ に,0.0
Quality Check:,♬ 血脈に 刻まれた因縁に,♬ に,0.0
Carries with it the courage to stand and fight,♬ 浮き上がる消えない誇りの絆,♬ 浮,0.0
Even if the love I feel is just part of my legacy...,♬ 握りしめて,Try to hold,0.0
Why would a master of the Ripple be here?,こんな所に 波紋の先生なんているのか？,What is the teacher of the ripple in such a place?,0.3125
He's standing on a floating oar!,す… 水面の オールの上に…｡,.... On the water surface.,0.07692307692307693
W-Who the hell is this guy?!,な… 何だ？ こいつ 何者!?,... What?Anyway!,0.18181818181818182
You asshole!,この野郎！,This guy!,0.2
"I don't know who you are, but I'm gonna make you pay for that!",訳が分からんが いきなり 殴られたからには➡,"I did not know the translation, but I was beaten suddenly",0.16666666666666666
"No one knows her real name, her past,  or where she learned to use the Ripple.",本名 その生い立ち 家庭➡,Book name its life family ➡,0.045454545454545456
But she will be our coach for the next month.,だが リサリサは これから １か月間➡,But Lisalaisa is from now on 1 month,0.11764705882352941
I still have to make you pay for hitting me with that oar.,てめえ いきなりオールで 痛めつけられては 許せねえぜ！,I can not forgive myself hurting at all right!,0.043478260869565216
I won't hold back just because you're a girl!,こんな場合 俺は 女だろうが容赦はしねえ！,Such a case I will be a woman but I'm sorry!,0.15
I tested your talents and found them superb.,あなたの才能が すばらしいということは➡,That your talent is wonderful,0.07692307692307693
S-She made a high bar!,す… 水面が鉄棒のように！,Water surface like a steel bar!,0.3
"Joseph Joestar, you will wear  that breathing correction mask at all times.",ジョセフ･ジョースター｡ あなたは １か月間➡,Joseph Joe Star. You are one month,0.15789473684210525
"But if you fail to maintain rhythm,  the mask will begin to suffocate you.",しかし！ 一旦 リズムが狂えば 息はできなくなり➡,"However!Once the rhythm is crazy, the breath can not be done ➡",0.12
"D-Dammit, take this thing off right-",て… てめえ！ さっさと マスクを外しや…｡,... Take!Remove her mask quickly ....,0.07142857142857142
I'll take it off for meals and tooth brushing.,食事のときと 歯を磨くときだけ 外してあげましょう｡,Let's remove only when you eat and brush your teeth.,0.09523809523809523
It'll be like wearing a cloth mask.,そうすれば 風邪のマスクみたいに なんてことはない｡,"That's right, there is nothing like a cold mask.",0.23529411764705882
I am forging warriors that can destroy our enemies!,やつらを倒す戦士をつくるために 教えるということ！,To teach to create a warrior who defeats the guys!,0.05263157894736842
Y-You bitch!,こ… この～｡,This ~ This ~.,0.0
"Hey, are you ready to go another round with her?",おい！ まだ 先生とやり合うのか？,Oi!Do you still match with the teacher?,0.15789473684210525
"Now, Caesar, and Jojo...",あらためて シーザー そして ジョジョ…｡,Caesar and Jojo ....,0.5714285714285714
"I respect her skill with the Ripple, but I'd never marry a girl like that.",《ちぇっ！ 波紋の達人というのは 分かったがよ…➡,"""Chi!It was understood that the ripple of ripples ... ➡",0.1111111111111111
"She's kinda cute, though.",ちょっと マブイ人だがな》,I'm a little mabier but,0.0
Bow to her! what? why is a playboy like you so polite to her?,おじぎしろ！ 何だ～？ 女ったらしのてめえが➡,Cift!What is it?My woman is a woman,0.2777777777777778
I respect my master like my own mother.,俺は 先生を 自分の母と 同じくらいに 尊敬している！,I respect the teacher as much as my mother!,0.3076923076923077
I won't tolerate rudeness toward her.,無礼をするなよ｡ 俺が許さん！ くっ…｡,Don't go rude. I am forgiven!....,0.2
"Compared to the city, it's dark and has an aura of mystery.",明るいヴェネチアから 一転して 暗く 神秘性十分｡➡,Dark and darkness from bright Venetia.,0.15789473684210525
"But even so, the island's beauty matches Lisa Lisa perfectly.",しかし その華麗な趣は まさに リサリサを 象徴したような島！➡,But the brilliant taste is a magic island that symbolizes Risalusa!➡,0.13636363636363635
This is our new training ground!,これが 俺とジョジョの 修行場である！〉,This is my and JoJo's training area!>,0.3076923076923077
