en_text,jp_text,google_translated,score,semantic_score
This is for our motherland.,お国のためだ,For the country,0.125,0.55037385
"If you die, be content. \NDon't let death stop you!",死んでも本望 死んでも行け,"Even if you die, you can die",0.26666666666666666,0.56783015
Sir...,（兵士）はっ…,...,0.5,0.65940464
"Sir, if I may, it seems foolish to be content","死んでも本望などというのは
バカげています","Even if you die, it is
I'm stupid",0.2352941176470588,0.32831383
I don't think these men \Nare fit to be scouts.,"それに この者に
斥候(せっこう)が務まるとは思えません","And to this person
I do not think that the scout is served",0.19047619047619047,0.54181194
"What ""amounts to"" a training exercise?",（大隊長）“たかだか”だと？,"""Takaya?""",0.3,0.057130266
Tobisaki!,"（大隊長）
しかしもクソもあるか！",But maybe also fucking!,0.16666666666666666,0.12359033
"Are you, a soldier who swore \Nallegiance to the army,","貴様は忠節を誓った
軍人でありながら","Verning the loyal
While being a military person",0.1176470588235294,0.47458273
Good question.,"（飛崎）
そうだな… 満州(マンシュウ)に渡って",That's right ... over Manshu,0.0,0.11729621
and become a roving bandit.,馬賊にでもなるか,Will it be a hand light,0.09090909090909093,0.033556696
"If you feel up to it, come take my exam.","（結城）
その気があるなら
うちの試験を受けてみろ","If you feel that
Take out our exam",0.3333333333333333,0.70944875
As the embers of world war smoldered,"（小田切(おだぎり)）
世界大戦の火種がくすぶる
昭和12年 秋",")
The fireballs of World War
Fall of 1952",0.3636363636363637,0.44078684
the Imperial Army,"帝国陸軍内に
秘密裏に―","In the imperial army
Secret-",0.6,0.7744935
established a clandestine \Nspy training agency.,"スパイ養成学校が
設立された","Spy training school
established",0.2222222222222222,0.6580043
are all treated as top-secret information.,"一切 極秘事項として
扱われた精鋭たち","As a quite secular
Endlessness treated",0.18181818181818185,0.038678817
They easily complete training \Nexercises that push them,"やすやすと
乗り越えた彼らは―","Ease
They overcoming them-",0.09090909090909093,0.46467295
to their physical and mental limits.,"精神と肉体の極限を
要求される訓練を","Mental and body limit
Training required",0.18181818181818185,0.49243882
"Under the command of founder \NLieutenant Colonel Yuuki,","創設者である
結城中佐の指揮のもと","It is a founder
Under the command of Yoshiyuki",0.38461538461538464,0.64104533
And so a brand-new intelligence \Nagency was created.,"かくして新たな
諜報(ちょうほう)組織が誕生した","Thus new
An intelligence organization was born",0.14285714285714285,0.8017247
"Its name is ""D-Agency.""",その名は Ｄ機関,The name is D organization,0.2,0.761463
Call the police!,"警察を
呼んでください！","Police
please call me!",0.5,0.53843683
The target I was watching died.,"（小田切）
監視していたマトに死なれる",It is died to the mat to monitor,0.16666666666666666,0.3933094
It was an inexcusable failure.,あってはならない失態だった,It was a suspicion that should not be,0.16666666666666666,0.37408248
The deceased is a German \Nman named Karl Schneider.,"死んだのは
ドイツ人 カール･シュナイダー","It is dead
German Carl Schneider",0.2307692307692308,0.83977103
