en_text,jp_text,google_translated,score
"As the embers of world war \Nsmoldered in autumn of 1937,","（福本(ふくもと)）
世界大戦の火種がくすぶる
昭和12年 秋",")
The fireballs of World War
Fall of 1952",0.26666666666666666
the Imperial Army established,帝国陸軍内に 秘密裏に―,Secret in the Imperial Army-,0.2857142857142857
a clandestine spy training agency.,"スパイ養成学校が
設立された","Spy training school
established",0.25
are all treated as top-secret information.,"一切 極秘事項として
扱われた精鋭たち","As a quite secular
Endlessness treated",0.18181818181818182
They easily complete training \Nexercises that push them,"やすやすと
乗り越えた彼らは―","Ease
They overcoming them-",0.09090909090909091
to their physical and mental limits.,"精神と肉体の極限を
要求される訓練を","Mental and body limit
Training required",0.18181818181818182
"Under the command of founder \NLieutenant Colonel Yuuki,","創設者である
結城(ゆうき)中佐の指揮のもと","It is a founder
Under Yuki  Nakana's command",0.2
And so a brand-new intelligence \Nagency was created.,"かくして新たな
諜報(ちょうほう)組織が誕生した","Thus new
An intelligence organization was born",0.14285714285714285
"Its name is ""D-Agency.""",その名は Ｄ機関,The name is D organization,0.2
Episode 4 - City of Temptation,～♪,~ ♪,0.0
"Not at all, Captain Oikawa, sir. \NWhat can I do for you?","（本間英司(えいじ)）
いえ 自分に用とは
何でありましょう",")
I can not do it
What should be",0.2
I called you here because I have \Na top-secret job for you.,"（及川政幸(おいかわ まさゆき)）
すまない 待たせたな
本間(ほんま)軍曹",")
I was waiting for you
Book  Sergeant",0.1875
We have an enemy spy within \Nthe Shanghai Military Police.,"この上海(シャンハイ)派遣憲兵隊の中に
敵の内通者がいる","Shanghai  dispatching in the Corps
There are enemies",0.05555555555555555
I want you to find out who it is.,"貴様に極秘で
やってもらいたいことがあるからだ","In secret secret
Because there is something I want to do",0.25
"Why me, sir?",はっ？,?,0.2
I've only been stationed in \NShanghai for three months.,"（及川）
情報漏えいは少なくとも
３か月前から起きている","Information leakage is at least
I'm getting up from three months ago",0.14285714285714285
It's been a little over three \Nmonths since the leaks started.,"それに内地では
一時期 特高にいたそうだな","And in the inside
It seems to have been a regular",0.2
"In other words, you can't be the culprit.","つまり 貴様は
犯人ではないということだ","In other words,
He is not a criminal",0.25
The man I'd originally had investigating\Nthis was killed yesterday.,"先日 殺された
宮田伸照憲兵伍長(ごちょう)だ","The other day was killed the other day
Miyata Shrimp Nonfinatorial Chief",0.17647058823529413
Here are Corporal Miyata's reports.,"ここに
宮田伍長の報告書がある","Here
There is a report of Miyata Chief",0.15384615384615385
Pardon me.,失礼します,Excuse me,0.25
"I'm sorry, sir!",申し訳ありません,I'm sorry,0.5
Confirm the location.,"（及川）
本間軍曹 何をしている！",What is the sergeant of the sergeant.,0.25
Damn it.,共同租界です,It is a joint meeting,0.14285714285714285
That's... my house.,あれは… 俺の家だ,That's my house,0.6666666666666666
How awful...,あ… えっ？,Oh ... right?,0.16666666666666666
Do you recognize any of the other bodies?,"（ジェームズ）
他はどうです？",How other is it?,0.16666666666666666
Inspector James...,（及川）ジェームズ警部,James Police Department,0.2
Let's see...,２人組の物乞いだろう,Two people's beggar,0.14285714285714285
I often saw sitting in front of my home.,"恐らく これとこれは
よく家の前に座り込んでいた―","Perhaps this and this
I was sitting in front of my house-",0.4
"This one, tragically, is a child who lived nearby.","この死体は…
かわいそうに 近所の子だ","This corpse is ...
It is a child of the neighborhood",0.23529411764705882
Then he's the most suspicious one.,"こいつが
一番 怪しいですね","This guy
It is the most suspicious",0.25
The beggar?,この物乞いが？,Is this beggar?,0.4
He probably had a cookfire going or something.,"彼が爆弾テロの
犯人だったというのか？","He is a bomb terrorism
Is he who was a criminal?",0.125
It must've caused the paint can \Nsitting by the wall to blow up.,"そのせいで壁際にあった
ペンキ缶が爆発したんですよ","Because it was the wall
The paint can was exploded",0.29411764705882354
This was clearly a terrorist making\Nan attempt on the captain's life!,"ふざけるな！ 誰がどう見ても
大尉殿を狙った爆弾テロだ","Do not be silly!Who see
A bomb terrorist who aimed at a giant hall",0.125
"Enough, Sergeant Honma.",やめろ 本間軍曹,Stop honed sergeant,0.14285714285714285
It's pointless. They never had any intention,昨日の事件だって…,It is yesterday's case ...,0.15384615384615385
I left early this morning,"俺は今朝 早めに家を出た
貴様と話すためだ","I got home early this morning
To talk with you",0.36363636363636365
If I'd left at my usual time...,"もし
いつもどおりだったら…","if
If it is usual ...",0.2727272727272727
My schedule may have already been leaked.,"俺の動きも漏れているかもしれん
先ほどの件 頼んだぞ","My movement may also leak
I asked the previous matter",0.125
"What is it, Private Yoshino?",どうした 吉野(よしの)上等兵,What is Yoshino,0.42857142857142855
Did you know him?,知り合いか？,Do you know?,0.5
I'm in your debt for \Neverything you did for me.,"その節は
大変お世話になりまして","The section is
Thank you very much for your help",0.16666666666666666
Shiozuka Hajime...,俺が取り調べた…,I checked ...,0.2
a left-wing magazine?,"もしや 以前 左翼雑誌を
所持していた かどで","If you have a left wing magazine before
She owned her",0.15384615384615385
"Yes, about three years ago.",ええ もう３年ほどたちます,Yeah I have about 3 years older,0.16666666666666666
