en_text,jp_text,google_translated,score
"Itadori-kun, why is his nose bleeding?",（七海(ななみ)）虎杖(いたどり)君 あの鼻血は？,Tora cane  is your nosebleed?,0.16666666666666666
Huh? I punched him.,（虎杖）えっ？　俺が殴った,?I scolded,0.2857142857142857
When?,"（七海）いつ？
（虎杖）いっちゃん最初","When?
 I'm first",0.4
At the start of our fight.,（七海）理由は説教の時に,reasons are at the time of preaching,0.2727272727272727
Did his hand touch you?,"（七海）やつの手に触れましたか？
（虎杖）うん","Did you touch the hand of the guy?
 Yeah",0.5
My attacks won't work on him.,"（七海）私の攻撃は
やつに効きません","My attack is
I do not work on a guy",0.2
What?! Why?!,"（虎杖）
ん？　えっ… は？　何で？",Yeah?Eh ... What? why?,0.42857142857142855
"One, his technique doesn't 
work on Itadori-kun,","（七海）1 虎杖君に
やつの術式が効かない","1 tiger cane
The surgery of the guy does not work",0.11764705882352941
"Either way, that's good for us.",どちらにしろ 好都合,In either way,0.2
Yeah!,おう！,King!,0.3333333333333333
I thought this would be a good one.,これ いいと思ったんだけどな,I thought it was good,0.2727272727272727
"And after dodging it, they started 
shaving away the weaker ends.","かわされたあと
強度の弱い端から削られる","After it was
Scripped from the weak end of strength",0.15
Right before he changes shape...,やつは形を変える直前…,A guy just before changing the shape ...,0.2727272727272727
Good.,"呪力の""タメ""がある
（七海）よろしい","There is a ""tame"" of a curse
 Good",0.1
"there's still the risk of Itadori 
Yuuji killing me in one blow.","虎杖悠仁に
一撃で しとめられる危険がある","Tora cane
There is a danger of being able to be done with a blow",0.12
He really is my natural enemy.,本当に天敵だな,It's really natural,0.2222222222222222
I'll need to make him behave for a bit.,"ちょっと
おとなしくしてもらおうか","a little bit
Maybe I'm sorry",0.2
Transfigured humans!,（七海）改造人間,remodeling person,0.0
He still had a stockpile of them?,まだ ストックがあったのか,Is there yet a stock?,0.16666666666666666
Kill the short-haired brat.,短髪のガキを殺せ,Kill the short haired oysters,0.25
He can't kill humans!,"やっぱり あいつ
人間 殺せないだろ","After all
I can't kill a human",0.2727272727272727
Please...,（改造人間）おね… がい…,OK ...,0.3333333333333333
"Next, I'll have him attack you, too.","次は あんたを
襲わせようと思うんだ","Next
I'm thinking of attack",0.23076923076923078
"He's a foolish brat who can't 
reconcile reality and his ideals.","現実と理想のすり合わせが
できていない バカなガキは","Reality and ideal pleasure
I'm not able to do stupid oysters",0.08333333333333333
"He's right in the middle of 
making that reconciliation.","彼は今まさに
そのすり合わせの真っ最中","He is now
The middle of the rating",0.2857142857142857
"If it were up to me,",どちらかといえば―,If I had to choose one-,0.18181818181818182
I'd say you're the fool.,バカは あなたです,The fool is you,0.3333333333333333
Did you kill them?!,（虎杖）ううっ！,uh!,0.14285714285714285
"I'm changing shape right 
before the moment of impact.",インパクトの直前に形を変え,Change the shape just before the impact,0.3076923076923077
I don't have time to create a substitute.,（真人）身代わりを作る隙がない,There is no chance to make a substitute,0.2
what fresh inspiration this is!,"ああ 何て
何て新鮮なインスピレーション","Oh what
What fresh inspiration",0.42857142857142855
Is this...,これが―,This is-,0.25
Death,"""死""か！","""Death""!",0.25
I bet I could do it now.,（真人）今ならできるよね,You can now,0.1111111111111111
Domain Expansion:,領域展開,Domain expansion,0.6666666666666666
Shit.,クソッ,Fucking,0.0
grateful to you.,君に感謝を,Thank you to you,0.4
Quit screwing around!,（虎杖）ざけんな！,Spring!,0.2
Why did he only seal Nanamin inside?!,"（虎杖）何で ナナミンだけ
閉じ込められた？","What is Nanamin alone
was locked up?",0.13333333333333333
At this rate...,このままじゃ… このままじゃ,This is it ...,0.3333333333333333
Domain Expansion.,（七海）領域展開,area development,0.0
"their ultimate technique 
becomes one guaranteed to hit.","必殺の術式を
""必中""必殺へと昇華する―","Tasketric
""Presidential"" Sublimation to Holiday-",0.07142857142857142
"However, in a domain that guarantees a hit,","しかし それが
必中の領域内となれば 私は今―","But that is
If it is in the necessary area, I am now-",0.16666666666666666
literally in the palm of his hand now.,文字どおり 手のひらの上,On the palm of the hand,0.4
Jujutsu sorcerers are shit.,（七海）呪術師はクソだ,magician is fucking,0.0
"They have to be prepared to 
cast away their lives for others,","他人のために
命を投げ出す覚悟を―","For others
Be prepared to throw your life-",0.3333333333333333
"and to occasionally force 
their comrades to do so.","時として
仲間に強要しなければならない","Sometimes
I have to force my companion",0.14285714285714285
That's why I quit.,だから辞めた,So I quit,0.2857142857142857
Do you like casse-croute?,"（店員）好きなんですか？
カスクート","Do you like?
Caskut",0.6666666666666666
Huh?,えっ？,eh?,0.3333333333333333
"Oh, uh, yes.",（七海）あ… いや はい,Oh ... No Yes,0.2857142857142857
"It's much better than a
convenience store's, isn't it?",おいしいでしょ コンビニのより,It is delicious and more convenience store,0.26666666666666666
Please come back again.,（店員）また 来てくださいねー,Please come again,0.6
Fly head...,（七海）蠅頭(ようとう)…,Sakai  ...,0.25
"It'd be a bigger pain to deal with it and 
have her think I'm some weird medium.","下手に処理して
ヘンテコ霊媒師と思われても面倒だ","Process well
It is troublesome even if it seems to be a Henteko Primer",0.14285714285714285
"Hello, everybody!",（社長）ヘロー エブリバディー,Hero Everybody,0.2
You making those sales?!,（社長）売ってるかーい,Do you sell,0.125
"There's no need to do 
anything special at the start.","初めは何も
特別なことをする必要はありません","Nothing at the beginning
There is no need to do something special",0.5
Just be sincere with the clients.,"お客に対して真摯(しんし)であること
（新人）うん","Being a sincere
 Yeah",0.1
Right!,（新人）はい！,Yes!,0.3333333333333333
Nanami...,（社長）七海,Nanami,0.5
Don't be so prudish all the time.,それだけは忘れずに,Don't forget it,0.18181818181818182
"So, new boy, what you need to think about, 
first and foremost, are the company's profits.","ユーがファーストに考えるべきは
会社の利益だ","You should think of your first
It is a profit of the company",0.19230769230769232
Of course!,（社長）オフコース！,off course!,0.5
"It's suitable payment for us staring 
at the markets around the clock.",アスに対する正当なマニーだ,It is a legitimate manny for as,0.1111111111111111
