en_text,jp_text,google_translated,score
"You like nippos so much, Cheki.","（ポポ）
チェキは ニッポ好きだなあ",Cheki she likes nippo,0.09090909090909091
But you love them!,"（チェキ）
ポポは大好きじゃ… んんっ！",I love Popo ...,0.125
I wish I could eat nippos until I'm full.,"お腹いっぱい
ニッポ 食べてみたいなあ","I'm full
I want to eat nippo",0.3333333333333333
"I'll become really great,",すごーい,great,0.16666666666666666
Really?!,ホント？,really?,0.6666666666666666
"I'll go way up there, above the clouds.","（ポポ）
エヘッ  ずっとずっと
上の上の雲の上まで行って―","Ehehess forever
Go up to the top of the cloud above-",0.16666666666666666
"I'll let you live there, and I'll become the king.","みーんなを住まわせて
俺 王様になるんだ","Let me live
I will be a king",0.25
I'll make you a princess.,チェキはお姫様にしてやる,Cheki will be a princess,0.2
Then I'll help you so you can do it!,じゃあ そうなるよう私も手伝う,Then I will help me,0.25
Kaiba Production\NCommittee,～♪,~ ♪,0.0
The giant fans installed in the underworld.,"ないひ 下月(がげつ)に取り付けられた
数多くの巨大な輪","I was installed in the end of the day
Many huge wheels",0.2
"Nobody knows when they started showing up,\Nor how their numbers increased.","それが いつからでき
増えていったか定かでない","It can be
It is not clear whether it has increased",0.045454545454545456
"We all wonder who made them, and for what purpose.","しかし “誰が何のために”と
考えるのをやまず―","But ""Who is for what""
Do not think of thinking-",0.14285714285714285
We did it!,"やったな
とうとう夢がかなったんだ","I did it
My dream was pretty",0.2222222222222222
We defeated Warp!,ワープを倒したんだ,I defeated the warp,0.3333333333333333
Sate!,サテ！,Sate!,1.0
"Si, Kut, and Tuck have gone to the palace with Dada.","（サテ）
シート カット タップは
ダダをつけて宮殿へ向かいました","Sheet cut tap
I went to the palace with Dada",0.2777777777777778
They'll open the gate to let us in.,門を開けて 我々を迎え入れます,Open the gate and welcome us,0.3333333333333333
Are you smiling?,"（ポポ）
元気いいな
フッ 笑ってるのか？","I'm fine
Are you laughing?",0.375
This is the first time I've heard you sound cheerful.,お前の明るい声は初めて聞くな,Don't listen for the first time your bright voice,0.15789473684210525
We'll fly fast!,つかまれ  飛ばすぞ！,I'll fly caught!,0.42857142857142855
Go up!,上がって！,Get up!,0.5
The residential areas are in the electrolytic cloud.,（サテ）住居は電解雲の中です,Dwellings are in the electrolytic cloud,0.5555555555555556
The only safe places are Dada's room and the old palace.,"大丈夫なのは 恐らく
ダダの部屋と旧宮殿のみ","It is probably okay
Dada's Room and Old Palace Only",0.4375
What about Cheki?,チェキは？,What is Cheki?,0.6
She's in the ship.,（サテ）船に待機してます,I will wait for the ship,0.2
These pictures...,この写しは…,This copy is ...,0.16666666666666666
They've been here ever since we discovered the old palace.,"旧宮殿が見つかる前から
ずっとここにある…","From before the old palace is found
Here is ...",0.23529411764705882
Cheki!,（ポポ）チェキ,Cheki,0.5
We did it.,"やったぞ  天下をとったんだ
夢がかなったんだ","I did it.
I dreamed",0.5
Congratulations.,おめでとうございます,Congratulations,0.5
"I'm going to be the king, Cheki!",王様になるんだぞ チェキ,I'm going to be a king,0.5454545454545454
Cheki?,チェキ？,?,0.5
What do you mean?,（ポポ）何をするんだ,What do you do,0.6
I eliminated any memories that hindered our work.,邪魔になる記憶は消去しました,Memories that get in the way were erased,0.13333333333333333
She's now your obedient slave.,チェキは もう従順な下僕ですよ,Ceki is already obedient,0.1
"Remember, Cheki!",思い出せ チェキ！,Remember Cheki!,0.75
Popo-sama.,（チェキ）ポポ様,Popo,0.0
Don't forget me!,俺を忘れるな,Don't forget me,0.8
"See, Cheki, isn't it cool?",どうだ チェキ  すごいだろ？,How is it?,0.3333333333333333
"You've never been up so high, have you?",こんな高い所 上ったことないだろ,It has never been such a high place,0.2
We'll only have fun memories from now on.,"もうこれからは
楽しい思い出ばっかりだ","From now on
It's just a fun memories",0.35714285714285715
"Mom, I'll find you a body and bring you back soon.","母さん  すぐ身体 見つけて
戻してあげるよ","Mother immediately find a physical body
I will return",0.2222222222222222
I've become really great.,夢がかなったぞ,I dreamed,0.14285714285714285
I can't wait to show you!,"俺 めっちゃ出世してんだ
早く見せたいよ","I'm very happy
I want to show it early",0.21428571428571427
I can do anything.,"何でもできる  思いのままだ
ずっと ずっとさ","It remains what you can do
Much longer",0.18181818181818182
See!,ああっ！？,Oh!?,0.25
Even the chip would melt instantly after falling there.,"無理です  あそこへ落ちたら
チップといえどすぐに溶けてしまう","It is impossible if it falls out there
It will melt immediately as a chip",0.15
"I said stop, so stop now!","うるさい！ 止めろったら
止めろっつってんだよ","Noisy!If you stop
I'm stopping",0.25
You are...,（ネイロ）あっ… あ…,... Oh ...,0.25
We carried you when we found you by the shore.,"（キチ）
僕らは水辺に倒れていた
君とカイバを運んだ","We were falling on the water
I came to you and Kibiba",0.16666666666666666
This is for Neiro's sake.,"（ポポ）
これはネイロのため",This is for Nairo,0.375
We altered your memories.,"（キチ）
君の記憶は僕らが細工 改ざんした",Your memories were worked by our work,0.2
But I put your unaltered memories in Hyo-Hyo.,ひょーひょーに入れたんだ,I put it in a haote,0.25
She has your real memories.,彼女が君の本当の記憶を持っている,She has your real memory,0.5714285714285714
I want to put them back in you.,君に戻したい,I want to return to you,0.4
Is that the truth?,"（ネイロ）
それが正解？ 私は要らない",Is that correct?I do not need,0.3
Don't touch me!,"（ひょーひょー）ひょー…
（ネイロ）触らないで！","Ho ...
 Do not touch it!",0.3333333333333333
I'm not...,私はカイバを…,I'm Kava ...,0.6
