en_text,jp_text,google_translated,score,semantic_score
This is a world where memories can be turned into data and stored.,"記憶はデータ化され
蓄積できる世界","Memory is dataized
World that can be accumulated",0.2222222222222222,0.7331847
"Even if the body dies,",肉体が滅んでも―,Even if the body is destroyed-,0.5,0.8840223
"its memories live on, and can be transferred to another body.","よりよい身体へ記憶を移し替え
不死となる","Transfer memories to better body
Immortal",0.1875,0.67563546
Kaiba Production\NCommittee,～♪,~ ♪,0.0,0.166999
Thank you for flying with Synapse Narc.,ありがとうございます,thank you,0.25,0.24400707
"This is the freight ship Neuron, heading for Tehaisa through Abit.","こちらはアビパ経由 テハイサ行き
宇宙貨物船 ニューロン号","Here you will go to Aviper Taisa
Space cargo ship neuron",0.09090909090909093,0.64020306
"After our next destination, Toto, we will be stopping at every planet.","次の停泊地トトに続き
各星へ停泊してまいります","Continued to the next anchorage
I will arrange to each star",0.09090909090909093,0.31700495
Rest assured that your safety is guaranteed on this flight.,"皆様の安全のため 乗務員一同
最善の努力を約束致します","All of the attendants for your safety
I promise the best effort",0.1,0.49217093
Who's over there?!,"（バニラ）
あっ？ 誰だ そこ！",Ah?Who is there!,0.5,0.47830784
Hey! Hold it!,くっ… どけ！,... how!,0.16666666666666666,0.32140756
You alright?,ん？ ビックリ,Yeah?Surprising,0.2,0.113023
Who are you?,誰？ あんたも密航者？,Who?Anyway?,0.4,0.3763343
Where's your body?,身体は？,What is your body?,0.42857142857142855,0.81922823
Nice to meet you.,"私 コチュってんだ
よろしく","I'm sorry
nice to meet you",0.5,0.7684656
We'll be friends for a while.,しばらくはお仲間だ,I'm a friend for a while,0.2727272727272727,0.7117988
I'll introduce you to my boyfriend later.,あとで 私の彼を紹介するよ,I will introduce my him later,0.3636363636363637,0.7811618
Are you male?,男？,Man?,0.2,0.3955897
"But you can't do anything with that body, can you?","男か  でも その身体じゃ
何もできないわね","A man or the body
I can not do anything",0.2222222222222222,0.62893057
Are you with him too?,あんたもお仲間？,Anya too?,0.2857142857142857,0.16196445
