en_text,jp_text,google_translated,score
"In his short time challenging the Bog, Sakazaki has lost 43,520,000 yen!",惨敗　沼攻略に挑んだ坂崎,Sakazaki who challenged the creation of the crap,0.10526315789473684
"Big news, Pops!",おっちゃん！おっちゃん ビッグニュースだ,Occhan!Occhan Big News,0.5
We can do this! I've got it figured out!,いける　いけるぞ,I can do it,0.36363636363636365
Pops... Did they take you away?,おっちゃん　さらわれちまったか,Occhan was over,0.0
Kaiji. I'm completely bewildered. Surrounded by foes.,カイジ君　五里霧中　四面楚歌,Kaiji Kimi Furu Fugu,0.08333333333333333
"Right now, I'm in the worst pinch of my life.",我 今 生涯における絶対的 窮地,Now absolute plateau in life,0.2
But I'm not dead yet.,されど 我 いまだ死なず,So I still die,0.1
"There's a light at the end of the tunnel, and I'm going to keep chasing it!",光明あり 我 その光明に向かい突き進む,"There is a light, and I will go to the light",0.36363636363636365
"This is my revenge on that devil, that monster!",あの悪魔 怪物への復讐は済んだ,Revenge to that devil monster has been,0.3076923076923077
By my own hands!,我が手によって,By hand,0.16666666666666666
By his own hands?,えっ？我が手によって？,eh?By my hand?,0.25
So he...,じゃあ これやったの おっちゃんかよ,Well then I did this,0.0
"Body and soul are cleansed! My rage, my tears, all fade like the mist before the morning sun!",心身浄化　怒りも悔いも 全て雲散霧消,Mental and physical purification anger and regret all the cloud screw out,0.11538461538461539
Like clouds before the wind!,風に散った塵のごとし,Dust in the wind,0.25
All that remains is to focus on the battle which occurs in three days!,あとは ただ３日後に迫った 決戦に集中するのみ,"After that, only 3 days later concentrate on a decisive battle that has been approached",0.15384615384615385
I risk it all to be reborn!,果たす 乾坤一擲,I played any course,0.09090909090909091
"A lock... Wait, he can't—",的中ってまさか…,It is exactly ...,0.1
"If we just play the ponies and get back up to 60 mil, we can try again!",競馬で残った金を 6000万にすれば やり直せる,You can try again if you put the money left by horse racing by 60 million,0.23076923076923078
Jeez! You moron!,ああもう！バカバカバカ！,Oh yes!Bakabaca!,0.14285714285714285
Stupid! There's no way you're gonna win on horses like that!,馬なんか当たらねえって 言っただろ バカ！バカ野郎！,I said that I hit a horse I was stupid!Vaca Yo!,0.13043478260869565
I get it! That's how it works!,ああ！そうか その手があったか,"Ah!So, she had that hand",0.14285714285714285
"Wait, that means...",待てよ　ひょっとすると,Wait a while,0.14285714285714285
Maybe we can make it past the second barrier!,できるかもしれねえ 第２関門突破も,It may be possible to break the second barrier,0.26666666666666666
So the only problem is those devilish triple trays...,となれば 問題は３つ目のあの悪魔,The problem is that the problem is the third kind of devil,0.2
"We can get there often enough, but if we don't figure out how to beat that part...",クソ　ネタには たどり着いてるが 肝心の攻略法が…,"I'm wearing a fucking neta, but there is an important strategy ...",0.13793103448275862
"And while I'm wasting time with this, my time's ticking down!",こうしてる間にも 刻々と俺の貴重な時間がなくなる,"Even while doing this, my valuable time disappears",0.2777777777777778
"Counting today, Kaiji has only eight days left on the outside!",カイジに残された シャバでの滞在日数は,The number of days stayed in Shaba left by Kaiji,0.21052631578947367
He's been doing that for two hours just today.,２時間も ああしてるんですよ 今日も,I'm doing it for 2 hours today,0.26666666666666666
Maybe he's trying to work out some trick.,細工する気かもしれんな,I may be crafted,0.0
I don't know what he might try.,何をしてくるか分からん 隠しカメラを設置しろ,"I do not know what to do, install hidden cameras",0.26666666666666666
Set up the hidden cameras. not just the security cameras?,監視カメラの他にですか？,Are other than surveillance cameras?,0.14285714285714285
I'll get right on it.,では早速,Then,0.0
I won't let a single ant creep in!,アリ１匹 通すものか,Is it all one ant?,0.06666666666666667
I'll snuff out even his faintest hope!,潰すんだ　わずかな可能性も,There is a slight possibility that it is crushed,0.0
I can't think of a damn thing.,なす術なし　あの沼攻略は夢物語,Nanuma attackless there is no eggplant,0.0
An impossible fantasy...,あり得ない絵空事なのか？,Is it an impossible picture space?,0.2222222222222222
"The scene, a café he entered to cool off!",ところが 涼を求めて入った喫茶店,However the coffee shop in search of cool,0.11764705882352941
"How long have they been working on that building, anyway?",マスター　向かいのビル 建って だいぶ経つよね,Building a building against the master,0.0625
It's been about a year.,かれこれ１年かな,Hidough this one year,0.1
And they're still not done?,まだ工事 終わらないんだ？,Still not ended construction?,0.3333333333333333
"Hey, listen to this.",それがさ この間の…,That's how ...,0.0
Kaiji has an unexpected realization!,思いもしない情報を得る,Get information that does not come true,0.0
Kaiji immediately confirms this with a builder!,早速 カイジは そのことを工事関係者に確かめる,Immediately Kaiji checks that thing,0.18181818181818182
"Yeah, sure is.",ああ そうだよ,Oh yeah,0.16666666666666666
All right!,よし,Good,0.0
Would you look at that!,やった　何てことだ,What did you do?,0.1
I still have a chance! Luck's still on my side!,残っていやがった 俺にも ツキ 運が,I'm lucky I'm lucky,0.07692307692307693
I won't let go of this thread!,この糸を離すな　登るんだ,I'm going to leave this thread,0.23076923076923078
This revelation will lead me back to the surface!,この天恵をたどり 地上まで,Go to this Tenmi to the ground,0.23076923076923078
I can make it out of that hell!,地獄を抜けるんだ,I'm leaving hell,0.18181818181818182
"That devilish, impossible triple tray!",あの悪魔 難攻不落の３段クルーン,That Devil's Flame 3-Store Curoon,0.08333333333333333
"I can smash right through it, and make it pay out!",あの壁を突き崩し 全て吐き出させる,Plunes that wall and spit everything,0.058823529411764705
He's gone!,やっぱり いねえ,After all,0.0
"I need you here, Pops!",おっちゃんの力が 必要だっていうのに,Even though I need the power of Occhan,0.15384615384615385
"They race out in the sticks in summer, don't they?",夏は地方に行ってるからな,I'm going to a region in summer,0.11764705882352941
Where did he head off to?,おっちゃんは どこへ向かった,Occhan went to where,0.2222222222222222
He has to be playing at the track.,場外では買わないはずだ 何しろ 一世一代の大勝負,I should not buy outside the place,0.06666666666666667
Someone with a hero complex like his is definitely gonna go to the track.,あのヒロイックなおっちゃんが 馬場へ行かないなんて,That heroic Occhan does not go to a baba,0.13636363636363635
This has to be it!,これか ひょっとして…,Hiyogo ...,0.0
I can't if you don't let go of it!,持ってってくれって あんたが手 離さなきゃ,"If you have it, you have to release it",0.2
Are you really sure about this!?,いいんですか？本当に,Is that ok?very,0.08333333333333333
It's fine. no it's not!,よくない,not good,0.125
Sorry. He can't bet that money. We're taking it back.,すいません それ 手つけちゃいけない金なんで,I'm sorry I can't help it,0.25
That's the money you snatched out of the safe!,金庫から くすねてきた金だろうが！,It would have been a gold that came from a safe!,0.16666666666666666
"What are you talking about, you idiot!?",バカ！何を言う！,fool!What to say!,0.16666666666666666
"So really, he can't.",そういうわけなんで,That's why,0.0
Hey!,あっ おい　こら待て！,A good morning!,0.2
It's paying 11-to-1! I'll end up with 66 million!,11倍 6600万だぞ！,11 times 66 million!,0.21428571428571427
This isn't some movie or something!,そんな調子よく 娘の名前の馬がきたりしねえよ,Such a goodbye horses with my daughter's name,0.0
You're not gonna win it all betting on a horse with your daughter's name! you moron! that's not all there is!,バカ　それだけじゃない それだけじゃないんだ,I'm not just stupid.,0.037037037037037035
Look at this!,見ろ これを,Look of this,0.4
"Yeah. The horse's named Mikoko's Might, and the jockey's named Miranda.",いいか　ミココノチカラに加えて 騎手の名前が木崎,"Good or Mikokonchikara In addition to Mikonchikara, the name of the jockey is Kizaki",0.13043478260869565
This can't just be a coincidence!,この符合をどう取る？,How do you take this match?,0.07142857142857142
Then...,おっちゃん…,Occhan ...,0.3333333333333333
"I don't even wanna hear it! that's not a sure win, that's just a bad pun!",聞いて損した　くるわけねえだろ そんな語呂合わせ,I heard that I heard it,0.15
