en_text,jp_text,google_translated,score,semantic_score
The ultimate barrier rises from nowhere to bar Kaiji!,突如 カイジの前に立ちふさがった,I suddenly standed in front of Kaiji,0.0625,0.5537016
Kaiji is defeated!,カイジ 敗北,Kaiji defeat,0.2,0.9210115
I still have the 800 thou I came up with with!,地下を出る時 受け取った80万が,"800,000 received when leaving underground",0.0,0.19498979
"I spent a little bit, but there's still 720 left!",ちょっと使っちまったが 72万,"I used a bit, but 720,000",0.3333333333333333,0.5782227
This... I can keep playing with this!,これでまだ打てるはず　これで…,This is still hit yet ...,0.16666666666666666,0.30118048
What the hell are you doing!?,何しやがる！ ハハハ…,What do you do!Hahaha ...,0.2727272727272727,0.416801
"No. No, you can't. Not with pocket change like that.",ダメダメ　打てません,I can not hit it,0.0625,0.06425992
"If you want to buy Paqy for the Bog, you've got to cough up at least three mil.",沼のパッキーは最低300万,Packie of swamp is at least 3 million,0.08,0.42620713
Come on! Just sell me one!,そ… そこを何とか　バラ売りで,So ... there's something or rose sale,0.0,0.28361934
"Now, if you'll kindly be on your way?",お引き取りを,Pick up,0.0,0.24056248
I almost got it!,俺に あと少し,A little more,0.0,0.26771045
"You can see that, can't you!?",分かるだろ？ 誰でも… 誰でもいいから,You know?Anyone ... because anyone is good,0.13333333333333333,0.09111367
Just lend me some money!,貸せ　つぎ込め 俺に！,Lending is included!,0.1111111111111111,0.64001673
Give me another chance to play!,俺で勝負しろ,Play with me,0.25,0.50365186
Somebody! Take a chance!,誰か 俺で勝負しろ！,Someone will play with me!,0.1,0.4521145
It's over.,終わっちまった,It was over,0.4,0.76780343
Somebody take a chance on me!,誰か！俺で勝負を　勝負を…,who!A match with me ...,0.2727272727272727,0.328196
A chance!,てやっ,G,0.0,0.25668222
You fool.,バカが！,stupid!,0.0,0.43019366
There's no way that's going to happen.,あり得ないんだよ そんなこと,I can not do that,0.07692307692307693,0.19597737
Who the hell would lend you money after a performance like that?,誰が貸すか,Who lends,0.07142857142857142,0.58809453
You're trash!,クズ　破産　破産だ,It is bankruptcy bankruptcy,0.0,0.049734194
Who's there?,誰だ？,Who?,0.5,0.6075717
That voice is... what?,この声… 何？,This voice ... what?,0.5714285714285714,0.8693966
—The last penny a man has...,実際 なけなしの金 最後の金っちゅうもんは,The last gold last gold of the actual,0.09090909090909093,0.46883664
