en_text,jp_text,google_translated,score,semantic_score
"About to celebrate its 122nd anniversary,",創立122年を迎える 伝統と格式を誇る学園,Gakuen who boasts a tradition and a qualified tradition to welcome 122 years,0.05882352941176471,0.46585086
Showdown! Full house!,ショウダウン フルハウス！,Showdown Full House!,1.0,0.9818438
A royal straight flush?,ロッ ロイヤル ストレートフラッシュ!?,Rock Royal Straight Flash!?,0.375,0.35619268
"Now, now, I'm sure it will be an ordeal for you.",まっ いろいろ大変だろうけどさ,It will be very difficult,0.2,0.31879
"That day, I ceased being a human. Those are the rules of this school.",この日 僕は人ではなくなった,This day I was not a person,0.21052631578947367,0.5295471
It's all about money here.,全てを決めるのは金,It is money to decide everything,0.18181818181818185,0.5779888
"That's our Mary, a juggernaut!",さすが 芽亜里ちゃん 強すぎ〜,Susumu Eri Chan too strong ~,0.0,0.14542805
"Not that I have my A-game today, you know.",今日は 調子良くないんだけどね〜,"It is not good today, though",0.2,0.3623242
"Once you plunge to these depths, you can never climb up again.",一度落ちたら 再び はい上がることは不可能,"Once you fall, it will not be possible again",0.21052631578947367,0.5175984
Or so I thought.,そう思っていた,I thought so,0.6,0.6261242
Until she arrived.,彼女が来るまでは…,Until she comes ...,0.3333333333333333,0.75618815
"A GIRL NAMED YUMEKO JABAMI as i informed you last week, today, i'll be introducing a transfer student.",え〜 先週 お伝えしたとおり,Eh-As I mentioned last week,0.14285714285714285,0.11101998
"Inept as I am, I hope you'll welcome me as a member of your class.",ふつつか者ですが 同級の仲間に 入れていただけると幸いです,"It is fortunate, but it is fortunate if you can put in a classmate",0.12,0.348152
Yumeko? That sure is a strange name.,蛇喰って 変な名前だけどな,It is a strange name but a strange name,0.3636363636363637,0.58037835
I'd like one of you to show Yumeko around the school grounds.,えっと 誰か 蛇喰さんに 学園を案内してもらいたいのですが,I want someone to guidance to the school to the acupuncture,0.2222222222222222,0.18443772
"Ryota, aren't you class president? Would you mind doing the honors?",鈴井君 学級委員でしたよね お願いできるかしら？,"It was Suzui Kimi class member, right?",0.15789473684210525,0.28850853
"For the first time, I'm glad that I became a Fido.",ポチになってよかったと思ったの 初めてだ,It is the first time I thought it was good to be Pochi,0.19047619047619047,0.38638583
"Oh, my! How lovely!",わあ〜 すてき！,Wow ~!,0.125,0.39720386
This certainly is a splendid academy. I'm so glad that I transferred here.,ここは すばらしい学園ですね,This is a wonderful school,0.1875,0.58675146
"Yes, what is it?",はい 何でしょう,Yes,0.16666666666666666,0.46549836
"Listen, you know how to gamble?",あのさ,That,0.0,0.17465635
"Well, poker and mah-jongg, and such... I am familiar with the rules, at least.",ポーカーとかマージャンとか ひととおり ルールは分かりますよ,I understand the rules for poker or Mahjong,0.2,0.80513036
"See, at this academy, gambling's always been all the rage.",うちの学園 伝統的に ギャンブルが はやっててさ,My school traditionally gambling is done,0.05555555555555555,0.6680193
"Once classes end, you'll see gambling going on everywhere.",放課後ともなれば 至る所で 賭場が立つんだ,"If you have after school, the bet will be reached everywhere",0.14285714285714285,0.5351698
"And since there are a lot of rich students here,",で 金持ちの生徒も多いから 賭け金が半端じゃない,"There are a lot of rich students, so the bet is not half",0.4705882352941176,0.6603271
"I'm sure you'll get asked sooner or later, so better watch your--",近いうち誘われると思うから その辺 気をつけ…,I think it will be invited to be invited to be careful ...,0.04166666666666666,0.28152925
"Well, well. That's certainly something to look forward to.",それは それは とっても楽しみですね,That is very fun,0.07692307692307693,0.21519612
"Jabami! Welcome to Year Two, Flower Class!",蛇喰さん ２年華組へようこそ,Welcome to the Maiden 2 Years,0.15384615384615385,0.23383027
Nice to meet you! I'm Mary Mary. I hope we can be friends!,はじめまして 私 早乙女芽亜里,Nice to meet you,0.2857142857142857,0.4593596
"Are you free after this, Jabami? Would you like to gamble with me?",蛇喰さん このあと暇かな？,Maiden-san? After this time?,0.1875,0.19379324
"- What kind of gambling you have in mind? - It's called Ballot Rock-Paper-Scissors,",わっ どういう ギャンブルなんですか？,What a gambling?,0.17647058823529413,0.62659705
"First, everyone in our class draws either a rock, scissors or paper on a card.",まずクラスのみんなに それぞれ,First of all the classes,0.05,0.45641637
