en_text,jp_text,google_translated,score,semantic_score
Resistance is futile...,"（桂馬(けいま)）
抵抗しても無駄だよ",It is useless to resist,0.125,0.6410443
How did you know I was here?,どうして ここ わかったの？,Why did you understand here?,0.4,0.38281754
I'm in love...,"（ゆう）
わ… 私 あなたのことが…",Wow ... I'm your thing ...,0.375,0.31472424
with you!,バッカじゃないの ベーだ！,It's a baker!,0.14285714285714285,0.15655532
No dating sim can stand against me.,"（桂馬）
これで１万人目のヒロイン攻略
僕に解けないギャルゲなんて…","This is a thousands of heroine capture capture
Galge who can not solve me ...",0.1,0.11411263
"Enjoying your video game, Katsuragi?","（二階堂）桂木桂馬君
（桂馬）ん？","Katsura Katsura
?",0.125,0.54346377
What could be more fun than my class?,"（二階堂）
私の授業より
楽しいものがあんのか？　ああ？","From my class
Is it fun? Ah?",0.3076923076923077,0.6278467
Sorry. Please wait for me\Nto reach a save point.,"すいません セーブポイントまで
少し待ってください","Sorry to save point
Please wait a little",0.5,0.7709984
My name is Katsuragi Keima.,"（桂馬）
僕の名前は桂木桂馬",My name is Katsura Katsura,0.42857142857142855,0.83976316
"Seventeen years old, born on\NJune 6th, 11:29:35 AM.","６月６日11時29分35秒生まれの
17歳 好きなものは―","June 6 11:29 Born for 35 seconds
What I am 17 years old-",0.15,0.652352
My interests?,"（桂馬）
あ？",a?,0.25,0.31378028
My PFP!,あ～！　僕のＰＦＰが！,Oh!My PFP!,0.75,0.89809316
"Sorry, but could you clean the\Nroof by yourself today?","今日の屋上の掃除当番
１人でやっといてくんない？","Cleaning of the rooftop today
Don't you do it alone?",0.15789473684210525,0.55638856
Huh?,"（桂馬）
は？",teeth?,0.3333333333333333,0.284191
"Unlike you, I'm totally busy.","でさ オタメガネ
悪いんだけど あんた","オ オ オ
It's bad but I'm sorry",0.14285714285714285,0.08880985
if you know what I mean.,"暇人が
やるべきっていうか―","Leisure person
What should I do-",0.18181818181818185,0.040725913
Don't be ridiculous!,"ふざけるな
断固 断る！","Do not be silly
Classification!",0.375,0.43129003
I absolutely refuse!,うう… くぅ う… うわ！,Uh ... Kuwa ... I'm sorry!,0.2222222222222222,0.24381022
I'm only attracted to girls in games.,"僕が好きなのは
ゲームの女子だけだ","What I like
Only girls in the game",0.3076923076923077,0.7386338
Reality is just a crappy game!,リアルなんてクソゲーだ,Real is a fucking game,0.3333333333333333,0.5839179
"Welcome, lost lambs.",ようこそ 迷える子羊たち,Lesson lambs who are lost,0.25,0.75083196
