en_text,jp_text,google_translated,score
Momozono Nanami High School Student   Seventeen Years Old momozono nanami. high school student.,“桃園奈々生 女子高生”,"""Taoyu Nanae High School Girl""",0.14285714285714285
This girl is hardly more than a child. How did she become the god of the Mikage Shrine?,どうして こんな娘が ミカゲ社の神になっているのです？,Why is such a daughter being a god of Mikage?,0.2608695652173913
"Unknown?! will you give me tomoe, please?",巴衛 頂戴,TomoeMamorucharged,0.0
How awful to serve a human.,私から巴衛を奪って…,I took off my sake up ...,0.0
He will pay!,許せん…,I can not allow ...,0.0
Are you worthy of being a god?,あなたが 神にふさわしい人間かどうか―,Whether you are a person who is suitable for God-,0.2
"I, Lady Narukami, god of thunder, shall be the judge of that.",この雷神 鳴神姫が 見定めてあげましょう,Let's prepare this thunder god Narumi princess,0.10526315789473684
Seven lightning strikes to the east...,東のほうに落雷７つか,Lightning strikes 7,0.25
It must be that time of the month for Narukami.,鳴神が また かんしゃくを起こしているな,Narumi is waking up again,0.0
It's getting closer and closer.,だんだん近づいてきております,I'm getting closer,0.25
"By the looks of it, she's heading this way.",あの様子では ここに来るな,Don't come here in that situation,0.0
"Sorry, no time to eat!",巴衛特製ごま豆腐 ごめん 食べてる暇ない,Special sesame tofu tofu I do not spare time,0.07142857142857142
Hold it.,待て えっ,Wait,0.0
You're forgetting your lunch and head gear.,弁当と額当てを忘れているぞ,I have forgotten my lunch box,0.07142857142857142
Don't need them.,いらない,I do not need,0.2857142857142857
There's a visitor coming to the shrine today.,今日は社に客が来る 俺は ここから離れられない,Today I will come to the company I can not get away from here,0.15
I'm worried for you.,お前が心配なのだ,You are worried,0.2857142857142857
Sheesh! He's such a worrywart!,もう 心配性なんだから,Because it is already aware,0.0
Dear Nanami's training as a god and her school life are both going swimmingly!,奈々生ちゃん 神様修行も学校生活も―,Nana-chan God Training is also a school life-,0.2
"Or so we wish, but things aren't looking so good.",順調～ …のはずでございましたが―,It was supposed to be good- ...,0.0
We are here on Master Tomoe's orders.,巴衛殿に仰せつかってまいりました,I went to the Hall,0.0
We will-o'-the-wisps shall guard you all day long today.,今日一日は 我ら鬼火わらしが 奈々生様をお守りいたします,"Today, we will protect Nana Laws",0.13333333333333333
I-It's not what you think! These kids are...,ち… 違うの この子たちは,Chi ... This child is different,0.0625
Is Tomoe not coming to school today?,今日は巴衛君は休みなの？,Today is a holiday?,0.3
"Oh yeah, he's not. That's right.",そ… そう 休み　休みです,Well ... I'm off off,0.0
"No need to worry, Lady Nanami.",大丈夫でございます 奈々生様,It is okay Nana student,0.0
Normal people cannot see us.,人に我らの姿は見えませぬ えっ？,Can you not see our figure?,0.2727272727272727
Perhaps I was worried for nothing.,俺の思い過ごしか,I wonder if my thoughts,0.09090909090909091
The clouds have moved toward Nanami's school.,雲の流れた先は奈々生の学校,Nana school school ahead of cloud flow,0.07142857142857142
Surely not...,まさかな,Masadish,0.0
Thanks for bringing my lunch. You guys are real lifesavers.,鬼切君たちが お弁当持ってきてくれて助かった,Kimi-kun was saved to bring me a lunch box,0.05263157894736842
Tomoe is such a good cook.,にしても巴衛って料理上手よね,Even if it is goodbye cooking,0.08333333333333333
Was Mikage a gourmet or something?,ミカゲさんが よっぽどグルメだったのかな,I wonder if Mikage was a gourmet,0.4
"Oh, no. Neither we nor gods are in the habit of partaking of meals.",いえ 神も我らも 基本 食事の習慣はないのです,No God and our basic food habits,0.047619047619047616
"Your body is of flesh and blood,",奈々生様が生身の体ゆえ―,Nana student is a living body-,0.07692307692307693
"so despite how it seems, Master Tomoe studies daily as he devotes himself to cooking for you.",あれで巴衛殿も毎日勉強しつつ 料理に励んでおられるのです,That's why I'm working on food while studying delicious offs,0.0
Stop that! There's no way that's true!,やめてよ そんなわけないって,Do not do that,0.1
But it is. Master Tomoe's regard for you is...,いやいや 巴衛殿は奈々生様のことを,Noya Yasui is Nana Life,0.06666666666666667
"Hey, you shouldn't tease a girl like that.",こら 女の子をからかっちゃ駄目だぞ,I'm sorry I can't get a girl,0.1875
A spirit?! Huh?,妖怪？　あれ？,Apparition?  that?,0.14285714285714285
I have erected a barrier so that we are not disturbed.,邪魔をされぬよう結界を張りました この中にいるのは我々のみ,We have put up a sandbound so that we are in this way,0.3333333333333333
I am a god who maintains a shrine up in the heavens.,私は天に社を持つ神 雷神 鳴神姫です,I am a god thunder god Narumi who has a company in heaven,0.35294117647058826
I have heard of the events that  led to you becoming a land god.,あなたが土地神になった いきさつは聞いています,I'm listening to the Land God,0.29411764705882354
It must've been hard on you to have this grave responsibility thrust upon you.,無理に負わされた重責 さぞ苦労があったことでしょう,It will have a hardship that has been impossible forcibly,0.13636363636363635
Your troubles end today.,その苦労も今日で終わり,That hard work is over today,0.1
I shall take over the Mikage Shrine in your place.,そなたに代わり この鳴神が ミカゲ社を引き継ぎましょう,"Instead of you, this Naru will take over Mikage",0.16666666666666666
You've got it all wrong. I'm not troubled by anything.,いいえ 鳴神様 私 苦労なんてしてません,No No Rounding God I'm not hard,0.17647058823529413
"I mean, I have the will-o'-the-wisps and Tomoe.",社には鬼火わらしも巴衛もいて みんな 優しくて,"Every fire is also kind to the company, and everyone is kind",0.17647058823529413
They're wonderful to me. i actually think of the shrine as my home now.,私は社を自分の家だと思っています,I think that I am my own house,0.15
So I don't want to leave the shrine.,だから私 社を出たくはないんです,So I do not want to go out,0.38461538461538464
Are you all right?!,来ましたね 巴衛,I came,0.0
"Narukami, what in the world is going on here?",鳴神 これは一体どういうことなのか,Narami Is this one?,0.14285714285714285
This weak little girl is your lady and mistress?,こんな小娘があるじとは 落ちたものですね　巴衛,Such a small girl has fallen with something,0.058823529411764705
