en_text,jp_text,google_translated,score,semantic_score
That's pretty weak.,ちょろいな,Chorous,0.0,0.12414754
"I'm sorry to say this kid, but you've got no talent for the sword at all.",こう言っちゃ何だが小僧よ,What is the one who says,0.04,0.15270191
"You've got no muscle, no form, and most importantly, you lack the resolve to kill.",筋は悪い形もなってねえ,The muscles are bad in shape,0.047619047619047616,0.4330792
"If you want to get better with a sword, the first thing you have to do is kill.",剣の腕を上げてえんならまず人を斬らねえと話になんねえ,"If you raise the arm of the sword, you will be talking to the story",0.24,0.51892155
A swordsman is still only halfway to maturity after killing 300 people.,剣士ってのは３００人斬ってそれでようやく半人前だ,Swordsman is 300 people and it is finally half a single,0.2777777777777778,0.6909489
"Right now, you wouldn't even be able to cut a leaf...",もっともお前は葉っぱさえ斬れねえみてえだがな,"However, I'm sorry for the leaves.",0.045454545454545456,0.51681626
I took the time out of my busy schedule to take a trip to the capital's suburbs for this?,忙しい中京くんだりまで足を延ばしてみたけどよ,I tried to extend my feet until I'm busy,0.16666666666666666,0.18931746
I guess I panicked when I lost sight of my path.,道のりが見えずらしくもなく焦っちまったってことか,It's impossible to see the road and it was impossible,0.0,0.4616965
Path?,道のり,way,0.0,0.24311215
From perfection to completion.,完成から完了へのな,To complete from completion,0.5,0.69516957
Perfection to completion?,完成から完了,Completed from completion,0.16666666666666666,0.6705013
"Well, seeing as you're nowhere near perfection, let alone completion,",まあ見たところ完了どころか完成にも程遠い,Well I saw it far from completion,0.1176470588235294,0.5750644
it's probably just rambling from your amateur point of view.,未熟なお前には関係のない領域の話かもしれんがな,"Memorial, it may be a story of unrelated areas",0.1,0.1530166
That's why I'm training like this.,だからこうして　修行にいそしんでるんじゃないか,So I'm not going to practice this way,0.2,0.4856687
"I admire your dedication, at least.",その心掛けは褒められる,The attention is given up,0.0,0.14247498
"Though, if you're cooped up on a mountain like this, you probably don't know anything about the world.",山ん中に引きこもってちゃ世間のざまなんざ知らねえだろうけどな,"It will be in the mountains, but it will be noticeable",0.07142857142857142,0.44134834
The only thing that interests me is honing my own skills.,俺は自分の腕を磨くことしか興味はない,I'm only interested to polish my arms,0.1111111111111111,0.29739654
I aim to master the way of the sword.,剣の道ってのを究めたいだけだ,I just want to find out the sword,0.3076923076923077,0.56143606
"The country may be at war or at peace, but the path ahead of me will not change.",時代が戦国だろうが太平だろうが,It will be a warring country but it will be,0.19047619047619047,0.55917466
And I find it interesting how you don't care about the world.,それに　世の中に興味がねえってところも気に入った,I also liked it to be interested in the world,0.2,0.4831441
"I originally thought this was a pointless trip, but it looks like you might just barely pass.",無駄足だったと思ったがまあぎりぎり合格ってとこかな,"I thought it was doubt, but it's a messy pass",0.3636363636363637,0.4556132
I also have no interest in the world.,俺も実際　世の中なんか興味はねえ,I am also a real thing in the world,0.38461538461538464,0.34571213
I guess what you could say I'm fighting is history itself.,俺が相手取ってんのは何たって歴史ってやつだからな,What is the history of the other hand,0.1875,0.18826629
"If you look at the world and everything in it from the perspective of history, all you see is the surface of it.",世の中やら世界なんてもんは歴史全体から見たら,If you look at the world and the world,0.35,0.5814679
What's with you? are you a megalomaniac or something?,何なんだあんた　誇大妄想狂か何かか,What a huge delusion or something,0.3333333333333333,0.41715395
That might not be entirely wrong.,あながち間違っちゃいねえな,Anachi wrong,0.125,0.28176317
"Well, most people probably see me that way.",まあ大半の人間にとって俺はそういう立場なんだろう,"Well, for most people, I will be such a position",0.2352941176470588,0.38915026
That's why I have to fight for results.,だからこそ俺は結果で勝負しなけりゃならねえんだけどな,"That's why I have to play with the result, but I'm sorry",0.3333333333333333,0.5360037
"Even then, as close as I get, it still isn't enough.",しかしそれでももう少しってところでうまくいかねえ,But still a little more well,0.05555555555555555,0.45932937
Maybe it really is a problem with the raw materials.,やっぱ素材の問題なのかねえ,I wonder if it's a problem of,0.1875,0.39058974
That aspect of it is really just luck.,こればっかりはどうしようもねえ,I can not do this,0.0,0.0007060163
And what does a swordsmith want with me?,その刀かじが何の用だ,What is the sword for the sword,0.07692307692307693,0.59078
