en_text,jp_text,google_translated,score
"This land, situated in a cold region in the northernmost part of Japan, formerly known as the country of Ezo,",日本列島の最北端にある寒冷地帯,Cold zone at the northernmost tip of the Japanese archipelago,0.17391304347826086
still has much primitive wildlife due to its complex geography and harsh natural environment that are unsuitable for living in.,その複雑な地形と厳しい自然環境故に 人を寄せ付けず,It is not attached to the complex terrain and severe natural environment,0.17857142857142858
All living things in the Ezo region participate in a merciless battle of life and death every day.,生きとし生けるものの,Living and living,0.1111111111111111
Cold cold cold cold!,寒い寒い寒い寒い,Cold cold cold cold,0.5
"This particular region, known even in Ezo to have particularly harsh snowstorms,",そんな厳しい蝦夷地の中でも,Even in such a strict urban area,0.1111111111111111
is where the strategian Togame and the 7th generation Kyotouryuu head Yasuri Shichika find themselves climbing for their lives.,奇策士とがめと鑢七花が生死を懸けて登っていたのでございます,Mirora Tagame and 鑢 Seven flowers have climbed life and death,0.03571428571428571
"Dammit, piling up on my head's like this...",勝手に人の頭の上に積もってゆくとは,It is not to be piled up on the head of people,0.15
"The snow is quite something, but what's really amazing is the wind.",雪もすげえけど ホントにすげえのは風なんだな,"Snow is also great, but it is really like a wind",0.3333333333333333
The wind is so strong that snow only builds up to knee height.,風がすごいから膝までしか積もらない,"Because the wind is great, I can only accumulate the knee",0.25
It's like a constant avalanche.,常に雪崩が起きてるみたいなもんだ,It seems that an avalanche always happens,0.16666666666666666
"We aren't even halfway up the mountain, you know.",だってよ まだ山の中腹までも来てないんだぜ,It's still not yet up to the middle of the mountain,0.15
I can't even imagine what it's going to be like at the peak.,頂上なんてどんなことになってんだか 想像もつかないよ,"What is the top of the top, I can not imagine",0.18181818181818182
They probably look like snowmen.,うっ きっと雪だるまみたいなやからではないかな,I'm sure it's not a snowman,0.0
Or they could be covered in thick fur and look like the abominable snowman.,いや 全身毛むくじゃらの雪男みたいな種族とか,"No, a tribe like a whole body hairy snowman",0.09090909090909091
"Well, no doubt they're resistant to the cold, anyway.",まあ 寒さに強いということだけは間違いないぞ,It's just a strong thing that is strong in the cold,0.09523809523809523
"""No doubt""... you don't actually know?",「間違いないぞ」って とがめ知らねえのかよ,"""I'm sorry I'm sorry""",0.14285714285714285
Soutou Kanazuchi,双つの刀と書いて「双刀」という名故に,"Written with two swords and ""twin sword""",0.0
"Hammer,",双つの刀と書いて「双刀」という名故に,"Written with two swords and ""twin sword""",0.0
The Pair,双つの刀と書いて「双刀」という名故に,"Written with two swords and ""twin sword""",0.0
"Soutou is written ""pair of swords"", so it could be a set of two swords.",双つの刀と書いて「双刀」という名故に,"Written with two swords and ""twin sword""",0.23809523809523808
I do know that the Itezora clan's ancestors were apparently the giants of Izumo.,まあ 凍空一族の先祖は出雲のだいだら法師らしいぞ,Well the ancestors of the frozen-clan family are Izumo,0.21052631578947367
Well that's useful to know...,そいつは使える情報だな,It is information that can be used,0.07692307692307693
"Togame, how are you going to make any plans with such little information?",って とがめそんなに何も知らなくて,I do not know anything so much,0.0
"Does ""Strategian"" mean ""someone who doesn't make plans""?",奇策士ってのは策を練らねえやつのことなのか,Is it a shamarmer?,0.06666666666666667
"By ""schemes"", do you mean ""guessing as you go along""?",奇策ってのは行き当たりばったりってことなのか,Is it a shame to be passing?,0.05
Wh-What! ch-cherirurero!,なっ 何この ちぇっちぇるれお,What is this chicken,0.0
I see you get your tongue in a twist when it's cold.,寒いと巻き舌になるんだなとがめは,It's cold and it will be a tongue.,0.35294117647058826
"If you've got the time to waste talking, hurry up and climb!",無駄口をたたく暇があったらさっさと登るぞ,"If you have time to hit the wasteful port, you will close it quickly",0.2608695652173913
"If you don't hurry up, I'm going to turn into a snowman!",早くしないとこちらが雪だるまになってしまうわ,"If you don't go fast, you will be snowing",0.23809523809523808
Owari  castle  grounds,それにしても,As well,0.0
She must have heard about my return to power by now.,そろそろ わたしが尾張で復権したと聞いても,Even if I heard that I returned to Owari soon,0.10526315789473684
"Have you forgotten who went to the effort of putting a mask over that face of yours,",闇より暗いあんたの暗黒顔に仮面を着け,Wear mask on dark face of darkness darker than darkness,0.13043478260869565
"darker than darkness itself, and bothered to write ""unconcealed"" on it?",わざわざ「不忍」の２文字をあげたのは誰か忘れたの,"I forgot anyone who gave the two letters of ""unnob""",0.08
"If they're in Ezo, they'll be heading towards the frozen land designated as a first class disaster region, Mt. Odori.",蝦夷といえば絶対凍土,Speaking of Ainu absolute frozen soil,0.03571428571428571
"That would be where the sword they seek, Soutou Kanazuchi, is held by the Itezora clan.",あそこには凍空一族が持つ「双刀·鎚」があるはず,"There should be a ""twin sword, a""",0.13043478260869565
I thought as much.,そんなことだろうと思ったのよ,I thought it would be such a thing,0.18181818181818182
But does that woman really think it will be easy?,それにしてもあの女 簡単にいくと思っているのかしら,"Even if it is, I wonder if that woman is easy",0.23529411764705882
Wasn't it because it harbors the harshest snowstorms in Japan?,日本最大の豪雪地帯だからではないのですか,Isn't it because it is the largest snowfall area of Japan?,0.375
That unpleasant woman probably thinks the same.,きっとあの不愉快な女もそう思っているわよね,I'm sure I'm thinking of that unpleasant woman,0.23076923076923078
"It was designated as such not because of the mountain itself, but because of the inhabitants of the mountain —",災害指定はね踊山にではなく,Disaster designation is not in Daisyama,0.05
"the owners of Kanazuchi — the Itezora clan, who have lived there since the distant past.",鎚の所有者 凍空一族に対して発せられたものなのよ,It is what was issued to the owner of the 凍,0.08333333333333333
Wha.. what are you saying?,なっ 何言ってんだよ しっかりしろよとがめ,What's up and what you're saying,0.3
You are the sword I chose.,そなたならできる そなたはわたしが選んだ刀だ,You can do the sword I chose,0.5555555555555556
You don't need my schemes anymore.,もうわたしの奇策なぞ必要ないさ,I will not do it anymore,0.16666666666666666
What? you still have things to do!,なっとがめにはまだやらなくちゃいけないことがあるだろう,There will be no need to do it yet,0.125
Everything I've done so far is meaningless...,わたしのやってきたことは本当は何の意味もないのではないかと,What I came is really there is no meaning,0.13333333333333333
"True happiness is finding the one you love and becoming a mother,",本当の幸せとは,What is the real happiness,0.2
and then living your life out with them.,前に向かって共に歩むことだと,It is about walking together,0.0
"In the past, I hadn't even considered such a thing.",そんなことにさえ わたしはこれまで気付かなかったのだ,Even so I did not notice this,0.1111111111111111
Isn't it a bit too early for you to be thinking about that?,とがめ それに気付くのはちょっとまだ早いんじゃ,It is a bit early to notice it,0.375
I've walked this path for 20 years...,２０年間孤独にこの道を歩んできたわたしだが,I was able to walk this way for 20 years,0.35714285714285715
"but in the mere half year since we met, you've taught me how a human should live life.",出会ってたかが半年のそなたに教えられた,I was taught by half a year when I met,0.2
My body seems kind of strange...,何か俺の体変だ,Something is my body,0.2222222222222222
What are you doing?!,何すんじゃ,Anything,0.0
I thought you'd died!,死んだかと思ったぞ どうしたのだ,I wondered if I died,0.25
My limbs won't move like I want them to...,てっ 手足が思うように動かない,Do not move as a hands and feet think,0.05263157894736842
"Well no, I'm not cold, but I'm kind of losing control of my body.",いや 寒くはないんだけど,"No, I'm not cold",0.4
Idiot!,このバカ 鈍いにも程があるわ,There is a difference in this stupid dull,0.0
"So this is what ""cold"" feels like...",ああ これが寒いって感覚なのか,"Oh, this is cold",0.25
What should I do...,あの,that,0.0
"At the exact moment when the strategian Togame and Shichika were saved by Itezora Konayuki,",奇策士とがめと七花が,Mirorator Tagame and Seven Hues,0.05263157894736842
"Maniwa ""Sea Turtle the Long-lived"" Umigame,",「長寿の海亀」こと真庭海亀,"""Sea turtle of longevity""",0.36363636363636365
"Maniwa ""Mandarin Duck the Rewind"" Oshidori,",「巻き戻しの鴛鴦」こと真庭鴛鴦,"""Rewinding 鴛鴦""",0.18181818181818182
"Maniwa ""Otter the Investigator"" Kawauso,",「読み調べの川獺」こと真庭川獺,"""Reading River River""",0.2
"Maniwa ""Penguin the Proliferate"" Pengin,",「増殖の人鳥」こと真庭人鳥,"""Big bird of proliferation""",0.16666666666666666
"and the shapeless Maniwa ""Rabid Dog the Infectious"" Kyouken.",そして姿なき「伝染の狂犬」こと真庭狂犬,"And the ""Mad Dog of Infectious Dog""",0.46153846153846156
"The effective leader of the Maniwa Corps, Maniwa Houou, was in the middle of his report to the other 5 heads,",その危機的状況を受け,Receive that crisis,0.0
"And thus, we must all move together as a unit from now on.",故に ここから先は皆が一丸となって動く必要がある,"Therefore, from here, everyone needs to move alone",0.14285714285714285
"It is unavoidable, if it's true that the Insect squad really has been exterminated.",あの虫組３人が全滅したとなれば それも致し方あるまい,"If the three people have annihilated, it makes it too",0.18181818181818182
I know you were on close terms with the Insect squad's Chouchou.,お主と虫組の蝶々はいい仲だったのだろう,The main and insect group butterflies would have been good friends,0.08695652173913043
